()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM><SE1>AVG_Helicopter</SE1>:夜晚，丛林战场——
F1(0);M1897Mod(0)<Speaker>M1897</Speaker>||<BGM>BGM_Empty</BGM>:诗集已经干透啦，你可以收起来了。+不过用纸张记录数据不会觉得效率很低吗？现在很多都是网络书籍了呀，为什么你还收藏纸质版？
F1(0)<Speaker>F1</Speaker>;M1897Mod(0)||:不是数据啦，是诗歌！是我一个偶像的诗歌集！他曾是这个世界上最伟大的诗人之一，他会关心每一个经过他生命的人！
F1(0)<Speaker>F1</Speaker>||<BGM>GF_Memorial</BGM>:假如看见一棵小草，他会赞扬那颗小草的顽强；假如月亮照亮了他回家的路，他会将窗户打开用来迎接月光。+假如有位路过的人递给他一杯美酒，他也绝不独享……
F1(0);M1897Mod(0)<Speaker>M1897</Speaker>||:啊，这些华丽的句子都记录在这本很厚的家伙里么？
F1(0)<Speaker>F1</Speaker>;M1897Mod(0)||:是的！他的思想和灵魂都寄宿在这本书里！
F1(0);M1897Mod(0)<Speaker>M1897</Speaker>||:灵魂？这里没有芯片信号啊？
F1(0)<Speaker>F1</Speaker>||<震屏>:<size=50>是思想！那种对诗歌的热爱！</size>
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:哇F1你的眼睛里有光哦。
F1(0)<Speaker>F1</Speaker>||:我第一次接触到他的诗歌的确是来自于网络，但是他非常坚持传统出版，那么我也必须追随他嘛，只要他出一个版本，我就会买一个版本，这是现在市面上最新的版本哦！+如果有机会能见他就好了，说不定还能要个签名什么的。
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:他叫什么？可以帮你搜搜看。
F1(0)<Speaker>F1</Speaker>||:汉斯。
F1(0);M1897Mod(0)<Speaker>M1897</Speaker>||:叫这个的没有一百万也有八十万吧？
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:没关系，我们可以请擅长数据处理的人形帮F1找找看。
F1(0)<Speaker>F1</Speaker>;MP5Mod(0)||:我找过了，早在十年前，他的家乡就沦为了战场。
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:……人类是很脆弱的，即使是最柔弱的人形，也可以轻易的对付普通人类，你……
F1(0)<Speaker>F1</Speaker>||:我知道，这是一个妄念。
F1(0);M1897Mod(0)<Speaker>M1897</Speaker>||:所以你心情才这么低落么？
F1(0)<Speaker>F1</Speaker>||:哎，人类的心情不论高兴还是悲伤，总能够被记录。不知道我们的心情是否可以有传达给别人的一天。
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:这好办，开个数据端口就行啦！
F1(0)<Speaker>F1</Speaker>||:哎哎，不是这种传达啦！我说的是，嗯，怎么说呢？+有不一样的理解和看法，但最终也能感受到那份美好，是即使不能准确的理解他的所思所想，也能从零星半点只言片语里感悟到的东西。
MP5Mod(0)<Speaker>MP5</Speaker>||:F1你说话好高深啊。
M1897Mod(0)<Speaker>M1897</Speaker>||:所以是“诗人”嘛。
F1(0)<Speaker>F1</Speaker>||<黑屏1>:<color=#A9A9A9>果然人形之间也是无法完全相互理解的啦。</color>
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><黑屏2>:经过了一个夜晚的休息和补给，三人小队准备重新出发。
MP5Mod(0)<Speaker>MP5</Speaker>||<BGM>BGM_NightOPS</BGM>:这里地形比较分散，预计还有十几处临时据点，应该都是些作战能力十分地下的散兵机关，我们分开找。
MP5Mod(0);M1897Mod(0)<Speaker>M1897</Speaker>||:好的。
MP5Mod(0);F1(0)<Speaker>F1</Speaker>||:没问题。
MP5Mod(0)<Speaker>MP5</Speaker>||:那我们就这么说定了，以现在的补给仓为中心朝三个方向去搜查。+这里信号很差容易失联，所以大家不论结果如何，一定要在三天后来这里交换情报，尽量不要一个人进入太深的地方，可以吗？
MP5Mod(0);M1897Mod(0)<Speaker>M1897</Speaker>||:哇，居然能看到MP5这样的一面，回宿舍我要传给XM8看看。
MP5Mod(0)<Speaker>MP5</Speaker>||:不要打趣我啦！
F1(0)<Speaker>F1</Speaker>||:呼~希望这次大家都顺利呀，虽然不想回去……
MP5Mod(0)<Speaker>MP5</Speaker>||:安心啦F1，我想指挥官和格林娜小姐都会理解你的心情。
()<Speaker></Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:短暂的交谈结束后，大家朝着自己的方向走去……
