()||<BGM>BGM_Hello</BGM><BIN>22</BIN>:……
G3(0)<Speaker>G3</Speaker>||:帮助的意思是……你们两个愿意不再调皮了？
FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:不是，我们要带G3小姐去找妖精女王！
G3(0)<Speaker>G3</Speaker>||:……妖精女王？
FairyTaunt(0)<Position>0,250</Position><Speaker>嘲讽妖精</Speaker>||:妖精女王可以帮助G3小姐。+有些人暗地里知道它的存在，但不是每个人都能见到它。
G3(0)<Speaker>G3</Speaker>||:它也是……我们的妖精吗？+不对，为什么要带我去见妖精女王呢？
FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:因为妖精女王有神奇的力量。+见到它的人可以实现任何心愿。
G3(0)<Speaker>G3</Speaker>||:我觉得……这听上去不象是现实中会发生的事情。
G3(0);FairyTaunt(0)<Position>0,250</Position><Speaker>嘲讽妖精</Speaker>||:跟我们一起去找妖精女王吧！+G3小姐被大家欺负了，一定有很多愿望想要实现！
G3(0)<Speaker>G3</Speaker>;FairyTaunt(0)<Position>0,250</Position>||:我才没被其他人欺负！
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:哪有，我们大家都看到了！
G3(0)<Speaker>G3</Speaker>;FairyWarrior(0)<Position>0,250</Position>||:……+唉……+这位妖精女王……以前也帮助过其他人吗？
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:当然有啊。+护甲妖精希望能把盾牌上的字换成俄文以外的语言；火箭妖精有次想剪短发。
G3(0);FairyTaunt(0)<Position>0,250</Position><Speaker>嘲讽妖精</Speaker>||:妖精女王帮助了我们大家。
G3(0)<Speaker>G3</Speaker>;FairyTaunt(0)<Position>0,250</Position>||:嗯……+那有没有像我一样的人形曾经找过妖精女王呢？
G3(0);FairyTaunt(0)<Position>0,250</Position><Speaker>嘲讽妖精</Speaker>||:人形我不太清楚……+但是指挥官找过。
G3(0)<Speaker>G3</Speaker>;FairyTaunt(0)<Position>0,250</Position>||:指挥官？
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:大家都说找到妖精女王是一个指挥官最大的梦想。+不过妖精们都不知道后来的结果是什么。
G3(0)<Speaker>G3</Speaker>;FairyWarrior(0)<Position>0,250</Position>||:指挥官……是为了什么样的愿望才会去找它呢？
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:可以是为了任何事情。
G3(0);FairyTaunt(0)<Position>0,250</Position><Speaker>嘲讽妖精</Speaker>||:空调凉一点！游戏玩多一点！吃饭的时候可以加鸡腿！
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:见到妖精女王的G3小姐也能许下任何愿望！
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:但是我……不知道自己有什么需要……
G3(0);FairyTaunt(0)<Position>0,250</Position><Speaker>嘲讽妖精</Speaker>||:想想不开心的事情，要解决哪个就解决哪个，没有困难啦。
G3(0)<Speaker>G3</Speaker>||:唔……我知道了……+那我……我们要去哪里才能找到妖精女王呢？+它也和大家一样在妖精小屋里面吗？
FairyTaunt(0)<Position>0,250</Position><Speaker>嘲讽妖精</Speaker>||:塑料做成的城堡才没办法给妖精女王住。+它有自己的王座，妖精女王都会在上面等有需要的人去找它。
G3(0)<Speaker>G3</Speaker>||:我还以为……要能见到妖精女王是一件很困难的事情？
FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||<黑屏1>:我们可是妖精！+只要跟着我们走，当然马上就能够见到妖精女王！
FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||<BIN>89</BIN><黑屏2>:不见了……
G3(0)<Speaker>G3</Speaker>||:嗯？这个空架子怎么了吗？
FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||<黑屏1>:妖精女王不在它的王座上……它不见了！
