()||<BIN>8</BIN><黑屏2><BGM>BGM_Hello</BGM>:……+格里芬基地。
M1891(0)<Speaker>莫辛纳甘</Speaker>||:诶……啊，好啊，是要拿放在上面的杯子吗？+真是的，是谁把这东西放在这么高的地方啊。
M1895(0)<Speaker>纳甘左轮</Speaker>||:………
M1891(0)<Speaker>莫辛纳甘</Speaker>||:喏，杯子，拿去吧。
M1895(0)<Speaker>纳甘左轮</Speaker>||:……嗯，谢谢。
M1891(0)<Speaker>莫辛纳甘</Speaker>||:开会的时间到了，我先去会议室啦。
()||:……莫辛纳甘离开了。
M1895(0)<Speaker>纳甘左轮</Speaker>||:你们大家……有没有觉得莫辛纳甘她最近有哪里怪怪的？
TT33(0)<Speaker>托卡列夫</Speaker>||:莫辛纳甘小姐……？+我觉得她跟平常一样啊？
SVT38(0)<Speaker>SVT38</Speaker>||:要说有哪里怪怪的……+是说她最近好像比平常更开朗了吧？
M1895(0)<Speaker>纳甘左轮</Speaker>||:没错！这才是问题！+莫辛纳甘她一定在烦恼什么东西！我可从来没看过她这个样子！
TT33(0)<Speaker>托卡列夫</Speaker>||:呃……我看不太出差别啊……+但如果是纳甘左轮，看错的机率应该很低才是？
M1895(0)<Speaker>纳甘左轮</Speaker>||<黑屏1>0.5</黑屏1>:以我的资历是绝对不会看错的！+问题就是……莫辛纳甘姐到底是碰到什么事情了……+为什么她变成这个样子呢……？
()||<BIN>80</BIN><BGM>BGM_Empty</BGM><黑屏2>0.7</黑屏2>:……+……某日深夜。+咖啡厅的门轻轻地响起了敲门声。
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||<BGM>GF_Cafe</BGM>:请进。
M1891(0)<Speaker>莫辛纳甘</Speaker>||:……+……请问这里……还在营业吗？
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:虽然快到休息时间了，不过现在还可以提供咖啡跟蛋糕哦。+莫辛纳甘小姐请坐，请问要点些什么呢？
M1891(0)<Speaker>莫辛纳甘</Speaker>||:嗯……跟平常一样的咖啡就好……
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:嗯，好的。+不过很少有人会在这时候来这里呢，晚上和其他人约好过要做什么吗？
M1891(0)<Speaker>莫辛纳甘</Speaker>||:没有……+只是……单纯睡不着而已。
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:睡不着的情况还喝咖啡啊，这不是好主意哦。
M1891(0)<Speaker>莫辛纳甘</Speaker>||:没事的，必要的时候把部分机能关掉就可以了。
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:嘻嘻，我了解了。+请稍等我一下。
()||:……
()||:春田重新将收纳清洗好的冲泡用具拿出来，熟练地泡起了咖啡。
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:♪～♬～
M1891(0)<Speaker>莫辛纳甘</Speaker>||:………+春田……
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:嗯？什么事？
M1891(0)<Speaker>莫辛纳甘</Speaker>||:啊……+不……没事……
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:来，这是你的咖啡。
M1891(0)<Speaker>莫辛纳甘</Speaker>||:……谢谢。
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:想要点什么再和我说吧～
M1891(0)<Speaker>莫辛纳甘</Speaker>||:好的……+……+……春田。
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:嗯？什么事？
M1891(0)<Speaker>莫辛纳甘</Speaker>||:那个……就是……+我最近……遇到了一点事……+啊，不是被人欺负了，就只是单纯自己在给自己烦恼罢了……
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:…………+嗯，那是遇到了什么呢？
M1891(0)<Speaker>莫辛纳甘</Speaker>||:是因为指挥官之前告诉我，我已经被安排进心智升级的排期里面了……
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:这不是一件好事吗？+如果能更好地执行战斗任务，这就是个很能够提升自己作战效能的机会呀？
M1891(0)<Speaker>莫辛纳甘</Speaker>||:虽然是这样说，但是那个项目里面有着太多………+我并不是排斥那些高强度合金或是战术导轨的设计……+但是我是真的认为，经过那样子改造之后的东西已经不再是原来的我了。+如果不能保留血统上的传承，那么强化又有什么意义呢？
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:唔……不能对这件事提出拒绝或者其他的意见吗？+如果是指挥官的话，他一定会听的吧？
M1891(0)<Speaker>莫辛纳甘</Speaker>||:拒绝不是办不到……+但是指挥官就是因为担心我和那些后辈的作战效能差距越来越大，所以才把我的排期提前。+否则再这样下去，我就会被从战斗梯队上替换掉了……
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:原来事情是这样吗……+最近大家来这里的时候，有很多人都提到你好像有心事的样子。
M1891(0)<Speaker>莫辛纳甘</Speaker>||:咦……？原来其他人也注意到了吗……+我还以为我隐藏得很好……+我不希望让其他人对指挥官有误解，也不想在指挥官看不到的地方抱团说闲话……
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:或许回过头还是跟她们说一下比较好吧，大家都很担心你。+这样的事情自己闷在心里久了，反而会更难做决定的。
M1891(0)<Speaker>莫辛纳甘</Speaker>||:做决定吗……+春田……我现在……真的已经不知道该怎么做了……
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:…………+不过……为什么你会这么坚持这件事到这样的地步呢？+这真的很不像你以前的作风呢。
M1891(0)<Speaker>莫辛纳甘</Speaker>||:其实刚开始接受战术人形的改装时……我和这把枪的烙印之间有很多系统上没办法解释的冲突……+也可能是那时候我坚持自己应该更适合尖端的武器，而不是这种老古董吧。+直到后来我去了解了它背后的来历和背负的东西，才知道它的身上有着很多值得我这个持有者骄傲的东西……+从那以后，我们就再也没有过冲突了。
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:是呢，毕竟烙印系统和心智云图之间的关系，并不像理论上的那样单纯呢。
M1891(0)<Speaker>莫辛纳甘</Speaker>||<黑屏1>:正是因为出于对自己这道血统的认同，所以我才能骄傲地拿着它上前线去。+所以只有这件事……我没有办法就这样妥协。
