()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
NytoIsomer(7)<Speaker>丹德莱</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:我们距你提供的坐标只有不到五十米的距离。+刚才我们下车去做了一次前瞻调查，确定那里是个废弃的工厂。+在正式进去之前，我们需要一个完整的计划。
NytoIsomer(7);NPC-Machlian(5)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:我们到了！？
NPC-Machlian(5)<Speaker></Speaker><Position>0,-50</Position>||<SE1>AVG_lifttable</SE1>:玛赫莲闻言猛地从沙发上翻身而起，膝盖撞在了茶几上。
NPC-Machlian(5)<Speaker>指挥官</Speaker>||:小心。
NPC-Machlian(7)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:……呃。
NPC-Machlian(7)<Speaker></Speaker><Position>0,-50</Position>||:玛赫莲捂着被撞到的地方，跌跌撞撞地来到了桌旁。
AR15Mod(4)<Speaker>AR15</Speaker>||<BGM>BGM_Empty</BGM>:……装模作样。
NPC-Machlian(5)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||<BGM>BGM_Sneak</BGM>:这是……地图？
NytoIsomer(7)<Speaker>丹德莱</Speaker>;NPC-Machlian(5)<Position>0,-50</Position>||:是的，这是我扫描的结果，和你的了解有误差吗？
AR15Mod(4)<Speaker>AR15</Speaker>;NPC-Machlian(5)<Position>0,-50</Position>||:……这可是帕拉蒂斯的地盘，你确定要问她？
NytoIsomer(7)<Speaker>丹德莱</Speaker>;NPC-Machlian(5)<Position>0,-50</Position>||:只是做一个确认。+如果你不信任她，可以单看我的地图。
AR15Mod(4)<Speaker>AR15</Speaker>;NPC-Machlian(5)<Position>0,-50</Position>||:真是个讨厌的二选一……
NPC-Machlian(6)<Speaker></Speaker><Position>0,-50</Position>||:玛赫莲沉默着看起了呈现在桌面上的切面图。
NPC-Machlian(6)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:……跟我的记忆并没有很大的出入。+太神奇了，你居然站在门口就能扫描这么大的范围？
NytoIsomer(7)<Speaker>丹德莱</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:我在这方面略有造诣。
NytoIsomer(7);RO635Mod(0)<Speaker>RO635</Speaker>||:地形我们差不多已经了解了。+安保方面呢？
NytoIsomer(7)<Speaker>丹德莱</Speaker>;RO635Mod(0)||:没有发现任何帕拉蒂斯士兵或涅托的存在。+里面空空荡荡，和玛赫莲的说法一致，应该是已经废弃了。
NytoIsomer(7)<Speaker>指挥官</Speaker>;RO635Mod(0)<同时置暗>||:玛赫莲，你……真的是从这个工厂逃出来的？
NytoIsomer(7);NPC-Machlian(6)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||<BGM>BGM_Empty</BGM>:……嗯。
NPC-Machlian(7)<Speaker></Speaker><Position>0,-50</Position>||<BGM>m_avg_labyrinth</BGM>:梦魇仿佛要与现实重叠在一起，玛赫莲看着眼前的地图，眼前一黑，双手撑在了桌面上。+强忍着呕吐的欲望，她慢慢将呼吸调整均匀。
NPC-Machlian(6)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:……我在这里诞生，并接受帕拉蒂斯的调试，实验。+当他发现我身为部分免疫体的资质后，他就着手研发了以我的血为原料的血清。+他的本意……大概并不是为了救人。+但在我逃出来的时候，我还是带走了这些能够治愈辐射病患者的药物。
VP1915(0)<Speaker>帕罗莎</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:你是怎么逃出来的？
VP1915(0);NPC-Machlian(6)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:他们当时正在着手撤离这里。+实验素材的尸体，可搬运的设备，还有其他的一些物品……+我不知道发生了什么，但当时所有人都很着急。+我趁没有人注意我的时候……一直跑，一直跑。+直到……跑到伯恩村。
AR15Mod(4)<Speaker>AR15</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||<BGM>BGM_Empty</BGM>:真是轻松呢。+哦，不对。+这个叫争天夺运是吧？
AR15Mod(4);RO635Mod(0)<Speaker>RO635</Speaker>||<BGM>BGM_Sneak</BGM>:15，你一点都不适合含沙射影。
AR15Mod(4)<Speaker>AR15</Speaker>;RO635Mod(0)||:你管我！
AR15Mod(4)<Speaker>指挥官</Speaker>;RO635Mod(0)<同时置暗>||:……这样的话，怎么能肯定制作血清的设备还在里面？+也许他们撤离的时候连那个也一起带走了呢？
AR15Mod(4);NPC-Machlian(6)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:……我想，应该不会。+那个设备很巨大，和建筑本身嵌在了一起，想要搬运几乎是不可能的。+而且，帕拉蒂斯并不看重这个实验，我不认为他会花费太多力气在这上面。
NPC-Machlian(6)<Speaker>指挥官</Speaker><Position>0,-50</Position>||:算了……我们也没得选，至少有一试的价值。
()<Speaker></Speaker>||:指挥官将目光落回到地图上，看着面前的两位队长，点了点头。
()<Speaker>指挥官</Speaker>||:帕罗沙，你和狮鹫小队留在地面上，如果出了什么事，第一时间向我们汇报。+同样，如果我们这边出现状况，也需要你们提供支援。
VP1915(0)<Speaker>帕罗莎</Speaker>||:明白。
()<Speaker>指挥官</Speaker>||:RO，AR小队跟丹德莱还是一样，我们一起跟着玛赫莲下去。+找到设备之后，替玛赫莲做好掩护——在血清到手之后，迅速撤离。
AR15Mod(5)<Speaker>AR15</Speaker>||:等等，你也要下去？+指挥官，这太危险了。
AR15Mod(5);RO635Mod(2)<Speaker>RO635</Speaker>||:没错，我认为您应该和狮鹫小队一起留在地面上。+这样如果出现什么情况，我们也好做临场反应。
AR15Mod(5);RO635Mod(2)<Speaker>指挥官</Speaker><同时置暗>||:我明白你们的意思。
AR15Mod(5);RO635Mod(2)<Speaker></Speaker><同时置暗>||:指挥官看了看玛赫莲。+她似乎没有注意到自己的额头布满了冷汗，此时仍忍不住颤抖的身体毫不掩饰心中的不安。
AR15Mod(5);RO635Mod(2)<Speaker>指挥官</Speaker><同时置暗>||<BGM>BGM_Empty</BGM>:……我担心玛赫莲的精神状况。+而且，连丹德莱都确认过里面没有危险。+应该也不会有什么问题。
AR15Mod(5);NPC-Machlian(6)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||<BGM>m_avg_tension</BGM>:……罗宾。+我……你不用因为我把自己置身险境。
AR15Mod(5);NPC-Machlian(6)<Speaker>指挥官</Speaker><Position>0,-50</Position>||:如果之后会有埋伏过来，也会从入口开始袭击。+到时候，人在车里反而离他们最近。+与帕拉蒂斯做对手，没什么地方比丹德莱身边更安全的了。
NytoIsomer(7)<Speaker>丹德莱</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:我会害羞的。
AR15Mod(3)<Speaker>AR15</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:看不出来。
NPC-Machlian(6)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:……
NPC-Machlian(8)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:……谢谢你，罗宾。
()<Speaker>指挥官</Speaker>||:地图大家最后再都核对一下。+再确认一次潜入和撤离的通道。+丹德莱已经提供了完整的地形图，这次决不能重蹈伯恩村的覆辙。+速战速决。
RO635Mod(0)<Speaker>RO635</Speaker>||:是。
VP1915(0)<Speaker>帕罗莎</Speaker>||:明白。
()<Speaker>指挥官</Speaker>||:45？
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>不用担心我们的路线。</color>+<color=#00CCFF>我们会随机应变的，指挥官。</color>
UMP45Mod(0)<Speaker>指挥官</Speaker><通讯框>||:好，既然都没问题。+准备一下，行动开始。
RO635Mod(0)<Speaker>RO635</Speaker>||<黑屏1>:是！
