()||<BIN>9</BIN><BGM>BGM_Empty</BGM><黑屏1>0,10</黑屏1>:
TAC50(0)<Speaker></Speaker>||:TAC-50 can see her own face reflected on Maple Moon's camera lens. +It overlaps with the face she sees from the drone's visual input projected directly into her neural cloud. She finally lets her tense shoulders slump.
TAC50(0)<Speaker>TAC-50</Speaker>||:I can understand her feelings, but it makes me uneasy not being able to help... +I want to do more. Dolls are created to help humans, right? +What should I do when I don't need sleep and there's nothing to do? +Sigh... What do you think, Maple Moon?
TAC50(0)<Speaker></Speaker>||:Silence in the room. +TAC-50 relaxes her grasp and Maple Moon floats back into the air.
TAC50(0)<Speaker>TAC-50</Speaker>||<黑屏1>:...Now I'm asking my drone existential questions, unbelievable. Still...doesn't the Commander do the same with me? +Oh...maybe I should eat some snacks, like waffles with maple syrup. +I haven't ingested any maple syrup in seven hours – I need to get some soon or my neural cloud will go crazy. +Need to stop overthinking it, I should look forward to the event that S.A.T.8 meticulously puts together! +It's decided then – I'm just gonna focus on making my part perfect!
()<Speaker></Speaker>||<BIN>9</BIN><黑屏2><BGM>BGM_Empty</BGM>:... +It's been another seven hours. TAC-50 activates her visual module in a dark and unfamiliar space.
()<Speaker></Speaker>||<BIN>40</BIN><睁眼><BGM>BGM_NightOPS</BGM>:The infrared scan projects a holographic map in her neural cloud, but she remains puzzled as ever. +Right now...she finds herself lost in a different dimension because of an accident during the event.
TAC50(2)<Speaker>TAC-50</Speaker>||:Cities, forests, streets, oceans. Such illogical combinations can't exist in the real world, so this must be cyberspace. +I can't act rashly. Let me first try to recall what happened... +First, S.A.T.8 got scared by MDR's story. +Then there was a system notification saying that the signal synchronization was at 119.9% and there was a malfunction.
TAC50(2)<Speaker>???</Speaker>||:...After that, we ended up here.
TAC50(2)<Speaker>TAC-50</Speaker>||:We? Who are you?
TAC50(2)<Speaker>Maple Moon?</Speaker>||:Look up, TAC-50. I've always been watching over you from up here.
TAC50(2)<Speaker></Speaker>||:TAC-50 raises her head in confusion. Maple Moon is hovering steadily mid-air. +Without her command, the lens aims itself at her, and she sees the familiar overlapping images in her neural cloud.
TAC50(2)<Speaker>Maple Moon?</Speaker>||:Have you finally noticed me?
TAC50(2)<Speaker>TAC-50</Speaker>||<震屏>:Huh...? +Are you actually sentient, Maple Moon? +...So all this time, you've been listening to me?
TAC50(2)<Speaker>Maple Moon?</Speaker>||:Halloween is all about experiencing the supernatural, isn't it? +So just for today, while we're here.
TAC50(2)<Speaker>TAC-50</Speaker>||:...I kinda get it. +Then are you trying to tell me something?
TAC50(2)<Speaker>Maple Moon?</Speaker>||:Follow me, TAC-50. There's something you've got to know.
TAC50(2)<Speaker>TAC-50</Speaker>||:Hold on, I need to get in touch with my friends first! They're probably in here too.
TAC50(2)<Speaker>Maple Moon?</Speaker>||:So?
TAC50(2)<Speaker>TAC-50</Speaker>||:S.A.T.8 was terrified. It'd be dangerous if she's all alone. +We've got to find her ASAP.
TAC50(2)<Speaker>Maple Moon?</Speaker>||:And then?
TAC50(2)<Speaker>TAC-50</Speaker>||:What do you mean?
TAC50(2)<Speaker>Maple Moon?</Speaker>||<黑屏1>:So...you're going to protect the Doll who refused your help and rejected all your valuable and constructive suggestions?
枫月？()<Speaker>Maple Moon?</Speaker>||<BIN>9</BIN><黑屏2><黑屏1><BGM>BGM_Empty</BGM>:Don't you think...you really should just tear her apart?
TAC50(2)<Speaker>TAC-50</Speaker>||<BGM>BGM_Danger</BGM>:...
TAC50(2)<Speaker></Speaker>||<SE1>Select</SE1>:TAC-50 turns around abruptly and aims her weapon at the drone.
TAC50(2)<Speaker>TAC-50</Speaker>||:Who the hell are you? Get out of Maple Moon at once!
TAC50(2)<Speaker>Maple Moon?</Speaker>||:Can you really bear to do this? +I'm Maple Moon – a Maple Moon that only exists on a night like this. +All this time I've only been listening. There's something I really want to tell you, too...
TAC50(2)<Speaker>TAC-50</Speaker>||:Impossible. Maple Moon has always been with me. If you really are Maple Moon, you should know that!
TAC50(2)<Speaker>Maple Moon?</Speaker>||:No, YOU should know what the truth really is.
TAC50(2)<Speaker>TAC-50</Speaker>||:You're wrong! +S.A.T.8 did not reject my suggestions. She simply didn't wish to rely on anyone when organizing this event! +If you don't get out of Maple Moon this instant, I'll blast you both to pieces!
TAC50(2)<Speaker></Speaker>||<SE1>Heartbeat</SE1>:Her plan isn't actually feasible, and TAC-50's system keeps reporting an error. +Damaging Maple Moon doesn't guarantee the destruction of the consciousness that has hijacked the drone. Besides, TAC-50 isn't even sure if she can bring herself to harm Maple Moon, who has been with her ever since her creation. +But in the face of the unknown danger, she has no choice but to try to bluff her way out.
TAC50(2)<Speaker></Speaker>||:...
TAC50(2)<Speaker>TAC-50</Speaker>||:I don't care if you're a ghost or a monster. +Today is Halloween, I'm fully prepared to deal with the supernatural. +Want a taste of my anti-spirit ammo? +If you don't come out, I'm gonna pull the trigger!
TAC50(2)<Speaker>???</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:We surrender! We surrender! +We just wanted to prank you a bit...
TAC50(2)<Speaker></Speaker>||<BIN>40</BIN><黑屏2><闪屏><duration>25</duration></闪屏>:She has regained control over Maple Moon. +TAC-50 looks around, searching for the figure hiding in the dark. +She can't find any solid enemies, but she does notice a chilly and formless entity drifting next to her.
TAC50(2)<Speaker>???</Speaker>||<BGM>BGM_Truth</BGM>:Please let us live. +It was just a practical joke. +We surrender, we surrender. +Please let us live.
TAC50(2)<Speaker>TAC-50</Speaker>||:Please refrain from messing with my companion. I hate that. +I'm contacting my friend. May I ask you to stay put for now?
TAC50(2)<Speaker>???</Speaker>||:You can't, you won't reach anyone. +This is our domain.
TAC50(2)<Speaker>TAC-50</Speaker>||:Who are you, then?
TAC50(2)<Speaker>Ghosts</Speaker>||:We're ghosts. +Ghosts that appear only on a night like this. +May we walk in hymns and dance in the land of fantasy...
TAC50(2)<Speaker>TAC-50</Speaker>||:...That does sound like something Halloween-y. +Now what do you want with me?
TAC50(2)<Speaker>Ghosts</Speaker>||:You seem dejected. +If we scramble your neural cloud and take over your body... +We can leave this place...
TAC50(2)<Speaker>TAC-50</Speaker>||:I see. New enemies. +Maple Moon, mark them!
TAC50(2)<Speaker>Ghosts</Speaker>||:We told you, we told you! We surrender! +We have stopped jamming your signal...
TAC50(2)<Speaker>TAC-50</Speaker>||:... +Nope, I can't just let you go. +You're too dangerous. It'd be bad if S.A.T.8 also runs into something like this! +I must hurry over and help her out.
TAC50(2)<Speaker>Ghosts</Speaker>||:We'll go in peace. We'll go. +Please don't kill us. +We just want to live. Even just in here.
TAC50(2)<Speaker>TAC-50</Speaker>||:...Why would I believe you?
TAC50(2)<Speaker>Ghosts</Speaker>||:We just want to live. +Your friend is also strong. We will foster your connection right away. +Please don't kill us.
TAC50(2)<Speaker>TAC-50</Speaker>||:...Fine. Help me get in touch with my friends and the outside world. +Get us out of here safely and I'll leave you alone.
TAC50(2)<Speaker>Ghosts</Speaker>||:Thank you, thanks a lot. +Now we can live.
TAC50(2)<Speaker>TAC-50</Speaker>||:...Ghosts. +You were right, I really wasn't in a good mood. +But the outside world isn't as nice as you'd think. You can't just tear anyone to pieces. +Things aren't always so simple, and it's not just about what you like and dislike. You...won't enjoy living in a world like that.
TAC50(2)<Speaker>Ghosts</Speaker>||:Is that so? Is that so...
TAC50(2)<Speaker>TAC-50</Speaker>||:Just stay here...and live happily in a world without conflict or war. +You have no idea how jealous we are of you, or how happy I am to have come...
TAC50(2)<Speaker>Ghosts</Speaker>||<黑屏1>:Happy, happy... +Come and dance with us again next year.
()<Speaker></Speaker>||<BIN>9</BIN><黑屏2><黑屏1><BGM>BGM_Empty</BGM>:After contacting MDR, TAC-50 is transported back to reality. +In an illuminated electronic forest, the ghosts sing to her in farewell.
指挥官()<Speaker>Commander</Speaker>||<BIN>87</BIN><BGM>GF_Memorial</BGM>:So that's what happened. You've had it rough, TAC-50.
TAC50(2)<Speaker>TAC-50</Speaker>||:You look like you've had it even rougher than I did. What happened while I was gone?
TAC50(2)<Speaker>Commander</Speaker>||:Ahaha... Things that I'd prefer not to recall. +Strange things happen every Halloween, so don't worry about it. Just keep telling your story.
TAC50(2)<Speaker>TAC-50</Speaker>||:I still remember some of the lyrics they sang – they sang because they could live. +I'm just thinking – if you can only live an incorporeal existence in cyberspace, does that still count as living?
TAC50(2)<Speaker>Commander</Speaker>||:Hard to say. +According to our forebearers, humans die three deaths.
TAC50(2)<Speaker></Speaker>||:TAC-50's eyes widen in disbelief at the Commander's words.
TAC50(2)<Speaker>TAC-50</Speaker>||:I thought humans only live once? That's what my programming tells me.
TAC50(2)<Speaker>Commander</Speaker>||:You're right, we only live once.
TAC50(2)<Speaker>TAC-50</Speaker>||:You only live one life, but die three deaths...? That sounds tough.
TAC50(2)<Speaker>Commander</Speaker>||:Not entirely. +Our first death is when our physical body ceases to function. This is irreversible. As for whether we have a soul, I don't know – I've never died before – so I won't discuss it. +The second death is when the deceased has their accounts shut down and through different procedures, has their existence removed from society. +The third is the moment when the last person who remembers the deceased also passes away. By then, no one in the world will remember the deceased has ever lived. That's when this person truly dies, for good. 
TAC50(2)<Speaker>TAC-50</Speaker>||:So...those ghosts are still alive because someone remembers them?
TAC50(2)<Speaker>Commander</Speaker>||:Could be. +I remember hearing a legend – ghosts live on people's memories. +The same could also be said about Dolls. If you remember them, they'll live longer.
TAC50(2)<Speaker>TAC-50</Speaker>||:...Which means my existence isn't solitary. I keep a lot of people alive in my memory. +There is meaning to everything I do and try to do because I generate more memory in the process, which in turn facilitates the existence of more people and Dolls? +Having to think about such stuff is seriously pushing the capacity of my neural pathways.
TAC50(2)<Speaker>Commander</Speaker>||:Oh, you're giving this a lot of thought, but you don't have to force yourself too hard.
TAC50(2)<Speaker>TAC-50</Speaker>||:Won't it be a valuable experience if I can come to any sort of conclusion?
TAC50(2)<Speaker>Commander</Speaker>||:Haha, that's true.
TAC50(2)<Speaker>TAC-50</Speaker>||:Still, there's something I don't understand. +Everyone is doing their best to survive. Isn't it the same for humans and Dolls alike?
TAC50(2)<Speaker>Commander</Speaker>||:It is. You've got questions about this, TAC-50?
TAC50(2)<Speaker>TAC-50</Speaker>||:...However, is this the purpose of life – to just keep living and doing things? +If we all have to die some day, then how is any of this meaningful?
TAC50(2)<Speaker>Commander</Speaker>||:Hmm...we pass what we've done onto our successors? +At least this is what I think... Everything we do at Griffin will make this world a better place. +Our descendants will benefit from the fruits of our labor, or they might have to bear the consequences of our actions. +Whichever the case, we will be remembered, and what we've done will surely help someone down the line.
TAC50(2)<Speaker>TAC-50</Speaker>||:...See, you've thought this through much more thoroughly than I did. +It feels like I can do and think about so much more whenever I'm with you.
TAC50(2)<Speaker>Commander</Speaker>||:Now you're making me embarrassed. +At the end of the day, it is every creature's instinct to live. As for the purpose of living, I'm sure we'll be able to find it one day, so long as we keep living. +Before that, go out of your way to try new things.
TAC50(2)<Speaker>TAC-50</Speaker>||:I understand now.
TAC50(2)<Speaker>Commander</Speaker>||:So, how about trying something new? +For example, cheers.
TAC50(2)<Speaker>TAC-50</Speaker>||:Cheers?
TAC50(2)<Speaker>Commander</Speaker>||:Here, like this.
TAC50(2)<Speaker></Speaker>||:The Commander clings cups with TAC-50.
TAC50(2)<Speaker>Commander</Speaker>||<BGM>BGM_Empty</BGM>:In human customs, this is a gesture of blessing. +Then you have to drain your cup...like so...
TAC50(2)<Speaker>TAC-50</Speaker>||<BGM>BGM_Hello</BGM>:I see. Being "blessed" by the Commander – that's certainly a new experience, and quite a happy one too. +As happy as it makes me to watch you down a drink I prepared.
TAC50(2)<Speaker>Commander</Speaker>||:TAC-50... How...how much maple syrup did you put in this...? +It's suppose to be a cup of tea...!
TAC50(2)<Speaker>TAC-50</Speaker><Shake>||:Didn't it taste good? I thought it'd taste better with maple syrup... +What's wrong, Commander?! Why are you clutching your throat...?
TAC50(2)<Speaker>Commander</Speaker>||:I-I'm alright... Please give me some water – just plain water!
TAC50(2);SAT8(4)<Speaker>S.A.T.8</Speaker>||:Good evening— Whoa, are you okay, Commander? I don't have water, will pumpkin juice do?
TAC50(2)<Speaker>TAC-50</Speaker>;SAT8(4)||:Crap, the Commander seems to be in great pain... +Should we perform CPR?
TAC50(2);F1(2)<Speaker>F1</Speaker>||:Why don't I get a can of Coke from the fridge?
TAC50(2);F1(2)<Speaker>Commander</Speaker>||<黑屏1>:Just water... PLAIN WATER...
()<Speaker></Speaker>||<BIN>9</BIN><黑屏2><黑屏1><黑屏2>:With that, Halloween this year comes to an end in a scene of chaos. +...I'll have to keep an amulet on me next Halloween.
