()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
NPC-Kalin(2);Welrod(0)<Speaker>维尔德</Speaker>||:是的，我是要说这件事。我从M82A1那里接手了一个任务，时间也比较急。+看起来那边不需要心智升级也能搞定，我想稍微推后一点，任务回来再去。
NPC-Kalin(3)<Speaker>格琳娜</Speaker>;Welrod(0)||:原来那个任务是要转给你啊！我刚收到申请，还没来得及看人呢。+预计任务用时三天，加上周末将近……那就给你登记在七天后了哦。
NPC-Kalin(3);Welrod(0)<Speaker>维尔德</Speaker>||:好，那我先出发了！
NPC-Kalin(3)<Speaker></Speaker>||:得到答案的维尔德小跑着离开了，留下格琳娜在原地看着平板电脑上的任务信息思考。
NPC-Kalin(3)<Speaker>格琳娜</Speaker>||:人形天使教，好熟悉的名字。+谁和它有关来着？
NPC-Kalin(2)<Speaker>格琳娜</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:啊！难怪……
()||<黑屏2><BIN>84</BIN><BGM>BGM_Sunshine</BGM>:……+维尔德出发一天后，城市中心。
Welrod(0)<Speaker>维尔德</Speaker>||:到这里就可以了吗？
NPC-Arla(0)<Speaker>商人</Speaker>;Welrod(0)||:可以了，我把单子签好寄回给格里芬本部。
NPC-Arla(0);Welrod(0)<Speaker>维尔德</Speaker>||:介意我问一个问题吗，德尔塔先生？
NPC-Arla(0)<Speaker>德尔塔</Speaker>;Welrod(0)||:但说无妨。
NPC-Arla(0);Welrod(0)<Speaker>维尔德</Speaker>||:我听说你指名要精英人形来保护你，但这个任务怎么说都太简单了，真的有必要让我来吗？+还是说，你原本认为会遇到更大的危险？
NPC-Arla(0)<Speaker>德尔塔</Speaker>;Welrod(0)||:当然，人形天使教的势力可不是我这样的小商人能对抗的。+也只有你们这个量级的公司才能让人形天使教投鼠忌器了吧，呵呵……这就是我花大价钱委托你们的原因啊。
NPC-Arla(0);Welrod(0)<Speaker>维尔德</Speaker>||:人形天使教到底是什么？听起来好恶心。
NPC-Arla(0)<Speaker>德尔塔</Speaker>;Welrod(0)||:好歹我也是那个教派的前信徒，这么说也太伤人心了。
NPC-Arla(0);Welrod(0)<Speaker>维尔德</Speaker>||:抱歉。+但是就算你这么说，我们一路上根本没见到可疑的人啊。
NPC-Arla(0)<Speaker>德尔塔</Speaker>;Welrod(0)||:你在怀疑什么？格里芬可是闻名业界的安全承包商，不是我能随便得罪的。
NPC-Arla(0);Welrod(0)<Speaker>维尔德</Speaker>||:因为太反常了。
NPC-Arla(0)<Speaker>德尔塔</Speaker>;Welrod(0)||:即使我说了也没用，我已经不是信徒，接触到的东西一定都会被改变。+好吧，小姑娘，别那么看着我。+我们并不是坏人，我们所求的只是一个安心，和其他信仰没什么大不同。
NPC-Arla(0);Welrod(0)<Speaker>维尔德</Speaker>||<BGM>BGM_Empty</BGM>:所以你为什么不信了？
NPC-Arla(0)<Speaker>德尔塔</Speaker>;Welrod(0)||<BGM>m_avg_labyrinth</BGM>:因为我信仰的神不在了。
NPC-Arla(0);Welrod(0)<Speaker>维尔德</Speaker>||:信仰的神不在了？什么意思？
NPC-Arla(0)<Speaker>德尔塔</Speaker>;Welrod(0)||:那不是你需要的信息。+你只需要知道，遇到他们的时候快跑就够了。
NPC-Arla(0);Welrod(0)<Speaker>维尔德</Speaker>||:你不是说人形天使教并不是坏人吗？
NPC-Arla(0)<Speaker>德尔塔</Speaker>;Welrod(0)||:他们通常不会表达出身份，当他们亮明的时候，就是对抗的时候。+他们崇拜人形、也了解人形，当然也知道如何对抗人形。
NPC-Arla(0);Welrod(0)<Speaker>维尔德</Speaker>||:……最了解的最可怕？
NPC-Arla(0)<Speaker>德尔塔</Speaker>;Welrod(0)||:可以这么说。+回去吧，替我谢谢你的上司。
Welrod(0)<Speaker>维尔德</Speaker>||:……
Welrod(0)<Speaker></Speaker>||:维尔德向这位商人鞠躬后，目送他一路走进大楼。
Welrod(0)<Speaker>维尔德</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:<color=#A9A9A9>保护目标进入安全区，确认没有再向我方投注视线。</color>+<color=#A9A9A9>呼……这样的言辞可说服不了我。</color>+<color=#A9A9A9>这个教派怎么看都很奇怪，以防万一，必须得确认基本的情报才行。</color>+<color=#A9A9A9>先在附近转转看吧……</color>
()<Speaker></Speaker>||<BIN>166</BIN><黑屏2><BGM>BGM_Sneak</BGM>:打定了主意，维尔德开始在附近巡逻。
()<Speaker>路人A</Speaker>||<SE1>AVG_footsteps_cave</SE1>:你听说了吗，最近这片街区有幽灵徘徊啊……
()<Speaker>维尔德</Speaker>||:<color=#A9A9A9>怎么可能真的有鬼，都是人扮演的。</color>
()<Speaker>路人B</Speaker>||:是啊，还有水泥墙里面传来的哭声，该不会是施工时死去的工人在哭吧……
()<Speaker>维尔德</Speaker>||:<color=#A9A9A9>怎么可能，那只不过是风声被误解罢了。</color>
()<Speaker>路人C</Speaker>||:我们家的楼上最近有小孩在玩弹珠的声音，可是我们住顶楼……
()<Speaker>维尔德</Speaker>||:<color=#A9A9A9>那也只是多孔板和混凝土崩裂时发出的声音而已。</color>
()<Speaker>路人B</Speaker>||:我们街区真是多灾多难啊……要不要请人形天使教来检测呢？
()<Speaker>维尔德</Speaker>||:<color=#A9A9A9>……！</color>
()<Speaker>路人A</Speaker>||:你怎么还信那种东西啊？+人形只是一堆机械拼的东西，占卜本质随机数，全是骗钱的玩意儿。
()<Speaker>路人B</Speaker>||:你刚才说幽灵的时候可不是这个态度！+人形天使教可不讲那些虚的，都是科学说话。+而且啊……你们不觉得诡异吗，这些事都发生在我们这个街区。
()<Speaker>路人C</Speaker>||:你是说……我们这儿可能有杀人藏尸案？
()<Speaker>路人B</Speaker>||:是啊，真诡异……请人先看看，不行我们就报警。
()<Speaker>/Speaker>||<黑点1>:人们聊着天往前走，维尔德悄悄地跟在后面，一路来到他们居住的街区。
()<Speaker>/Speaker>||<BIN>166</BIN><Night><黑点2>:是夜，万籁俱寂。+维尔德闭上眼睛，将听觉模块运转到最大效率，全神贯注地捕捉声音。
()<Speaker>闷闷的声音</Speaker>||<SE1>GF_Halloween_Femal_Cry_loop</SE1>:呜……呜……
Welrod(0)<Speaker>维尔德</Speaker>||<SE1>Stop_AVG_loop</SE1>:<color=#A9A9A9>果然有不对劲的地方。</color>+<color=#A9A9A9>就在附近……嗯？</color>
Welrod(0)<Speaker></Speaker>||:跟着声音，维尔德一路来到了街区边缘，还在建造中的工地上。+建了大半截的水泥墙边，一个缺少零件的人形正徘徊着，发出飘忽的哭声。
Welrod(0)<Speaker>维尔德</Speaker>||:你就是幽灵的真身？
NPC-PasserbyM(0)<Speaker>掉了一只眼睛的人形</Speaker>;Welrod(0)||:啊……嘎咔……
NPC-PasserbyM(0);Welrod(0)<Speaker>维尔德</Speaker>||:……语言系统也坏了吗。
NPC-PasserbyM(0);Welrod(0)<Speaker>闷闷的声音</Speaker><同时置暗>||<SE1>GF_Halloween_Femal_Cry_loop</SE1>:呜……呜呜……
NPC-PasserbyM(0);Welrod(0)<Speaker>维尔德</Speaker>||:……+不是你？
NPC-PasserbyM(0)<Speaker></Speaker>;Welrod(0)||<SE1>Stop_AVG_loop</SE1>:掉了一只眼睛的人形指向建造中的水泥墙。维尔德心中一动，抡起工地上的锤子，重重地砸向水泥墙。
Welrod(0)<Speaker></Speaker>||<SE1>AVG_Explosion</SE1>:墙面应声裂开，一个粉红色头发的人形从里面滚了出来。
Welrod(0)<Speaker>维尔德</Speaker>||<震屏1>:诶？
sub2000(5)<Speaker>？？？</Speaker>||<黑屏1>:呼啊！我还以为自己要死了……锁匠，你怎么在这儿？+你又是谁？
