()||<BGM>BGM_Hello</BGM><BIN>22</BIN>:...
G3(0);FairyTaunt(0)<Position>0,250</Position><Speaker>Taunt Fairy</Speaker>||:Come with us to see the Fairy Queen! +Being a victim of bullying, you must have lots of wishes!
G3(0)<Speaker>Gr G3</Speaker>;FairyTaunt(0)<Position>0,250</Position>||:I did NOT get bullied!
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>Warrior Fairy</Speaker>||:Bah! We can all tell!
G3(0)<Speaker>Gr G3</Speaker>;FairyWarrior(0)<Position>0,250</Position>||:... +Sigh... +Has this Fairy Queen...helped others before?
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>Warrior Fairy</Speaker>||:Sure she has. +Armor wished to have the text on her shield changed to something other than Russian. Rocket wanted a haircut.
G3(0);FairyTaunt(0)<Position>0,250</Position><Speaker>Taunt Fairy</Speaker>||:The Fairy Queen helped us all.
G3(0)<Speaker>Gr G3</Speaker>;FairyTaunt(0)<Position>0,250</Position>||:Hmm... +Then has any T-Doll like me ever sought this Fairy Queen?
G3(0);FairyTaunt(0)<Position>0,250</Position><Speaker>Taunt Fairy</Speaker>||:I'm not too sure about T-Dolls... +But the Commander has.
G3(0)<Speaker>Gr G3</Speaker>;FairyTaunt(0)<Position>0,250</Position>||:The Commander?
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>Warrior Fairy</Speaker>||:Everyone said it was the Commander's greatest wish to find the Fairy Queen. +Though no Fairy knows what came of it in the end.
G3(0)<Speaker>Gr G3</Speaker>;FairyWarrior(0)<Position>0,250</Position>||:What kind of wish...would drive the Commander to seek the Fairy Queen?
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>Warrior Fairy</Speaker>||:Could be anything.
G3(0);FairyTaunt(0)<Position>0,250</Position><Speaker>Taunt Fairy</Speaker>||:Cooler A/C! More games! More chicken drumsticks in your meal!
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>Warrior Fairy</Speaker>||:You, too, can wish for anything once you meet the Fairy Queen, Miss Gr G3!
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>Warrior Fairy</Speaker>||:But I...don't know what I want...
G3(0);FairyTaunt(0)<Position>0,250</Position><Speaker>Taunt Fairy</Speaker>||:Think about things that bother you and just settle them. It's not that hard.
G3(0)<Speaker>Gr G3</Speaker>||:Hmm...I see... +Then where do I...we find the Fairy Queen? +Is she also in the Fairy Chamber like you?
FairyTaunt(0)<Position>0,250</Position><Speaker>Taunt Fairy</Speaker>||:A castle made of plastic is no place for a Fairy Queen to live. +She has her own throne where she awaits those who seek her.
G3(0)<Speaker>Gr G3</Speaker>||:I thought...seeing the Fairy Queen wouldn't be that easy?
FairyWarrior(0)<Position>0,250</Position><Speaker>Warrior Fairy</Speaker>||<黑屏1>:We're Fairies! +Just follow us and you'll see her soon enough!
FairyWarrior(0)<Position>0,250</Position><Speaker>Warrior Fairy</Speaker>||<BIN>89</BIN><黑屏2>:Gone...
G3(0)<Speaker>Gr G3</Speaker>||:Hmm? Is something wrong with this empty shelf?
FairyWarrior(0)<Position>0,250</Position><Speaker>Warrior Fairy</Speaker>||<黑屏1>:The Queen isn't on her throne... She's gone!
