()||<BIN>88</BIN><BGM>BGM_Sad</BGM>:……某廢棄倉庫中。
BrenMK(0);L85A1(0)<Speaker>L85A1</Speaker>||:無論你來還是不來……決定了的話，一定要告訴我哦。
BrenMK(0)<Speaker>布倫</Speaker>;L85A1(0)||:我會的。
L85A1(0)<Speaker>L85A1</Speaker>||<黑点1>:那麼，回頭見！
()||<黑点2>:L85A1離開了。
Welrod(0)<Speaker>維爾德</Speaker>||:布倫，你要和我說什麼？
BrenMK(0)<Speaker>布倫</Speaker>;Welrod(0)||:維爾德……你為什麼會這麼強？
BrenMK(0);Welrod(0)<Speaker>維爾德</Speaker>||:為什麼問這個？
BrenMK(0)<Speaker>布倫</Speaker>;Welrod(0)||:我一直以來都想變強。+但是無論我怎麼努力……我都沒辦法做到像你……精英人形們那樣。+無論是在戰鬥中還是在平時，你一直都那麼優秀。+告訴我，維爾德，為什麼你會那麼強？
BrenMK(0);Welrod(0)<Speaker>維爾德</Speaker>||:因為我是精英人形。
BrenMK(0)<Speaker>布倫</Speaker>;Welrod(0)||:我不要這種答案！+明明你這個傢伙也有著奇怪雲圖，做人陰沉做事古板，又老愛講些做作的大道理！+但是，你就算縱容著那些不知進取的傢伙，依然能將任務完成得足夠好。+即使總是說著奇怪的話，大家卻還是喜歡你……
BrenMK(0);Welrod(0)<Speaker>維爾德</Speaker>||:布倫……
BrenMK(0)<Speaker>布倫</Speaker>;Welrod(0)||:為了變強，我放棄了多少東西，卻依舊比不上精英人形……+可惡，你這種傢伙……簡直就是作弊啊……
BrenMK(0);Welrod(0)<Speaker>維爾德</Speaker>||:只是為了變強而變強，那你的程度就僅限於此了，布倫。
BrenMK(0)<Speaker>布倫</Speaker>;Welrod(0)||:為什麼？
BrenMK(0);Welrod(0)<Speaker>維爾德</Speaker>||:告訴你我強大的真正原因吧——+因為我一直維護著正義。
BrenMK(0)<Speaker>布倫</Speaker>;Welrod(0)||:因為要維護“正義”，所以才會變強嗎？
BrenMK(0);Welrod(0)<Speaker>維爾德</Speaker>||:不是的。
BrenMK(0)<Speaker>布倫</Speaker>;Welrod(0)||:那是因為什麼？
BrenMK(0);Welrod(0)<Speaker>維爾德</Speaker>||:正義必須是強大的。+正因為強大，所以才是正義。+所以維護正義的我，也必須是強大的。
BrenMK(0)<Speaker>布倫</Speaker>;Welrod(0)||:……什麼跟什麼啊。+根本就……聽不明白。
BrenMK(0);Welrod(0)<Speaker>維爾德</Speaker>||:你一直想要變強，但你真的明白什麼是強大嗎，布倫？
BrenMK(0)<Speaker>布倫</Speaker>;Welrod(0)||:那麼，維爾德……+在你眼中，什麼才是強大？
BrenMK(0);Welrod(0)<Speaker>維爾德</Speaker>||:強大不是數據比誰優秀，強大也不是將他人踩在腳下。
Welrod(0)<Speaker>維爾德</Speaker>||:被深埋進荒蕪大地的理想之種，在信念與努力的澆灌下，終將讓自己的枝葉觸及天空。+明白自己嚮往什麼，繼而立於這片大地之上，筆直地邁向那個目標。+這顆堅定而永不放棄的心，人們稱之為“強大”。
BrenMK(0)<Speaker>布倫</Speaker>||:……維爾德，你又在說這種奇怪的話了。
BrenMK(0);Welrod(0)<Speaker>維爾德</Speaker>||:無論何時都能貫徹正義——這就是我變強的理由。+布倫，你的理由是什麼？
BrenMK(0)<Speaker>布倫</Speaker>;Welrod(0)||:我……
BrenMK(0);Welrod(0)<Speaker>維爾德</Speaker>||:找到那個理由吧，布倫。+那樣你就能真正變得強大。
BrenMK(0)<Speaker>布倫</Speaker>;Welrod(0)||:說的輕鬆，維爾德……+這種東西哪有那麼容易就找到啊。
BrenMK(0);Welrod(0)<Speaker>維爾德</Speaker>||:我相信你會找到的。+找到你想做的事，找到你想“扮演”的那個角色。
BrenMK(0)<Speaker>布倫</Speaker>;Welrod(0)||:可是……我已經到達極限了，維爾德。也許我無法變得更加強大了。
BrenMK(0);Welrod(0)<Speaker>維爾德</Speaker>||:我不這麼認為，布倫。+你會變得更強……你有那個資格。+只是，缺乏一個契機而已。
BrenMK(0)<Speaker>布倫</Speaker>;Welrod(0)||:……契機？
BrenMK(0);Welrod(0)<Speaker>維爾德</Speaker>||:我想到了一個方法，你想聽聽嗎？
BrenMK(0)<Speaker>布倫</Speaker>;Welrod(0)||:什麼方法？
BrenMK(0);Welrod(0)<Speaker>維爾德</Speaker>||<黑屏1>:那就是——
