()||<BIN>82</BIN><BGM>GF_Memorial</BGM>:格里芬人形宿舍內。
L85A1(0)<Speaker>L85A1</Speaker>;IDW(0)||:布倫，總覺得你回來之後風格和維爾德越來越像了……+不會是被她攜帶的病毒什麼的傳染了吧？！
L85A1(0);Welrod(0)<Speaker>維爾德</Speaker>||:說什麼呢，我可沒有電子戰模塊。
L85A1(0)<Speaker>L85A1</Speaker><Shake>1</Shake>;Welrod(0)||:嗚、嗚啊！+維爾德……下次出現之前打個招呼，可以嗎？+嚇死我了……
Welrod(0)<Speaker>維爾德</Speaker>||:是你的警惕性太低了。+L85A1，連這點地板的震動都感受不到，會容易被敵人偷襲的。
BrenMKMod(0)<Position>0,230</Position><Speaker>布倫</Speaker>||:……噗。
IDW(0)<Speaker>IDW</Speaker>||:咦，布倫……好像在笑？！+隊長！L85A1！！快看快看，布倫笑了！！！
BrenMKMod(0)<Position>0,230</Position><Speaker>布倫</Speaker>||:蠢貓，大驚小怪什麼。+我只是突然覺得……你們吵吵嚷嚷的樣子很有趣。
Welrod(0)<Speaker>維爾德</Speaker>||:你是在嘲笑我們嗎，布倫？+現在可是在認認真真地討論計劃！
IDW(0)<Speaker>IDW</Speaker>||:就是就是！布倫也要認真些啊！
L85A1(0)<Speaker>L85A1</Speaker>||:唉……又變成這樣了。+什麼時候才能討論出個結果呢……
BrenMKMod(0)<Position>0,230</Position><Speaker>布倫</Speaker>||:好了，你們都別吵。+總之今天一定要拿出個方案，不要讓指揮官和其他人形失望。
BrenMKMod(0)<Position>0,230</Position><Speaker>布倫</Speaker>||<黑屏1>:另外，我還有一件事想告訴你們。
()||<BIN>9</BIN><黑屏1>:……+我依舊想要變強。+我還在尋找著維爾德之前提到過的，變強的理由。+而現在，我想我也許發現了姑且可以充當理由的事物——
布倫()<Speaker>布倫</Speaker>||<黑屏1>:抱歉，之前讓你們擔心了。+布倫，今天正式回歸。+今後也請將最艱巨的任務交給我。+我會用實際行動來證明我的強大！
