()||<BGM>BGM_Hello</BGM><BIN>22</BIN>:……
G3(0)<Speaker>Gr G3</Speaker>||:……妖精の女王様？
FairyTaunt(0)<Position>0,250</Position><Speaker>挑発妖精</Speaker>||:何人か存在を知ってる人はいるみたいだけど、//n限られた人しか会えない特別な存在だよ。+妖精の女王様なら、G3さんの力になれると思う。
G3(0)<Speaker>Gr G3</Speaker>||:その女王様も……私たちの妖精なんでしょうか？+いえ、それよりもどうして私なんかを妖精の女王に？
FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:女王様には不思議な力があってな。+会った人の願いを叶えてくれるんだ。
G3(0)<Speaker>Gr G3</Speaker>||:なんだか……信じ難いことに思えますが……
G3(0);FairyTaunt(0)<Position>0,250</Position><Speaker>挑発妖精</Speaker>||:一緒に女王様に会いに行こうよ！+みんなにいじめられてるんなら、//n願い事はたくさんあるはずでしょ！
G3(0)<Speaker>Gr G3</Speaker>;FairyTaunt(0)<Position>0,250</Position>||:だから、いじめられてませんってば！
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:またまた～、あたしたちにはお見通しなんだぞ！
G3(0)<Speaker>Gr G3</Speaker>;FairyWarrior(0)<Position>0,250</Position>||:……+はあ……+妖精の女王様って……前に誰かを助けたことがあるんですか？
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:もちろん。+装甲妖精は盾の文字をロシア語以外のものに変えてもらってたし、//n火箭妖精にいたっては髪を短くしてもらおうとしてたな。
G3(0);FairyTaunt(0)<Position>0,250</Position><Speaker>挑発妖精</Speaker>||:女王様はみんなに手を貸してくれるんだよ。
G3(0)<Speaker>Gr G3</Speaker>;FairyTaunt(0)<Position>0,250</Position>||:そうなんですね……+では、私以外に女王様と会った人形はいるんですか？
G3(0);FairyTaunt(0)<Position>0,250</Position><Speaker>挑発妖精</Speaker>||:どうだったかなあ……+指揮官なら会おうとしたことがあったけど。
G3(0)<Speaker>Gr G3</Speaker>;FairyTaunt(0)<Position>0,250</Position>||:指揮官がですか？
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:女王様と会う事が、指揮官のおっきな夢の一つらしいって、//nみんな言ってたんだ。+結局会えたかどうかは知らないけど。
G3(0)<Speaker>Gr G3</Speaker>;FairyWarrior(0)<Position>0,250</Position>||:指揮官は……なにをお願いしようとしたのでしょう？
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:なんにせよ、女王様に叶えられないものはないよ。
G3(0);FairyTaunt(0)<Position>0,250</Position><Speaker>挑発妖精</Speaker>||:冷房を強くしてほしい！もっと遊びたい！//nご飯は鶏もも肉を付けてほしい！
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:女王様に会えば、G3さんのお願いもなんだって叶うはずだ！
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>Gr G3</Speaker>||:でも私……何が欲しいかなんて自分でも……
G3(0);FairyTaunt(0)<Position>0,250</Position><Speaker>挑発妖精</Speaker>||:嬉しくなかった出来事を思い出してみて、//nもしあったらそれを解決してもらえばいいんじゃない？
G3(0)<Speaker>Gr G3</Speaker>||:うぅ……わかりました……。+ですが……女王様はどこにいるのでしょう？+他の妖精たちと同じように格納庫の中にいるのですか？
FairyTaunt(0)<Position>0,250</Position><Speaker>挑発妖精</Speaker>||:女王様は、プラスチックで出来たお城には住めないよ。+ちゃんと専用の玉座があって、//n女王様に会いたいって人をそこで待ってるの。
G3(0)<Speaker>Gr G3</Speaker>||:女王様に会いに行くのって……ひょっとして、とても大変なのでしょうか？
FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||<黑屏1>:妖精のあたしたちが付いてるんだ！+会えるに決まってるさ！
FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||<BIN>89</BIN><黑屏2>:あれ、いない……
G3(0)<Speaker>Gr G3</Speaker>||:どうしたのですか？
FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||<黑屏1>:玉座にいるはずの女王様が……いなくなっちゃったんだ！
