()<Speaker>MP7</Speaker>||<黑屏2><BIN>9</BIN><BGM>BGM_Empty</BGM>:臭·老·鼠——！+给我站住！
PDW(2)<Speaker>蜜獾</Speaker>||:指挥官不是非常信任我们吗？+那就来比比看吧，是指挥官的信任是正确的，还是我与她的纠葛能占上风。+如果指挥官赢了的话……
()<Speaker>指挥官</Speaker>||:赢了的话？
PDW(2)<Speaker>蜜獾</Speaker>||:保密。
()<Speaker>指挥官</Speaker>||:……这不是等于什么都没说吗？+不过，如果这样能让你心服口服的话，我可以接受。+但是，蜜獾你也要答应我一件事。
PDW(2)<Speaker>蜜獾</Speaker>||:什么事呢？
()<Speaker>指挥官</Speaker>||:你也要认真去考虑和准备给MP7的礼物才行。+说到底这件事是贝特的不对吧？+之后如果能好好的道歉就好了。
PDW(2)<Speaker>蜜獾</Speaker>||:我稍微考虑一下吧，不会让指挥官难做的。+但如果那家伙要让我难堪的话，我可是也不会善罢甘休的。
()||:蜜獾也背身而去。
()<Speaker>指挥官</Speaker>||:……希望能有好的结果吧。
()<Speaker>指挥官</Speaker>||:<color=#A9A9A9>虽然已经能理解这两人的关系究竟是有多糟了，但如果能有好的契机，大概总会有办法的。</color>+<color=#A9A9A9>只要MP7和蜜獾都能接受这个提议，就是一个好的开始。</color>+<color=#A9A9A9>剩下的事，就只有等到晚上才知道结果了。</color>
()<Speaker>指挥官</Speaker>||:……+咦？AA12？你还在啊？
AA12(0)<Speaker>AA12</Speaker>||<黑点1>:……+……所以说，我早就可以回去了吧？
()||<黑点2><Night><BGM>BGM_Empty</BGM>:晚上。
()<Speaker>蜜獾</Speaker>||<BGM>BGM_Moon</BGM>:指挥官。
()<Speaker>指挥官</Speaker>||:进来吧。
PDW(2)<Speaker>蜜獾</Speaker>||:……+……看来是我先到了呢，能不能算我胜出了呢？
()<Speaker>指挥官</Speaker>||:……比试的内容不是这个吧。+而且重点也不在分胜负上，多少理解一下我的苦心吧。
PDW(2)<Speaker>蜜獾</Speaker>||:对那家伙来说，胜负就是全部的重点吧。
()<Speaker>指挥官</Speaker>||:我看你的胜负心也丝毫不弱嘛……所以你准备了什么？
PDW(2)<Speaker>蜜獾</Speaker>||:请允许我暂时保密。+而且也不一定会有拿出来的机会。+如果对方没有遵守规则的意思的话，我也不介意用简单的方式解决问题。
()<Speaker>指挥官</Speaker>||:别公然发表斗殴宣言啊……不过我倒是放心了，听你这样说，你是有好好准备礼物的吧？
PDW(2)<Speaker>蜜獾</Speaker>||:那当然了。+我又不像某些人那样，不仅小孩子气还幼稚得不行。
PDW(2);MP7(0)<Speaker>MP7</Speaker>||:——你说谁不仅小孩子气还幼稚得不行啊臭老鼠？
PDW(2)<Speaker>蜜獾</Speaker>;MP7(0)||:啊，出现了。
()<Speaker>指挥官</Speaker>||:<color=#A9A9A9>那两个形容不是一个意思吗？</color>
MP7(0)<Speaker>MP7</Speaker>||:可恶……只知道在别人背后说人坏话。+所以才说我讨厌你啊。
()||:MP7看起来余怒未消，但并没有继续纠缠下去。+她拿着一个并不算大的礼物盒子，包装得有些粗糙，但相当漂亮。+蜜獾看起来也注意到了，脸上露出吃惊的表情。
()<Speaker>指挥官</Speaker>||:咳……+MP7……你有好好准备能让蜜獾心服口服的礼物吗？
MP7(0)<Speaker>MP7</Speaker>||:哼，你以为你在跟谁说话啊。+不管是什么任务，我当然都会完成得很漂亮吧，笨蛋饲养员。
()||:蜜獾有些动摇。
PDW(2)<Speaker>蜜獾</Speaker>||:……什么嘛，该不会是先说的好听，然后再用恶作剧礼物让我吓一跳吧？
()<Speaker>指挥官</Speaker>||:<color=#A9A9A9>还在逞强啊……</color>
MP7(0)<Speaker>MP7</Speaker>||:恶作剧礼物倒是很适合小偷老鼠，但是我更不喜欢输掉比赛。+而且……饲养员也说过了吧，今天是圣诞节。+我可不想做什么太坏气氛的事情。
()||:MP7将手里的礼物盒递给了蜜獾。
PDW(2)<Speaker>蜜獾</Speaker>||:……+……里面是打开就会爆炸的东西吗？
MP7(0)<Speaker>MP7</Speaker>||:当然不是！你把我当成什么了啊！
()<Speaker>指挥官</Speaker>||:这是什么？
MP7(0)<Speaker>MP7</Speaker>||:是发饰，还有丝带。+臭老鼠从早上开始就穿着奇怪的衣服吧。+就想着反正是圣诞节，不如送点贴切的东西。+这个可是我亲手做的，好好感激涕零吧！
()<Speaker>指挥官</Speaker>||:……啊，的确很合适呢。+那么……蜜獾的礼物呢？
PDW(2)<Speaker>蜜獾</Speaker>||:……+……给。
()||:短暂的沉默之后，蜜獾也从贝特的身上取下了一个精致的盒子。
MP7(0)<Speaker>MP7</Speaker>||:哼，反正不管是什么也……这是什么啊？
PDW(2)<Speaker>蜜獾</Speaker>;MP7(0)||:是棒棒糖。
PDW(2);MP7(0)<Speaker>MP7</Speaker>||:欸？
PDW(2)<Speaker>蜜獾</Speaker>;MP7(0)||:是特制的圣诞棒棒糖。+早上贝特偷吃了你的糖吧？+算是跟你道歉，不要再责怪贝特了。
MP7(0)<Speaker>MP7</Speaker>||:跟我道歉……你？
()||:MP7呆愣在了原地。+蜜獾也很不自在，场面变得有些尴尬。
()<Speaker>指挥官</Speaker>||:现在想法有改变了吗？
PDW(2)<Speaker>蜜獾</Speaker>||:……是我错估了。+指挥官说的的确没有错。
()<Speaker>指挥官</Speaker>||:只要愿意沟通，即便是你们也一定可以心意相通的。+我也很高兴，你有好好听我的话去准备给MP7的礼物。+下了些功夫呢。
PDW(2)<Speaker>蜜獾</Speaker>||:毕竟是指挥官先对我们的事情这样上心，即使是我也感到非常感激。+我也的确是动了些脑筋……虽然我不觉得可以就这样变成好朋友。+但也许就像指挥官说的那样，什么事都要有第一步吧。
()||:蜜獾又拿出了一个盒子。
PDW(2)<Speaker>蜜獾</Speaker>||:跟指挥官的打赌是我输了，这是给指挥官的礼物。
()<Speaker>指挥官</Speaker>||:给我的？
PDW(2)<Speaker>蜜獾</Speaker>||:嗯。+要趁现在气氛还好的时候送出去才行。+圣诞快乐，指挥官。
()<Speaker>指挥官</Speaker>||:谢谢，你有心了。+……+……等等？+……趁现在气氛还好？这是什么意思？
MP7(0)<Speaker>MP7</Speaker>||<BGM>BGM_Empty</BGM>:——嘎。
()<Speaker>指挥官</Speaker>||:……MP7？你怎么……那个棒棒糖？
MP7(0)<Speaker>MP7</Speaker><Shake>||<BGM>m_avg_casual</BGM><震屏3>:咿咿咿咿咿咿咿——在跳！在跳！什么东西在我的嘴巴里跳！+饲养员！有虫子！有虫子在我的嘴巴里跳来跳去！
()<Speaker>指挥官</Speaker>||:冷静一下！那个应该不是虫子，是跳跳糖吧……蜜獾！
PDW(2)<Speaker>蜜獾</Speaker>||:那么我先告辞了，指挥官。+贝特！我们走！
()<Speaker>指挥官</Speaker>||:别跑啊！
MP7(0)<Speaker>MP7</Speaker><Shake>||<震屏3>:咿呀——！跳得好激烈——不要咬我的嘴巴！
()<Speaker>指挥官</Speaker>||:冷静啊！
()||<黑屏1>:现场一下子陷入了混乱。+……看来想让这两人的关系变好，还需要很长一段时间。
