()<Speaker></Speaker>||<BIN>82</BIN><BGM>BGM_Empty</BGM>:
CZ52(0);Type88(0)<Speaker>88式</Speaker>||:その……それでしたら既に別の人が……+あなたを訪ねに来たのは他でもない、拝年の部隊に誘うためなんです……
CZ52(0)<Speaker>CZ52</Speaker>;Type88(0)||:「拝年」？ってなんですか？
CZ52(0);Type88(0)<Speaker>88式</Speaker>||:新年を祝う東方の古い習わしの一種です……
()||:88式はCZ52へ拝年についての説明を行った。
CZ52(0)<Speaker>CZ52</Speaker>||:つまり……皆さんの所へそれぞれ訪問して新年のあいさつの言葉を送る、//nという解釈でいいですか？
CZ52(0);Type88(0)<Speaker>88式</Speaker>||:とりあえず、そんな感じです。+それで、どうでしょうか？
CZ52(0)<Speaker>CZ52</Speaker>;Type88(0)||:いいですよ。
CZ52(0);Type88(0)<Speaker>88式</Speaker>||:……よかった。てっきり断られるかと。
CZ52(0)<Speaker>CZ52</Speaker>;Type88(0)||:どうしてですか？
Type88(0)<Speaker>88式</Speaker>||<黑点1>:非常に古いしきたりですし、なにより……+うーん……少し説明が難しいですね。来た時に分かると思います。
()||<黑点2>:……+他の細々とした情報の説明を終えた、88式が去る。+CZ52は机に戻り、ボロボロの小冊子の読書に戻った。
CZ52(0)<Speaker>CZ52</Speaker>||:「私は小鳥に、春が訪れたかを聞いた――」+「これらすべては、私にとって夢のようにぼんやりしている。」+東方の祝祭日、きっと面白いに違いありません。+今、旅行に行くのが難しい以上、より多くの独特な文化に触れておくに越したことはありません。
CZ52(0)<Speaker></Speaker>||:CZ52は小冊子を閉じると、大きくうなずいた。
CZ52(0)<Speaker>CZ52</Speaker>||<黑屏1>:滅多に経験することのないイベントです、しっかりと準備しなくては。
()||<BGM>BGM_Empty</BGM><黑屏2>:……数日後。
()||<BGM>GF_Memorial</BGM>:新しい衣装を纏ったCZ52が、鏡の前で自分の姿を吟味している。
CZ52(2)<Speaker>CZ52</Speaker>||<黑点1>:東方では年越しに新しい衣服を身に纏うという話でしたね。+ひとまず東方風のスタイルに合わせたはいいものの、//n他の方とご一緒した時に浮いてしまったらどうしましょう……+とにかく、まずは約束通り皆さんと合流しましょう。
()||<黑点2><BIN>18</BIN>:宿舎を離れたCZ52は、88式と他の拝年参加者たちを見つけた。
CZ52(2)<Speaker>CZ52</Speaker>||:いっぱいいますね……
Type88(2)<Speaker>88式</Speaker>||:CZ52、来ましたか。
CZ52(2)<Speaker>CZ52</Speaker>||:「拝年」というのは、こんなにたくさんの人が必要なんですか？
Type88(2)<Speaker>88式</Speaker>||:これでも、まだ到着してない人が何人かいるんです……
M99(4)<Speaker>M99</Speaker>||:88式、時間がありません。+来られていない人形たちへはわたしが連絡しておきました。//nきっと何か事情があってのことなので、後ほど落ち合いましょう。
Type88(2)<Speaker>88式</Speaker>||<黑点1>:わかりました、では皆さん出発しましょう……
()||<黑点1><BIN>9</BIN>:人形の群れが、宿舎エリアへと入っていった。+やがて……
()||<黑点2><BIN>82</BIN><BGM>BGM_Empty</BGM>:……グリフィン人形宿舎内にて。
56-1type(4)<Speaker>56-1式</Speaker>||<BGM>BGM_Hello</BGM>:みんなー、明けましておめでとう！拝年に来たよーー！！+今年もよろしくーー！！！
59type(2)<Speaker>59type</Speaker>||:明けましておめでとう！ほらほら、飴ちゃんだよ飴ちゃん！
ART556(2)<Speaker>ART556</Speaker>||:おやつはないの？食べるものがあるって言ってたよね！+あ、そうだ。あけおめーー！
CZ52(2)<Speaker>CZ52</Speaker>||:皆さん、どうして大声で……？
M99(4)<Speaker>M99</Speaker>||:年越しは盛り上がってこそですからね――//nあれ、まだ入ってない人がいますね？+外の人が入れるよう、どいてあげてくださーい！
CZ52(2)<Speaker>CZ52</Speaker>||:……
59type(2)<Speaker>59type</Speaker>||:年が明けた時はあいさつしなきゃだよ、CZ52。ほら、みんなと一緒に言って！
CZ52(2)<Speaker>CZ52</Speaker>||:……明けましておめでとうございます。
Type88(2)<Speaker>88式</Speaker>||:その……CZ52さん、入り口で呆けてどうしたんですか？+皆さんを中のほうに詰めてきますね……
CZ52(2)<Speaker>CZ52</Speaker>||:大丈夫です、私はここで座ってますから……どうせ中に入っても座れませんし。
Type88(2)<Speaker>88式</Speaker>||<黑点1>:わかりました……
()||<黑点2><BIN>18</BIN>:……+………………+拝年イベントは未だ続いており、//n各々の宿舎には人がひっきりなしに出入りしていた。+宿舎をいくつか見回った後、CZ52が88式を引き留める。
CZ52(2)<Speaker>CZ52</Speaker>||:88式、私疲れました……
Type88(2)<Speaker>88式</Speaker>||:え？ですがイベントはまだ半分も……
CZ52(2)<Speaker>CZ52</Speaker>||:……先に戻って、休んできますね。
()||<BGM>BGM_Empty</BGM><黑屏1>:そう言うと、CZ52は踵を返した。
()||<黑屏2><BIN>82</BIN>:……グリフィン人形宿舎内にて。+CZ52は机のそばに座り、意気消沈していた。
CZ52(2)<Speaker>CZ52</Speaker>||<BGM>GF_Memorial</BGM>:東方に伝わる祝祭日の儀式がこんなのだったなんて。//nハロウィンを彷彿とさせる騒がしさ……+これが本当の東方なのですか？
CZ52(2)<Speaker></Speaker>||:CZ52は、他の東方出身の人形を脳裏に浮かべた。
CZ52(2)<Speaker>CZ52</Speaker>||:95さんたちのような淑やさと雅やかさこそが//n東方の真の美しさではなかったのですか？+実際、「拝年」部隊の中に姿はありませんでしたね。
CZ52(2)<Speaker></Speaker>||:まだ読み終えていなかった小冊子が、うなだれていたCZ52の目にとまった。
CZ52(2)<Speaker>CZ52</Speaker>||<黑点1>:「春と私に何の関係がある？私をひどく酔わせるばかりではないか！」+……+今日はもう外へ出るのはやめて、宿舎の中にいることにしましょう。
()||<黑点2>:……+しばらくしない内に、外の喧騒がCZ52の耳に届いてきた。+段々と近づいてくる喧騒に、CZ52は煩わしさを覚えた。
CZ52(2)<Speaker>CZ52</Speaker>||:ここにいても逃げることは出来ないんですね。かといって外に出ては見つかってしまいますし……+どうしたらいいのでしょう？
()||<BGM>BGM_Empty</BGM>:CZ52があれこれ悩んでいると、//n喧騒を連れた拝年部隊が彼女の宿舎の入口に止まった。
88式的声音()<Speaker>88式的声音</Speaker>||:CZ52さん、あいさつに来ました……
CZ52(2)<Speaker>CZ52</Speaker>||:…………
88式的声音()<Speaker>88式の声</Speaker>||:えっと……鍵がかかってますね……+……休むと言っていたのでここにいるはずなんですが。
M99的声音()<Speaker>M99の声</Speaker>||:先に別の宿舎へ行って、また後で来ます？
温柔的声音()<Speaker>優しそうな声</Speaker>||:きっとやむを得ない事情があるのかもしれません、もう少し待ちましょう。
CZ52(2)<Speaker>CZ52</Speaker>||:この声は……！
温柔的声音()<Speaker>優しそうな声</Speaker>||:CZ52、いますか？+95式です。みんなで新年のあいさつに来ましたよ。
CZ52(2)<Speaker>CZ52</Speaker>||:95さんが拝年部隊にいるのですか……どうして？
()||:CZ52はドアまで駆け寄ると、しばし躊躇った末ドアを開けた。
众人形()<Speaker>人形たち</Speaker>||<BGM>BGM_Hello</BGM><震屏>:明けましておめでとう（ございます）！！！
CZ52(2)<Speaker>CZ52</Speaker><Shake>||:ふ、ふぇっ！？そんなに押しかけ……
()||:祝いの言葉と共に、噴き出る潮水の如く//n人形たちがCZ52の宿舎へ入り、彼女を部屋の中央まで押し流した。
59type(2)<Speaker>59type</Speaker>||:調子が良くないって88から聞いたよ。大丈夫？+ほらほら、飴ちゃんだよ！もっと食べなよ！
CZ52(2)<Speaker>CZ52</Speaker>||:いえ、大丈夫ですから……
56-1type(4)<Speaker>56-1式</Speaker>||:みんな何やってるの！CZ52を座らせなよ！
()||:CZ52は人形たちに囲まれながら椅子に座ると、//n人形たちによる世間話が始まった。
CZ52(2)<Speaker>CZ52</Speaker>||<黑屏1>:<color=#A9A9A9>（どうしてこんなことに……）</color>+<color=#A9A9A9>（でも……さっきのような煩わしい感じはないです……）</color>
()||<黑屏2>:…………+拝年部隊が手際よく部屋を離れた。喧騒が遠のいていく中、//nCZ52は一人の人形が残っていることに気が付いた。
CZ52(2)<Speaker>CZ52</Speaker>||<BGM>BGM_Moon</BGM>:えっと……95式さん？皆さんとは一緒に行かなくていいのですか？
95type(4)<Speaker>95type</Speaker>||:もう少ししたら、みんなを探しに行きます。+CZ52は東方の文化が好きなんですか？
95type(4);CZ52(2)<Speaker>CZ52</Speaker>||:どうしてそれを？……88式さんに聞いたのですか？
95type(4)<Speaker>95type</Speaker>;CZ52(2)||:はい、彼女が話してくれました。ですが話を聞いていなかったとしても、//n部屋の装飾や雰囲気を見れば一目瞭然です。
95type(4);CZ52(2)<Speaker>CZ52</Speaker>||:そ、そうですよね……すっかり忘れてました……
()||:CZ52は壁に掛けてあった書画を見た後、//n手元にある器へ視線を向けると、申し訳なさそうに頭を下げた。
95type(4);CZ52(2)<Speaker>CZ52</Speaker>||:乱雑で……笑ってしまいますよね。
95type(4)<Speaker>95type</Speaker>;CZ52(2)||:そんなことありませんよ、CZ52。+東方の文化を好きでいてくれて、とっても嬉しいです。+さきほどはてっきり、私たちの春節が気に入らなかったのかと……
95type(4);CZ52(2)<Speaker>CZ52</Speaker>||:いえ、そんなことは。東方の祝祭日にはむしろ興味があります、//nですが……少しだけ意外でして。
95type(4)<Speaker>95type</Speaker>;CZ52(2)||:意外？
95type(4);CZ52(2)<Speaker>CZ52</Speaker>||:はい、「拝年」と呼ばれるイベントが、//n私の中で思い描いていたのとは少し違っていたんです。+東方の文化は、初めは静かで雅やかなものだと思っていました。//nまさに私が95さんに対して受けていた印象のような……
()||:CZ52は机の上の小冊子を95へ渡した。
95type(4);CZ52(2)<Speaker>CZ52</Speaker>||:これは、以前の任務で人間が住んでいた廃墟から拾ってきたものです。//n中には東方の詩のようなものが記されていました。+中で綴られる情景があまりに美しかったものですから……//n東方の祝祭日に興味が湧いたのです。+でも皆さんの祝祭日が嫌いというわけではないんです。//nただ、祝い方が……想像と違っていただけで……
95type(4)<Speaker>95type</Speaker>;CZ52(2)||:なるほど……
()||:95は胸をなでおろすと、//n微笑みながら読み終わった小冊子をCZ52へと返した。
95type(4)<Speaker>95type</Speaker>;CZ52(2)||:もしかして88式が何か無礼を働いてしまったのではないかと//n心配していました……//nこういう催しをするのは、彼女も初めてなものですから。+東方の文化といっても実際は多種多様です。//nその詩でうたわれていたように淑やかで雅やかなものもあれば、//n今日のように活発で賑やかなものもある。
95type(4);CZ52(2)<Speaker>CZ52</Speaker>||:そうなんですか？私の理解度が浅かったんですね。+自分の感じていたことが全てだと思い込んでた私の傲慢でした……
95type(4)<Speaker>95type</Speaker>;CZ52(2)||:あはは、大丈夫ですよ。+数日前88式に今回の事を任そうとした時、彼女凄く嫌がってたんです。+「もういや～」、「ダサい～」って。
95type(4);CZ52(2)<Speaker>CZ52</Speaker>||:えっ、88式さんもそんな風に思っていたんですか？
95type(4)<Speaker>95type</Speaker>;CZ52(2)||:普段気にも留めていなかったことを理解することは//n往々にして難しいことです。私たちにしろあなたたちにしろそこは一緒。+実際私も、グリフィンに来てからはたくさんの摩訶不思議な風習を//n目にしたものです……きっと誰もが通る道なのでしょう。+ですが私思うんです……見慣れていなかったとしても、それを避けるより、//n受け入れる心持ちで真意を理解したほうがいいのではないかと。
95type(4);CZ52(2)<Speaker>CZ52</Speaker>||:……+<color=#A9A9A9>（そうでした。たったほんの少し自分の思い描いていた「東方」と違っていたというだけで、何を怖気づいていたのでしょう私は。）</color>+<color=#A9A9A9>（そんなんじゃ、いつまでたっても東方の本当の文化を知ることはできません。）</color>+わかりました、95さん。+お話いただきありがとうございます。おかげでスッキリしました。
95type(4)<Speaker>95type</Speaker>;CZ52(2)||:どういたしまして。+もし私たちの文化を気に入ってくれたら、いつでもお話に乗りますからね。
95type(4);CZ52(2)<Speaker>CZ52</Speaker>||:本当ですか？それは願ってもないことです。+詩集にまだわからないことがあるので、よかったら解説をお願いできませんか？
95type(4)<Speaker>95type</Speaker>;CZ52(2)||:喜んで。ですが拝年はまだ終わっていません……//n皆さんのお祝いが済んだら、また話すことにしましょう。
95type(4);CZ52(2)<Speaker>CZ52</Speaker>||:わかりました。+……95さん、今から一緒に行っても間に合うでしょうか？
95type(4)<Speaker>95type</Speaker>||:もちろん。
CZ52(2)<Speaker>CZ52</Speaker>||:では……少々お待ちください。
()||<黑屏1>:CZ52は小冊子をそっと本棚へ入れると、95と共に宿舎を後にした。
CZ52()<Speaker>CZ52</Speaker>||<黑屏2><黑屏1><BIN>9</BIN>:東方における新年の一日目……私は東方の文化を学びました。+今年のお願い事は、東方へ行くことに決まりですね！
