enemy_illustration-10000027,アーキテクト
enemy_illustration-20000028,鉄血の新型近距離戦闘ユニット。目標に素早く接近し大ダメージを与える。しかし装甲は薄く非常に破壊されやすい。
enemy_illustration-30000028,高めの破甲値を持っており、ショットガンの人形にとって危険な存在となるため、注意が必要。サブマシンガンや、ハンドガンなどの回避型の人形を前列に配置するとよい。
enemy_illustration-10000012,ドラグーン
enemy_illustration-20000012,鉄血の上級戦闘ダミー。小型二足歩行兵器と連装機関銃を備え、火力、射程、機動性のいずれをとっても甘く見てはならない存在。鉄血の戦場において陣地攻撃の役割を果たしている。
enemy_illustration-30000012,能力はバランス型。部隊全体の作戦能力を上げて対応しよう。
enemy_illustration-10000058,ドラグーンSWAP
enemy_illustration-20000058,「ドラグーン」の強化バージョン。小型二足歩行兵器と連装機関銃が強化され、総合的に見て最も性能が向上した鉄血ユニットである。注意して相手せよ。
enemy_illustration-30000058,能力はバランス型。部隊全体の作戦能力を上げて対応しよう。
enemy_illustration-10000006,ダイナーゲート
enemy_illustration-20000006,鉄血の下級戦闘メカ。戦闘能力は低めだが量産に適しており、通常は警備や捜索任務を担う。荒々しい突撃にも用いられ、大群になった時の戦闘力は侮れない。
enemy_illustration-30000006,近接戦闘の攻撃力は極めて高いが、生存能力は低いため、範囲攻撃のスキルを持つ人形や、アサルトライフルの人形で素早く片付けるのが望ましい。
enemy_illustration-10000003,スカウト
enemy_illustration-20000003,鉄血の下級戦闘メカ。戦闘能力は低めだが、機動力とステルス性が高い。前線の偵察と情報収集によく用いられる。
enemy_illustration-30000003,回避が高いため、命中力が足りているか注意しよう。
enemy_illustration-10000002,プラウラー
enemy_illustration-20000002,鉄血の下級戦闘ユニット。火力と機動性は低めで、主な任務は味方戦線のパトロールと偵察。
enemy_illustration-30000002,能力はバランス型。部隊全体の作戦能力を上げて対応しよう。
enemy_illustration-10000055,プラウラーSWAP
enemy_illustration-20000055,「プラウラー」の強化バージョン。比較的弱かった火力と機動性が補われ、正面戦場の火力担当として戦闘に参加できる。
enemy_illustration-30000055,能力はバランス型。部隊全体の作戦能力を上げて対応しよう。
enemy_illustration-10000013,ジャガー
enemy_illustration-20000013,鉄血の標準作戦メカ。自走可能な高威力迫撃砲。機動性はやや劣るが、火力は現代の標準兵器に引けを取らない。
enemy_illustration-30000013,攻撃予告を行った位置に中程度の範囲ダメージを与える。人形を指揮し適宜回避が必要。
enemy_illustration-10000015,イージス
enemy_illustration-20000015,軍部がオーダーした標準軍用人形。出荷前に鉄血に奪われて敵となった。現用の電撃武器やシールド、厚い装甲を搭載しており、近距離戦において抜群の性能を誇る。
enemy_illustration-30000015,装甲を持つため、部隊の貫通性能に注意しよう。
enemy_illustration-10000060,イージスSWAP
enemy_illustration-20000060,鉄血に奪取された「イージス」型軍用人形の強化バージョン。軍用装甲とシールドが強化され、より高い近接戦闘能力を得た。
enemy_illustration-30000060,装甲を持ち、HPが高いため、後ろで守られている高火力の敵を優先して排除するとよい。
enemy_illustration-10000014,ニーマム
enemy_illustration-20000014,軍部がオーダーした標準軍用メカ。出荷前に鉄血の侵略を受けて敵となった。現用の軍用火力システムを搭載する。エネルギーを蓄えることで殺傷力を高めることができるが、射速と防御力はいずれも低い。
enemy_illustration-30000014,装甲を持ち、後列にいることが多い。射速は遅く、命中と火力は高め。前列の味方に大きなダメージを与えるため、優先して敵の後列を処理するユニットを投入しよう。
enemy_illustration-10000030,タランチュラ
enemy_illustration-20000030,鉄血の「ダイナーゲート」の装甲強化バージョン。生存能力が大幅に強化され、目標に群がって大ダメージを与える。
enemy_illustration-30000030,近接戦闘における攻撃力が極めて高いが、生存能力は低い。しかし装甲を持つため、味方の貫通が低いと処理に手間取る。範囲攻撃のスキルを持つ人形か、マシンガンの人形で素早く殲滅すべし。
enemy_illustration-10000016,マンティコア
enemy_illustration-20000016,軍部がオーダーした標準軍用メカ。出荷前に鉄血に奪われて敵となった。現用の軍用機関砲と装甲を搭載し、驚くべき遠距離火力と抜群の防御力を持つ。
enemy_illustration-30000016,そこそこ厚い装甲を持ち、火力も高いため、部隊の作戦能力を高め、素早く片付けるとよい。
enemy_illustration-10000031,ゴリアテ
enemy_illustration-20000031,鉄血の爆弾型戦闘ユニット。目標と接触すると自爆を行い、広範囲の大ダメージを与えるため、近づかれる前に倒すべし。
enemy_illustration-30000031,危険！部隊の火力が当該ユニットを殲滅するに足るかを慎重に見極めてください。
enemy_illustration-10000032,ゴリアテplus
enemy_illustration-20000032,「ゴリアテ」の強化バージョン。現在の戦術人形の火力では短時間内に破壊することは不可能。こいつとの戦闘を避けた方が一番賢明なのかもしれない。
enemy_illustration-30000032,非常に危険！回避推奨！
enemy_illustration-10000025,ジュピター
enemy_illustration-20000025,鉄血が軍の技術を盗み出して開発した大型砲台。移動することはできないが、戦術人形を圧倒する火力と射程を有している。包囲してエネルギーの供給を断つと主砲は停止し、防衛用の機銃でしか反撃できなくなる。
enemy_illustration-30000025,電源を断たない限り危険性が非常に高いため、周囲を占領しエネルギーの供給を断ってから倒すとよい。
enemy_illustration-10000040,イージス_GA
enemy_illustration-20000040,軍部がオーダーした標準軍用人形。現用の電撃武器やシールド、厚い装甲を搭載しており、近距離戦において抜群の性能を誇る。
enemy_illustration-30000040,装甲を持つため、部隊の貫通性能に注意しよう。
enemy_illustration-10000041,ケリュネティス
enemy_illustration-20000041,軍の標準作戦メカ。「ニーマム」をベースに強化と改造が行われている。軍用の遠距離射撃統制システムが搭載されており、より強固な装甲と高速連射能力を有している。
enemy_illustration-30000041,装甲を持ち、攻撃間隔は短め。火力が高めであるため、優先して処理するとよい。
enemy_illustration-10000037,キュクロープス_AR
enemy_illustration-20000037,軍の標準作戦人形。アサルトライフルとグレネードランチャーが搭載されている。装甲は他の型と比べて薄い。
enemy_illustration-30000037,能力はバランス型。部隊全体の作戦能力を上げて対応しよう。
enemy_illustration-10000038,キュクロープス_SG
enemy_illustration-20000038,軍の標準作戦人形。ショットガンとシールドが搭載されている。性能は他の型と比べて大差ない。
enemy_illustration-30000038,能力は平均的で装甲を持つ。部隊の作戦能力を引き上げて挑もう。
enemy_illustration-10000039,ヒドラ
enemy_illustration-20000039,軍部がオーダーした標準軍用メカ。「マンティコア」をベースに強化と改造が行われている。軍用の遠距離射撃統制システムと強固な装甲が搭載されており、主砲で目標を壊滅させる。
enemy_illustration-30000039,万全な状態でない場合は避けて通ろう。
enemy_illustration-10000042,ダクティル
enemy_illustration-20000042,軍の小型自律地雷設置ドローン。高速で目標に接近していき地雷を設置する。脆弱な本体が破壊されても、設置した地雷は戦場を混乱に陥れる。
enemy_illustration-30000042,少しの装甲を持ち、移動速度が速め。戦闘開始直後から地雷を設置し、味方の人形がそれに触れると大きなダメージを受ける。地雷を避けるか、早い段階で処理しよう。
enemy_illustration-10000043,テュポーン
enemy_illustration-20000043,軍部がオーダーした標準軍用戦車。強力なレールガンを搭載しており、一撃で複数の目標を貫通できる。弱点は主砲の俯角があまり取れないこと。速やかに接近すれば或いは撃破できるかもしれない。
enemy_illustration-30000043,装甲値が高く、チャージを行った後に貫通する強力な一撃を放つ。最大俯角に限りがあるため、速やかに接近することで攻撃を免れる。シールド系スキルで攻撃の一部を防げるが望ましくはない。
enemy_illustration-10000069,レッキセンター
enemy_illustration-20000069,「パスファインダー」を生産する軍の小型工場。自身の作戦能力は低く、機動性も低いが、大量の防衛部隊に守られていることが多い。
enemy_illustration-30000069,高い装甲値を持ち、生きてる限りパスファインダーを生み続ける。アサルトライフルの人形は相性がイマイチ。ライフルの人形で処理するとよい。
enemy_illustration-10000070,パスファインダー
enemy_illustration-20000070,「レッキセンター」が生産する球体のユニット。「レッキセンター」の機能によって役割が異なる。軽火力を搭載し脆いが、機動力が高く、量産に向いている。
enemy_illustration-30000070,一定の装甲を持ち、命中は高めで、火力は低い。部隊の作戦能力を引き上げて挑もう。
enemy_illustration-10000071,ケンタウロス
enemy_illustration-20000071,軍の標準作戦人形。爆発する特殊な弓矢を武器として搭載している。非常に長い射程と高い命中率を有しているエリートユニット。
enemy_illustration-30000071,攻撃予告を行った位置に爆発し燃え続ける弓矢を撃ち込む。人形を指揮し適宜回避が必要。
enemy_illustration-10000072,オルトロス
enemy_illustration-20000072,軍の標準作戦メカ。偏向障壁を有する近距離戦闘ユニット。敵の火力を受け止めつつ陣形を攪乱する役割を持つ。ただし攻撃手段に乏しく、基本的に壁にしかならない。
enemy_illustration-30000072,軽量の装甲を持ち、移動速度は速め。偏向障壁を展開し受けるダメージを最小化するため、射速が高いか、或いは多段攻撃を仕掛けるとよい。
enemy_illustration-10000073,ミノタウロス
enemy_illustration-20000073,軍部がオーダーした上級軍用メカ。強固な装甲とミサイルランチャーが搭載されている。様々な場面で活躍できる。
enemy_illustration-30000073,厚い装甲を持ち、移動速度は遅め。小型のミサイルを複数発放ち、広い範囲攻撃を行う。着弾予告に注意し、人形を指揮して適宜回避する必要がある。
enemy_illustration-10000074,アルゴノーツ-カライナ
enemy_illustration-20000074,軍部がオーダーした上級軍用列車砲の前段。
enemy_illustration-30000074,戦役マップ上で友軍に遠隔支援を行う。戦略面において大きな脅威と成りうるので、前中後段それぞれの支援範囲を確認したうえで、撃破の順番を慎重に考えよう。
enemy_illustration-10000075,アルゴノーツ-ヴィーラ
enemy_illustration-20000075,軍部がオーダーした上級軍用列車砲の中段。
enemy_illustration-30000075,戦役マップ上で友軍に遠隔支援を行う。戦略面において大きな脅威と成りうるので、前中後段それぞれの支援範囲を確認したうえで、撃破の順番を慎重に考えよう。
enemy_illustration-10000076,アルゴノーツ-パピス
enemy_illustration-20000076,軍部がオーダーした上級軍用列車砲の後段。
enemy_illustration-30000076,戦役マップ上で友軍に遠隔支援を行う。戦略面において大きな脅威と成りうるので、前中後段それぞれの支援範囲を確認したうえで、撃破の順番を慎重に考えよう。
enemy_illustration-10000046,ストレリツィ
enemy_illustration-20000046,基本的な歩兵人形。軍の人形の火力に匹敵するほどの武器システムが搭載されている。量産型の作戦ユニットではあるが、鉄血の標準戦闘ユニットよりも作戦能力が高い。
enemy_illustration-30000046,能力はバランス型。部隊全体の作戦能力を上げて対応しよう。
enemy_illustration-10000047,ロデレロ
enemy_illustration-20000047,機動力の高い重火力人形。ジェットパックを装備しており、戦場の後方から一瞬で前へ飛びだすことができる。さらに複数の目標を貫通できるレールガンと、偏向障壁発生装置も搭載しており、攻守ともに隙がない。
enemy_illustration-30000047,偏向障壁をもち、一定量のダメージを無効化する。貫通攻撃を行うため、味方の脆い人形の立ち位置に注意が必要。重装部隊の支援があるとなおよい。
enemy_illustration-10000048,ドッペルゾルドナー
enemy_illustration-20000048,強力な重火力メカ。強固な装甲と偏向障壁発生装置を搭載している。攻撃手段は両腕にある機関銃の他、多連装グレネードランチャーも装備している。
enemy_illustration-30000048,高めの装甲と偏向防壁を持っており、無効にするダメージの割合が大きい。複数の榴弾を放つ。破甲能力の高い人形で素早く削るか、シールドを持つ人形で榴弾を防ぐ必要がある。重装部隊の支援があるとなおよい。
enemy_illustration-10000049,ウーラン
enemy_illustration-20000049,強力な重戦車。強固な装甲と偏向障壁発生装置を搭載している。武装は機関砲一門のみだが、装甲と偏向障壁を盾に体当たりを仕掛け、敵の陣形を崩すことができる。
enemy_illustration-30000049,高効率の偏向障壁と厚めの装甲を持ち、かなりのダメージを無効化する。体当たりを仕掛け陣形を崩しにかかるので、適宜人形を移動させ回避が必要。重装部隊の支援があるとなおよい。
enemy_illustration-10000063,グラディエータ
enemy_illustration-20000063,タリンに残された廃棄メカ。近距離戦闘タイプの大型重装甲ユニット。謎の勢力と関係があるらしい。
enemy_illustration-30000063,一定の装甲と偏向障壁を持ち、デフォルトのダメージ軽減割合は並みだが、時間経過とともに偏向障壁を強化し続けるので、破砕能力が低い場合、長時間の交戦は望ましくない。重装部隊の支援は必須に近い。
enemy_illustration-10000064,パトローラ
enemy_illustration-20000064,タリンに残された廃棄メカ。機体の下に搭載された砲台で攻撃を行う。敵から攻撃を受けた時はジャンプして回避する。謎の勢力と関係があるらしい。
enemy_illustration-30000064,厚めの装甲と偏向障壁を持ち、強力な回避性能を有するため、攻撃のタイミングに注意が必要。狙撃スキルなど必中の攻撃を持つ人形を編成するとよい。
enemy_illustration-10000065,ガンナー
enemy_illustration-20000065,タリンに残された廃棄人形。「ストレリツィ」と似ている。より強力な武装を搭載しており、特殊な弾薬を使って敵の回避率を下げる。謎の勢力と関係があるらしい。
enemy_illustration-30000065,能力はバランス型。部隊全体の作戦能力を上げて対応しよう。
enemy_illustration-10000066,廃棄された異性体
enemy_illustration-20000066,タリンに残された廃棄人形。自身に攻撃能力はないが、周囲の敵を目まい状態にすることができる。謎の勢力と関係があるらしい。
enemy_illustration-30000066,正体不明//c慎重に対処を！
enemy_illustration-10000067,ピクシス
enemy_illustration-20000067,厄介な軽火力砲台。軍の火力に近い高速射撃システムを搭載している量産型基本作戦ユニット。設置後移動させることはできない。制圧戦によく使われる。
enemy_illustration-30000067,射速が高めで、火力は一般的。十分な防御力を持つショットガンの人形で食い止めるとよい。
enemy_illustration-10100001,ゲベンヌ
enemy_illustration-20100001,謎に包まれた超大型複合式戦闘ユニット。火力が極めて高いこと以外、すべてが謎。
enemy_illustration-30100001,未実装
enemy_illustration-10000062,ニモジン
enemy_illustration-20000062,謎の勢力の「ネイト」の一員、マーキュラスに姉と呼ばれている。「お父様」を非常に尊敬している。それ以外の情報は全て不明。
enemy_illustration-30000062,正体不明//c慎重に対処を！
enemy_illustration-10000061,マーキュラス
enemy_illustration-20000061,謎の勢力の「ネイト」の一員、それ以外の情報は全て不明。ニモジンに妹と呼ばれている。人間の詩が好きで、独特な趣味と感性を持っているようだ。
enemy_illustration-30000061,正体不明//c慎重に対処を！
enemy_illustration-10000051,ネイト(白)
enemy_illustration-20000051,謎の勢力の上級ボス。白いネイトは指揮能力を持ち、鎌型の近接武器で戦場の全てを刈り取る。「ネイト」という共通の名を持っていること以外、彼女たちに関する情報は一切なく……「ネイト」と呼ばれる怪物も、まだまだ他に存在しているらしい。
enemy_illustration-30000051,正体不明//c慎重に対処を！
enemy_illustration-10000050,ネイト(黒)
enemy_illustration-20000050,謎の勢力の上級ボス。黒いネイトは高威力のライフル型武器を使用し、他のネイトたちと協力して戦う。「ネイト」という共通の名を持っていること以外、彼女たちに関する情報は一切なく……「ネイト」と呼ばれる怪物も、まだまだ他に存在しているらしい。
enemy_illustration-30000050,正体不明//c慎重に対処を！
enemy_illustration-10000068,失格異性体
enemy_illustration-20000068,タリンに来たニモジンのメンタルと融合し、その素体を奪った異性体。タリンの異性体全員を率いて、「離れる」ことを望んでいる。指揮官の部隊がタリンに来た後、M4こそが彼女たちをここから離れさせる「適合者」であると認定した。
enemy_illustration-30000068,正体不明//c慎重に対処を！
enemy_illustration-10000001,「ワーカー」型民間用ターゲットドローン
enemy_illustration-20000001,標準のターゲットドローン。訓練と演習のみに用いられ、戦闘映像を自動記録できる（カメラが壊れていないことが前提）。
enemy_illustration-30000001,訓練を頑張ろう！
enemy_illustration-10000052,E.L.I.D.感染者(武装)
enemy_illustration-20000052,コーラップス放射の汚染を受けた軍の人間兵士。理性を失い、非常に攻撃的な狂乱状態に陥っている。本能のままに動き回り、アサルトライフルで目に映ったすべてのものを掃射する。ただし、榴弾を発射するなどの複雑な行動はとれない模様。
enemy_illustration-30000052,能力はバランス型。部隊全体の作戦能力を上げて対応しよう。
enemy_illustration-10000053,E.L.I.D.感染者(徒手)
enemy_illustration-20000053,コーラップス放射の汚染を受けた軍の人間兵士。武器を失っても素手で目に映ったすべてのものを攻撃する。ただ腕を振り回しているようにも見えるが、コーラップス液の強化により、そのスピードとパワーは依然恐ろしいものである。
enemy_illustration-30000053,能力はバランス型。部隊全体の作戦能力を上げて対応しよう。
enemy_illustration-10000054,E.L.I.D.感染者(ボス)
enemy_illustration-20000054,重度のコーラップス放射の汚染を受け、体に異変が起きた軍の人間兵士。ELID感染者は感染の経過時間と放射の強さにより、内臓や皮膚が硬化する症状が起きるため、重度のELID感染者を傷つけるのは非常に難しい。性格も他の感染者よりさらに狂暴になり、破壊力もより増している。
enemy_illustration-30000054,能力は平均的。味方に軽度のダメージを持続的に与えてくるため、長時間の交戦は避けるべし。部隊全体の能力を上げて対処するとよい。
enemy_illustration-10000036,ナイトメア
enemy_illustration-20000036,電子空間にしか存在しないバーチャルの敵。目標にゆっくりと近づき噛みつく。通常、これらの意識体は電子戦モジュールがファイアウォールなどのプログラムを具現したものか、電子空間に潜むウイルスやマルウェアである。極稀に、常識では解釈できない何かである可能性もある。
enemy_illustration-30000036,能力はバランス型。部隊全体の作戦能力を上げて対応しよう。
enemy_illustration-10100082,ブルートSWAP
enemy_illustration-20100082,「ブルート」をベースに性能を大幅に向上した。戦闘でより一層の活躍を期待できる。
enemy_illustration-30100082,高めの破甲値を持っており、ショットガンの人形にとって危険な存在となるため、注意が必要。サブマシンガンや、ハンドガンなどの回避型の人形を前列に配置するとよい。
enemy_illustration-10100083,ニーマムSWAP
enemy_illustration-20100083,「ニーマム」をベースに性能を大幅に向上した。戦闘でより一層の活躍を期待できる。
enemy_illustration-30100083,装甲を持ち、後列にいることが多い。射速は遅く、命中と火力は高め。前列の味方に大きなダメージを与えるため、優先して敵の後列を処理するユニットを投入しよう。
enemy_illustration-10000077,クラトス
