tutorial_manual-10000100,基地ガイドブック
tutorial_manual-20000402,装備大型製造では妖精が獲得できます。
tutorial_manual-10000403,妖精グレードアップ
tutorial_manual-20000403,妖精は部隊の戦闘を通しても経験値を獲得できます。
tutorial_manual-10000404,妖精スキル
tutorial_manual-20000404,スキル訓練を通じて、妖精スキルを強化できます。
tutorial_manual-10000405,妖精較正
tutorial_manual-20000405,較正では妖精に新たな天賦の選択肢を提供できます。
tutorial_manual-10000406,妖精強化
tutorial_manual-20000406,妖精を強化し、効率よく活用しましょう。
tutorial_manual-10000407,妖精格納庫
tutorial_manual-20000407,妖精格納庫では、妖精関連の設備が管理されています。
tutorial_manual-10000500,重装部隊
tutorial_manual-20000500,重装部隊の登場で、局面を打開できるかもしれません。
tutorial_manual-10000501,重装紹介
tutorial_manual-20000501,重装部隊は強大な火力支援を提供します。
tutorial_manual-10000502,重装開発
tutorial_manual-20000502,情報解析を通して、重装部隊を開発します。
tutorial_manual-10000503,重装作戦
tutorial_manual-20000503,重装部隊は高い火力を持ちますが、単独での作戦能力を持ちません。
tutorial_manual-10000504,重装育成
tutorial_manual-20000504,重装部隊を強化し続けてましょう！
tutorial_manual-10000505,重装回路
tutorial_manual-20000505,重装回路にチップを装備し、さらに能力を引き上げましょう。
tutorial_manual-10000506,重装スキル
tutorial_manual-20000506,重装部隊のスキルを強化にするには、より一層厳格な訓練が必要です。
tutorial_manual-10000507,重装バージョンアップ
tutorial_manual-20000507,重装部隊はレベルが上限に達した後も、更なるバージョンアップが可能です。
tutorial_manual-10000508,格納庫
tutorial_manual-20000508,格納庫では、重装部隊の管理と確認ができます。
tutorial_manual-10000509,情報センター
tutorial_manual-20000509,重装部隊の入手は、基本的に情報センターでのサンプル解析経由になります。
tutorial_manual-10000600,戦闘任務
tutorial_manual-20000600,様々な戦闘任務について理解を深め、挑戦しましょう。
tutorial_manual-10000601,作戦任務
tutorial_manual-20000601,メイン任務攻略
tutorial_manual-10000602,夜戦
tutorial_manual-20000602,夜間戦闘時は視野が重要です。
tutorial_manual-10000603,自律作戦
tutorial_manual-20000603,人形を攻略済みのステージに送り、報酬を獲得できます。
tutorial_manual-10000604,後方支援
tutorial_manual-20000604,後方支援を通じて、多くの物資を獲得できます。
tutorial_manual-10000605,模擬作戦
tutorial_manual-20000605,曜日に応じて異なる模擬作戦が開放されます、必要に応じて攻略しましょう。
tutorial_manual-10000606,防御演習
tutorial_manual-20000606,部隊を指揮し、無限に出現する敵の侵攻を食い止めましょう。
tutorial_manual-10000607,融合演習
tutorial_manual-20000607,プリセットされた人形で部隊編成と作戦を行えば、融合勢力の育成アイテムが手に入ります。
tutorial_manual-10000608,ターゲット訓練
tutorial_manual-20000608,こちらで部隊の強さをテストできます。
tutorial_manual-10000609,イベント任務
tutorial_manual-20000609,様々な事件が不定期で起きます、見逃さないようにしましょう！
tutorial_manual-10000700,戦場案内
tutorial_manual-20000700,作戦における規則や、テクニックを覚えましょう。
tutorial_manual-10000701,戦場説明
tutorial_manual-20000701,戦いの前にしっかり準備を行うのは、指揮官にとって基本中の基本です。
tutorial_manual-10000702,部隊配置
tutorial_manual-20000702,部隊を配置することが作戦の第一歩となります。
tutorial_manual-10000703,行動と占領
tutorial_manual-20000703,一歩一歩着実に前進し、勝利を勝ち取りましょう。
tutorial_manual-10000704,補給と撤退
tutorial_manual-20000704,補給は素早く、撤退は合理的に、人形には優しくしましょう。
tutorial_manual-10000705,人形作戦
tutorial_manual-20000705,人形が作戦を実行している間、指揮官は指揮を行いましょう。
tutorial_manual-10000706,支援部隊
tutorial_manual-20000706,優秀な指揮官は、決して戦友の協力を拒みません。
tutorial_manual-10000707,プランモード
tutorial_manual-20000707,適宜プランモードを利用し、操作を簡略化するとよいでしょう。
tutorial_manual-10000708,戦場情報モード
tutorial_manual-20000708,彼を知り己を知れば百戦殆うからず。
tutorial_manual-10000709,妖精作戦
tutorial_manual-20000709,妖精のスキルを適宜使用すれば、戦局を覆すことだって可能です。
tutorial_manual-10000710,重装作戦
tutorial_manual-20000710,重装部隊の火力は強力ですが、単独作戦能力には欠けます。
tutorial_manual-10000711,融合勢力作戦
tutorial_manual-20000711,融合勢力は人形とは少々異なりますので、指揮をする際には気をつけましょう。
tutorial_manual-10000712,友軍部隊
tutorial_manual-20000712,味方部隊が加勢してくれる時があります、その際には団結して作戦に臨みましょう！
tutorial_manual-10000800,戦場設備
tutorial_manual-20000800,戦場の設備を上手に利用することは、指揮官にとって必須です。
tutorial_manual-10000801,陣地設備
tutorial_manual-20000801,陣地は周囲のマスに影響を及ぼします、戦局に応じて適切に処理しましょう。
tutorial_manual-10000802,制御パネル&防御ゲート
tutorial_manual-20000802,防御ゲートはマスを通行できるかどうかに関わります。制御パネルは防御ゲートの制御に使用します。
tutorial_manual-10000803,廃棄されたゴリアテ&瓦礫の山&要路
tutorial_manual-20000803,廃棄されたゴリアテは障害物を爆破し道を開いたり、要路を爆破し道を封鎖することが可能です。
tutorial_manual-10000804,廃棄された建物&起爆装置&廃墟
tutorial_manual-20000804,廃棄された建物はマス上の部隊に掩護を提供し、起爆後は廃墟と化します。
tutorial_manual-10000805,変電所&EMP発生器
tutorial_manual-20000805,EMP発生器は変電所による電力供給があれば、周囲の敵に対してEMP攻撃を行えます。
tutorial_manual-10000806,EMP手榴弾
tutorial_manual-20000806,EMP手榴弾は投擲することでターゲットにEMP攻撃を行えます。
tutorial_manual-10000807,シールドジェネレータ
tutorial_manual-20000807,シールドジェネレータは部隊にシールドによる支援を提供します。
tutorial_manual-10000808,沿岸砲
tutorial_manual-20000808,沿岸砲は範囲内の部隊に支援を提供します。或いは手動操作で攻撃を行うこともできます。
tutorial_manual-10000809,
tutorial_manual-20000809,
tutorial_manual-10000810,
tutorial_manual-20000810,
tutorial_manual-10000811,
tutorial_manual-20000811,
tutorial_manual-10000900,作戦目標
tutorial_manual-20000900,任務ごとに異なる目標が存在しますので、作戦の前にご確認ください。
tutorial_manual-10000901,消滅目標
tutorial_manual-20000901,目標を消滅させることで勝利します。
tutorial_manual-10000902,ターン数制限
tutorial_manual-20000902,時間は有限です、1ターンだろうと無駄にはできません。
tutorial_manual-10000903,マス占領
tutorial_manual-20000903,目標のマスを占領することで勝利となります。
tutorial_manual-10000904,作戦誘導
tutorial_manual-20000904,ユニットの索敵アルゴリズムを合理的に利用し、指定のマスに誘導しましょう。
tutorial_manual-10000905,人質救助
tutorial_manual-20000905,人質を救助し直ちに撤退しましょう。
tutorial_manual-10000906,補給線維持
tutorial_manual-20000906,司令部と補給ポイントの間に補給線を確立しましょう。
tutorial_manual-10000907,堅守作戦
tutorial_manual-20000907,守り抜くことで勝利につながります。
tutorial_manual-10001000,部隊編成
tutorial_manual-20001000,合理的に部隊を編成し部隊の実力を最大限発揮しましょう。
tutorial_manual-10001001,陣形編成
tutorial_manual-20001001,人形は相互に影響を及ぼし合いますので、合理的な陣形はより強力な戦力に繋がります。
tutorial_manual-10001002,クイック編成
tutorial_manual-20001002,どのように編成すればいいか分からない時は、クイック編成に任せてみるのも良いかもしれません。
tutorial_manual-10001003,融合勢力編成
tutorial_manual-20001003,融合勢力は隊長の指揮により依存しますので、隊長を軸に編成してみましょう。
tutorial_manual-10001004,融合勢力クイック編成
tutorial_manual-20001004,クイック編成は融合勢力の編成にも使用できます。
tutorial_manual-10001005,装備プリセット
tutorial_manual-20001005,装備をプリセットすれば、あとは必要に応じて簡単に切り替えできます。
tutorial_manual-10001100,拠点
tutorial_manual-20001100,拠点の中では様々な事務の管理と確認ができます。
tutorial_manual-10001101,宿舎
tutorial_manual-20001101,戦術人形たちの宿舎へようこそ！きれいな服を着せ、たくさん交流しましょう！
tutorial_manual-10001102,ガチャ
tutorial_manual-20001102,コインをケチるのはやめましょう。
tutorial_manual-10001103,宿舎編集
tutorial_manual-20001103,作戦の実力以外に、宿舎を飾りつける実力も見せつけてやりましょう。
tutorial_manual-10001104,ギフト贈呈
tutorial_manual-20001104,人形を励ますためにも、ギフトは積極的に送りましょう。
tutorial_manual-10001105,宿舎見学
tutorial_manual-20001105,他の指揮官の宿舎を見学し、挨拶を残しましょう。
tutorial_manual-10001106,バッテリー
tutorial_manual-20001106,バッテリーは重要な開発に必要な資源です、拠点の建設には欠かせません。
tutorial_manual-10001107,データルーム
tutorial_manual-20001107,溢れた経験値でカリーナに作戦報告書を書いてもらえます。
tutorial_manual-10001108,カフェ
tutorial_manual-20001108,コーヒーを一杯淹れて、人形たちの物語を楽しみましょう。
tutorial_manual-10001109,救護室
tutorial_manual-20001109,野良の動物を受け入れ、温かい環境を提供してあげましょう。
tutorial_manual-10001110,妖精格納庫
tutorial_manual-20001110,妖精格納庫では、妖精関連の設備が管理されています。
tutorial_manual-10001111,前線基地
tutorial_manual-20001111,人形を派遣し探検を行い、希少な物資を手に入れましょう。
tutorial_manual-10001112,格納庫
tutorial_manual-20001112,格納庫では、重装部隊の管理と確認ができます。
tutorial_manual-10001113,情報センター
tutorial_manual-20001113,重装部隊の入手は、基本的に情報センターでのサンプル解析経由になります。
tutorial_manual-10001114,協定コントロールセンター
tutorial_manual-20001114,協定コントロールセンターでは、融合勢力の関連施設を管理できます。
tutorial_manual-10001200,融合勢力
tutorial_manual-20001200,グリフィンの最新技術により、他の勢力も作戦に参加できるようになりました。
tutorial_manual-10001201,融合勢力作戦
tutorial_manual-20001201,融合勢力は人形とは少々異なりますので、指揮をする際には気をつけましょう。
tutorial_manual-10001202,融合勢力編成
tutorial_manual-20001202,融合勢力は隊長の指揮により依存しますので、隊長を軸に編成してみましょう。
tutorial_manual-10001203,融合勢力獲得
tutorial_manual-20001203,融合勢力を獲得し部隊を強化しましょう！
tutorial_manual-10001204,融合勢力解析
tutorial_manual-20001204,同じ融合勢力を使用して解析を行い、作戦能力を引き上げましょう。
tutorial_manual-10001205,融合勢力開発
tutorial_manual-20001205,融合勢力開発を通じて、融合勢力のステータスを引き上げましょう。
tutorial_manual-10001206,戦術チップ
tutorial_manual-20001206,戦術チップは様々な種類があります、戦局に応じて必要なものを使用しましょう。
tutorial_manual-10001207,データ転移
tutorial_manual-20001207,同名の融合勢力のユニット同士は育成データを交換できます。
tutorial_manual-10001208,融合演習
tutorial_manual-20001208,プリセットされた人形で部隊編成と作戦を行えば、融合勢力の育成アイテムが手に入ります。
tutorial_manual-10001209,分解と交換
tutorial_manual-20001209,余った融合勢力は分解を行い、コアショップでアイテムと交換できます。
tutorial_manual-10001210,協定コントロールセンター
tutorial_manual-20001210,協定コントロールセンターでは、融合勢力の関連施設を管理できます。
tutorial_manual-10001300,工廠
tutorial_manual-20001300,工廠内で人形と装備を製造し部隊を強化しましょう。
tutorial_manual-10001301,人形製造
tutorial_manual-20001301,資源を消費し人形をたくさん獲得しましょう。
tutorial_manual-10001302,編制拡大
tutorial_manual-20001302,人形を編制拡大することで戦力が上がり、経験値獲得量が増えます。
tutorial_manual-10001303,融合勢力解析
tutorial_manual-20001303,同じ融合勢力を使用して解析を行い、作戦能力を引き上げましょう。
tutorial_manual-10001304,人形強化
tutorial_manual-20001304,人形を強化し、ステータスを上げましょう。
tutorial_manual-10001305,融合勢力開発
tutorial_manual-20001305,融合勢力開発を通じて、融合勢力のステータスを引き上げましょう。
tutorial_manual-10001306,回収分解
tutorial_manual-20001306,余った人形と装備を分解し資源を回収しましょう。
tutorial_manual-10001307,装備製造
tutorial_manual-20001307,資源を消費し装備をたくさん獲得しましょう。
tutorial_manual-10001400,開発
tutorial_manual-20001400,開発では人形と装備を強化できます。
tutorial_manual-10001401,スキル訓練
tutorial_manual-20001401,訓練を通じてスキルを強化しましょう。
tutorial_manual-10001402,装備強化
tutorial_manual-20001402,装備を強化し、ステータスを上げましょう。
tutorial_manual-10001403,装備較正
tutorial_manual-20001403,装備のステータスを引き上げることができます。
tutorial_manual-10001404,妖精強化
tutorial_manual-20001404,妖精を強化し、効率よく活用しましょう。
tutorial_manual-10001405,妖精較正
tutorial_manual-20001405,較正では妖精に新たな天賦の選択肢を提供できます。
tutorial_manual-10001406,メンタルアップグレード
tutorial_manual-20001406,人形の能力を上限突破させられます。
tutorial_manual-10001500,グループ交流
tutorial_manual-20001500,グリフィンの指揮官は独りではありません。
tutorial_manual-10001501,戦友
tutorial_manual-20001501,戦友が多いに越したことはありません。
tutorial_manual-10001502,IDカード
tutorial_manual-20001502,皆の自分の名前を覚えてもらいましょう！
tutorial_manual-10001503,支援部隊
tutorial_manual-20001503,優秀な指揮官は、決して戦友の協力を拒みません。
tutorial_manual-10001600,指揮官クローゼット
tutorial_manual-20001600,指揮官、時間がある時に新しい服を見繕いましょう。
tutorial_manual-10001601,指揮官衣装
tutorial_manual-20001601,服を一新し、心も新たにしましょう。
tutorial_manual-10001602,指揮官スキル
tutorial_manual-20001602,きれいな服を身に着けた途端、とんでもない能力に目覚めたようです。
tutorial_manual-10001603,染色システム
tutorial_manual-20001603,服の色が気に入らない？それなら染色を試してみましょう。
tutorial_manual-10001604,宿舎表示
tutorial_manual-20001604,服を着替えたら宿舎を散策しましょう。
tutorial_manual-10001700,前線基地
tutorial_manual-20001700,戦いに疲れた？それなら前線基地へようこそ！
tutorial_manual-10001701,前線基地紹介
tutorial_manual-20001701,人形を派遣し探検を行い、希少な物資を手に入れましょう。
tutorial_manual-10001702,探索準備
tutorial_manual-20001702,探索前の準備をしっかりすることでより良い探索の結果が得られます。
tutorial_manual-10001703,ブラックマーケット
tutorial_manual-20001703,集めた物資をブラックマーケットで他のものに交換できます。
tutorial_manual-10001800,グリフィン思い出話
tutorial_manual-20001800,グリフィンと人形たちへの理解を深めましょう。
tutorial_manual-10001801,思い出回顧録
tutorial_manual-20001801,人形たちの間でどんなことが起きているか、知りたくありませんか？
tutorial_manual-10001802,内部一覧
tutorial_manual-20001802,グリフィンの内部構造を把握しましょう！
