carnival_task_type-10000001,累計ログイン
carnival_task_type-20000109,2B14の中枢データを{0}個獲得する
carnival_task_type-10000110,血統認証-AGS-30
carnival_task_type-20000110,AGS-30の中枢データを{0}個獲得する
carnival_task_type-10000111,原始サンプル獲得
carnival_task_type-20000111,原始ササンプルを{0}個獲得する
carnival_task_type-10000112,純正サンプル獲得
carnival_task_type-20000112,純正サンプルを{0}個獲得する
carnival_task_type-10000113,任意作戦報告書作成
carnival_task_type-20000113,任意作戦報告書{0}冊作成する（作戦報告書と特種作戦報告書含め）
carnival_task_type-10000114,探索完了
carnival_task_type-20000114,累計{0}時間探索を完了する
carnival_task_type-10000115,指揮官衣装の購入
carnival_task_type-20000115,累計{0}着の指揮官衣装を購入する
carnival_task_type-10000116,指揮官衣装の獲得
carnival_task_type-20000116,累計{0}着の指揮官衣装を獲得する
carnival_task_type-10000117,ランダム染色剤
carnival_task_type-20000117,累計{0}個のランダム染色剤を使用する
carnival_task_type-10000118,指定染色剤
carnival_task_type-20000118,累計{0}個の指定染色剤を使用する
carnival_task_type-10000119,染色剤の使用
carnival_task_type-20000119,累計{0}個の染色剤を使用する
