theater_area-10000411,通常ステージ
theater_area-20000445,外郭の堅牢な防御を突破したが、そんなものはまだ序の口に過ぎない。我々はこれより渓谷へ入り、そこに待ち受ける敵を殲滅しなければならない。勝利を手にするのは、最後まで立っていられた者のみだ。
theater_area-10000446,要塞ステージ
theater_area-20000446,外郭の堅牢な防御を突破したが、そんなものはまだ序の口に過ぎない。我々はこれより渓谷へ入り、そこに待ち受ける敵を殲滅しなければならない。勝利を手にするのは、最後まで立っていられた者のみだ。
theater_area-10000447,通常ステージ
theater_area-20000447,外郭の堅牢な防御を突破したが、そんなものはまだ序の口に過ぎない。我々はこれより渓谷へ入り、そこに待ち受ける敵を殲滅しなければならない。勝利を手にするのは、最後まで立っていられた者のみだ。
theater_area-10000448,要塞ステージ
theater_area-20000448,外郭の堅牢な防御を突破したが、そんなものはまだ序の口に過ぎない。我々はこれより渓谷へ入り、そこに待ち受ける敵を殲滅しなければならない。勝利を手にするのは、最後まで立っていられた者のみだ。
theater_area-10000511,通常ステージ
theater_area-20000511,硝煙弾雨による洗礼を受けた山が、我々の一つ目の障害となる。この区域を掌握し、次の作戦のための橋頭堡を築け。
theater_area-10000512,通常ステージ
theater_area-20000512,硝煙弾雨による洗礼を受けた山が、我々の一つ目の障害となる。この区域を掌握し、次の作戦のための橋頭堡を築け。
theater_area-10000513,通常ステージ
theater_area-20000513,硝煙弾雨による洗礼を受けた山が、我々の一つ目の障害となる。この区域を掌握し、次の作戦のための橋頭堡を築け。
theater_area-10000514,要塞ステージ
theater_area-20000514,硝煙弾雨による洗礼を受けた山が、我々の一つ目の障害となる。この区域を掌握し、次の作戦のための橋頭堡を築け。
theater_area-10000515,通常ステージ
theater_area-20000515,硝煙弾雨による洗礼を受けた山が、我々の一つ目の障害となる。この区域を掌握し、次の作戦のための橋頭堡を築け。
theater_area-10000516,通常ステージ
theater_area-20000516,硝煙弾雨による洗礼を受けた山が、我々の一つ目の障害となる。この区域を掌握し、次の作戦のための橋頭堡を築け。
theater_area-10000517,通常ステージ
theater_area-20000517,硝煙弾雨による洗礼を受けた山が、我々の一つ目の障害となる。この区域を掌握し、次の作戦のための橋頭堡を築け。
theater_area-10000518,要塞ステージ
theater_area-20000518,硝煙弾雨による洗礼を受けた山が、我々の一つ目の障害となる。この区域を掌握し、次の作戦のための橋頭堡を築け。
theater_area-10000521,通常ステージ
theater_area-20000521,状況を打破するため、我々は戦線を延長し、目標を包囲することを決定した。しかしこの地に集中している敵の砲火は、途切れることのない雷鳴の如く戦場上空に轟いている。
theater_area-10000522,通常ステージ
theater_area-20000522,状況を打破するため、我々は戦線を延長し、目標を包囲することを決定した。しかしこの地に集中している敵の砲火は、途切れることのない雷鳴の如く戦場上空に轟いている。
theater_area-10000523,通常ステージ
theater_area-20000523,状況を打破するため、我々は戦線を延長し、目標を包囲することを決定した。しかしこの地に集中している敵の砲火は、途切れることのない雷鳴の如く戦場上空に轟いている。
theater_area-10000524,要塞ステージ
theater_area-20000524,状況を打破するため、我々は戦線を延長し、目標を包囲することを決定した。しかしこの地に集中している敵の砲火は、途切れることのない雷鳴の如く戦場上空に轟いている。
theater_area-10000525,通常ステージ
theater_area-20000525,状況を打破するため、我々は戦線を延長し、目標を包囲することを決定した。しかしこの地に集中している敵の砲火は、途切れることのない雷鳴の如く戦場上空に轟いている。
theater_area-10000526,通常ステージ
theater_area-20000526,状況を打破するため、我々は戦線を延長し、目標を包囲することを決定した。しかしこの地に集中している敵の砲火は、途切れることのない雷鳴の如く戦場上空に轟いている。
theater_area-10000527,通常ステージ
theater_area-20000527,状況を打破するため、我々は戦線を延長し、目標を包囲することを決定した。しかしこの地に集中している敵の砲火は、途切れることのない雷鳴の如く戦場上空に轟いている。
theater_area-10000528,要塞ステージ
theater_area-20000528,状況を打破するため、我々は戦線を延長し、目標を包囲することを決定した。しかしこの地に集中している敵の砲火は、途切れることのない雷鳴の如く戦場上空に轟いている。
theater_area-10000531,通常ステージ
theater_area-20000531,作戦はついに最終段階へ移行した。しかし、この最後の一歩はこれまでで最も困難な一歩となるだろう。得られるのは勝利による栄光か、それとも敗北による地獄なのか。どちらへ転ぶかは我々の次の行動次第だ。
theater_area-10000532,通常ステージ
theater_area-20000532,作戦はついに最終段階へ移行した。しかし、この最後の一歩はこれまでで最も困難な一歩となるだろう。得られるのは勝利による栄光か、それとも敗北による地獄なのか。どちらへ転ぶかは我々の次の行動次第だ。
theater_area-10000533,要塞ステージ
theater_area-20000533,作戦はついに最終段階へ移行した。しかし、この最後の一歩はこれまでで最も困難な一歩となるだろう。得られるのは勝利による栄光か、それとも敗北による地獄なのか。どちらへ転ぶかは我々の次の行動次第だ。
theater_area-10000534,通常ステージ
theater_area-20000534,作戦はついに最終段階へ移行した。しかし、この最後の一歩はこれまでで最も困難な一歩となるだろう。得られるのは勝利による栄光か、それとも敗北による地獄なのか。どちらへ転ぶかは我々の次の行動次第だ。
theater_area-10000535,通常ステージ
theater_area-20000535,作戦はついに最終段階へ移行した。しかし、この最後の一歩はこれまでで最も困難な一歩となるだろう。得られるのは勝利による栄光か、それとも敗北による地獄なのか。どちらへ転ぶかは我々の次の行動次第だ。
theater_area-10000536,要塞ステージ
theater_area-20000536,作戦はついに最終段階へ移行した。しかし、この最後の一歩はこれまでで最も困難な一歩となるだろう。得られるのは勝利による栄光か、それとも敗北による地獄なのか。どちらへ転ぶかは我々の次の行動次第だ。
theater_area-10000537,通常ステージ
theater_area-20000537,作戦はついに最終段階へ移行した。しかし、この最後の一歩はこれまでで最も困難な一歩となるだろう。得られるのは勝利による栄光か、それとも敗北による地獄なのか。どちらへ転ぶかは我々の次の行動次第だ。
theater_area-10000538,要塞ステージ
theater_area-20000538,作戦はついに最終段階へ移行した。しかし、この最後の一歩はこれまでで最も困難な一歩となるだろう。得られるのは勝利による栄光か、それとも敗北による地獄なのか。どちらへ転ぶかは我々の次の行動次第だ。
theater_area-10000541,通常ステージ
theater_area-20000541,外郭の堅牢な防御を突破したが、そんなものはまだ序の口に過ぎない。我々はこれより渓谷へ入り、そこに待ち受ける敵を殲滅しなければならない。勝利を手にするのは、最後まで立っていられた者のみだ。
theater_area-10000542,通常ステージ
theater_area-20000542,外郭の堅牢な防御を突破したが、そんなものはまだ序の口に過ぎない。我々はこれより渓谷へ入り、そこに待ち受ける敵を殲滅しなければならない。勝利を手にするのは、最後まで立っていられた者のみだ。
theater_area-10000543,要塞ステージ
theater_area-20000543,外郭の堅牢な防御を突破したが、そんなものはまだ序の口に過ぎない。我々はこれより渓谷へ入り、そこに待ち受ける敵を殲滅しなければならない。勝利を手にするのは、最後まで立っていられた者のみだ。
theater_area-10000544,通常ステージ
theater_area-20000544,外郭の堅牢な防御を突破したが、そんなものはまだ序の口に過ぎない。我々はこれより渓谷へ入り、そこに待ち受ける敵を殲滅しなければならない。勝利を手にするのは、最後まで立っていられた者のみだ。
theater_area-10000545,通常ステージ
theater_area-20000545,外郭の堅牢な防御を突破したが、そんなものはまだ序の口に過ぎない。我々はこれより渓谷へ入り、そこに待ち受ける敵を殲滅しなければならない。勝利を手にするのは、最後まで立っていられた者のみだ。
theater_area-10000546,要塞ステージ
theater_area-20000546,外郭の堅牢な防御を突破したが、そんなものはまだ序の口に過ぎない。我々はこれより渓谷へ入り、そこに待ち受ける敵を殲滅しなければならない。勝利を手にするのは、最後まで立っていられた者のみだ。
theater_area-10000547,通常ステージ
theater_area-20000547,外郭の堅牢な防御を突破したが、そんなものはまだ序の口に過ぎない。我々はこれより渓谷へ入り、そこに待ち受ける敵を殲滅しなければならない。勝利を手にするのは、最後まで立っていられた者のみだ。
theater_area-10000548,要塞ステージ
theater_area-20000548,外郭の堅牢な防御を突破したが、そんなものはまだ序の口に過ぎない。我々はこれより渓谷へ入り、そこに待ち受ける敵を殲滅しなければならない。勝利を手にするのは、最後まで立っていられた者のみだ。
