furniture-10030001,かぼちゃクマさん
furniture-10031301,北極ギツネ
furniture-20031301,FF M249SAWのポスター。
furniture-10031302,弾丸カフェ
furniture-20031302,9A-91のポスター。
furniture-10031303,戦場のパティシエ
furniture-20031303,Gr G3のポスター。
furniture-10031304,休日の街角
furniture-20031304,MG3のポスター。
furniture-10031305,夜更けのバー
furniture-20031305,TAR-21のポスター。
furniture-10031401,闇の王
furniture-20031401,ウェルロッドMkⅡのポスター。
furniture-10031402,青丘狐
furniture-20031402,79式のポスター。
furniture-10031403,七番目の封印者
furniture-20031403,IWS 2000のポスター。
furniture-10031404,魔銃シスター
furniture-20031404,P7のポスター。
furniture-10031405,最後のアリス
furniture-20031405,Spitfireのポスター。
furniture-10031406,大事なお菓子を盗んでいきました
furniture-20031406,FF FNCのポスター。
furniture-10031407,ウルフ・ウォーカー
furniture-20031407,Super SASSのポスター。
furniture-10031501,デモンハンター
furniture-20031501,トンプソンのポスター。
furniture-10031502,オペラ座の怪人
furniture-20031502,コンテンダーのポスター。
furniture-10031503,淑女の密命
furniture-20031503,PKPのポスター。
furniture-10031504,荒野のハンター
furniture-20031504,Gr MG5のポスター。
furniture-10031505,ベイビー・ライダー
furniture-20031505,AEK-999のポスター。
furniture-10031506,パンク・ライダー
furniture-20031506,PzB39のポスター。
furniture-10031507,バーテンダー
furniture-20031507,Gr G36のポスター。
furniture-10031601,いじわるRFBのクリスマス
furniture-20031601,Am RFBのポスター
furniture-10031602,一番素敵な贈り物
furniture-20031602,Gr G11のポスター
furniture-10031603,銃声を捧げる雪姫
furniture-20031603,Zas M21のポスター
furniture-10031604,厳冬の木こり
furniture-20031604,CZ75のポスター
furniture-10031605,プレゼント売りのクリスマスツリー
furniture-20031605,Ameliのポスター
furniture-10031606,お望み通りのクリスマス
furniture-20031606,M1918のポスター
furniture-10031608,森のトナカイさん
furniture-20031608,OTs-44のポスター。
furniture-10031701,うさぎ班
furniture-20031701,M99のポスター
furniture-10031702,ThanX！&Go2Hell！
furniture-20031702,NZ75のポスター
furniture-10031703,粉雪につつまれて
furniture-20031703,SPP-1のポスター
furniture-10031704,異国迷路のクロスロード
furniture-20031704,Super Shortyのポスター
furniture-10031705,ほしのむこう
furniture-20031705,RMB-93のポスター
furniture-10031801,春牡丹
furniture-20031801,Gd DSR-50のポスター
furniture-10031802,梅の印
furniture-20031802,S.A.T.8のポスター
furniture-10031803,甘藍
furniture-20031803,ART556のポスター
furniture-10031804,玉簾
furniture-20031804,JS05のポスター
furniture-10031805,蜂蜜花
furniture-20031805,Gr Mk23のポスター
furniture-10031806,雪朝顔
furniture-20031806,M590のポスター
furniture-10031807,白山茶
furniture-20031807,八一式のポスター
furniture-10031808,矢車草
furniture-20031808,LWMMGのポスター
furniture-10031809,東湖蓮
furniture-20031809,88式のポスター
furniture-10031901,盲信者
furniture-20031901,Vectorのポスター
furniture-10031902,幸せの微笑み
furniture-20031902,Five-sevenのポスター
furniture-10031903,小さな一歩
furniture-20031903,Gr MP5のポスター
furniture-10031904,純白の矢車菊
furniture-20031904,Gr G36のポスター
furniture-10031905,いつまでも心を一つに
furniture-20031905,56-1式のポスター
furniture-10031906,ハートに命中！
furniture-20031906,SV-98のポスター
furniture-10032001,極東の姫君
furniture-20032001,K2のポスター
furniture-10032002,ムーンライト
furniture-20032002,K5のポスター
furniture-10032003,一陽来復
furniture-20032003,KLINのポスター
furniture-10032004,玄黄ノ鳳凰
furniture-20032004,63式のポスター
furniture-10030509,ポケットシティ女王二世
furniture-20030509,クレアのポスター
furniture-10030510,ポケットシティ女王三世
furniture-20030510,フェイルのポスター
furniture-10032101,ベストオファー
furniture-20032101,Gd DSR-50のポスター
furniture-10032102,星夜の舞踏会
furniture-20032102,グリズリーのポスター
furniture-10032103,ナイトフォール
furniture-20032103,ウェルロッドMkⅡのポスター
furniture-10032104,白の王妃
furniture-20032104,Zas M21のポスター
furniture-10032105,ミラクル女王
furniture-20032105,コルトSAAのポスター
furniture-10032106,世界の歌
furniture-20032106,UMP9のポスター
furniture-10032107,ダイアの花びら
furniture-20032107,UMP45のポスター
furniture-10032108,箱の中の猫
furniture-20032108,IDWのポスター
furniture-10032109,白夜の星言葉
furniture-20032109,EVO 3のポスター
furniture-10032201,勇ましいちびカルカノ
furniture-20032201,カルカノ M1891のポスター。
furniture-10032202,ミスピノキオ
furniture-20032202,カルカノ M91/38のポスター。
furniture-10032203,ファイファイの冒険
furniture-20032203,Five-sevenのポスター
furniture-10032204,かえるの姫さま
furniture-20032204,PP-19のポスター。
furniture-10032205,ガチョウのふしぎな旅
furniture-20032205,C-MSのポスター。
furniture-10032206,二度とない大鴉
furniture-20032206,Thunderのポスター。
furniture-10032301,貴族体験館
furniture-20032301,NTW-20のポスター。
furniture-10032302,花びらの付き人
furniture-20032302,コンテンダーのポスター。
furniture-10032303,家政訓練
furniture-20032303,M950Aのポスター。
furniture-10032304,ビール牧場
furniture-20032304,Gr G28のポスター。
furniture-10032305,刻下の契り
furniture-20032305,ゲパード M1のポスター。
furniture-10032401,ビーチパンク2064
furniture-20032401,Gr G41のポスター。
furniture-10032402,スムージー・エイジ
furniture-20032402,AK-12のポスター。
furniture-10032403,日はまだ昇らない
furniture-20032403,AA-12のポスター。
furniture-10032404,潜水服は人形の夢を見る
furniture-20032404,AN-94のポスター。
furniture-10032405,砂糖菓子の銃弾は撃ちぬけない
furniture-20032405,Gr MP7のポスター。
furniture-10032406,FALの夏
furniture-20032406,FALのポスター。
furniture-10032407,G36との50日間
furniture-20032407,Gr G36のポスター。
furniture-10032408,盛夏の果実
furniture-20032408,SPAS-12のポスター。
furniture-10032409,アメリのレシーブ
furniture-20032409,Ameliのポスター
furniture-10032410,魔女の高弟
furniture-20032410,P38のポスター。
furniture-10032501,Plague　Knight
furniture-20032501,Gr MG5のポスター。
furniture-10032502,Dragon　Jr.
furniture-20032502,Gr G11のポスター
furniture-10032503,Witcher　General
furniture-20032503,M1887のポスター
furniture-10032504,Steel　Butterfly
furniture-20032504,80式のポスター
furniture-10032505,Electric　Witch
furniture-20032505,M1897のポスター
furniture-10032601,パンプキン・スキュアー
furniture-20032601,S.A.T.8のポスター
furniture-10032602,エルフ・ヘルシング
furniture-20032602,TAC-50のポスター。
furniture-10032603,ゴーストトラップ
furniture-20032603,MDRのポスター。
furniture-10032604,ガン・アンド・ザ・バガー
furniture-20032604,Fr FAMASのポスター。
furniture-10032605,ジャック・ザ・トライン
furniture-20032605,ブレンのポスター。
furniture-10032606,ウィッチアカデミア
furniture-20032606,F1のポスター。
furniture-10032701,銃弾は鎖を撃ち抜いて
furniture-20032701,HMG21のポスター。
furniture-10032702,かなで
furniture-20032702,JS05のポスター
furniture-10032703,そらの飛び方
furniture-20032703,PM-06のポスター。
furniture-10032704,VRAIN Power
furniture-20032704,USAS-12のポスター。
furniture-10032705,キセキ☆はじまる
furniture-20032705,Gr HK45のポスター。
furniture-10032706,星々のキズナ
furniture-20032706,M1895のポスター。
furniture-10032801,クリスマスの朝
furniture-20032801,Px4ストームのポスター。
furniture-10032802,スカーレットターボ
furniture-20032802,P90のポスター。
furniture-10032803,煙突掃除の女の子
furniture-20032803,ART556のポスター
furniture-10032804,サテライト・オブ・ラブ
furniture-20032804,FP-6のポスター。
furniture-10032805,ブルークリスマス
furniture-20032805,Five-sevenのポスター
furniture-10032806,子供たちのクリスマス
furniture-20032806,Gr G36のポスター
furniture-10032807,赤耳のTMP
furniture-20032807,TMPのポスター。
furniture-10032901,新年の祈り
furniture-20032901,64式自のポスター。
furniture-10032902,正月のゲームマスター
furniture-20032902,Am RFBのポスター
furniture-10032903,銃使ノ巫女
furniture-20032903,一〇〇式のポスター。
furniture-10032904,Insegui l'aquilone
furniture-20032904,カルカノ M91/38のポスター。
furniture-10032905,始まりの鐘
furniture-20032905,カルカノ M1891のポスター。
furniture-10032906,雪月花
furniture-20032906,M1014のポスター。
furniture-10032907,夢花火
furniture-20032907,AS Valのポスター。
furniture-10032908,お祭りの正しい遊び方
furniture-20032908,62式のポスター。
furniture-10033001,星乙女
furniture-20033001,OTs-14のポスター。
furniture-10033002,君影草
furniture-20033002,AK-74Uのポスター。
furniture-10033003,幽谷蘭
furniture-20033003,88式のポスター。
furniture-10033004,薄雪草
furniture-20033004,IWS 2000のポスター。
furniture-10033005,金蓮花
furniture-20033005,CZ75のポスター
furniture-10033006,踊子草
furniture-20033006,Gr MP5のポスター。
furniture-10033007,瑠璃唐草
furniture-20033007,CZ52のポスター。
furniture-10033101,幸せの使命
furniture-20033101,スオミのポスター。
furniture-10033102,スターシルヴァー
furniture-20033102,PKPのポスター。
furniture-10033103,歩き出すあなた
furniture-20033103,Gr G36cのポスター。
furniture-10033105,届いた気持ち
furniture-20033105,Gr Mk23のポスター
furniture-10033106,約束の変身
furniture-20033106,T-5000のポスター。
furniture-10033107,待望の明日
furniture-20033107,ゲパード M1のポスター。
furniture-10033201,龍狼の子
furniture-20033201,コンテンダーのポスター。
furniture-10033202,黒石姫
furniture-20033202,ネゲヴのポスター。
furniture-10033203,ゴブリンハンター
furniture-20033203,SPAS-12のポスター。
furniture-10033204,グリフィンの舞姫
furniture-20033204,トカレフのポスター。
furniture-10033205,マントと猫耳
furniture-20033205,IDWのポスター。
furniture-10033301,夜明け前
furniture-20033301,K2のポスター
furniture-10033302,青藍なる静寂
furniture-20033302,AK-12のポスター。
furniture-10033303,鮮紅たる沈黙
furniture-20033303,AN-94のポスター。
furniture-10033304,白うさぎのサマーパーティ
furniture-20033304,M99のポスター。
furniture-10033305,パーティの観測者
furniture-20033305,MDRのポスター。
furniture-10033306,星空フォックストロット
furniture-20033306,79式のポスター。
furniture-10033307,月光とエメラルド
furniture-20033307,Gr G28のポスター。
furniture-10033308,運命のワルツ
furniture-20033308,K5のポスター
furniture-10033309,ブラックスワンの夢
furniture-20033309,Thunderのポスター。
furniture-10030524,ステラ・星井-親友のアーマー
furniture-20030524,ステラ・星井のポスター。
furniture-10030525,ドロシー・ヘイズ-メガクリスマス・ドレス
furniture-20030525,ドロシー・ヘイズのポスター。
furniture-10030526,デイナ・ゼイン-赤い彗星
furniture-20030526,デイナ・ゼインのポスター。
furniture-10030527,セイ・P・アサギリ-親友の私服
furniture-20030527,セイ・P・アサギリのポスター。
furniture-10030528,アルマ・アルマス-中学生大冒険
furniture-20030528,アルマ・アルマスのポスター。
furniture-10030529,ジル・スティングレイ-モデル戦士
furniture-20030529,ジル・スティングレイのポスター。
furniture-10030506,キアナの礼装
furniture-20030506,キアナのポスター。
furniture-10030507,ブローニャの装甲
furniture-20030507,ブローニャのポスター。
furniture-10030508,ゼーレ-ゼーレの祭礼
furniture-20030508,シーアのポスター。
furniture-10030521,冬の旅
furniture-20030521,UMP45のポスター
furniture-10030522,マーチングバンド
furniture-20030522,SPAS-12のポスター。
furniture-10030523,歩く手術台
furniture-20030523,GSh-18のポスター。
furniture-10033401,くろねこの贈りもの
furniture-20033401,416のポスター。
furniture-10033402,ちっちゃなかがくしゃ
furniture-20033402,K11のポスター。
furniture-10033403,たれうさSS
furniture-20033403,UMP45のポスター
furniture-10033404,柴犬すかうたー
furniture-20033404,UMP9のポスター。
furniture-10033405,天使の絵筆
furniture-20033405,KSVKのポスター。
furniture-10033406,異能少女ぶうりん
furniture-20033406,OTs-44のポスター。
furniture-10033501,ラッキースターの休日
furniture-20033501,R93のポスター。
furniture-10033502,UVカット大作戦
furniture-20033502,ルイスのポスター。
furniture-10033503,進撃の飛魚
furniture-20033503,C-MSのポスター。
furniture-10033504,溺水防止アタッチメント
furniture-20033504,88式のポスター。
furniture-10033505,海角四号
furniture-20033505,四式のポスター。
furniture-10033506,カラスの救命員
furniture-20033506,セルジュコフのポスター。
furniture-10033507,水泳課題
furniture-20033507,Z-62のポスター。
furniture-10033601,水色の青春
furniture-20033601,ADSのポスター。
furniture-10033602,秘密のガールズトーク
furniture-20033602,S.A.T.8のポスター
furniture-10033603,月下の祈り
furniture-20033603,Gr G36のポスター。
furniture-10033604,朧月夜
furniture-20033604,FF M249SAWのポスター。
furniture-10033605,百花繚乱
furniture-20033605,OTs-12のポスター。
furniture-10033701,高校胸キュン物語
furniture-20033701,PA-15のポスター。
furniture-10033702,純白の卒業式
furniture-20033702,95式のポスター。
furniture-10033703,ちこくちこくー！
furniture-20033703,97式のポスター。
furniture-10033704,兎攻隊長
furniture-20033704,SR-3MPのポスター。
furniture-10033705,始業を告げる猫の歌
furniture-20033705,Gr Mk23のポスター
furniture-10033706,放課後の寄り道
furniture-20033706,M590のポスター
furniture-10033707,休み時間の白昼夢
furniture-20033707,M500のポスター。
furniture-10033708,プリズムにゃんこパワー
furniture-20033708,TMPのポスター。
furniture-10033801,
furniture-20033801,
furniture-10033802,
furniture-20033802,
furniture-10033803,
furniture-20033803,
furniture-10033805,
furniture-20033805,
furniture-10033806,
furniture-20033806,
furniture-10033807,
furniture-20033807,
furniture-10033808,
furniture-20033808,
furniture-10033809,
furniture-20033809,
furniture-10034101,巫女の大吉おみくじ
furniture-20034101,SR-3MPのポスター。
furniture-10034102,福ねずみの寝正月
furniture-20034102,Gr G11のポスター
furniture-10034103,花びらの羽子板
furniture-20034103,四式のポスター。
furniture-10034104,花と夢の破魔矢
furniture-20034104,9A-91のポスター。
furniture-10034105,迎春の獅子舞
furniture-20034105,MG3のポスター。
furniture-10034106,紅梅白雪
furniture-20034106,M1A1のポスター。
furniture-10034107,君とともに
furniture-20034107,ファルコンのポスター。
furniture-10034201,
furniture-20034201,
furniture-10034202,
furniture-20034202,PA-15のポスター。
furniture-10034203,
furniture-20034203,PKPのポスター。
furniture-10034204,
furniture-20034204,
furniture-10034205,
furniture-20034205,
furniture-10034206,
furniture-20034206,
furniture-10034207,
furniture-20034207,SPP-1のポスター
furniture-10034208,
furniture-20034208,M1895 CBのポスター。
furniture-10034209,
furniture-20034209,
furniture-10034210,
furniture-20034210,
furniture-10034301,
furniture-20034301,
furniture-10034302,
furniture-20034302,M950Aのポスター。
furniture-10034303,
furniture-20034303,グリズリーのポスター
furniture-10034304,
furniture-20034304,Zas M21のポスター
furniture-10034305,
furniture-20034305,M1014のポスター。
furniture-10034306,
furniture-20034306,
furniture-10034308,いちごケーキとハルシャギク
furniture-20034308,FF FNCのポスター
furniture-10034309,
furniture-20034309,RMB-93のポスター
furniture-10034310,
furniture-20034310,
furniture-10034401,
furniture-20034401,
furniture-10034402,
furniture-20034402,PA-15のポスター。
furniture-10034403,
furniture-20034403,
furniture-10034404,
furniture-20034404,
furniture-10034405,
furniture-20034405,
furniture-10034406,
furniture-20034406,
furniture-10003103,眠りん坊の精霊
furniture-20003103,眠りん坊専用のふかふかのアイテム。上に横たわると経験値も増えていきそう……って、んなわけあるかー！夢見てないで、さっさと起きて働け、じゃなきゃ経験値は手に入らん！
furniture-10003108,
furniture-20003108,
furniture-10003109,
furniture-20003109,
furniture-10003110,バーの顔出しパネル
furniture-20003110,バーテンダーの仕事を体験したいって輩が突然増えたけど、もしかしてまたあのゲームの影響なのかしら。まぁ、それでも結構よ。いつになるかはわからないけど、このパネルが正真正銘のバーカウンターになったら、有名アイドルがSNSで自慢するような理想郷になるわ！
furniture-10003111,
furniture-20003111,
furniture-10003112,金賞記念トロフィー
furniture-20003112,頂点に立ちたい、たとえこれ以上実質的な何かを得られないとしても。しかし、それは頂点である――そもそも人はなぜ高い頂点を目指す？もっと薄い空気のために？そしてこの金ピカのカップも同じく、何か実質的な意義があるわけでもない。所詮、ただの頂点に過ぎないのだ。
furniture-10003113,銀賞記念トロフィー
furniture-20003113,青銅と黄金に比べ、白銀はいつも地味に見られてしまう、実に困ったものだ。しかし、白銀の持つ価値は確かに本物なのであろう、その輝きも、戦闘力も。
furniture-10003114,銅賞記念トロフィー
furniture-20003114,第三位なんて必要ないって思う人も多いかもしれないが、人が生きるためにはやはり夢ってのが必要でしょ？何せよ、人を惹きつけているのは、いつも未知なる世界なのだから。
furniture-10000101,ハロウィン-ゴシック・ベッド
furniture-20000101,ハロウィンをイメージしたベッド。暗黒時代より伝わりしデザインは、眠る者すべてを美しく神秘的な夢の世界へいざない、魔法のうさぎさんや、ハートの女王、500人の坊主頭などに会わせてくれる。
furniture-10000102,ハロウィン-エクリプス・ラグ
furniture-20000102,このラグを敷けば、どんな部屋でも神秘的な雰囲気に満たされる。グリフィンの兵舎や、学校のバスケットコートでさえも。
furniture-10000103,ハロウィン-シャドーチェア(左)
furniture-20000103,孤高の玉座。これに腰掛けると、ワイングラスしか持てなくなる。コーラを飲むにしても。
furniture-10000104,ハロウィン-シャドーチェア(右)
furniture-20000104,孤高の玉座。これに腰掛けると、ワイングラスしか持てなくなる。コーラを飲むにしても。
furniture-10000105,ハロウィン-巨大な柱時計
furniture-20000105,デジタル時代において、でかくて重い柱時計ほど富と絢爛さを誇示してくれるものはない。それにデジタル時計には、深夜に大きな鐘を鳴らし、幽霊を召喚することは不可能だ。
furniture-10000106,ハロウィン-カボチャのお菓子入れ
furniture-20000106,ハロウィンにお菓子のつまったカボチャは必須でしょ？これさえあればどんな戦術少女も怖くないよ。たとえP7でも。
furniture-10000107,ハロウィン-ゴシック・カーペット
furniture-20000107,この毛足の長く豪奢な絨毯を敷かないと、ハロウィン独特の雰囲気は出ない。ただし、ジュースをこぼさないよう注意してね。
furniture-10000108,ハロウィン-シャドーソファ
furniture-20000108,シャドーチェアが進化し、シャドーソファになった。二人掛けになり、孤高さも二倍に！って……え？
furniture-10000109,ハロウィン-華麗な丸テーブル
furniture-20000109,黒魔術召喚に適した丸テーブル。ハロウィンの夜はこれで決まり！
furniture-10000110,ハロウィン-星々の壁紙
furniture-20000110,薄暗い夜空をイメージした壁紙に、微かな光を放つ星々が浮かび、地面に寝転がり星空を眺めている気分にさせてくれる。
furniture-10000111,ハロウィン-ウォールランプ
furniture-20000111,曲線的なデザインはハロウィンの雰囲気にぴったり。古めかしい灯油ランプの明かりが揺らめくのは、何ともたまらない。
furniture-10000112,ハロウィン-ミスティラック
furniture-20000112,ホラー映画から何かを学んだのなら、ハロウィンの日に巻物を開いたり、引き出しを開けたりしないこと。ましてや、書物に書かれた怪しげな文字列を読み上げるなんてもってのほか。
furniture-10000113,ハロウィン-風変わりな絵
furniture-20000113,どんな絵を選ぶかで部屋の雰囲気は決まる。最も大事なのは色彩と調和。
furniture-10000114,ハロウィン-クモ
furniture-20000114,真っ黒で毛むくじゃらのクモがいてこそのハロウィン。ただし、驚かすのは普通の人間の女の子ではなく、戦術少女であることに注意。事前に傷害保険に入っておくのがおすすめ。
furniture-10000115,ハロウィン-黒猫のいる出窓
furniture-20000115,グリフィンの窓はすべて超高精細度スクリーンだけど、明かりの瞬く幻想的な夜景は、確かに温かさを感じさせてくれる。可愛い猫ちゃんがついているのなら、なおさらだ。
furniture-10000201,初期-ベッド
furniture-20000201,IOPから配られた箱で作ったベッド。解体して使用すれば暖も取れる。
furniture-10000202,初期-ダンボール箱
furniture-20000202,IOPから配られた箱。中身が何かは知らないが、腰掛けるにはぴったり。
furniture-10000203,初期-ダンボール箱
furniture-20000203,IOPから配られた箱。中身が何かは知らないが、腰掛けるにはぴったり。
furniture-10000204,初期-フロア
furniture-20000204,グリフィンの床のあるべき姿。鉄筋コンクリートという武骨な建材が飾らない設計哲学として流行しだしたのは、意外にも前世紀から。
furniture-10000205,初期-弾薬箱
furniture-20000205,本部からいつも支給される弾薬箱。マシンガンを使用する戦術少女たちの一番のお友達。
furniture-10000206,初期-テーブル
furniture-20000206,IOPから配られた箱。中身が何かは知らないが、テーブルとして使うにはぴったり。
furniture-10000207,初期-壁紙
furniture-20000207,グリフィンの壁のあるべき姿。鉄筋コンクリートという武骨な建材が飾らない設計哲学として流行しだしたのは、意外にも前世紀から。
furniture-10000301,新世界(I)-チェックタイル
furniture-20000301,二色のタイルが交錯した最も典型的なデザイン。ただし、頻繁に掃除が必要となる。
furniture-10000302,新世界(I)-色褪せた壁紙
furniture-20000302,少し褪せた色が、前世紀60年代の黄金時代を思い出させる。
furniture-10000303,新世界(I)-折りたたみベッド
furniture-20000303,野戦病院からもらってきたベッド。ダンボール箱のベッドよりもずっと快適らしい。セットの国防色の毛布で暖も取れる。
furniture-10000304,新世界(I)-回転スツール
furniture-20000304,もとはどこかのファストフード・チェーン店のものらしい。回転率を上げるため、わざと快適すぎないようにできている。
furniture-10000305,新世界(I)-ポールハンガー
furniture-20000305,荒廃して落ちぶれた戦後の世界であっても、身だしなみを整えるのは紳士や淑女にとって大事なこと。明日は放射能雨との予報が出たときはなおさら。
furniture-10000306,新世界(I)-ボトルウォーター
furniture-20000306,清潔な飲料水の確保は何よりも大切。キャップをひねった時にカチッと音がすると、心底ホッとする。
furniture-10000307,新世界(I)-引っ越しの荷物
furniture-20000307,たびたび引っ越す前線基地では、梱包済みのダンボール箱とはいやでも仲良くなる。
furniture-10000308,新世界(I)-スチームヒーター
furniture-20000308,基地では廃熱を利用した暖房が普及しているが、この精巧な金属製品はインテリアとしての価値を認められ、今も残されている。
furniture-10000309,新世界(I)-セーフティボックス
furniture-20000309,誰も暗証番号を知らないがため、長年閉ざされている大きな箱。仕方なく椅子として使っているが、中身が核弾頭でないことを祈る。
furniture-10000310,新世界(I)-スチールテーブル
furniture-20000310,ファストフード・チェーン店のテーブル。各種調味料のほか、12年前の古すぎる雑誌が置かれているのは、誰の趣味なんだろうか。
furniture-10000311,新世界(I)-ポスター
furniture-20000311,終戦後はカレンダーも作られなくなったし、もちろん熱々のホットドッグも買えなくなった。
furniture-10000312,新世界(I)-壁掛け時計
furniture-20000312,いや、サルバドール・ダリの作品でも何でもなく、誰かのいたずらで針が曲がっているだけだよ。
furniture-10000313,新世界(I)-換気扇
furniture-20000313,換気扇は空気を循環させてくれるほかに、静かすぎるときのBGMにもなり得る。
furniture-10000314,新世界(I)-ウォールライト
