main_quest-10000001,作戦完了：通常1-1
main_quest-10000077,全域封鎖：緊急3-1
main_quest-20000077,緊急【3-1】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000078,全域封鎖：緊急3-2
main_quest-20000078,緊急【3-2】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000079,全域封鎖：緊急3-3
main_quest-20000079,緊急【3-3】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000080,全域封鎖：緊急3-4
main_quest-20000080,緊急【3-4】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000081,全域封鎖：緊急4-1
main_quest-20000081,緊急【4-1】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000082,全域封鎖：緊急4-2
main_quest-20000082,緊急【4-2】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000083,全域封鎖：緊急4-3
main_quest-20000083,緊急【4-3】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000084,全域封鎖：緊急4-4
main_quest-20000084,緊急【4-4】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000085,全域封鎖：0-1
main_quest-20000085,【0-1】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000086,全域封鎖：0-2
main_quest-20000086,【0-2】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000087,全域封鎖：0-3
main_quest-20000087,【0-3】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000088,全域封鎖：0-4
main_quest-20000088,【0-4】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000089,完全勝利：通常1-1
main_quest-20000089,通常【1-1】をS評価でクリアし、金星勲章を獲得。
main_quest-10000090,完全勝利：通常1-2
main_quest-20000090,通常【1-2】をS評価でクリアし、金星勲章を獲得。
main_quest-10000091,完全勝利：通常1-3
main_quest-20000091,通常【1-3】をS評価でクリアし、金星勲章を獲得。
main_quest-10000092,完全勝利：通常1-4
main_quest-20000092,通常【1-4】をS評価でクリアし、金星勲章を獲得。
main_quest-10000093,完全勝利：通常1-5
main_quest-20000093,通常【1-5】をS評価でクリアし、金星勲章を獲得。
main_quest-10000094,完全勝利：通常1-6
main_quest-20000094,通常【1-6】をS評価でクリアし、金星勲章を獲得。
main_quest-10000095,完全勝利：通常2-1
main_quest-20000095,通常【2-1】をS評価でクリアし、金星勲章を獲得。
main_quest-10000096,完全勝利：通常2-2
main_quest-20000096,通常【2-2】をS評価でクリアし、金星勲章を獲得。
main_quest-10000097,完全勝利：通常2-3
main_quest-20000097,通常【2-3】をS評価でクリアし、金星勲章を獲得。
main_quest-10000098,完全勝利：通常2-4
main_quest-20000098,通常【2-4】をS評価でクリアし、金星勲章を獲得。
main_quest-10000099,完全勝利：通常2-5
main_quest-20000099,通常【2-5】をS評価でクリアし、金星勲章を獲得。
main_quest-10000100,完全勝利：通常2-6
main_quest-20000100,通常【2-6】をS評価でクリアし、金星勲章を獲得。
main_quest-10000101,完全勝利：通常3-1
main_quest-20000101,通常【3-1】をS評価でクリアし、金星勲章を獲得。
main_quest-10000102,完全勝利：通常3-2
main_quest-20000102,通常【3-2】をS評価でクリアし、金星勲章を獲得。
main_quest-10000103,完全勝利：通常3-3
main_quest-20000103,通常【3-3】をS評価でクリアし、金星勲章を獲得。
main_quest-10000104,完全勝利：通常3-4
main_quest-20000104,通常【3-4】をS評価でクリアし、金星勲章を獲得。
main_quest-10000105,完全勝利：通常3-5
main_quest-20000105,通常【3-5】をS評価でクリアし、金星勲章を獲得。
main_quest-10000106,完全勝利：通常3-6
main_quest-20000106,通常【3-6】をS評価でクリアし、金星勲章を獲得。
main_quest-10000107,完全勝利：通常4-1
main_quest-20000107,通常【4-1】をS評価でクリアし、金星勲章を獲得。
main_quest-10000108,完全勝利：通常4-2
main_quest-20000108,通常【4-2】をS評価でクリアし、金星勲章を獲得。
main_quest-10000109,完全勝利：通常4-3
main_quest-20000109,通常【4-3】をS評価でクリアし、金星勲章を獲得。
main_quest-10000110,完全勝利：通常4-4
main_quest-20000110,通常【4-4】をS評価でクリアし、金星勲章を獲得。
main_quest-10000111,完全勝利：通常4-5
main_quest-20000111,通常【4-5】をS評価でクリアし、金星勲章を獲得。
main_quest-10000112,完全勝利：通常4-6
main_quest-20000112,通常【4-6】をS評価でクリアし、金星勲章を獲得。
main_quest-10000113,完全勝利：緊急1-1
main_quest-20000113,緊急【1-1】をS評価でクリアし、金星勲章を獲得。
main_quest-10000114,完全勝利：緊急1-2
main_quest-20000114,緊急【1-2】をS評価でクリアし、金星勲章を獲得。
main_quest-10000115,完全勝利：緊急1-3
main_quest-20000115,緊急【1-3】をS評価でクリアし、金星勲章を獲得。
main_quest-10000116,完全勝利：緊急1-4
main_quest-20000116,緊急【1-4】をS評価でクリアし、金星勲章を獲得。
main_quest-10000117,完全勝利：緊急2-1
main_quest-20000117,緊急【2-1】をS評価でクリアし、金星勲章を獲得。
main_quest-10000118,完全勝利：緊急2-2
main_quest-20000118,緊急【2-2】をS評価でクリアし、金星勲章を獲得。
main_quest-10000119,完全勝利：緊急2-3
main_quest-20000119,緊急【2-3】をS評価でクリアし、金星勲章を獲得。
main_quest-10000120,完全勝利：緊急2-4
main_quest-20000120,緊急【2-4】をS評価でクリアし、金星勲章を獲得。
main_quest-10000121,完全勝利：緊急3-1
main_quest-20000121,緊急【3-1】をS評価でクリアし、金星勲章を獲得。
main_quest-10000122,完全勝利：緊急3-2
main_quest-20000122,緊急【3-2】をS評価でクリアし、金星勲章を獲得。
main_quest-10000123,完全勝利：緊急3-3
main_quest-20000123,緊急【3-3】をS評価でクリアし、金星勲章を獲得。
main_quest-10000124,完全勝利：緊急3-4
main_quest-20000124,緊急【3-4】をS評価でクリアし、金星勲章を獲得。
main_quest-10000125,完全勝利：緊急4-1
main_quest-20000125,緊急【4-1】をS評価でクリアし、金星勲章を獲得。
main_quest-10000126,完全勝利：緊急4-2
main_quest-20000126,緊急【4-2】をS評価でクリアし、金星勲章を獲得。
main_quest-10000127,完全勝利：緊急4-3
main_quest-20000127,緊急【4-3】をS評価でクリアし、金星勲章を獲得。
main_quest-10000128,完全勝利：緊急4-4
main_quest-20000128,緊急【4-4】をS評価でクリアし、金星勲章を獲得。
main_quest-10000129,完全勝利：0-1
main_quest-20000129,【0-1】をS評価でクリアし、金星勲章を獲得。
main_quest-10000130,完全勝利：0-2
main_quest-20000130,【0-2】をS評価でクリアし、金星勲章を獲得。
main_quest-10000131,完全勝利：0-3
main_quest-20000131,【0-3】をS評価でクリアし、金星勲章を獲得。
main_quest-10000132,完全勝利：0-4
main_quest-20000132,【0-4】をS評価でクリアし、金星勲章を獲得。
main_quest-10000133,レベルアップ：Lv5
main_quest-20000133,指揮官Lvが5になる。
main_quest-10000134,レベルアップ：Lv10
main_quest-20000134,指揮官Lvが10になる。
main_quest-10000135,レベルアップ：Lv15
main_quest-20000135,指揮官Lvが15になる。
main_quest-10000136,レベルアップ：Lv20
main_quest-20000136,指揮官Lvが20になる。
main_quest-10000137,レベルアップ：Lv25
main_quest-20000137,指揮官Lvが25になる。
main_quest-10000138,レベルアップ：Lv30
main_quest-20000138,指揮官Lvが30になる。
main_quest-10000139,レベルアップ：Lv35
main_quest-20000139,指揮官Lvが35になる。
main_quest-10000140,レベルアップ：Lv40
main_quest-20000140,指揮官Lvが40になる。
main_quest-10000141,レベルアップ：Lv45
main_quest-20000141,指揮官Lvが45になる。
main_quest-10000142,レベルアップ：Lv50
main_quest-20000142,指揮官Lvが50になる。
main_quest-10000143,レベルアップ：Lv60
main_quest-20000143,指揮官Lvが60になる。
main_quest-10000144,レベルアップ：Lv70
main_quest-20000144,指揮官Lvが70になる。
main_quest-10000145,レベルアップ：Lv80
main_quest-20000145,指揮官Lvが80になる。
main_quest-10000146,レベルアップ：Lv90
main_quest-20000146,指揮官Lvが90になる。
main_quest-10000147,レベルアップ：Lv100
main_quest-20000147,指揮官Lvが100になる。
main_quest-10000148,レベルアップ：Lv120
main_quest-20000148,指揮官Lvが120になる。
main_quest-10000149,レベルアップ：Lv140
main_quest-20000149,指揮官Lvが140になる。
main_quest-10000150,レベルアップ：Lv160
main_quest-20000150,指揮官Lvが160になる。
main_quest-10000151,レベルアップ：Lv180
main_quest-20000151,指揮官Lvが180になる。
main_quest-10000152,レベルアップ：Lv200
main_quest-20000152,指揮官Lvが200になる。
main_quest-10000153,作戦完了：通常5-1
main_quest-20000153,通常【5-1】を初クリアし、銅星勲章を獲得。
main_quest-10000154,作戦完了：通常5-2
main_quest-20000154,通常【5-2】を初クリアし、銅星勲章を獲得。
main_quest-10000155,作戦完了：通常5-3
main_quest-20000155,通常【5-3】を初クリアし、銅星勲章を獲得。
main_quest-10000156,作戦完了：通常5-4
main_quest-20000156,通常【5-4】を初クリアし、銅星勲章を獲得。
main_quest-10000157,作戦完了：通常5-5
main_quest-20000157,通常【5-5】を初クリアし、銅星勲章を獲得。
main_quest-10000158,作戦完了：通常5-6
main_quest-20000158,通常【5-6】を初クリアし、銅星勲章を獲得。
main_quest-10000159,作戦完了：緊急5-1
main_quest-20000159,緊急【5-1】を初クリアし、銅星勲章を獲得。
main_quest-10000160,作戦完了：緊急5-2
main_quest-20000160,緊急【5-2】を初クリアし、銅星勲章を獲得。
main_quest-10000161,作戦完了：緊急5-3
main_quest-20000161,緊急【5-3】を初クリアし、銅星勲章を獲得。
main_quest-10000162,作戦完了：緊急5-4
main_quest-20000162,緊急【5-4】を初クリアし、銅星勲章を獲得。
main_quest-10000163,全域封鎖：通常5-1
main_quest-20000163,通常【5-1】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000164,全域封鎖：通常5-2
main_quest-20000164,通常【5-2】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000165,全域封鎖：通常5-3
main_quest-20000165,通常【5-3】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000166,全域封鎖：通常5-4
main_quest-20000166,通常【5-4】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000167,全域封鎖：通常5-5
main_quest-20000167,通常【5-5】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000168,全域封鎖：通常5-6
main_quest-20000168,通常【5-6】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000169,全域封鎖：緊急5-1
main_quest-20000169,緊急【5-1】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000170,全域封鎖：緊急5-2
main_quest-20000170,緊急【5-2】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000171,全域封鎖：緊急5-3
main_quest-20000171,緊急【5-3】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000172,全域封鎖：緊急5-4
main_quest-20000172,緊急【5-4】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000173,完全勝利：通常5-1
main_quest-20000173,通常【5-1】をS評価でクリアし、金星勲章を獲得。
main_quest-10000174,完全勝利：通常5-2
main_quest-20000174,通常【5-2】をS評価でクリアし、金星勲章を獲得。
main_quest-10000175,完全勝利：通常5-3
main_quest-20000175,通常【5-3】をS評価でクリアし、金星勲章を獲得。
main_quest-10000176,完全勝利：通常5-4
main_quest-20000176,通常【5-4】をS評価でクリアし、金星勲章を獲得。
main_quest-10000177,完全勝利：通常5-5
main_quest-20000177,通常【5-5】をS評価でクリアし、金星勲章を獲得。
main_quest-10000178,完全勝利：通常5-6
main_quest-20000178,通常【5-6】をS評価でクリアし、金星勲章を獲得。
main_quest-10000179,完全勝利：緊急5-1
main_quest-20000179,緊急【5-1】をS評価でクリアし、金星勲章を獲得。
main_quest-10000180,完全勝利：緊急5-2
main_quest-20000180,緊急【5-2】をS評価でクリアし、金星勲章を獲得。
main_quest-10000181,完全勝利：緊急5-3
main_quest-20000181,緊急【5-3】をS評価でクリアし、金星勲章を獲得。
main_quest-10000182,完全勝利：緊急5-4
main_quest-20000182,緊急【5-4】をS評価でクリアし、金星勲章を獲得。
main_quest-10000183,レベルアップ：Lv220
main_quest-20000183,指揮官Lvが220になる。
main_quest-10000184,レベルアップ：Lv240
main_quest-20000184,指揮官Lvが240になる。
main_quest-10000185,レベルアップ：Lv260
main_quest-20000185,指揮官Lvが260になる。
main_quest-10000186,レベルアップ：Lv280
main_quest-20000186,指揮官Lvが280になる。
main_quest-10000187,レベルアップ：Lv300
main_quest-20000187,指揮官Lvが300になる。
main_quest-10000188,作戦完了：夜戦1-1
main_quest-20000188,夜戦【1-1】を初クリア。
main_quest-10000189,作戦完了：夜戦1-2
main_quest-20000189,夜戦【1-2】を初クリア。
main_quest-10000190,作戦完了：夜戦1-3
main_quest-20000190,夜戦【1-3】を初クリア。
main_quest-10000191,作戦完了：夜戦1-4
main_quest-20000191,夜戦【1-4】を初クリア。
main_quest-10000192,作戦完了：夜戦2-1
main_quest-20000192,夜戦【2-1】を初クリア。
main_quest-10000193,作戦完了：夜戦2-2
main_quest-20000193,夜戦【2-2】を初クリア。
main_quest-10000194,作戦完了：夜戦2-3
main_quest-20000194,夜戦【2-3】を初クリア。
main_quest-10000195,作戦完了：夜戦2-4
main_quest-20000195,夜戦【2-4】を初クリア。
main_quest-10000196,作戦完了：夜戦3-1
main_quest-20000196,夜戦【3-1】を初クリア。
main_quest-10000197,作戦完了：夜戦3-2
main_quest-20000197,夜戦【3-2】を初クリア。
main_quest-10000198,作戦完了：夜戦3-3
main_quest-20000198,夜戦【3-3】を初クリア。
main_quest-10000199,作戦完了：夜戦3-4
main_quest-20000199,夜戦【3-4】を初クリア。
main_quest-10000200,作戦完了：通常6-1
main_quest-20000200,通常【6-1】を初クリアし、銅星勲章を獲得。
main_quest-10000201,作戦完了：通常6-2
main_quest-20000201,通常【6-2】を初クリアし、銅星勲章を獲得。
main_quest-10000202,作戦完了：通常6-3
main_quest-20000202,通常【6-3】を初クリアし、銅星勲章を獲得。
main_quest-10000203,作戦完了：通常6-4
main_quest-20000203,通常【6-4】を初クリアし、銅星勲章を獲得。
main_quest-10000204,作戦完了：通常6-5
main_quest-20000204,通常【6-5】を初クリアし、銅星勲章を獲得。
main_quest-10000205,作戦完了：通常6-6
main_quest-20000205,通常【6-6】を初クリアし、銅星勲章を獲得。
main_quest-10000206,作戦完了：緊急6-1
main_quest-20000206,緊急【6-1】を初クリアし、銅星勲章を獲得。
main_quest-10000207,作戦完了：緊急6-2
main_quest-20000207,緊急【6-2】を初クリアし、銅星勲章を獲得。
main_quest-10000208,作戦完了：緊急6-3
main_quest-20000208,緊急【6-3】を初クリアし、銅星勲章を獲得。
main_quest-10000209,作戦完了：緊急6-4
main_quest-20000209,緊急【6-4】を初クリアし、銅星勲章を獲得。
main_quest-10000210,全域封鎖：通常6-1
main_quest-20000210,通常【6-1】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000211,全域封鎖：通常6-2
main_quest-20000211,通常【6-2】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000212,全域封鎖：通常6-3
main_quest-20000212,通常【6-3】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000213,全域封鎖：通常6-4
main_quest-20000213,通常【6-4】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000214,全域封鎖：通常6-5
main_quest-20000214,通常【6-5】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000215,全域封鎖：通常6-6
main_quest-20000215,通常【6-6】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000216,全域封鎖：緊急6-1
main_quest-20000216,緊急【6-1】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000217,全域封鎖：緊急6-2
main_quest-20000217,緊急【6-2】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000218,全域封鎖：緊急6-3
main_quest-20000218,緊急【6-3】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000219,全域封鎖：緊急6-4
main_quest-20000219,緊急【6-4】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000220,完全勝利：通常6-1
main_quest-20000220,通常【6-1】をS評価でクリアし、金星勲章を獲得。
main_quest-10000221,完全勝利：通常6-2
main_quest-20000221,通常【6-2】をS評価でクリアし、金星勲章を獲得。
main_quest-10000222,完全勝利：通常6-3
main_quest-20000222,通常【6-3】をS評価でクリアし、金星勲章を獲得。
main_quest-10000223,完全勝利：通常6-4
main_quest-20000223,通常【6-4】をS評価でクリアし、金星勲章を獲得。
main_quest-10000224,完全勝利：通常6-5
main_quest-20000224,通常【6-5】をS評価でクリアし、金星勲章を獲得。
main_quest-10000225,完全勝利：通常6-6
main_quest-20000225,通常【6-6】をS評価でクリアし、金星勲章を獲得。
main_quest-10000226,完全勝利：緊急6-1
main_quest-20000226,緊急【6-1】をS評価でクリアし、金星勲章を獲得。
main_quest-10000227,完全勝利：緊急6-2
main_quest-20000227,緊急【6-2】をS評価でクリアし、金星勲章を獲得。
main_quest-10000228,完全勝利：緊急6-3
main_quest-20000228,緊急【6-3】をS評価でクリアし、金星勲章を獲得。
main_quest-10000229,完全勝利：緊急6-4
main_quest-20000229,緊急【6-4】をS評価でクリアし、金星勲章を獲得。
main_quest-10000230,作戦完了：夜戦4-1
main_quest-20000230,夜戦【4-1】を初クリア。
main_quest-10000231,作戦完了：夜戦4-2
main_quest-20000231,夜戦【4-2】を初クリア。
main_quest-10000232,作戦完了：夜戦4-3
main_quest-20000232,夜戦【4-3】を初クリア。
main_quest-10000233,作戦完了：夜戦4-4
main_quest-20000233,夜戦【4-4】を初クリア。
main_quest-10000234,作戦完了：通常7-1
main_quest-20000234,通常【7-1】を初クリアし、銅星勲章を獲得。
main_quest-10000235,作戦完了：通常7-2
main_quest-20000235,通常【7-2】を初クリアし、銅星勲章を獲得。
main_quest-10000236,作戦完了：通常7-3
main_quest-20000236,通常【7-3】を初クリアし、銅星勲章を獲得。
main_quest-10000237,作戦完了：通常7-4
main_quest-20000237,通常【7-4】を初クリアし、銅星勲章を獲得。
main_quest-10000238,作戦完了：通常7-5
main_quest-20000238,通常【7-5】を初クリアし、銅星勲章を獲得。
main_quest-10000239,作戦完了：通常7-6
main_quest-20000239,通常【7-6】を初クリアし、銅星勲章を獲得。
main_quest-10000240,作戦完了：緊急7-1
main_quest-20000240,緊急【7-1】を初クリアし、銅星勲章を獲得。
main_quest-10000241,作戦完了：緊急7-2
main_quest-20000241,緊急【7-2】を初クリアし、銅星勲章を獲得。
main_quest-10000242,作戦完了：緊急7-3
main_quest-20000242,緊急【7-3】を初クリアし、銅星勲章を獲得。
main_quest-10000243,作戦完了：緊急7-4
main_quest-20000243,緊急【7-4】を初クリアし、銅星勲章を獲得。
main_quest-10000244,全域封鎖：通常7-1
main_quest-20000244,通常【7-1】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000245,全域封鎖：通常7-2
main_quest-20000245,通常【7-2】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000246,全域封鎖：通常7-3
main_quest-20000246,通常【7-3】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000247,全域封鎖：通常7-4
main_quest-20000247,通常【7-4】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000248,全域封鎖：通常7-5
main_quest-20000248,通常【7-5】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000249,全域封鎖：通常7-6
