career_quest-10000001,戦役任務：初の自律作戦
career_quest-20000023,人形2体（RF、MGタイプ）に破甲アイテムを装備させる//n※破甲アイテムを装備すると、夜戦時に装甲に与えるダメージがアップします
career_quest-10000024,編成任務：第2部隊編成
career_quest-20000024,部隊2の人形5体の編成を完了する
career_quest-10000025,編成任務：攻守バランス小隊
career_quest-20000025,SMG×2、AR×2、HG×1の部隊を編成する//n※初期の比較的早い段階で入手でき、初期開拓段階での使用に適しています
career_quest-10000026,編成任務：リモートコントロール小隊
career_quest-20000026,HG×2、RF×2、SMG×1の部隊を編成する//n※遠距離火力が高く、迅速に後衛を撃破します
career_quest-10000027,編成任務：狂乱爆撃小隊
career_quest-20000027,SMG×2、MG×2、HG×1の部隊を編成する//n※非常に瞬間火力の高い部隊ですが、MGがリロードに入ると一気に火力は落ちる
career_quest-10000028,編成任務：救援小隊
career_quest-20000028,HG×5の部隊を編成する//n※5ハンドガンは毎回の行動消費が最小化され、飛行場占領、救援等の任務を首尾よく完了できます
career_quest-10000029,編成任務：精鋭小隊
career_quest-20000029,SG×2、MG×2、HG×1の部隊を編成する//n※大型人形製造が開放されると、完成したSGに高い防御力を付与したり、MGの能力を向上させることができるようになります
career_quest-10000050,工廠任務：人形を初製造
career_quest-20000050,人形製造を5回行う
career_quest-10000051,工廠任務：初の編制拡大
career_quest-20000051,編制拡大を1回完了する//n※工廠の「編制拡大」で代用コアや同じ人形を消費すると、人形の能力が大幅にアップします
career_quest-10000052,工廠任務：人形強化
career_quest-20000052,人形強化を5回行う
career_quest-10000053,工廠任務：人形解体
career_quest-20000053,人形解体を5回行う
career_quest-10000054,工廠任務：装備製造
career_quest-20000054,装備製造を5回行う
career_quest-10000055,工廠任務：装備分解
career_quest-20000055,装備分解を5回行う
career_quest-10000056,工廠任務：AR編制拡大
career_quest-20000056,AR編制拡大を1回完了する
career_quest-10000057,工廠任務：SMG編制拡大
career_quest-20000057,SMG編制拡大を1回完了する
career_quest-10000058,工廠任務：MG編制拡大
career_quest-20000058,MG編制拡大を1回完了する
career_quest-10000059,工廠任務：RF編制拡大
career_quest-20000059,RF編制拡大を1回完了する
career_quest-10000060,工廠任務：HG編制拡大
career_quest-20000060,HG編制拡大を1回完了する
career_quest-10000061,工廠任務：初の大型製造
career_quest-20000061,大型人形製造を1回完了する
career_quest-10000100,宿舍任務：初めてのガチャ
career_quest-20000100,ガチャを1回引く
career_quest-10000101,宿舍任務：初のギフトプレゼント
career_quest-20000101,ギフトを5回プレゼントする//n※収納庫からギフトを人形に贈ると、人形の経験値が増加したり、好感度がアップします
career_quest-10000102,宿舍任務：素敵なスキン
career_quest-20000102,宿舍編集を1回行う
career_quest-10000103,宿舍任務：初の宿舍訪問
career_quest-20000103,宿舍を5回訪問する
career_quest-10000104,宿舍任務：初「いいね」
career_quest-20000104,宿舍で5回「いいね」する
career_quest-10000150,戦友：初の戦友
career_quest-20000150,戦友申請を1回行う
career_quest-10000151,戦友：IDカード背景変更
career_quest-20000151,IDカード背景を1回変更する
career_quest-10000152,戦友：アイコン変更
career_quest-20000152,アイコンを1回変更する
career_quest-10000153,開発：スキルアップ
career_quest-20000153,人形スキル訓練を5回行う
career_quest-10000154,開発：装備強化
career_quest-20000154,装備強化を5回行う
career_quest-10000155,開発：装備較正
career_quest-20000155,装備較正を5回行う
career_quest-10000156,開発：高度な装備較正
career_quest-20000156,装備1点を100%まで較正する
career_quest-10000157,妖精：妖精製造
career_quest-20000157,製造を通して妖精を1体獲得する（注：「大型装備製造」では、一定確率で妖精を獲得します）
career_quest-10000158,妖精：妖精強化
career_quest-20000158,妖精強化を5回行う
career_quest-10000159,妖精：スキル訓練
career_quest-20000159,妖精スキル訓練を5回行う
career_quest-10000160,妖精：妖精較正
career_quest-20000160,妖精較正を5回行う
career_quest-10000161,妖精：妖精解体
career_quest-20000161,妖精解体を5回行う
career_quest-10000162,妖精：荒れた谷レベルアップ
career_quest-20000162,荒れた谷を1回レベルアップさせる
career_quest-10000163,妖精：埃を被った鉄道模型レベルアップ
career_quest-20000163,埃を被った鉄道模型を1回レベルアップさせる
career_quest-10000164,妖精：倉庫模型の基礎レベルアップ
career_quest-20000164,倉庫模型の基礎を1回レベルアップさせる
career_quest-10000165,妖精：真っ白な天気システムレベルアップ
career_quest-20000165,真っ白な天気システムを1回レベルアップさせる
career_quest-10000166,メンタルアップグレード：MOD1
career_quest-20000166,人形1名のメンタルをMOD1にアップグレード
career_quest-10000167,メンタルアップグレード：MOD2
career_quest-20000167,人形1名のメンタルをMOD2にアップグレード
career_quest-10000168,メンタルアップグレード：MOD3
career_quest-20000168,人形1名のメンタルをMOD3にアップグレード
career_quest-10000169,開発：スキル2レベルアップ
career_quest-20000169,人形のスキル2を１回レベルアップさせる
career_quest-10000170,部隊：昼戦部隊設置
career_quest-20000170,１回昼戦部隊を設置する(戦友-IDカード-支援部隊から設置)
career_quest-10000171,部隊：夜戦部隊設置
career_quest-20000171,１回夜戦部隊を設置する(戦友-IDカード-支援部隊から設置)
career_quest-10000172,重装部隊:原始サンプル
career_quest-20000172,初めて原始サンプルを使用してサンプリング分析
career_quest-10000173,重装部隊:純正サンプル
career_quest-20000173,初めて純正サンプルを使用してサンプリング分析
career_quest-10000174,重装部隊:データチップ
career_quest-20000174,データチップを初めて手に入れる
career_quest-10000175,重装部隊:中枢データ
career_quest-20000175,中枢データを初めて手に入れる
career_quest-10000176,重装部隊:解放
career_quest-20000176,火力支援小隊を初めて手に入れる
career_quest-10000177,重装部隊:ランクアップ
career_quest-20000177,重装部隊を初めてランクアップ
career_quest-10000178,重装部隊:上限にランクアップ
career_quest-20000178,重装部隊を初めて上限にランクアップ
career_quest-10000179,重装部隊:経験訓練
career_quest-20000179,初の重装部隊経験訓練
career_quest-10000180,重装部隊:レベル上限
career_quest-20000180,重装部隊のレベルを初めて100にアップさせる
career_quest-10000181,重装部隊:スキル訓練
career_quest-20000181,初の重装部隊スキル訓練
career_quest-10000182,重装部隊:バージョンアップ
career_quest-20000182,初の重装部隊バージョンアップ
career_quest-10000183,重装部隊:データ再構築
career_quest-20000183,初のデータ再構築
career_quest-10000184,重装部隊:データチップ分解
career_quest-20000184,初のデータチップ分解
career_quest-10000185,重装部隊:データチップ強化
career_quest-20000185,初のデータチップ強化
career_quest-10000186,探索：自動編成
career_quest-20000186,初めて自動編成を使用して部隊を編成する
career_quest-10000187,探索：出発
career_quest-20000187,初めて探索へ出発する
career_quest-10000188,探索：回想
career_quest-20000188,初めてライブモニターの回想機能を使用する
career_quest-10000189,探索：報酬受領
career_quest-20000189,初めて報酬を受け取る
career_quest-10000190,探索：商品を交換
career_quest-20000190,交換所で初めて交換をする
career_quest-10000191,クローゼット：染色完了
career_quest-20000191,初めて染色剤を使用して服装を染色する
career_quest-10000192,クローゼット：指揮官スキル解放
career_quest-20000192,初めて指揮官の服装スキルを解放する
career_quest-10000193,クローゼット：指揮官の性別変更
career_quest-20000193,初めて指揮官の性別を変える
career_quest-10000194,IOP特殊任務：人形支援-通常任務
career_quest-20000194,通常任務：通常1-3をクリアする
career_quest-10000195,IOP特殊任務：人形支援-通常任務
career_quest-20000195,通常任務：通常1-5をクリアする
career_quest-10000196,IOP特殊任務：人形支援-通常任務
career_quest-20000196,通常任務：通常1-6をクリアする
career_quest-10000197,IOP特殊任務：人形支援-通常任務
career_quest-20000197,通常任務：通常2-1をクリアする
career_quest-10000198,IOP特殊任務：人形支援-通常任務
career_quest-20000198,通常任務：通常2-2をクリアする
career_quest-10000199,IOP特殊任務：人形支援-通常任務
career_quest-20000199,通常任務：通常2-3をクリアする
career_quest-10000200,IOP特殊任務：人形支援-通常任務
career_quest-20000200,通常任務：通常2-4をクリアする
career_quest-10000201,IOP特殊任務：人形支援-通常任務
career_quest-20000201,通常任務：通常2-5をクリアする
career_quest-10000202,IOP特殊任務：人形支援-通常任務
career_quest-20000202,通常任務：通常2-6をクリアする
career_quest-10000203,IOP特殊任務：人形支援-緊急任務
career_quest-20000203,緊急任務：緊急1-2をクリアする
career_quest-10000204,IOP特殊任務：人形支援-緊急任務
career_quest-20000204,緊急任務：緊急1-3をクリアする
career_quest-10000205,IOP特殊任務：人形支援-緊急任務
career_quest-20000205,緊急任務：緊急1-4をクリアする
career_quest-10000206,IOP特殊任務：人形支援-緊急任務
career_quest-20000206,緊急任務：緊急2-2をクリアする
career_quest-10000207,IOP特殊任務：人形支援-緊急任務
career_quest-20000207,緊急任務：緊急2-3をクリアする
career_quest-10000208,IOP特殊任務：人形支援-緊急任務
career_quest-20000208,緊急任務：緊急2-4をクリアする
career_quest-10000209,IOP特殊任務：人形支援-通常任務
career_quest-20000209,通常任務：通常3-1をクリアする
career_quest-10000210,IOP特殊任務：人形支援-通常任務
career_quest-20000210,通常任務：通常3-2をクリアする
career_quest-10000211,IOP特殊任務：人形支援-通常任務
career_quest-20000211,通常任務：通常3-3をクリアする
career_quest-10000212,IOP特殊任務：人形支援-通常任務
career_quest-20000212,通常任務：通常3-4をクリアする
career_quest-10000213,IOP特殊任務：人形支援-通常任務
career_quest-20000213,通常任務：通常3-5をクリアする
career_quest-10000214,IOP特殊任務：人形支援-通常任務
career_quest-20000214,通常任務：通常3-6をクリアする
career_quest-10000215,IOP特殊任務：人形支援-緊急任務
career_quest-20000215,緊急任務：緊急3-2をクリアする
career_quest-10000216,IOP特殊任務：人形支援-緊急任務
career_quest-20000216,緊急任務：緊急3-3をクリアする
career_quest-10000217,IOP特殊任務：人形支援-緊急任務
career_quest-20000217,緊急任務：緊急3-4をクリアする
career_quest-10000218,IOP特殊任務：人形支援-通常任務
career_quest-20000218,通常任務：通常4-1をクリアする
career_quest-10000219,IOP特殊任務：人形支援-通常任務
career_quest-20000219,通常任務：通常4-2をクリアする
career_quest-10000220,IOP特殊任務：人形支援-通常任務
career_quest-20000220,通常任務：通常4-3をクリアする
career_quest-10000221,IOP特殊任務：人形支援-通常任務
career_quest-20000221,通常任務：通常4-4をクリアする
career_quest-10000222,IOP特殊任務：人形支援-通常任務
career_quest-20000222,通常任務：通常4-5をクリアする
career_quest-10000223,IOP特殊任務：人形支援-通常任務
career_quest-20000223,通常任務：通常4-6をクリアする
career_quest-10000224,IOP特殊任務：人形支援-緊急任務
career_quest-20000224,緊急任務：緊急4-2をクリアする
career_quest-10000225,IOP特殊任務：人形支援-緊急任務
career_quest-20000225,緊急任務：緊急4-3をクリアする
career_quest-10000226,IOP特殊任務：人形支援-緊急任務-最終回
career_quest-20000226,緊急任務：緊急4-4をクリアする
career_quest-10000227,IOP特殊任務：人形支援-通常任務
career_quest-20000227,通常任務：通常5-1をクリアする
career_quest-10000228,IOP特殊任務：人形支援-通常任務
career_quest-20000228,通常任務：通常5-2をクリアする
career_quest-10000229,IOP特殊任務：人形支援-通常任務
career_quest-20000229,通常任務：通常5-3をクリアする
career_quest-10000230,IOP特殊任務：人形支援-通常任務
career_quest-20000230,通常任務：通常5-4をクリアする
career_quest-10000231,IOP特殊任務：人形支援-通常任務
career_quest-20000231,通常任務：通常5-5をクリアする
career_quest-10000241,IOP特殊任務：人形支援-通常任務-最終回
career_quest-20000241,通常任務：通常5-6をクリアする
career_quest-10000232,IOP特殊任務：装備支援-夜戦任務
career_quest-20000232,夜戦任務：夜戦1-2をクリアする
career_quest-10000233,IOP特殊任務：装備支援-夜戦任務
career_quest-20000233,夜戦任務：夜戦1-3をクリアする
career_quest-10000234,IOP特殊任務：装備支援-夜戦任務
career_quest-20000234,夜戦任務：夜戦1-4をクリアする
career_quest-10000235,IOP特殊任務：装備支援-夜戦任務
career_quest-20000235,夜戦任務：夜戦2-2をクリアする
career_quest-10000236,IOP特殊任務：装備支援-夜戦任務
career_quest-20000236,夜戦任務：夜戦2-3をクリアする
career_quest-10000237,IOP特殊任務：装備支援-夜戦任務
career_quest-20000237,夜戦任務：夜戦2-4をクリアする
career_quest-10000238,IOP特殊任務：装備支援-夜戦任務
career_quest-20000238,夜戦任務：夜戦3-2をクリアする
career_quest-10000239,IOP特殊任務：装備支援-夜戦任務
career_quest-20000239,夜戦任務：夜戦3-3をクリアする
career_quest-10000240,IOP特殊任務：装備支援-夜戦任務-最終回
career_quest-20000240,夜戦任務：夜戦3-4をクリアする
