enemy_illustration_skill-10000001,普通射撃
enemy_illustration_skill-20000021,敵を感知後、二足歩行の球体――先兵を生み出し続ける。
enemy_illustration_skill-10000022,近距離打撃
enemy_illustration_skill-20000022,敵に接触すると移動を停止し、攻撃を始める。
enemy_illustration_skill-10000023,ブラストアロー
enemy_illustration_skill-20000023,攻撃予告を行った位置に爆発性の矢を発射し破甲ダメージを与える。//n目標地点付近は着弾後炎上し、付近に存在する敵に3秒間持続する燃焼ダメージを与える。
enemy_illustration_skill-10000024,精密防御
enemy_illustration_skill-20000024,6秒間、現在のHPの0.8%と同数のダメージ減少効果を持つシールドを展開する。//n展開時、オルトロスの受けるダメージは1に固定される。//nシールド展開中オルトロスは攻撃できず、上記シールドが破壊された場合、オルトロスは最大HPの50%分のダメージを受ける。
enemy_illustration_skill-10000025,ミノタウロスの電磁衝撃波
enemy_illustration_skill-20000025,手より電磁衝撃波を発射し、前方の小規模範囲内の敵にダメージを与える。
enemy_illustration_skill-10000026,軽減
enemy_illustration_skill-20000026,5秒間、防御状態になる。この状態のミノタウロスは攻撃できないが、被ダメージを80%軽減させることができる。
enemy_illustration_skill-10000033,ミサイル砲撃
enemy_illustration_skill-20000033,ミサイルを一斉発射し、攻撃予告後ランダムに選択した4マスに存在する敵にダメージを与える。//nこのスキルは各戦闘1回のみ発動可能。
enemy_illustration_skill-10000027,ロデレロ
enemy_illustration_skill-20000027,自身の持つ独特な形状をしたレーザー兵器を用い通常攻撃を行う。//nまた、敵前列の敵をロックし、後列に存在するすべての人形に貫通する攻撃を行う。
enemy_illustration_skill-10000028,榴弾打撃
enemy_illustration_skill-20000028,榴弾を発射し、前列に存在する敵にダメージを与える。
enemy_illustration_skill-10000029,全弾発射
enemy_illustration_skill-20000029,敵陣地の最大8マスに榴弾を投擲し、攻撃予告後目標位置に存在する敵に比較的大きなダメージを与える。
enemy_illustration_skill-10000030,戦車通常攻撃
enemy_illustration_skill-20000030,敵部隊の最前列にいる人形を攻撃する
enemy_illustration_skill-10000031,ウーラン
enemy_illustration_skill-20000031,榴弾を発射し、前列に存在する敵にダメージを与える。
enemy_illustration_skill-10000032,体当たり
enemy_illustration_skill-20000032,攻撃予告後前列の敵に激突し、攻撃予告を行った範囲の横一列の敵にダメージを与える
enemy_illustration_skill-10000034,咆哮打撃
enemy_illustration_skill-20000034,真正面の敵に攻撃し、攻撃を受けた敵の移動速度と射速をそれぞれ30%低下させる。
enemy_illustration_skill-10000035,シールドリセット
enemy_illustration_skill-20000035,5秒間、偏向障壁修復モードに移行する。移行時、毎秒偏向障壁を300ポイントずつ回復させる。
enemy_illustration_skill-10000036,シールド展開
enemy_illustration_skill-20000036,10秒間、自身の最大HPの150%と同数のダメージを吸収するシールドを展開する。
enemy_illustration_skill-10000037,機動戦術
enemy_illustration_skill-20000037,自身の回避を1900%上昇させ、モードを「攻撃」から「狙撃」に切り替える。
enemy_illustration_skill-10000038,狙撃モード
enemy_illustration_skill-20000038,6秒間、自身の射速を50%低下させる代わりに火力を150%上昇させる。発動中の攻撃は敵の防御値がダメージ計算に適用されず、攻撃が必中となる。
enemy_illustration_skill-10000039,妨害射撃
enemy_illustration_skill-20000039,3秒ごとに次の攻撃に目標の命中と回避を3秒間、20%低下させる効果が追加される。(最大3重まで累積)
enemy_illustration_skill-10000040,メンタルブレイク
enemy_illustration_skill-20000040,敵に接近し、4秒ごとに自身の半径2ヤード以内の敵を2秒間、目まい状態にする。
enemy_illustration_skill-10000041,血色潮汐
enemy_illustration_skill-20000041,任意の敵一体のメンタルに干渉し、いかなる命令も受け付けないようにする。その後ロックした敵の前後左右に存在する敵にダメージを与える。またスキル発動中、幻影を召喚する。この幻影が撃破されると、血色潮汐は中断される。
enemy_illustration_skill-10000042,召喚儀式
enemy_illustration_skill-20000042,パラデウスのユニットを召喚する。召喚されたユニットはマーキュラスの後方から戦闘に参加する。
enemy_illustration_skill-10000043,惑星の棺
enemy_illustration_skill-20000043,ダメージ貢献度が最も高い敵のメンタルに干渉し連続ダメージを与え、同時に自身のHPを連続で回復させる。スキル発動中、マーキュラスは自身に8秒間、耐久値4000ポイントのシールドを展開する。シールドが消失した場合、惑星の棺は中断される。
enemy_illustration_skill-10000044,終焉の花畑
enemy_illustration_skill-20000044,すべてを無に帰す銃弾の雨。(特殊ステージに突入します)
enemy_illustration_skill-10000045,ブラックオベリスク
enemy_illustration_skill-20000045,シールドを展開すると同時にチャージを始める。シールドが場に存在している時間が長くなればなるほどダメージを与える回数が多くなる。(最大三回)//n白色の印が付与された敵にスキル攻撃が命中した場合、追加で爆破ダメージを与える。
enemy_illustration_skill-10000046,ホワイトナイト
enemy_illustration_skill-20000046,シールドを展開すると同時にチャージを始める。シールドが場に存在している時間が長くなればなるほどダメージを与える回数が多くなる。(最大三回)//n黒色の印が付与された敵にスキル攻撃が命中した場合、追加で自身にシールドを展開する。
enemy_illustration_skill-10000047,絆
enemy_illustration_skill-20000047,3マスの範囲を爆破し、敵に爆破ダメージを与える。黒色ネイトが爆破ダメージを与えた場合には黒色の印を、白色ネイトの場合は白色の印を付与する。
enemy_illustration_skill-10000048,重装打撃
enemy_illustration_skill-20000048,自身にシールドが展開されている場合、前方三ヤードの敵にダメージを与え、命中した敵の火力と移動速度を30%低下させる。
enemy_illustration_skill-10000049,シールド展開
enemy_illustration_skill-20000049,8秒間、自身の最大HPの20%と同数のダメージを吸収するシールドを展開する。
enemy_illustration_skill-10000050,自衛モード
enemy_illustration_skill-20000050,HPが30%以下の場合、盾を構え被ダメージを50%減少させる。//n発動中は移動と攻撃を行うことはできない。
enemy_illustration_skill-10000051,シールドジェネレータ
enemy_illustration_skill-20000051,6秒間、味方全体に自身の最大HPの10%と同数のダメージを吸収するシールドを展開する。
enemy_illustration_skill-10000052,煙幕戦術
enemy_illustration_skill-20000052,敵陣地にランダムに発煙弾を発射し、着弾地1.5ヤード以内に存在する敵の移動速度と命中を5秒間、30%低下させる。
enemy_illustration_skill-10000053,縦深打撃
enemy_illustration_skill-20000053,前列の敵一体をロックし2秒かけ照準を合わせた後攻撃を行い、目標とその後ろの敵にダメージを与える。//nこの攻撃にはリンク保護は適用されない。
enemy_illustration_skill-10000054,シールド破壊
enemy_illustration_skill-20000054,5秒間、攻撃するたび目標の防御を10%低下させる。
enemy_illustration_skill-10000055,連斬
enemy_illustration_skill-20000055,三回攻撃するたびに、次の攻撃で二倍のダメージを与える。連斬では敵の防御を破壊することはできない。
enemy_illustration_skill-10000056,精密砲撃
enemy_illustration_skill-20000056,照準を行い、敵に回避不可のダメージを与える。
enemy_illustration_skill-10000057,腐食の瘴気
enemy_illustration_skill-20000057,周囲に持続ダメージを与える。指揮官はこいつに人形を近づけないようにしよう。
enemy_illustration_skill-10000058,転化
enemy_illustration_skill-20000058,周囲の小型ゾンビの生命力を吸収し、自身にシールドを展開する。//n耐久値は吸収したゾンビの数によって決まる。
enemy_illustration_skill-10000059,鉄血戦術・スケアクロウ
enemy_illustration_skill-20000059,周辺のファンネルが回転し同時射撃を行う。攻撃は3回に分かれて行われる。
enemy_illustration_skill-10000060,鉄血戦術・エクスキューショナー
enemy_illustration_skill-20000060,自身に最も近い敵をロックし、ブレードで敵の最大2人に防御値がダメージ計算に適用されない、必中の攻撃を行う。
enemy_illustration_skill-10000061,霧月処刑
enemy_illustration_skill-20000061,よりパワーアップしたエクスキューショナーが使用するスキル。攻撃予告を行った場所にダメージを与える。ブレードのダメージ範囲は横一列となり、爆発のダメージ範囲は縦一列となった。双方の攻撃が交わる位置にいると、二重にダメージを受けることとなる。
enemy_illustration_skill-10000062,鉄血戦術・ハンター
enemy_illustration_skill-20000062,一定時間内に二丁拳銃で高速射撃を行い、ターゲットに多段ダメージを与える。
enemy_illustration_skill-10000063,鉄血戦術・アルケミスト
enemy_illustration_skill-20000063,アルケミストは飛びあがり高速移動を行い、ターゲットに多段ダメージを与える。
enemy_illustration_skill-10000064,鉄血戦術・デストロイヤー
enemy_illustration_skill-20000064,デストロイヤーは榴弾を放ち、横一列の攻撃予告を行った位置に攻撃する。
enemy_illustration_skill-10000065,ガイアフィニッシャー
enemy_illustration_skill-20000065,よりパワーアップしたデストロイヤーが使用するスキル。広範囲に攻撃予告を行った後に、各々の位置に一発ずつ遅延性の榴弾を打ち込み、多段ダメージを与える。
enemy_illustration_skill-10000066,鉄血戦術・ゲーガー
enemy_illustration_skill-20000066,ゲーガーは一度の攻撃でターゲットに4回攻撃を行う。
enemy_illustration_skill-10000067,純白の牙
enemy_illustration_skill-20000067,よりパワーアップしたゲーガーが使用するスキル。攻撃予告を行った後に、敵の横一列に二段の防御値がダメージ計算に適用されない、必中の攻撃を行う。
enemy_illustration_skill-10000068,鉄血戦術・アーキテクト
enemy_illustration_skill-20000068,ランダムの敵一名に榴弾を放つ、必中の攻撃を行う。//nこの攻撃にはリンク保護は適用されない。
enemy_illustration_skill-10000069,ラストカーニバル
enemy_illustration_skill-20000069,よりパワーアップしたアーキテクトが使用するスキル。ランダムに敵一名をロックオンし、その人形を中心とした十字の範囲に必中の範囲ダメージを与える。
enemy_illustration_skill-10000070,鉄血戦術・ドリーマー
enemy_illustration_skill-20000070,攻撃予告を行った後に、横一列を貫通する光線を放ち、ルート上の敵に防御値がダメージ計算に適用されない、必中の攻撃を行う。
enemy_illustration_skill-10000071,鉄血戦術・ウロボロス
enemy_illustration_skill-20000071,円形の浮いてる砲台を展開する。4発のミサイルを発射し、ターゲットに4発で合計2倍のダメージを与える。
enemy_illustration_skill-10000072,スティンガーバースト
enemy_illustration_skill-20000072,一番遠いターゲット4名をロックオンし、必中の攻撃を行う。
enemy_illustration_skill-10000073,鉄血戦術・ジャッジ・審
enemy_illustration_skill-20000073,ジャッジの前に紫のシールドが出現し、この状態のジャッジには追加の防御値が与えられる。
enemy_illustration_skill-10000074,鉄血戦術・ジャッジ・判
enemy_illustration_skill-20000074,防御状態を解除し、ジャッジの周囲に紫の光が出現する。この状態のジャッジは追加で火力が上昇している。
enemy_illustration_skill-10000075,パンデミックシールド
enemy_illustration_skill-20000075,ジャッジは高く飛び上がり、ランダムで敵一名にフライングキックを行う。また、その位置に紫の跡を残し、そこに人形が居続けると火力低下のデバフを受ける。
enemy_illustration_skill-10000076,パンデミックシールドEx
enemy_illustration_skill-20000076,よりパワーアップしたジャッジが使用するスキル。ジャッジは高く飛び上がり、ランダムで敵一名にフライングキックを行う。また、その位置に紫の跡を残し、そこに人形が居続けると火力低下のデバフを受ける。
enemy_illustration_skill-10000077,鉄血戦術・エージェント
enemy_illustration_skill-20000077,ダミーのエージェントを召喚する。ダミーは攻撃を行うが火力は低めで、装甲を持つ。
enemy_illustration_skill-10000078,悪兆の鍵
enemy_illustration_skill-20000078,エージェントは攻撃を停止し、シールドを展開し攻撃を吸収する。8秒以内にシールドを破壊できなかった場合、シールドを解除した後に超高火力の全体範囲攻撃を行い、敵を死に至らしめる。
enemy_illustration_skill-10000079,鉄血戦術・ケルベロス
enemy_illustration_skill-20000079,敵の中央の縦列に3発の榴弾を放ち、防御値がダメージ計算に適用されない、必中の攻撃を行う。
enemy_illustration_skill-10000080,壊滅光線
enemy_illustration_skill-20000080,敵の後方二列に、濃い色と浅い色の攻撃予告を行い、濃い色のほうにより強力な赤色の光線を放つ。浅い色の方にはミサイルを撃ち込み、防御値がダメージ計算に適用される、必中の攻撃を行う。
enemy_illustration_skill-10000081,鉄血戦術・M16
enemy_illustration_skill-20000081,15秒ごとに閃光手榴弾を放ち、敵全体に目まい効果を与える。
enemy_illustration_skill-10000082,ビーコン収集
enemy_illustration_skill-20000082,M16がランダムの位置にビーコンを放ち、ビーコンはその位置にいる人形の銃種を判別し、それによってM16にステータス効果を与える。ハンドガン<火力上昇>サブマシンガン<命中上昇>アサルトライフル<防御上昇>マシンガン<回避上昇>ショットガン<貫通上昇>//n誰もいなかった場合は以上のすべての効果が付与される。
enemy_illustration_skill-10000083,空爆警告
enemy_illustration_skill-20000083,本戦闘で最もダメージを与えた人形を中心に空爆を展開する。当該人形をロックし、その人形を中心とした十字の範囲にダメージを与える。
enemy_illustration_skill-10000084,鉄血戦術・イントゥルーダー
enemy_illustration_skill-20000084,マシンガンを使用して、短時間でターゲットに多段ダメージを与える。
enemy_illustration_skill-10000085,チャージアタック
enemy_illustration_skill-20000085,通常攻撃を6回行うたびに、チャージアタックを一度放ち、敵全体にダメージを与える。
enemy_illustration_skill-10000086,逆コーラップス
enemy_illustration_skill-20000086,一定時間ごとに最も近い敵を空中に浮かす。//n空中のユニットは地面からのダメージを受けない。戦闘が進行するにつれ、周りの景色にもコントロールを受け付けない逆コーラップス汚染区域がランダムに出現する。
enemy_illustration_skill-10000087,終末の輝き
enemy_illustration_skill-20000087,全体に大ダメージを与える。また、3つのマスを逆コーラップス汚染区域にする。
