achievement-10000001,小さな喜び
achievement-20000026,異なるマシンガンタイプの戦術人形を30体集める
achievement-30000026,
achievement-10000027,栄えある贈り物
achievement-20000027,★3の戦術人形を初めて手に入れる
achievement-30000027,
achievement-10000028,奇跡の宝くじ
achievement-20000028,★4の戦術人形を初めて手に入れる
achievement-30000028,
achievement-10000029,運命の出会い
achievement-20000029,★5の戦術人形を初めて手に入れる
achievement-30000029,
achievement-10000030,ひよっこ指揮官
achievement-20000030,銅星勲章を累計5枚手に入れる。
achievement-30000030,
achievement-10000031,見習い指揮官
achievement-20000031,銅星勲章を累計10枚手に入れる。
achievement-30000031,
achievement-10000032,指揮官
achievement-20000032,銅星勲章を累計20枚手に入れる。
achievement-30000032,
achievement-10000033,初級指揮官
achievement-20000033,銅星勲章を累計30枚手に入れる。
achievement-30000033,
achievement-10000034,中級指揮官
achievement-20000034,銅星勲章を累計40枚手に入れる。
achievement-30000034,
achievement-10000035,上級指揮官
achievement-20000035,銅星勲章を累計50枚手に入れる。
achievement-30000035,
achievement-10000036,ひよっこ戦術家
achievement-20000036,銀星勲章を累計5枚手に入れる。
achievement-30000036,
achievement-10000037,見習い戦術家
achievement-20000037,銀星勲章を累計10枚手に入れる。
achievement-30000037,
achievement-10000038,戦術家
achievement-20000038,銀星勲章を累計20枚手に入れる。
achievement-30000038,
achievement-10000039,初級戦術家
achievement-20000039,銀星勲章を累計30枚手に入れる。
achievement-30000039,
achievement-10000040,中級戦術家
achievement-20000040,銀星勲章を累計40枚手に入れる。
achievement-30000040,
achievement-10000041,上級戦術家
achievement-20000041,銀星勲章を累計50枚手に入れる。
achievement-30000041,
achievement-10000042,ひよっこ士官
achievement-20000042,金星勲章を累計5枚手に入れる。
achievement-30000042,
achievement-10000043,見習い士官
achievement-20000043,金星勲章を累計10枚手に入れる。
achievement-30000043,
achievement-10000044,士官長
achievement-20000044,金星勲章を累計20枚手に入れる。
achievement-30000044,
achievement-10000045,初級士官長
achievement-20000045,金星勲章を累計30枚手に入れる。
achievement-30000045,
achievement-10000046,中級士官長
achievement-20000046,金星勲章を累計40枚手に入れる。
achievement-30000046,
achievement-10000047,上級士官長
achievement-20000047,金星勲章を累計50枚手に入れる。
achievement-30000047,
achievement-10000048,わぁ！びっくり！
achievement-20000048,任意のランダムポイントを初めて踏む。
achievement-30000048,
achievement-10000049,もしかして？
achievement-20000049,任意のランダムポイントを10ヶ所踏む。
achievement-30000049,
achievement-10000050,ニュース愛好家
achievement-20000050,任意のランダムポイントを100ヶ所踏む。
achievement-30000050,
achievement-10000051,万能リモコン
achievement-20000051,任意のランダムポイントを500ヶ所踏む。
achievement-30000051,
achievement-10000052,バーチャル人生
achievement-20000052,任意のランダムポイントを1000ヶ所踏む。
achievement-30000052,
achievement-10000053,シュレーディンガーの猫
achievement-20000053,任意のランダムポイントを5000ヶ所踏む。
achievement-30000053,
achievement-10000054,神のみサイコロを振らず
achievement-20000054,任意のランダムポイントを10000ヶ所踏む。
achievement-30000054,
achievement-10000055,ファーストブラッド
achievement-20000055,戦闘勝利時において初めて敵を撃破。
achievement-30000055,
achievement-10000056,ウォー・ギアー
achievement-20000056,戦闘勝利時において累計100体の敵を撃破。
achievement-30000056,
achievement-10000057,無双
achievement-20000057,戦闘勝利時において累計1000体の敵を撃破。
achievement-30000057,
achievement-10000058,ワルキューレ
achievement-20000058,戦闘勝利時において累計5000体の敵を撃破。
achievement-30000058,
achievement-10000059,Dies irae
achievement-20000059,戦闘勝利時において累計10000体の敵を撃破。
achievement-30000059,
achievement-10000060,No LIfe KING
achievement-20000060,戦闘勝利時において累計50000体の敵を撃破。
achievement-30000060,
achievement-10000061,10万か9万
achievement-20000061,戦闘勝利時において累計100000体の敵を撃破。
achievement-30000061,
achievement-10000062,終わりは新しい始まり
achievement-20000062,戦闘で初めて敗北する。
achievement-30000062,
achievement-10000063,ファントムペイン
achievement-20000063,戦闘で10回敗北する。
achievement-30000063,
achievement-10000064,ゲーム終了
achievement-20000064,戦闘で100回敗北する。
achievement-30000064,
achievement-10000065,……ただ消え去るのみ
achievement-20000065,戦闘で500回敗北する。
achievement-30000065,
achievement-10000066,プレステージ
achievement-20000066,戦闘で1000回敗北する。
achievement-30000066,
achievement-10000067,過去のハンター
achievement-20000067,戦闘で5000回敗北する。
achievement-30000067,
achievement-10000068,ミス・ネバーダイ
achievement-20000068,戦闘で10000回敗北する。
achievement-30000068,
achievement-10000069,記念すべき瞬間
achievement-20000069,任意のステージで初めて勝利する。
achievement-30000069,
achievement-10000070,バトルフィールド・ロック
achievement-20000070,任意のステージで10回勝利する。
achievement-30000070,
achievement-10000071,栄誉勲章
achievement-20000071,任意のステージで100回勝利する。
achievement-30000071,
achievement-10000072,大冒険家
achievement-20000072,任意のステージで500回勝利する。
achievement-30000072,
achievement-10000073,最も輝かしい時
achievement-20000073,任意のステージで1000回勝利する。
achievement-30000073,
achievement-10000074,深淵歩き
achievement-20000074,任意のステージで5000回勝利する。
achievement-30000074,
achievement-10000075,勝利の雄叫び
achievement-20000075,任意のステージで10000回勝利する。
achievement-30000075,
achievement-10000076,初めての反省
achievement-20000076,任意のステージで初めて敗北する。
achievement-30000076,
achievement-10000077,kick-the-cat
achievement-20000077,任意のステージで10回敗北する。
achievement-30000077,
achievement-10000078,怖がるな、技術調整だけだ
achievement-20000078,任意のステージで50回敗北する。
achievement-30000078,
achievement-10000079,狼の口
achievement-20000079,任意のステージで100回敗北する。
achievement-30000079,
achievement-10000080,孤独な観測者
achievement-20000080,任意のステージで500回敗北する。
achievement-30000080,
achievement-10000081,戦争は変わらない
achievement-20000081,任意のステージで1000回敗北する。
achievement-30000081,
achievement-10000082,エリコ
achievement-20000082,任意のステージで2000回敗北する。
achievement-30000082,
achievement-10000083,お世話ありがとう
achievement-20000083,戦術人形を初めて修復する。
achievement-30000083,
achievement-10000084,はい、次の方どうぞ……
achievement-20000084,戦術人形を累計10回修復する。
achievement-30000084,
achievement-10000085,人形修復師
achievement-20000085,戦術人形を累計100回修復する。
achievement-30000085,
achievement-10000086,手術シミュレーター2056
achievement-20000086,戦術人形を累計500回修復する。
achievement-30000086,
achievement-10000087,スーパー執刀
achievement-20000087,戦術人形を累計1000回修復する。
achievement-30000087,
achievement-10000088,テーマホスピタル
achievement-20000088,戦術人形を累計5000回修復する。
achievement-30000088,
achievement-10000089,ブラックジャック
achievement-20000089,戦術人形を累計10000回修復する。
achievement-30000089,
achievement-10000090,最初の元手
achievement-20000090,後方支援を初めて完了する。
achievement-30000090,
achievement-10000091,お出掛け
achievement-20000091,後方支援を10回完了する。
achievement-30000091,
achievement-10000092,働きながら学ぶ
achievement-20000092,後方支援を100回完了する。
achievement-30000092,
achievement-10000093,ウェスト・ピッカー
achievement-20000093,後方支援を500回完了する。
achievement-30000093,
achievement-10000094,ゴミ星人
achievement-20000094,後方支援を1000回完了する。
achievement-30000094,
achievement-10000095,ブラックフラグ
achievement-20000095,後方支援を5000回完了する。
achievement-30000095,
achievement-10000096,テラリーア
achievement-20000096,後方支援を10000回完了する。
achievement-30000096,
achievement-10000097,初めまして
achievement-20000097,戦術人形を初めて製造する。
achievement-30000097,
achievement-10000098,リトルエンジニア
achievement-20000098,戦術人形を累計10回製造する
achievement-30000098,
achievement-10000099,フィギュア工場
achievement-20000099,戦術人形を累計100回製造する
achievement-30000099,
achievement-10000100,部隊コレクション
achievement-20000100,戦術人形を累計200回製造する
achievement-30000100,
achievement-10000101,500回目のファースト・キス
achievement-20000101,戦術人形を累計500回製造する
achievement-30000101,
achievement-10000102,人形マスター
achievement-20000102,戦術人形を累計1000回製造する
achievement-30000102,
achievement-10000103,人形の街
achievement-20000103,戦術人形を累計2000回製造する
achievement-30000103,
achievement-10000104,私は1人じゃない
achievement-20000104,戦術人形を初めて編制拡大する
achievement-30000104,
achievement-10000105,仮面舞踏会
achievement-20000105,戦術人形を累計10回編制拡大する
achievement-30000105,
achievement-10000106,魔女の茶会
achievement-20000106,戦術人形を累計100回編制拡大する
achievement-30000106,
achievement-10000107,私以外、全員人形
achievement-20000107,戦術人形を累計200回編制拡大する
achievement-30000107,
achievement-10000108,ウソカノ
achievement-20000108,戦術人形を累計500回編制拡大する
achievement-30000108,
achievement-10000109,妄想の幻像
achievement-20000109,戦術人形を累計1000回編制拡大する
achievement-30000109,
achievement-10000110,王たる軍勢
achievement-20000110,戦術人形を累計2000回編制拡大する
achievement-30000110,
achievement-10000111,改造手術
achievement-20000111,戦術人形を初めて強化する
achievement-30000111,
achievement-10000112,不要品からお宝
achievement-20000112,戦術人形を累計10回強化する
achievement-30000112,
achievement-10000113,クリスマスツリー
achievement-20000113,戦術人形を累計100回強化する
achievement-30000113,
achievement-10000114,ドール・コレクター
achievement-20000114,戦術人形を累計500回強化する
achievement-30000114,
achievement-10000115,自己改造
achievement-20000115,戦術人形を累計1000回強化する
achievement-30000115,
achievement-10000116,異人館
achievement-20000116,戦術人形を累計5000回強化する
achievement-30000116,
achievement-10000117,狂気のふらん
achievement-20000117,戦術人形を累計10000回強化する
achievement-30000117,
achievement-10000118,また会いましょう
achievement-20000118,戦術人形を初めて解体する
achievement-30000118,
achievement-10000119,下りて、満員だから！
achievement-20000119,戦術人形を累計10回解体する
achievement-30000119,
achievement-10000120,Remember me
achievement-20000120,戦術人形を累計100回解体する
achievement-30000120,
achievement-10000121,またね、そしてさよなら……
achievement-20000121,戦術人形を累計500回解体する
achievement-30000121,
achievement-10000122,戻ってくるから！
achievement-20000122,戦術人形を累計1000回解体する
achievement-30000122,
achievement-10000123,銃器解体マスター
achievement-20000123,戦術人形を累計5000回解体する
achievement-30000123,
achievement-10000124,愛はドッグフード
achievement-20000124,戦術人形を累計10000回解体する
achievement-30000124,
achievement-10000125,人力工房
achievement-20000125,人力が5000に達する。
achievement-30000125,
achievement-10000126,人力倉庫
achievement-20000126,人力が10000に達する。
achievement-30000126,
achievement-10000127,人力財団
achievement-20000127,人力が20000に達する。
achievement-30000127,
achievement-10000128,人力の王
achievement-20000128,人力が50000に達する。
achievement-30000128,
achievement-10000129,モンスター株式会社
achievement-20000129,人力が100000に達する。
achievement-30000129,
achievement-10000130,弾薬工房
achievement-20000130,弾薬が5000に達する。
achievement-30000130,
achievement-10000131,弾薬倉庫
achievement-20000131,弾薬が10000に達する。
achievement-30000131,
achievement-10000132,弾薬財団
achievement-20000132,弾薬が20000に達する。
achievement-30000132,
achievement-10000133,弾薬の王
achievement-20000133,弾薬が50000に達する。
achievement-30000133,
achievement-10000134,死の商人
achievement-20000134,弾薬が100000に達する。
achievement-30000134,
achievement-10000135,配給工房
achievement-20000135,配給が5000に達する。
achievement-30000135,
achievement-10000136,配給倉庫
achievement-20000136,配給が10000に達する。
achievement-30000136,
achievement-10000137,配給財団
achievement-20000137,配給が20000に達する。
achievement-30000137,
achievement-10000138,配給の王
achievement-20000138,配給が50000に達する。
achievement-30000138,
achievement-10000139,人形とチョコレート工場
achievement-20000139,配給が100000に達する。
achievement-30000139,
achievement-10000140,部品工房
achievement-20000140,部品が5000に達する。
achievement-30000140,
achievement-10000141,部品倉庫
achievement-20000141,部品が10000に達する。
achievement-30000141,
achievement-10000142,部品財団
achievement-20000142,部品が20000に達する。
achievement-30000142,
achievement-10000143,部品王
achievement-20000143,部品が50000に達する。
achievement-30000143,
achievement-10000144,ワープ開始！
achievement-20000144,部品が100000に達する。
achievement-30000144,
achievement-10000145,訓練開始
achievement-20000145,スキル訓練を初めて行う
achievement-30000145,
achievement-10000146,歩き出そう
achievement-20000146,スキル訓練を10回行う。
achievement-30000146,
achievement-10000147,習うより慣れろ
achievement-20000147,スキル訓練を50回行う。
achievement-30000147,
achievement-10000148,勤倹力行
achievement-20000148,スキル訓練を100回行う。
achievement-30000148,
achievement-10000149,慣れた仕事
achievement-20000149,スキル訓練を500回行う。
achievement-30000149,
achievement-10000150,最後の授業
achievement-20000150,スキル訓練を1000回行う。
achievement-30000150,
achievement-10000151,鉄はこうして鍛えられた
achievement-20000151,スキル訓練を2000回行う。
achievement-30000151,
achievement-10000152,模擬作戦
achievement-20000152,模擬作戦を初めて行う
achievement-30000152,
achievement-10000153,サイバーポリス
achievement-20000153,模擬作戦を10回行う。
achievement-30000153,
achievement-10000154,サマーレッスン
achievement-20000154,模擬作戦を50回行う。
achievement-30000154,
achievement-10000155,学校暮らし
achievement-20000155,模擬作戦を100回行う。
achievement-30000155,
achievement-10000156,クウォンタムバトル
achievement-20000156,模擬作戦を500回行う。
achievement-30000156,
achievement-10000157,Forget Me Not-パレット
achievement-20000157,模擬作戦を1000回行う。
achievement-30000157,
achievement-10000158,放蕩者のティーパーティー
achievement-20000158,模擬作戦を2000回行う。
achievement-30000158,
achievement-10000159,自律作戦
achievement-20000159,自律作戦を初めて行う
achievement-30000159,
achievement-10000160,フィールド・アローン
achievement-20000160,自律作戦を10回行う
achievement-30000160,
achievement-10000161,ドール・ストーリー
achievement-20000161,自律作戦を100回行う
achievement-30000161,
achievement-10000162,おねがい☆指揮官
achievement-20000162,自律作戦を500回行う
achievement-30000162,
achievement-10000163,ドールマティック
achievement-20000163,自律作戦を1000回行う
achievement-30000163,
achievement-10000164,スカイネット計画
achievement-20000164,自律作戦を5000回行う
achievement-30000164,
achievement-10000165,マトリックス革命
achievement-20000165,自律作戦を10000回行う
achievement-30000165,
achievement-10000166,アクセサリー入門
achievement-20000166,アタッチメント装備を累計10点手に入れる
achievement-30000166,
achievement-10000167,アクセサリー見習い
achievement-20000167,アタッチメント装備を累計50点手に入れる
achievement-30000167,
achievement-10000168,アクセサリー職人
achievement-20000168,アタッチメント装備を累計100点手に入れる
achievement-30000168,
achievement-10000169,アクセサリー熟練職人
achievement-20000169,アタッチメント装備を累計200点手に入れる
achievement-30000169,
achievement-10000170,アクセサリーのプロ
achievement-20000170,アタッチメント装備を累計500点手に入れる
achievement-30000170,
achievement-10000171,アクセサリーマスター
achievement-20000171,アタッチメント装備を累計1000点手に入れる
achievement-30000171,
achievement-10000172,弾倉入門
achievement-20000172,弾倉装備を累計10点手に入れる。
achievement-30000172,
achievement-10000173,弾倉見習い
achievement-20000173,弾倉装備を累計50点手に入れる。
achievement-30000173,
achievement-10000174,弾倉職人
achievement-20000174,弾倉装備を累計100点手に入れる。
achievement-30000174,
achievement-10000175,弾倉熟練職人
achievement-20000175,弾倉装備を累計200点手に入れる。
achievement-30000175,
achievement-10000176,弾倉のプロ
achievement-20000176,弾倉装備を累計500点手に入れる。
achievement-30000176,
achievement-10000177,弾倉マスター
achievement-20000177,弾倉装備を累計1000点手に入れる。
achievement-30000177,
achievement-10000178,人形入門
achievement-20000178,人形装備を累計10点手に入れる。
achievement-30000178,
achievement-10000179,人形見習い
achievement-20000179,人形装備を累計50点手に入れる。
achievement-30000179,
achievement-10000180,人形職人
achievement-20000180,人形装備を累計100点手に入れる。
achievement-30000180,
achievement-10000181,人形熟練職人
achievement-20000181,人形装備を累計200点手に入れる。
achievement-30000181,
achievement-10000182,人形のプロ
achievement-20000182,人形装備を累計500点手に入れる。
achievement-30000182,
achievement-10000183,人形マスター
achievement-20000183,人形装備を累計1000点手に入れる。
achievement-30000183,
achievement-10000184,小さな発明
achievement-20000184,青ランク装備を初めて手に入れる。
achievement-30000184,
achievement-10000185,ハイテク製品
achievement-20000185,緑ランク装備を初めて手に入れる。
achievement-30000185,
achievement-10000186,ドル箱特許
achievement-20000186,金ランク装備を初めて手に入れる。
achievement-30000186,
achievement-10000187,装備製造
achievement-20000187,装備を初めて製造する
achievement-30000187,
achievement-10000188,流れ作業
achievement-20000188,装備を累計10回製造する
achievement-30000188,
achievement-10000189,マンチェスターの工場長
achievement-20000189,装備を累計100回製造する
achievement-30000189,
achievement-10000190,火薬のハンター
achievement-20000190,装備を累計200回製造する
achievement-30000190,
achievement-10000191,錬金工房
achievement-20000191,装備を累計500回製造する
achievement-30000191,
achievement-10000192,ドワーフの仕事場
achievement-20000192,装備を累計1000回製造する
achievement-30000192,
achievement-10000193,異星工場
achievement-20000193,装備を累計2000回製造する
achievement-30000193,
achievement-10000194,装備解体
achievement-20000194,装備を初めて分解する
achievement-30000194,
achievement-10000195,ごみバケツ
achievement-20000195,装備を累計10回分解する
achievement-30000195,
achievement-10000196,ごみ箱
achievement-20000196,装備を累計100回分解する
achievement-30000196,
achievement-10000197,廃品処理場
achievement-20000197,装備を累計500回分解する
achievement-30000197,
achievement-10000198,デカダンアート
achievement-20000198,装備を累計1000回分解する
achievement-30000198,
achievement-10000199,ダーティーキング
achievement-20000199,装備を累計5000回分解する
achievement-30000199,
achievement-10000200,大発明家
achievement-20000200,装備を累計10000回分解する
achievement-30000200,
achievement-10000201,十四工房
achievement-20000201,異なる戦術人形を160体集める
achievement-30000201,
achievement-10000202,ドール牧場
achievement-20000202,異なる戦術人形を200体集める
achievement-30000202,
achievement-10000203,人形タウン
achievement-20000203,異なる戦術人形を250体集める
achievement-30000203,
achievement-10000204,少女の楽園
achievement-20000204,異なる戦術人形を300体集める
achievement-30000204,
achievement-10000205,学者級コレクター：ハンドガン
achievement-20000205,異なるハンドガンタイプの戦術人形を40体集める
achievement-30000205,
achievement-10000206,コレクターの達人：ハンドガン
achievement-20000206,異なるハンドガンタイプの戦術人形を50体集める
achievement-30000206,
achievement-10000207,コレクターマスター：ハンドガン
achievement-20000207,異なるハンドガンタイプの戦術人形を60体集める
achievement-30000207,
achievement-10000208,学者級コレクター：サブマシンガン
achievement-20000208,異なるサブマシンガンタイプの戦術人形を40体集める
achievement-30000208,
achievement-10000209,コレクターの達人：サブマシンガン
achievement-20000209,異なるサブマシンガンタイプの戦術人形を50体集める
achievement-30000209,
achievement-10000210,コレクターマスター：サブマシンガン
achievement-20000210,異なるサブマシンガンタイプの戦術人形を60体集める
achievement-30000210,
achievement-10000211,学者級コレクター：ライフル
achievement-20000211,異なるライフルタイプの戦術人形を40体集める
achievement-30000211,
achievement-10000212,コレクターの達人：ライフル
achievement-20000212,異なるライフルタイプの戦術人形を50体集める
achievement-30000212,
achievement-10000213,コレクターマスター：ライフル
achievement-20000213,異なるライフルタイプの戦術人形を60体集める
achievement-30000213,
achievement-10000214,学者級コレクター：アサルトライフル
achievement-20000214,異なるアサルトライフルタイプの戦術人形を40体集める
achievement-30000214,
achievement-10000215,コレクターの達人：アサルトライフル
achievement-20000215,異なるアサルトライフルタイプの戦術人形を50体集める
achievement-30000215,
achievement-10000216,コレクターマスター：アサルトライフル
achievement-20000216,異なるアサルトライフルタイプの戦術人形を60体集める
achievement-30000216,
achievement-10000217,学者級コレクター：マシンガン
achievement-20000217,異なるマシンガンタイプの戦術人形を40体集める
achievement-30000217,
achievement-10000218,コレクターの達人：マシンガン
achievement-20000218,異なるマシンガンタイプの戦術人形を50体集める
achievement-30000218,
achievement-10000219,コレクターマスター：マシンガン
achievement-20000219,異なるマシンガンタイプの戦術人形を60体集める
achievement-30000219,
achievement-10000220,A級指揮官
achievement-20000220,銅星勲章を累計60枚手に入れる。
achievement-30000220,
achievement-10000221,S級指揮官
achievement-20000221,銅星勲章を累計70枚手に入れる。
achievement-30000221,
achievement-10000222,マスター指揮官
achievement-20000222,銅星勲章を累計80枚手に入れる。
achievement-30000222,
achievement-10000223,エース指揮官
achievement-20000223,銅星勲章を累計90枚手に入れる。
achievement-30000223,
achievement-10000224,伝説の指揮官
achievement-20000224,銅星勲章を累計100枚手に入れる。
achievement-30000224,
achievement-10000225,A級戦術家
achievement-20000225,銀星勲章を累計60枚手に入れる。
achievement-30000225,
achievement-10000226,S級戦術家
achievement-20000226,銀星勲章を累計70枚手に入れる。
achievement-30000226,
achievement-10000227,マスター戦術家
achievement-20000227,銀星勲章を累計80枚手に入れる。
achievement-30000227,
achievement-10000228,エース戦術家
achievement-20000228,銀星勲章を累計90枚手に入れる。
achievement-30000228,
achievement-10000229,伝説の戦術家
achievement-20000229,銀星勲章を累計100枚手に入れる。
achievement-30000229,
achievement-10000230,A級士官長
achievement-20000230,金星勲章を累計60枚手に入れる。
achievement-30000230,
achievement-10000231,S級士官長
achievement-20000231,金星勲章を累計70枚手に入れる。
achievement-30000231,
achievement-10000232,マスター士官長
achievement-20000232,金星勲章を累計80枚手に入れる。
achievement-30000232,
achievement-10000233,エース士官長
achievement-20000233,金星勲章を累計90枚手に入れる。
achievement-30000233,
achievement-10000234,伝説の士官長
achievement-20000234,金星勲章を累計100枚手に入れる。
achievement-30000234,
achievement-10000235,アタッチメントの達人
achievement-20000235,アタッチメント装備を累計2000点手に入れる
achievement-30000235,
achievement-10000236,アタッチメント工場長
achievement-20000236,アタッチメント装備を累計5000点手に入れる
achievement-30000236,
achievement-10000237,アタッチメントの王
achievement-20000237,アタッチメント装備を累計10000点手に入れる
achievement-30000237,
achievement-10000238,アタッチメント制霸
achievement-20000238,アタッチメント装備を累計20000点手に入れる
achievement-30000238,
achievement-10000239,アタッチメント超人
achievement-20000239,アタッチメント装備を累計50000点手に入れる
achievement-30000239,
achievement-10000240,弾倉の達人
achievement-20000240,弾倉装備を累計2000点手に入れる。
achievement-30000240,
achievement-10000241,弾倉工場長
achievement-20000241,弾倉装備を累計5000点手に入れる。
achievement-30000241,
achievement-10000242,弾倉の王
achievement-20000242,弾倉装備を累計10000点手に入れる。
achievement-30000242,
achievement-10000243,弾倉制霸
achievement-20000243,弾倉装備を累計20000点手に入れる。
achievement-30000243,
achievement-10000244,弾倉超人
achievement-20000244,弾倉装備を累計50000点手に入れる。
achievement-30000244,
achievement-10000245,人形の達人
achievement-20000245,人形装備を累計2000点手に入れる。
achievement-30000245,
achievement-10000246,人形工場長
achievement-20000246,人形装備を累計5000点手に入れる。
achievement-30000246,
achievement-10000247,人形の王
achievement-20000247,人形装備を累計10000点手に入れる。
achievement-30000247,
achievement-10000248,人形制霸
achievement-20000248,人形装備を累計20000点手に入れる。
achievement-30000248,
achievement-10000249,人形超人
achievement-20000249,人形装備を累計50000点手に入れる。
achievement-30000249,
achievement-10000250,次はどこ？
achievement-20000250,任意のランダムポイントを20000ヶ所踏む
achievement-30000250,
achievement-10000251,人生はチョコレートの箱
achievement-20000251,任意のランダムポイントを50000ヶ所踏む
achievement-30000251,
achievement-10000252,運命の輪
achievement-20000252,任意のランダムポイントを100000ヶ所踏む
achievement-30000252,
achievement-10000253,ディーグレイガール
achievement-20000253,戦闘勝利時において累計200000体の敵を撃破
achievement-30000253,
achievement-10000254,ピースメーカー
achievement-20000254,戦闘勝利時において累計500000体の敵を撃破
achievement-30000254,
achievement-10000255,グリフィンの用心棒
achievement-20000255,戦闘勝利時において累計1000000体の敵を撃破
achievement-30000255,
achievement-10000256,鉄の玉座
achievement-20000256,味方部隊が戦闘で20000回敗北する。
achievement-30000256,
achievement-10000257,朝ドラのヒロイン
achievement-20000257,味方部隊が戦闘で50000回敗北する。
achievement-30000257,
achievement-10000258,まだ生命が残っているではありませんか
achievement-20000258,味方部隊が戦闘で100000回敗北する。
achievement-30000258,
achievement-10000259,バトルグラウンド
achievement-20000259,任意のステージで20000回勝利する。
achievement-30000259,
achievement-10000260,ウォーハンマー50K
achievement-20000260,任意のステージで50000回勝利する。
achievement-30000260,
achievement-10000261,グリフィン決死隊
achievement-20000261,任意のステージで100000回勝利する。
achievement-30000261,
achievement-10000262,大いなる前途
achievement-20000262,任意のステージで5000回敗北する。
achievement-30000262,
achievement-10000263,巨人の肩
achievement-20000263,任意のステージで10000回敗北する。
achievement-30000263,
achievement-10000264,連盟チャンピオンへ
achievement-20000264,任意のステージで20000回敗北する。
achievement-30000264,
achievement-10000265,MONSTER
achievement-20000265,戦術人形を累計20000回修復する
achievement-30000265,
achievement-10000266,You break it//c I'll remake it.
achievement-20000266,戦術人形を累計50000回修復する
achievement-30000266,
achievement-10000267,かってに改造
achievement-20000267,戦術人形を累計100000回修復する
achievement-30000267,
achievement-10000268,Don't Be　Starve
achievement-20000268,後方支援を20000回完了する。
achievement-30000268,
achievement-10000269,No Doll's Sky
achievement-20000269,後方支援を50000回完了する。
achievement-30000269,
achievement-10000270,銀河系ヒッチハイカー
achievement-20000270,後方支援を100000回完了する。
achievement-30000270,
achievement-10000271,プルプル天国
achievement-20000271,戦術人形を累計5000回製造する
achievement-30000271,
achievement-10000272,T-10000
achievement-20000272,戦術人形を累計10000回製造する
achievement-30000272,
achievement-10000273,賢い人形の贈り物
achievement-20000273,戦術人形を累計20000回製造する
achievement-30000273,
achievement-10000274,集宝鉢
achievement-20000274,戦術人形を累計5000回編制拡大する
achievement-30000274,
achievement-10000275,ラストオーダー
achievement-20000275,戦術人形を累計10000回編制拡大する
achievement-30000275,
achievement-10000276,それでもグリフィンは廻っている
achievement-20000276,戦術人形を累計20000回編制拡大する
achievement-30000276,
achievement-10000277,ファウスト
achievement-20000277,戦術人形を累計20000回強化する
achievement-30000277,
