gift_item-10000001,かぼちゃクマさん
gift_item-20000402,人形換装開放
gift_item-30000402,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000403,ゴールドデイジー
gift_item-20000403,人形換装開放
gift_item-30000403,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000404,シクラメン
gift_item-20000404,人形換装開放
gift_item-30000404,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000405,グレース
gift_item-20000405,人形換装開放
gift_item-30000405,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000406,牡丹
gift_item-20000406,人形換装開放
gift_item-30000406,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000407,サクラソウ
gift_item-20000407,人形換装開放
gift_item-30000407,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000501,ロードオブウォー
gift_item-20000501,人形換装開放
gift_item-30000501,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000408,ロマンチックな任務
gift_item-20000408,人形換装開放
gift_item-30000408,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000409,「待った？」
gift_item-20000409,人形換装開放
gift_item-30000409,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000410,「今回だけだから」
gift_item-20000410,人形換装開放
gift_item-30000410,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000411,英国の恋人
gift_item-20000411,人形換装開放
gift_item-30000411,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000603,届いた想い
gift_item-20000603,人形換装開放
gift_item-30000603,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000502,ウェイトレス
gift_item-20000502,人形換装開放
gift_item-30000502,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000601,二人の旅路
gift_item-20000601,人形換装開放
gift_item-30000601,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000602,約束の時
gift_item-20000602,人形換装開放
gift_item-30000602,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000604,一生守り抜く
gift_item-20000604,人形換装開放
gift_item-30000604,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000605,あなたと共に
gift_item-20000605,人形換装開放
gift_item-30000605,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000606,掌の約束
gift_item-20000606,人形換装開放
gift_item-30000606,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000607,一番大事な日
gift_item-20000607,人形換装開放
gift_item-30000607,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000701,新学期
gift_item-20000701,人形換装開放
gift_item-30000701,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000702,横柄な日直
gift_item-20000702,人形換装開放
gift_item-30000702,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000703,サバイバル社員
gift_item-20000703,人形換装開放
gift_item-30000703,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000704,戦うセーラー
gift_item-20000704,人形換装開放
gift_item-30000704,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10200001,作戦報告書
gift_item-20200001,無
gift_item-30200001,「見た目は懐かしいフロッピーディスク、当時は1.4Mbのデータしか保存しないが、今は内部改造されました。でないと1冊の報告書はフォークリフトで運ばなければならないよ。」
gift_item-10200002,希望の詩
gift_item-20200002,無
gift_item-30200002,対応する人形にプレゼントすると、10000経験値を獲得します
gift_item-10200003,安売りビール
gift_item-20200003,無
gift_item-30200003,対応する人形にプレゼントすると、10000経験値を獲得します
gift_item-10200004,ターゲットペーパー
gift_item-20200004,無
gift_item-30200004,対応する人形にプレゼントすると、10000経験値を獲得します
gift_item-10000801,スカーレットスター
gift_item-20000801,人形換装開放
gift_item-30000801,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000802,灯下のクイーン
gift_item-20000802,人形換装開放
gift_item-30000802,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000803,月の海
gift_item-20000803,人形換装開放
gift_item-30000803,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000804,舞踏会の休止符
gift_item-20000804,人形換装開放
gift_item-30000804,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000805,星の繭
gift_item-20000805,人形換装開放
gift_item-30000805,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000806,ノクターン
gift_item-20000806,人形換装開放
gift_item-30000806,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000807,黒兎マキアート
gift_item-20000807,人形換装開放
gift_item-30000807,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000808,祭典のフォルテ
gift_item-20000808,人形換装開放
gift_item-30000808,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000901,ちびガンナー
gift_item-20000901,人形換装開放
gift_item-30000901,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000902,親指姫
gift_item-20000902,人形換装開放
gift_item-30000902,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000903,変身！テディベア！
gift_item-20000903,人形換装開放
gift_item-30000903,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000904,幼き流離人
gift_item-20000904,人形換装開放
gift_item-30000904,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000905,ちびっ子メイド
gift_item-20000905,人形換装開放
gift_item-30000905,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000503,μ-12
gift_item-20000503,人形換装開放
gift_item-30000503,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000504,マグナムウェディング
gift_item-20000504,人形換装開放
gift_item-30000504,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000505,アナイアレイター
gift_item-20000505,人形換装開放
gift_item-30000505,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001101,炎天下の任務
gift_item-20001101,人形換装開放
gift_item-30001101,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001102,夏の蝉の声
gift_item-20001102,人形換装開放
gift_item-30001102,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001103,仲夏のエルフ
gift_item-20001103,人形換装開放
gift_item-30001103,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001104,トロピカルストーム
gift_item-20001104,人形換装開放
gift_item-30001104,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001105,盛夏の巡礼者
gift_item-20001105,人形換装開放
gift_item-30001105,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001106,ビーチプリンセス
gift_item-20001106,人形換装開放
gift_item-30001106,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001107,目覚めたマーメイド
gift_item-20001107,人形換装開放
gift_item-30001107,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001108,熱帯魚のいたずら
gift_item-20001108,人形換装開放
gift_item-30001108,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001109,クルーズクイーン
gift_item-20001109,人形換装開放
gift_item-30001109,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001201,花と水
gift_item-20001201,人形換装開放
gift_item-30001201,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001202,夏・花火・朝顔
gift_item-20001202,人形換装開放
gift_item-30001202,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001203,桜吹雪
gift_item-20001203,人形換装開放
gift_item-30001203,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001204,三羽烏
gift_item-20001204,人形換装開放
gift_item-30001204,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001205,花は眠らない
gift_item-20001205,人形換装開放
gift_item-30001205,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001301,北極ギツネ
gift_item-20001301,人形換装開放
gift_item-30001301,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001302,弾丸カフェ
gift_item-20001302,人形換装開放
gift_item-30001302,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001303,戦場のパティシエ
gift_item-20001303,人形換装開放
gift_item-30001303,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001304,休日の街角
gift_item-20001304,人形換装開放
gift_item-30001304,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001305,夜更けのバー
gift_item-20001305,人形換装開放
gift_item-30001305,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001401,闇の王
gift_item-20001401,人形換装開放
gift_item-30001401,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001402,青丘狐
gift_item-20001402,人形換装開放
gift_item-30001402,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001403,七番目の封印者
gift_item-20001403,人形換装開放
gift_item-30001403,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001404,魔銃シスター
gift_item-20001404,人形換装開放
gift_item-30001404,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001405,最後のアリス
gift_item-20001405,人形換装開放
gift_item-30001405,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001406,大事なお菓子を盗んでいきました
gift_item-20001406,人形換装開放
gift_item-30001406,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001407,ウルフ・ウォーカー
gift_item-20001407,人形換装開放
gift_item-30001407,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000506,キアナの礼装
gift_item-20000506,人形換装開放
gift_item-30000506,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000507,ブローニャの装甲
gift_item-20000507,人形換装開放
gift_item-30000507,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000508,ゼーレ-ゼーレの祭礼
gift_item-20000508,人形換装開放
gift_item-30000508,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001501,デモンハンター
gift_item-20001501,人形換装開放
gift_item-30001501,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001502,オペラ座の怪人
gift_item-20001502,人形換装開放
gift_item-30001502,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001503,淑女の密命
gift_item-20001503,人形換装開放
gift_item-30001503,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001504,荒野のハンター
gift_item-20001504,人形換装開放
gift_item-30001504,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001505,ベイビー・ライダー
gift_item-20001505,人形換装開放
gift_item-30001505,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001506,パンク・ライダー
gift_item-20001506,人形換装開放
gift_item-30001506,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001507,バーテンダー
gift_item-20001507,人形換装開放
gift_item-30001507,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001608,森のトナカイさん
gift_item-20001608,人形換装開放
gift_item-30001608,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001601,いじわるRFBのクリスマス
gift_item-20001601,人形換装開放
gift_item-30001601,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001602,一番素敵な贈り物
gift_item-20001602,人形換装開放
gift_item-30001602,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001603,銃声を捧げる雪姫
gift_item-20001603,人形換装開放
gift_item-30001603,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001604,厳冬の木こり
gift_item-20001604,人形換装開放
gift_item-30001604,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001605,プレゼント売りのクリスマスツリー
gift_item-20001605,人形換装開放
gift_item-30001605,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001606,お望み通りのクリスマス
gift_item-20001606,人形換装開放
gift_item-30001606,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001701,うさぎ班
gift_item-20001701,人形換装開放
gift_item-30001701,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001702,ThanX！&Go2Hell！
gift_item-20001702,人形換装開放
gift_item-30001702,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001703,粉雪につつまれて
gift_item-20001703,人形換装開放
gift_item-30001703,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001704,異国迷路のクロスロード
gift_item-20001704,人形換装開放
gift_item-30001704,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001705,ほしのむこう
gift_item-20001705,人形換装開放
gift_item-30001705,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001801,春牡丹
gift_item-20001801,人形換装開放
gift_item-30001801,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001802,梅の印
gift_item-20001802,人形換装開放
gift_item-30001802,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001803,甘藍
gift_item-20001803,人形換装開放
gift_item-30001803,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001804,玉簾
gift_item-20001804,人形換装開放
gift_item-30001804,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001805,蜂蜜花
gift_item-20001805,人形換装開放
gift_item-30001805,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001806,雪朝顔
gift_item-20001806,人形換装開放
gift_item-30001806,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001807,白山茶
gift_item-20001807,人形換装開放
gift_item-30001807,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001808,矢車草
gift_item-20001808,人形換装開放
gift_item-30001808,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001809,東湖蓮
gift_item-20001809,人形換装開放
gift_item-30001809,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001901,盲信者
gift_item-20001901,人形換装開放
gift_item-30001901,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001902,幸せの微笑み
gift_item-20001902,人形換装開放
gift_item-30001902,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001903,小さな一歩
gift_item-20001903,人形換装開放
gift_item-30001903,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001904,純白の矢車菊
gift_item-20001904,人形換装開放
gift_item-30001904,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001905,いつまでも心を一つに
gift_item-20001905,人形換装開放
gift_item-30001905,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10001906,ハートに命中！
gift_item-20001906,人形換装開放
gift_item-30001906,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002001,極東の姫君
gift_item-20002001,人形換装開放
gift_item-30002001,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002002,ムーンライト
gift_item-20002002,人形換装開放
gift_item-30002002,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002003,一陽来復
gift_item-20002003,人形換装開放
gift_item-30002003,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002004,玄黄ノ鳳凰
gift_item-20002004,人形換装開放
gift_item-30002004,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000509,ポケットシティ女王二世
gift_item-20000509,人形換装開放
gift_item-30000509,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10000510,ポケットシティ女王三世
gift_item-20000510,人形換装開放
gift_item-30000510,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002101,ベストオファー
gift_item-20002101,人形換装開放
gift_item-30002101,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002102,星夜の舞踏会
gift_item-20002102,人形換装開放
gift_item-30002102,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002103,ナイトフォール
gift_item-20002103,人形換装開放
gift_item-30002103,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002104,白の王妃
gift_item-20002104,人形換装開放
gift_item-30002104,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002105,ミラクル女王
gift_item-20002105,人形換装開放
gift_item-30002105,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002106,世界の歌
gift_item-20002106,人形換装開放
gift_item-30002106,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002107,ダイヤの花びら
gift_item-20002107,人形換装開放
gift_item-30002107,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002108,箱の中の猫
gift_item-20002108,人形換装開放
gift_item-30002108,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002109,白夜の星言葉
gift_item-20002109,人形換装開放
gift_item-30002109,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002201,勇ましいちびカルカノ
gift_item-20002201,人形換装開放
gift_item-30002201,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002202,ミスピノキオ
gift_item-20002202,人形換装開放
gift_item-30002202,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002203,ファイファイの冒険
gift_item-20002203,人形換装開放
gift_item-30002203,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002204,かえるの姫さま
gift_item-20002204,人形換装開放
gift_item-30002204,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002205,ガチョウのふしぎな旅
gift_item-20002205,人形換装開放
gift_item-30002205,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002206,二度とない大鴉
gift_item-20002206,人形換装開放
gift_item-30002206,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002301,貴族体験館
gift_item-20002301,人形換装開放
gift_item-30002301,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002302,花びらの付き人
gift_item-20002302,人形換装開放
gift_item-30002302,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002303,家政訓練
gift_item-20002303,人形換装開放
gift_item-30002303,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002304,ビール牧場
gift_item-20002304,人形換装開放
gift_item-30002304,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002305,刻下の契り
gift_item-20002305,人形換装開放
gift_item-30002305,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002401,ビーチパンク2064
gift_item-20002401,人形換装開放
gift_item-30002401,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002402,スムージー・エイジ
gift_item-20002402,人形換装開放
gift_item-30002402,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002403,日はまだ昇らない
gift_item-20002403,人形換装開放
gift_item-30002403,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002404,潜水服は人形の夢を見る
gift_item-20002404,人形換装開放
gift_item-30002404,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002405,砂糖菓子の銃弾は撃ちぬけない
gift_item-20002405,人形換装開放
gift_item-30002405,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002406,FALの夏
gift_item-20002406,人形換装開放
gift_item-30002406,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002407,G36との50日間
gift_item-20002407,人形換装開放
gift_item-30002407,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002408,盛夏の果実
gift_item-20002408,人形換装開放
gift_item-30002408,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002409,アメリのレシーブ
gift_item-20002409,人形換装開放
gift_item-30002409,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002410,魔女の高弟
gift_item-20002410,人形換装開放
gift_item-30002410,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002501,Plague　Knight
gift_item-20002501,人形換装開放
gift_item-30002501,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002502,Dragon　Jr.
gift_item-20002502,人形換装開放
gift_item-30002502,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002503,Witcher　General
gift_item-20002503,人形換装開放
gift_item-30002503,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002504,Steel　Butterfly
gift_item-20002504,人形換装開放
gift_item-30002504,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002505,Electric　Witch
gift_item-20002505,人形換装開放
gift_item-30002505,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002601,パンプキン・スキュアー
gift_item-20002601,人形換装開放
gift_item-30002601,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002602,エルフ・ヘルシング
gift_item-20002602,人形換装開放
gift_item-30002602,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10002603,ゴーストトラップ
