dorm_emoji_text-10260301,え？私の気持ちが…届いたの？
dorm_emoji_text-12310103,あっ、音楽を流してお祝いしましょう！
dorm_emoji_text-12310104,……え？いいんですか？
dorm_emoji_text-12310201,人に頼ることなど無意味だ……ワタシは今までそう思ってきた。
dorm_emoji_text-12310202,でも、あなたの前では「できない」がそんなに怖くなくなった。
dorm_emoji_text-12310203,ワタシは強くなったのか、それとも弱くなったのか……
dorm_emoji_text-12310204,その答えを教えてくれ。
dorm_emoji_text-12310301,え？指揮官、これは何をなさっているんですか？
dorm_emoji_text-12310302,……いつもお世話になってしまって
dorm_emoji_text-12310303,何だか……すみません
dorm_emoji_text-12310304,私ももっとしっかりして、ご期待に応えないとダメですわね♪
dorm_emoji_text-12310501,ずっと付きまとって
dorm_emoji_text-12310502,嫌いかなとも思ってた。
dorm_emoji_text-12310503,でもしょうがないじゃない
dorm_emoji_text-12310504,最初からもう決めてたんだもん
dorm_emoji_text-12310505,ダーリンはわたくしのものってこと……
dorm_emoji_text-12310601,指揮官、私はいつも視線を避けていたのに
dorm_emoji_text-12310602,あなたは何があっても
dorm_emoji_text-12310603,私を見つめていて……
dorm_emoji_text-12310604,私は、もう……そんなあなたの目が好きになってしまいました。
dorm_emoji_text-12310701,指揮官、ワタシは一人で歩いて行くだけで精一杯……
dorm_emoji_text-12310702,でもあなたがそばにいてくれたら、この重さも……
dorm_emoji_text-12310703,そんなに怖くないと感じる。
dorm_emoji_text-12310704,これからも
dorm_emoji_text-12310705,ワタシを支えてくれる、指揮官…？
