mission_effect_config-10000001,地雷出现
mission_effect_config-21000028,手雷bomb
mission_effect_config-11000029,机枪塔（启动）
mission_effect_config-21000029,机枪塔（启动）
mission_effect_config-11000030,受击特效
mission_effect_config-21000030,受击特效
mission_effect_config-11000031,机枪塔（常驻）
mission_effect_config-21000031,机枪塔（常驻）
mission_effect_config-11000032,机枪塔（开火）
mission_effect_config-21000032,机枪塔（开火）
mission_effect_config-11000033,数字0
mission_effect_config-21000033,数字0
mission_effect_config-11000034,数字1
mission_effect_config-21000034,数字1
mission_effect_config-11000035,数字2
mission_effect_config-21000035,数字2
mission_effect_config-11000036,数字3
mission_effect_config-21000036,数字3
mission_effect_config-11000037,数字4
mission_effect_config-21000037,数字4
mission_effect_config-11000038,数字5
mission_effect_config-21000038,数字5
mission_effect_config-11000039,数字6
mission_effect_config-21000039,数字6
mission_effect_config-11000040,数字7
mission_effect_config-21000040,数字7
mission_effect_config-11000041,数字8
mission_effect_config-21000041,数字8
mission_effect_config-11000042,数字9
mission_effect_config-21000042,数字9
mission_effect_config-11000043,开炮
mission_effect_config-21000043,开炮
mission_effect_config-11000044,炮击特效
mission_effect_config-21000044,炮击特效
mission_effect_config-11000045,清雾点特效
mission_effect_config-21000045,清雾点特效
mission_effect_config-11000046,清雾特效
mission_effect_config-21000046,清雾特效
mission_effect_config-11000047,记忆碎片特效
mission_effect_config-21000047,记忆碎片特效
mission_effect_config-11000048,炸弹下降音效
mission_effect_config-21000048,炸弹下降音效
mission_effect_config-11000049,丹德莱buff音效
mission_effect_config-21000049,丹德莱buff音效
mission_effect_config-11000050,丹德莱debuff音效
mission_effect_config-21000050,丹德莱debuff音效
mission_effect_config-11000051,翻牌子音效
mission_effect_config-21000051,翻牌子音效
mission_effect_config-11000052,孙红雷投掷
mission_effect_config-21000052,孙红雷投掷
mission_effect_config-11000053,孙红雷bomb
mission_effect_config-21000053,孙红雷bomb
mission_effect_config-11000054,上
mission_effect_config-21000054,上
mission_effect_config-11000055,下
mission_effect_config-21000055,下
mission_effect_config-11000056,左
mission_effect_config-21000056,左
mission_effect_config-11000057,右
mission_effect_config-21000057,右
mission_effect_config-11000058,倒计时0
mission_effect_config-21000058,倒计时0
mission_effect_config-11000059,倒计时1
mission_effect_config-21000059,倒计时1
mission_effect_config-11000060,倒计时2
mission_effect_config-21000060,倒计时2
mission_effect_config-11000061,倒计时3
mission_effect_config-21000061,倒计时3
mission_effect_config-11000062,倒计时4
mission_effect_config-21000062,倒计时4
mission_effect_config-11000063,倒计时5
mission_effect_config-21000063,倒计时5
mission_effect_config-11000064,倒计时6
mission_effect_config-21000064,倒计时6
mission_effect_config-11000065,倒计时7
mission_effect_config-21000065,倒计时7
mission_effect_config-11000066,倒计时8
mission_effect_config-21000066,倒计时8
mission_effect_config-11000067,倒计时9
mission_effect_config-21000067,倒计时9
mission_effect_config-11000068,密码按键音效
mission_effect_config-21000068,密码按键音效
mission_effect_config-11000069,花粉炸弹爆炸
mission_effect_config-21000069,花粉炸弹爆炸
