skin_bonus-10000201,僵尸家里蹲
skin_bonus-30000803,建设·基地背景
skin_bonus-10000901,名片：沙滩派对
skin_bonus-20000901,格里芬的人形们意外赢来了短暂又和平的夏日假期，但是这片海滩似乎藏有什么秘密……人形们真的能度过“和平”的假期吗？
skin_bonus-30000901,外观·名片背景
skin_bonus-10000902,头像：沙滩朋克2064
skin_bonus-20000902,G41！开始了！主人请看我的表现吧！
skin_bonus-30000902,外观·头像
skin_bonus-10000903,家具：潜水服菲儿
skin_bonus-20000903,作为海滩奇遇的宝贵纪念，菲儿获得了全新的装束……虽说不知道什么时候能派上用场，不过只要FAL喜欢就好啦！
skin_bonus-30000903,家具·地面装饰
skin_bonus-10001001,头像：南瓜串串
skin_bonus-20001001,在悠哉与认真的边缘来回滑行的人形S.A.T.8，这次又有什么事件能将她推向心智天平的另一边？
skin_bonus-30001001,外观·头像
skin_bonus-10001002,家具：幽灵陷阱，反噬！
skin_bonus-20001002,天下无敌网络第一的MDR遭遇的史上最大危机？！这究竟是谁做的！如此……大快人心？（MDR：求删此贴啦！
skin_bonus-30001002,家具·挂饰
skin_bonus-10001003,家具：魔女之森壁纸
skin_bonus-20001003,拍摄于一次格里芬私下的万圣节聚会，出现在这张照片上的人形……在当天晚上全部都……换回正常的服装了。
skin_bonus-30001003,家具·挂饰
skin_bonus-10001004,名片：枪炮与边箱
skin_bonus-20001004,节日装扮还是真实怪物？我就像你摩托上的拖箱一样，你看不到我，我却永远注视着你，直到下一站……
skin_bonus-30001004,外观·名片背景
skin_bonus-10001101,家具：雪精灵小夜灯
skin_bonus-20001101,有着雪花色彩的圣诞小夜灯，在这个冬天全心全意温暖你的世界——指挥官，加一份可爱的人形微笑，需要吗？
skin_bonus-30001101,家具·地面装饰
skin_bonus-10001102,头像：圣诞晨间女王
skin_bonus-20001102,圣诞前夕包揽了全部折扣最优解的人形，虽然带着温和的笑容，但她的过去会是平安夜里最不平安的秘密。
skin_bonus-30001102,外观·头像
skin_bonus-10001103,家具：绯红涡轮
skin_bonus-20001103,如果圣诞节是将快乐送给所有人的日子，那成为谁又有什么重要的呢？至少她一定是收获快乐最多的人形了！
skin_bonus-30001103,家具·挂饰
skin_bonus-10001104,名片：喧嚣圣诞屋
skin_bonus-20001104,没有哪个圣诞是能平安度过的，但喧嚣就意味着大家的团聚，少许冲突摩擦都只是让这个小屋更加温暖。
skin_bonus-30001104,外观·名片背景
skin_bonus-10001201,家具：充电仿生猪
skin_bonus-20001201,仿生小猪外形的移动电源，可以在紧急情况下为人形快速充能，针对各种环境而携带了多种适配器……“适配器？啥是配器？”MP5问。
skin_bonus-30001201,家具·地面装饰
skin_bonus-10001202,家具：门神窗花
skin_bonus-20001202,95式根据今年年夜目击的事件而制作的窗花，“我不会请两个大年夜冻傻了的笨蛋当门神的，该回哪回哪去吧”，97式看完之后说。
skin_bonus-30001202,家具·挂饰
skin_bonus-10001203,头像：紫雨心
skin_bonus-20001203,“新年快乐，希望明年也能保持这个状态，让我期待一下吧。”
skin_bonus-30001203,外观·头像
skin_bonus-10001204,名片：紫雨心
skin_bonus-20001204,“虽然跟他人共享美酒是快乐的事，但有时一人独饮也是种奢侈的享受呢。”
skin_bonus-30001204,外观·名片背景
skin_bonus-10001301,家具：魔法梳妆台
skin_bonus-20001301,当技术达到极致，便与魔法无异。没有人形能够拒绝这种能让自己变得美丽的魔法，所以她们会长久地坐在这里。
skin_bonus-30001301,家具·地面装饰
skin_bonus-10001302,头像：最美的笑颜
skin_bonus-20001302,抓拍这张照片的最佳机会，就是在笑容的主人真心感到幸福的时候。
skin_bonus-30001302,外观·头像
skin_bonus-10001303,家具：甜蜜选择
skin_bonus-20001303,人生不存在命运，只存在一个个选择。但是经常也会有不想要选择的时刻……不过，选择全部，也是一种选择吧。
skin_bonus-30001303,家具·挂饰
skin_bonus-10001304,名片：幸福使命
skin_bonus-20001304,她是传递幸福与希望的使者，而只有赋予她使命的人才能见到她真正的模样。
skin_bonus-30001304,外观·名片背景
skin_bonus-10001401,家具：战术隐匿箱
skin_bonus-20001401,当代罗密欧与朱丽叶相见已经用不着爬阳台了，只需装进隐匿箱，对方就可以像坐在列车的座位上一样，安心踏上私奔的旅途。
skin_bonus-30001401,家具·地面装饰
skin_bonus-10001402,家具：舞会少女行动
skin_bonus-20001402,少女站在舞台上的样子着实让人眼前一亮，如果每个鸡飞狗跳的庆典中都有这项保留节目，那么即使是闹剧也令人不得不期待了。
skin_bonus-30001402,家具·挂饰
skin_bonus-10001403,头像：“博得头彩”
skin_bonus-20001403,“愿、愿赌服输！就算是名次最后的那个，我也会把惩罚好好完成给你看！”
skin_bonus-30001403,外观·头像
skin_bonus-10001501,家具：定制橘喵救生员
skin_bonus-20001501,新型号的橘喵救生员，携带精良装备前来报道！可在汪洋大海中，这只柔弱小猫咪又能救得了谁呢？它连自己都救不了。
skin_bonus-30001501,宿舍·宠物
skin_bonus-10001502,头像：夏日留影
skin_bonus-20001502,那个女孩的幸运值仍旧没能陪她来到这片海域，但是……捕捉到她从容的笑颜时，也许她的幸运都转移到了我的身上也说不定吧。
skin_bonus-30001502,外观·头像
skin_bonus-10001503,家具：美人鱼立牌
skin_bonus-20001503,为了缓解没有见到美人鱼的失落，指挥官特地为人形们定制了美人鱼的立牌，不过脸大的人形还是不要太用力钻进去比较好……
skin_bonus-30001503,家具·地面装饰
skin_bonus-10001504,名片：R式过肩摔
skin_bonus-20001504,欸！去海边就不要玩牌了吧！不如试试刺激的体育竞技？要说有什么项目的话……嘿嘿，这招如何呢！
skin_bonus-30001504,外观·名片背景
skin_bonus-10001601,家具：“来玩游戏吗？”
skin_bonus-20001601,“……姐姐？不用怕，我能做得到的事情真的很多，除了保护你，我还能……嘻嘻，一起来玩游戏吧？”
skin_bonus-30001601,家具·挂饰
skin_bonus-10001602,家具：太空绅士狗
skin_bonus-20001602,“我，跳舞巨星，打钱。”“格琳娜？！你新买的狗语翻译器居然真的有用！……不是，你快来看看这狗语翻译器说了什么可怕的话！”
skin_bonus-30001602,宿舍·宠物
skin_bonus-10001603,头像：“不给糖也别捣蛋”
skin_bonus-20001603,“呜……我明明为了超市优惠券已经那么努力了……为什么骗了我还要这样吓我！”
skin_bonus-30001603,外观·头像
skin_bonus-10001604,名片：魔物盛宴
skin_bonus-20001604,“夜幕降临，正是魔物从格里芬的建筑阴影中爬出来的时刻……”“——不行！卡！再来一条！不好好做的话，你的苏打水、还有你的优惠券我可不会给你们的！”
skin_bonus-30001604,外观·名片背景
skin_bonus-10001701,家具：满载礼物的圣诞袜
skin_bonus-20001701,看上去朴素无比的圣诞袜，然而它的里面却装着无数人的好意与关心——”所以躲在这绝对很安全“潜入格里芬的某个兵蚁如此思考着，希望它能够顺利将礼物送达。
skin_bonus-30001701,家具·挂饰
skin_bonus-10001702,家具：银狐使用说明书
skin_bonus-20001702,为圣诞节特制的机甲“Vixen”的专属说明……尽管并不能翱翔于天际，但依然可以将礼物送到大家的身边——真的很努力呀！
skin_bonus-30001702,家具·挂饰
skin_bonus-10001703,头像：槲寄生的微笑
skin_bonus-20001703,如雪一般纯洁无垢的少女守护着槲寄生美丽的传说：在寒冷的冬天，能够予人温暖的除了热汤以外，还有少女的微笑。
skin_bonus-30001703,外观·头像
skin_bonus-10001704,名片：弗洛伦汀的圣诞树
skin_bonus-20001704,圣诞节的乐趣绝不是在于一个人，而是在于能让大家都开心地笑出来而种下的那棵圣诞树……圣诞夜最让人喜欢的就是这一点喔！
skin_bonus-30001704,外观·名片背景
skin_bonus-10001801,家具：福临贴纸
skin_bonus-20001801,寄托着众人形美好心愿的贴纸，不知被谁贴在了指挥官的办公室门外。
skin_bonus-30001801,家具·挂饰
skin_bonus-10001802,家具：太空飞椅
skin_bonus-20001802,这是一把神奇的飞椅，你只需要放松地坐上去，再合上双眼在心中默数五秒，然后一切都会改变……
skin_bonus-30001802,家具·地面装饰
skin_bonus-10001803,头像：执烛夜话
skin_bonus-20001803,窗外是吵闹不休的鞭炮齐鸣，屋内是辗转难眠的新年长夜，不如索性燃起一支蜡烛寻一意中人共话一夜？
skin_bonus-30001803,外观·头像
skin_bonus-10001804,名片：新岁时礼
skin_bonus-20001804,还有什么能比小憩片刻后醒来发现自己被礼物包围更美好的新年礼物吗？此刻的指挥官认为答案是否定的。
skin_bonus-30001804,外观·名片背景
skin_bonus-10001901,家具：秘密记录仪
skin_bonus-20001901,记录真相的东西往往不在明面上，猜猜这里有几个摄像头？
skin_bonus-30001901,家具·地面装饰
skin_bonus-10001902,头像：无价真心
skin_bonus-20001902,她愿意在所有事件发生时将你往更好的方向理解——这种思维方式被她称为“信任”。
skin_bonus-30001902,外观·头像
skin_bonus-10001903,名片：完美结局
skin_bonus-20001903,一切都在这一天平稳地落下了帷幕。那些投注在你身上的真心，你想好要如何回应了吗？
skin_bonus-30001903,外观·名片背景
skin_bonus-10001904,名片：星夜见证者
skin_bonus-20001904,流星落下时，另一双眼睛也记录下了这片星空——她的眼睛可比RMB93的相机好用多了。
skin_bonus-30001904,外观·名片背景
