achievement-10000001,小小兴趣
achievement-10000022,专家级收藏:突击步枪
achievement-20000022,图鉴解锁30位不同的突击步枪型战术少女。
achievement-30000022,
achievement-10000023,入门级收藏:机枪
achievement-20000023,图鉴解锁3位不同的机枪型战术少女。
achievement-30000023,
achievement-10000024,见习级收藏:机枪
achievement-20000024,图鉴解锁10位不同的机枪型战术少女。
achievement-30000024,
achievement-10000025,进阶级收藏:机枪
achievement-20000025,图鉴解锁20位不同的机枪型战术少女。
achievement-30000025,
achievement-10000026,专家级收藏:机枪
achievement-20000026,图鉴解锁30位不同的机枪型战术少女。
achievement-30000026,
achievement-10000027,荣誉的赠礼
achievement-20000027,首次获得三星战术少女。
achievement-30000027,
achievement-10000028,奇迹的奖券
achievement-20000028,首次获得四星战术少女。
achievement-30000028,
achievement-10000029,命运的邂逅
achievement-20000029,首次获得五星战术少女。
achievement-30000029,
achievement-10000030,新人指挥员
achievement-20000030,累计获得5枚铜星勋章。
achievement-30000030,
achievement-10000031,实习指挥员
achievement-20000031,累计获得10枚铜星勋章。
achievement-30000031,
achievement-10000032,指挥员
achievement-20000032,累计获得20枚铜星勋章。
achievement-30000032,
achievement-10000033,进阶指挥员
achievement-20000033,累计获得30枚铜星勋章。
achievement-30000033,
achievement-10000034,精英指挥员
achievement-20000034,累计获得40枚铜星勋章。
achievement-30000034,
achievement-10000035,资深指挥员
achievement-20000035,累计获得50枚铜星勋章。
achievement-30000035,
achievement-10000036,新人战术家
achievement-20000036,累计获得5枚银星勋章。
achievement-30000036,
achievement-10000037,实习战术家
achievement-20000037,累计获得10枚银星勋章。
achievement-30000037,
achievement-10000038,战术家
achievement-20000038,累计获得20枚银星勋章。
achievement-30000038,
achievement-10000039,进阶战术家
achievement-20000039,累计获得30枚银星勋章。
achievement-30000039,
achievement-10000040,精英战术家
achievement-20000040,累计获得40枚银星勋章。
achievement-30000040,
achievement-10000041,资深战术家
achievement-20000041,累计获得50枚银星勋章。
achievement-30000041,
achievement-10000042,新人士官
achievement-20000042,累计获得5枚金星勋章。
achievement-30000042,
achievement-10000043,实习士官
achievement-20000043,累计获得10枚金星勋章。
achievement-30000043,
achievement-10000044,士官长
achievement-20000044,累计获得20枚金星勋章。
achievement-30000044,
achievement-10000045,进阶士官长
achievement-20000045,累计获得30枚金星勋章。
achievement-30000045,
achievement-10000046,精英士官长
achievement-20000046,累计获得40枚金星勋章。
achievement-30000046,
achievement-10000047,资深士官长
achievement-20000047,累计获得50枚金星勋章。
achievement-30000047,
achievement-10000048,嘿，惊喜！
achievement-20000048,累计踏上任意随机点1次。
achievement-30000048,
achievement-10000049,万一赢了呢？
achievement-20000049,累计踏上任意随机点10次。
achievement-30000049,
achievement-10000050,新闻爱好者
achievement-20000050,累计踏上任意随机点100次。
achievement-30000050,
achievement-10000051,神奇遥控器
achievement-20000051,累计踏上任意随机点500次。
achievement-30000051,
achievement-10000052,虚拟人生
achievement-20000052,累计踏上任意随机点1000次。
achievement-30000052,
achievement-10000053,薛定谔之猫
achievement-20000053,累计踏上任意随机点5000次。
achievement-30000053,
achievement-10000054,只有神才不掷骰子
achievement-20000054,累计踏上任意随机点10000次。
achievement-30000054,
achievement-10000055,第一滴血
achievement-20000055,战斗胜利情况下累计消灭1个敌人。
achievement-30000055,
achievement-10000056,战争机器
achievement-20000056,战斗胜利情况下累计消灭100个敌人。
achievement-30000056,
achievement-10000057,无双
achievement-20000057,战斗胜利情况下累计消灭1000个敌人。
achievement-30000057,
achievement-10000058,战场的女武神
achievement-20000058,战斗胜利情况下累计消灭5000个敌人。
achievement-30000058,
achievement-10000059,神怒之日
achievement-20000059,战斗胜利情况下累计消灭10000个敌人。
achievement-30000059,
achievement-10000060,无命之王
achievement-20000060,战斗胜利情况下累计消灭50000个敌人。
achievement-30000060,
achievement-10000061,十万甚至九万个
achievement-20000061,战斗胜利情况下累计消灭100000个敌人。
achievement-30000061,
achievement-10000062,结束也是新的开始
achievement-20000062,我方梯队累计战斗失败1次。
achievement-30000062,
achievement-10000063,幻痛
achievement-20000063,我方梯队累计战斗失败10次。
achievement-30000063,
achievement-10000064,游戏结束
achievement-20000064,我方梯队累计战斗失败100次。
achievement-30000064,
achievement-10000065,……只是凋零
achievement-20000065,我方梯队累计战斗失败500次。
achievement-30000065,
achievement-10000066,致命魔术
achievement-20000066,我方梯队累计战斗失败1000次。
achievement-30000066,
achievement-10000067,老猎人
achievement-20000067,我方梯队累计战斗失败5000次。
achievement-30000067,
achievement-10000068,不死小姐
achievement-20000068,我方梯队累计战斗失败10000次。
achievement-30000068,
achievement-10000069,值得纪念的一刻
achievement-20000069,任意关卡累计获胜1次。
achievement-30000069,
achievement-10000070,战地摇滚
achievement-20000070,任意关卡累计获胜10次。
achievement-30000070,
achievement-10000071,荣誉勋章
achievement-20000071,任意关卡累计获胜100次。
achievement-30000071,
achievement-10000072,大冒险家
achievement-20000072,任意关卡累计获胜500次。
achievement-30000072,
achievement-10000073,最光荣的时刻
achievement-20000073,任意关卡累计获胜1000次。
achievement-30000073,
achievement-10000074,深渊漫步
achievement-20000074,任意关卡累计获胜5000次。
achievement-30000074,
achievement-10000075,胜利咆哮
achievement-20000075,任意关卡累计获胜10000次。
achievement-30000075,
achievement-10000076,初次反省
achievement-20000076,任意关卡累计作战失败1次。
achievement-30000076,
achievement-10000077,踢猫效应
achievement-20000077,任意关卡累计作战失败10次。
achievement-30000077,
achievement-10000078,不要怕//c是技术性调整
achievement-20000078,任意关卡累计作战失败50次。
achievement-30000078,
achievement-10000079,狼之口
achievement-20000079,任意关卡累计作战失败100次。
achievement-30000079,
achievement-10000080,孤独的观测者
achievement-20000080,任意关卡累计作战失败500次。
achievement-30000080,
achievement-10000081,战争，战争从未改变
achievement-20000081,任意关卡累计作战失败1000次。
achievement-30000081,
achievement-10000082,耶利哥
achievement-20000082,任意关卡累计作战失败2000次。
achievement-30000082,
achievement-10000083,感谢照料
achievement-20000083,累计进行1次战术少女或融合势力单位修复。
achievement-30000083,
achievement-10000084,好//c下一位……
achievement-20000084,累计进行10次战术少女或融合势力单位修复。
achievement-30000084,
achievement-10000085,人形修补匠
achievement-20000085,累计进行100次战术少女或融合势力单位修复。
achievement-30000085,
achievement-10000086,外科模拟2056
achievement-20000086,累计进行500次战术少女或融合势力单位修复。
achievement-30000086,
achievement-10000087,超执刀
achievement-20000087,累计进行1000次战术少女或融合势力单位修复。
achievement-30000087,
achievement-10000088,主题医院
achievement-20000088,累计进行5000次战术少女或融合势力单位修复。
achievement-30000088,
achievement-10000089,黑杰克
achievement-20000089,累计进行10000次战术少女或融合势力单位修复。
achievement-30000089,
achievement-10000090,第一桶金
achievement-20000090,累计完成1次后勤支援。
achievement-30000090,
achievement-10000091,出个远门
achievement-20000091,累计完成10次后勤支援。
achievement-30000091,
achievement-10000092,勤工俭学
achievement-20000092,累计完成100次后勤支援。
achievement-30000092,
achievement-10000093,拾荒成瘾
achievement-20000093,累计完成500次后勤支援。
achievement-30000093,
achievement-10000094,垃圾星人
achievement-20000094,累计完成1000次后勤支援。
achievement-30000094,
achievement-10000095,黑旗
achievement-20000095,累计完成5000次后勤支援。
achievement-30000095,
achievement-10000096,泰拉瑞亚
achievement-20000096,累计完成10000次后勤支援。
achievement-30000096,
achievement-10000097,初次见面
achievement-20000097,累计进行1次战术少女制造。
achievement-30000097,
achievement-10000098,小小工程
achievement-20000098,累计进行10次战术少女制造。
achievement-30000098,
achievement-10000099,手办工厂
achievement-20000099,累计进行100次战术少女制造。
achievement-30000099,
achievement-10000100,梯队收藏
achievement-20000100,累计进行200次战术少女制造。
achievement-30000100,
achievement-10000101,初恋500次
achievement-20000101,累计进行500次战术少女制造。
achievement-30000101,
achievement-10000102,傀儡大师
achievement-20000102,累计进行1000次战术少女制造。
achievement-30000102,
achievement-10000103,人偶镇
achievement-20000103,累计进行2000次战术少女制造。
achievement-30000103,
achievement-10000104,我不是一个人
achievement-20000104,累计进行1次战术少女扩编。
achievement-30000104,
achievement-10000105,假面舞厅
achievement-20000105,累计进行10次战术少女扩编。
achievement-30000105,
achievement-10000106,魔女茶会
achievement-20000106,累计进行100次战术少女扩编。
achievement-30000106,
achievement-10000107,除我以外//c众人皆是傀儡
achievement-20000107,累计进行200次战术少女扩编。
achievement-30000107,
achievement-10000108,虚拟女友
achievement-20000108,累计进行500次战术少女扩编。
achievement-30000108,
achievement-10000109,妄想幻象
achievement-20000109,累计进行1000次战术少女扩编。
achievement-30000109,
achievement-10000110,王之军势
achievement-20000110,累计进行2000次战术少女扩编。
achievement-30000110,
achievement-10000111,改造手术
achievement-20000111,累计进行1次战术少女强化。
achievement-30000111,
achievement-10000112,变废为宝
achievement-20000112,累计进行10次战术少女强化。
achievement-30000112,
achievement-10000113,圣诞树
achievement-20000113,累计进行100次战术少女强化。
achievement-30000113,
achievement-10000114,人形拼图
achievement-20000114,累计进行500次战术少女强化。
achievement-30000114,
achievement-10000115,自我改造
achievement-20000115,累计进行1000次战术少女强化。
achievement-30000115,
achievement-10000116,异人馆
achievement-20000116,累计进行5000次战术少女强化。
achievement-30000116,
achievement-10000117,疯狂芙兰
achievement-20000117,累计进行10000次战术少女强化。
achievement-30000117,
achievement-10000118,下次再见
achievement-20000118,累计进行1次战术少女拆解。
achievement-30000118,
achievement-10000119,下车//c人满了！
achievement-20000119,累计进行10次战术少女拆解。
achievement-30000119,
achievement-10000120,勿忘我
achievement-20000120,累计进行100次战术少女拆解。
achievement-30000120,
achievement-10000121,再见//c不要真的再见……
achievement-20000121,累计进行500次战术少女拆解。
achievement-30000121,
achievement-10000122,我还会回来的！
achievement-20000122,累计进行1000次战术少女拆解。
achievement-30000122,
achievement-10000123,枪械拆卸大师
achievement-20000123,累计进行5000次战术少女拆解。
achievement-30000123,
achievement-10000124,爱情是狗粮
achievement-20000124,累计进行10000次战术少女拆解。
achievement-30000124,
achievement-10000125,人力工房
achievement-20000125,人力总数首次达到5000。
achievement-30000125,
achievement-10000126,人力仓库
achievement-20000126,人力总数首次达到10000。
achievement-30000126,
achievement-10000127,人力财团
achievement-20000127,人力总数首次达到20000。
achievement-30000127,
achievement-10000128,人力大亨
achievement-20000128,人力总数首次达到50000。
achievement-30000128,
achievement-10000129,怪物电力公司
achievement-20000129,人力总数首次达到100000。
achievement-30000129,
achievement-10000130,弹药工房
achievement-20000130,弹药总数首次达到5000。
achievement-30000130,
achievement-10000131,弹药仓库
achievement-20000131,弹药总数首次达到10000。
achievement-30000131,
achievement-10000132,弹药财团
achievement-20000132,弹药总数首次达到20000。
achievement-30000132,
achievement-10000133,弹药大亨
achievement-20000133,弹药总数首次达到50000。
achievement-30000133,
achievement-10000134,战争之王
achievement-20000134,弹药总数首次达到100000。
achievement-30000134,
achievement-10000135,口粮工房
achievement-20000135,口粮总数首次达到5000。
achievement-30000135,
achievement-10000136,口粮仓库
achievement-20000136,口粮总数首次达到10000。
achievement-30000136,
achievement-10000137,口粮财团
achievement-20000137,口粮总数首次达到20000。
achievement-30000137,
achievement-10000138,口粮大亨
achievement-20000138,口粮总数首次达到50000。
achievement-30000138,
achievement-10000139,人形与巧克力工厂
achievement-20000139,口粮总数首次达到100000。
achievement-30000139,
achievement-10000140,零件工房
achievement-20000140,零件总数首次达到5000。
achievement-30000140,
achievement-10000141,零件仓库
achievement-20000141,零件总数首次达到10000。
achievement-30000141,
achievement-10000142,零件财团
achievement-20000142,零件总数首次达到20000。
achievement-30000142,
achievement-10000143,零件大亨
achievement-20000143,零件总数首次达到50000。
achievement-30000143,
achievement-10000144,折越开始！
achievement-20000144,零件总数首次达到100000。
achievement-30000144,
achievement-10000145,训练开始
achievement-20000145,累计进行1次技能训练。
achievement-30000145,
achievement-10000146,起步上手
achievement-20000146,累计进行10次技能训练。
achievement-30000146,
achievement-10000147,熟能生巧
achievement-20000147,累计进行50次技能训练。
achievement-30000147,
achievement-10000148,千锤百炼
achievement-20000148,累计进行100次技能训练。
achievement-30000148,
achievement-10000149,轻车熟路
achievement-20000149,累计进行500次技能训练。
achievement-30000149,
achievement-10000150,最后一课
achievement-20000150,累计进行1000次技能训练。
achievement-30000150,
achievement-10000151,钢铁是这样炼成的
achievement-20000151,累计进行2000次技能训练。
achievement-30000151,
achievement-10000152,模拟作战
achievement-20000152,累计完成1次模拟作战。
achievement-30000152,
achievement-10000153,电子特警
achievement-20000153,累计完成10次模拟作战。
achievement-30000153,
achievement-10000154,夏日课堂
achievement-20000154,累计完成50次模拟作战。
achievement-30000154,
achievement-10000155,学园孤岛
achievement-20000155,累计完成100次模拟作战。
achievement-30000155,
achievement-10000156,量子战役
achievement-20000156,累计完成500次模拟作战。
achievement-30000156,
achievement-10000157,调色板
achievement-20000157,累计完成1000次模拟作战。
achievement-30000157,
achievement-10000158,游荡者茶会
achievement-20000158,累计完成2000次模拟作战。
achievement-30000158,
achievement-10000159,自律作战
achievement-20000159,累计完成1次自律作战。
achievement-30000159,
achievement-10000160,小鬼当家
achievement-20000160,累计完成10次自律作战。
achievement-30000160,
achievement-10000161,玩具总动员
achievement-20000161,累计完成100次自律作战。
achievement-30000161,
achievement-10000162,拜托了，老师
achievement-20000162,累计完成500次自律作战。
achievement-30000162,
achievement-10000163,魔力管家
achievement-20000163,累计完成1000次自律作战。
achievement-30000163,
achievement-10000164,天网计划
achievement-20000164,累计完成5000次自律作战。
achievement-30000164,
achievement-10000165,矩阵革命
achievement-20000165,累计完成10000次自律作战。
achievement-30000165,
achievement-10000166,配件入门
achievement-20000166,累计获得10个配件类装备。
achievement-30000166,
achievement-10000167,配件学徒
achievement-20000167,累计获得50个配件类装备。
achievement-30000167,
achievement-10000168,配件工匠
achievement-20000168,累计获得100个配件类装备。
achievement-30000168,
achievement-10000169,配件精英
achievement-20000169,累计获得200个配件类装备。
achievement-30000169,
achievement-10000170,配件专家
achievement-20000170,累计获得500个配件类装备。
achievement-30000170,
achievement-10000171,配件大师
achievement-20000171,累计获得1000个配件类装备。
achievement-30000171,
achievement-10000172,弹匣入门
achievement-20000172,累计获得10个弹匣类装备。
achievement-30000172,
achievement-10000173,弹匣学徒
achievement-20000173,累计获得50个弹匣类装备。
achievement-30000173,
achievement-10000174,弹匣工匠
achievement-20000174,累计获得100个弹匣类装备。
achievement-30000174,
achievement-10000175,弹匣精英
achievement-20000175,累计获得200个弹匣类装备。
achievement-30000175,
achievement-10000176,弹匣专家
achievement-20000176,累计获得500个弹匣类装备。
achievement-30000176,
achievement-10000177,弹匣大师
achievement-20000177,累计获得1000个弹匣类装备。
achievement-30000177,
achievement-10000178,人形入门
achievement-20000178,累计获得10个人形类装备。
achievement-30000178,
achievement-10000179,人形学徒
achievement-20000179,累计获得50个人形类装备。
achievement-30000179,
achievement-10000180,人形工匠
achievement-20000180,累计获得100个人形类装备。
achievement-30000180,
achievement-10000181,人形精英
achievement-20000181,累计获得200个人形类装备。
achievement-30000181,
achievement-10000182,人形专家
achievement-20000182,累计获得500个人形类装备。
achievement-30000182,
achievement-10000183,人形大师
achievement-20000183,累计获得1000个人形类装备。
achievement-30000183,
achievement-10000184,小发明
achievement-20000184,首次获得蓝色装备。
achievement-30000184,
achievement-10000185,高新产品
achievement-20000185,首次获得绿色装备。
achievement-30000185,
achievement-10000186,百万级专利
achievement-20000186,首次获得金色装备。
achievement-30000186,
achievement-10000187,装备制造
achievement-20000187,累计进行1次装备制造。
achievement-30000187,
achievement-10000188,流水线
achievement-20000188,累计进行10次装备制造。
achievement-30000188,
achievement-10000189,曼彻斯特厂长
achievement-20000189,累计进行100次装备制造。
achievement-30000189,
achievement-10000190,炸药桶猎人
achievement-20000190,累计进行200次装备制造。
achievement-30000190,
achievement-10000191,炼金工房
achievement-20000191,累计进行500次装备制造。
achievement-30000191,
achievement-10000192,矮人车间
achievement-20000192,累计进行1000次装备制造。
achievement-30000192,
achievement-10000193,异星工厂
achievement-20000193,累计进行2000次装备制造。
achievement-30000193,
achievement-10000194,装备拆解
achievement-20000194,累计进行1次装备拆解。
achievement-30000194,
achievement-10000195,垃圾桶
achievement-20000195,累计进行10次装备拆解。
achievement-30000195,
achievement-10000196,回收站
achievement-20000196,累计进行100次装备拆解。
achievement-30000196,
achievement-10000197,废品处理厂
achievement-20000197,累计进行500次装备拆解。
achievement-30000197,
achievement-10000198,颓废派艺术
achievement-20000198,累计进行1000次装备拆解。
achievement-30000198,
achievement-10000199,邋遢大王
achievement-20000199,累计进行5000次装备拆解。
achievement-30000199,
achievement-10000200,大发明家
achievement-20000200,累计进行10000次装备拆解。
achievement-30000200,
achievement-10000201,十三工房
achievement-20000201,图鉴解锁160位不同的战术少女。
achievement-30000201,
achievement-10000202,木偶牧场
achievement-20000202,图鉴解锁200位不同的战术少女。
achievement-30000202,
achievement-10000203,人形小镇
achievement-20000203,图鉴解锁250位不同的战术少女。
achievement-30000203,
achievement-10000204,少女乐园
achievement-20000204,图鉴解锁300位不同的战术少女。
achievement-30000204,
achievement-10000205,学者级收藏：手枪
achievement-20000205,图鉴解锁40位不同的手枪型战术少女。
achievement-30000205,
achievement-10000206,精英级收藏：手枪
achievement-20000206,图鉴解锁50位不同的手枪型战术少女。
achievement-30000206,
achievement-10000207,大师级收藏：手枪
achievement-20000207,图鉴解锁60位不同的手枪型战术少女。
achievement-30000207,
achievement-10000208,学者级收藏：冲锋枪
achievement-20000208,图鉴解锁40位不同的冲锋枪型战术少女。
achievement-30000208,
achievement-10000209,精英级收藏：冲锋枪
achievement-20000209,图鉴解锁50位不同的冲锋枪型战术少女。
achievement-30000209,
achievement-10000210,大师级收藏：冲锋枪
achievement-20000210,图鉴解锁60位不同的冲锋枪型战术少女。
achievement-30000210,
achievement-10000211,学者级收藏：步枪
achievement-20000211,图鉴解锁40位不同的步枪型战术少女。
achievement-30000211,
achievement-10000212,精英级收藏：步枪
achievement-20000212,图鉴解锁50位不同的步枪型战术少女。
achievement-30000212,
achievement-10000213,大师级收藏：步枪
achievement-20000213,图鉴解锁60位不同的步枪型战术少女。
achievement-30000213,
achievement-10000214,学者级收藏：突击步枪
achievement-20000214,图鉴解锁40位不同的突击步枪型战术少女。
achievement-30000214,
achievement-10000215,精英级收藏：突击步枪
achievement-20000215,图鉴解锁50位不同的突击步枪型战术少女。
achievement-30000215,
achievement-10000216,大师级收藏：突击步枪
achievement-20000216,图鉴解锁60位不同的突击步枪型战术少女。
achievement-30000216,
achievement-10000217,学者级收藏：机枪
achievement-20000217,图鉴解锁40位不同的机枪型战术少女。
achievement-30000217,
achievement-10000218,精英级收藏：机枪
achievement-20000218,图鉴解锁50位不同的机枪型战术少女。
achievement-30000218,
achievement-10000219,大师级收藏：机枪
achievement-20000219,图鉴解锁60位不同的机枪型战术少女。
achievement-30000219,
achievement-10000220,高阶指挥员
achievement-20000220,累计获得60枚铜星勋章。
achievement-30000220,
achievement-10000221,老练指挥员
achievement-20000221,累计获得70枚铜星勋章。
achievement-30000221,
achievement-10000222,大师指挥员
achievement-20000222,累计获得80枚铜星勋章。
achievement-30000222,
achievement-10000223,王牌指挥员
achievement-20000223,累计获得90枚铜星勋章。
achievement-30000223,
achievement-10000224,传奇指挥员
achievement-20000224,累计获得100枚铜星勋章。
achievement-30000224,
achievement-10000225,高阶战术家
achievement-20000225,累计获得60枚银星勋章。
achievement-30000225,
achievement-10000226,老练战术家
achievement-20000226,累计获得70枚银星勋章。
achievement-30000226,
achievement-10000227,大师战术家
achievement-20000227,累计获得80枚银星勋章。
achievement-30000227,
achievement-10000228,王牌战术家
achievement-20000228,累计获得90枚银星勋章。
achievement-30000228,
achievement-10000229,传奇战术家
achievement-20000229,累计获得100枚银星勋章。
achievement-30000229,
achievement-10000230,高阶士官长
achievement-20000230,累计获得60枚金星勋章。
achievement-30000230,
achievement-10000231,老练士官长
achievement-20000231,累计获得70枚金星勋章。
achievement-30000231,
achievement-10000232,大师士官长
achievement-20000232,累计获得80枚金星勋章。
achievement-30000232,
achievement-10000233,王牌士官长
achievement-20000233,累计获得90枚金星勋章。
achievement-30000233,
achievement-10000234,传奇士官长
achievement-20000234,累计获得100枚金星勋章。
achievement-30000234,
achievement-10000235,配件达人
achievement-20000235,累计获得2000个配件类装备。
achievement-30000235,
achievement-10000236,配件厂长
achievement-20000236,累计获得5000个配件类装备。
achievement-30000236,
achievement-10000237,配件大亨
achievement-20000237,累计获得10000个配件类装备。
achievement-30000237,
achievement-10000238,配件制霸
achievement-20000238,累计获得20000个配件类装备。
achievement-30000238,
achievement-10000239,配件超人
achievement-20000239,累计获得50000个配件类装备。
achievement-30000239,
achievement-10000240,弹匣达人
achievement-20000240,累计获得2000个弹匣类装备。
achievement-30000240,
achievement-10000241,弹匣厂长
achievement-20000241,累计获得5000个弹匣类装备。
achievement-30000241,
achievement-10000242,弹匣大亨
achievement-20000242,累计获得10000个弹匣类装备。
achievement-30000242,
achievement-10000243,弹匣制霸
achievement-20000243,累计获得20000个弹匣类装备。
achievement-30000243,
achievement-10000244,弹匣超人
achievement-20000244,累计获得50000个弹匣类装备。
achievement-30000244,
achievement-10000245,人形达人
achievement-20000245,累计获得2000个人形类装备。
achievement-30000245,
achievement-10000246,人形厂长
achievement-20000246,累计获得5000个人形类装备。
achievement-30000246,
achievement-10000247,人形大亨
achievement-20000247,累计获得10000个人形类装备。
achievement-30000247,
achievement-10000248,人形制霸
achievement-20000248,累计获得20000个人形类装备。
achievement-30000248,
achievement-10000249,人形超人
achievement-20000249,累计获得50000个人形类装备。
achievement-30000249,
achievement-10000250,下一站？
achievement-20000250,累计踏上任意随机点20000次。
achievement-30000250,
achievement-10000251,人生巧克力
achievement-20000251,累计踏上任意随机点50000次。
achievement-30000251,
achievement-10000252,命运之轮
achievement-20000252,累计踏上任意随机点100000次。
achievement-30000252,
achievement-10000253,驱魔少女
achievement-20000253,战斗胜利情况下累计消灭200000个敌人。
achievement-30000253,
achievement-10000254,和平缔造者
achievement-20000254,战斗胜利情况下累计消灭500000个敌人。
achievement-30000254,
achievement-10000255,格里芬大镖客
achievement-20000255,战斗胜利情况下累计消灭1000000个敌人。
achievement-30000255,
achievement-10000256,铁王座
achievement-20000256,我方梯队累计战斗失败20000次。
achievement-30000256,
achievement-10000257,晨间剧主角
achievement-20000257,我方梯队累计战斗失败50000次。
achievement-30000257,
achievement-10000258,不是还有生命吗
achievement-20000258,我方梯队累计战斗失败100000次。
achievement-30000258,
achievement-10000259,战斗乐园
achievement-20000259,任意关卡累计获胜20000次。
achievement-30000259,
achievement-10000260,战锤50K
achievement-20000260,任意关卡累计获胜50000次。
achievement-30000260,
achievement-10000261,格里芬敢死队
achievement-20000261,任意关卡累计获胜100000次。
achievement-30000261,
achievement-10000262,伟大前程
achievement-20000262,任意关卡累计作战失败5000次。
achievement-30000262,
achievement-10000263,巨人的肩膀
achievement-20000263,任意关卡累计作战失败10000次。
achievement-30000263,
achievement-10000264,联盟冠军之旅
achievement-20000264,任意关卡累计作战失败20000次。
achievement-30000264,
achievement-10000265,怪物
achievement-20000265,累计进行20000次战术少女或融合势力单位修复。
achievement-30000265,
achievement-10000266,你弄坏的我来修
achievement-20000266,累计进行50000次战术少女或融合势力单位修复。
achievement-30000266,
achievement-10000267,妄想改造人
achievement-20000267,累计进行100000次战术少女或融合势力单位修复。
achievement-30000267,
achievement-10000268,饥荒
achievement-20000268,累计完成20000次后勤支援。
achievement-30000268,
achievement-10000269,无人形深空
achievement-20000269,累计完成50000次后勤支援。
achievement-30000269,
achievement-10000270,银河系搭车客
achievement-20000270,累计完成100000次后勤支援。
achievement-30000270,
achievement-10000271,弹跳天国
achievement-20000271,累计进行5000次战术少女制造。
achievement-30000271,
achievement-10000272,T-10000
achievement-20000272,累计进行10000次战术少女制造。
achievement-30000272,
achievement-10000273,人形的圣诞礼物
achievement-20000273,累计进行20000次战术少女制造。
achievement-30000273,
achievement-10000274,聚宝盆
achievement-20000274,累计进行5000次战术少女扩编。
achievement-30000274,
achievement-10000275,最后之作
achievement-20000275,累计进行10000次战术少女扩编。
achievement-30000275,
achievement-10000276,女仆咖啡厅
achievement-20000276,累计进行20000次战术少女扩编。
achievement-30000276,
achievement-10000277,浮士德
achievement-20000277,累计进行20000次战术少女强化。
achievement-30000277,
achievement-10000278,灰姑娘
achievement-20000278,累计进行50000次战术少女强化。
achievement-30000278,
achievement-10000279,神力无敌
achievement-20000279,累计进行100000次战术少女强化。
achievement-30000279,
achievement-10000280,永别了武器
achievement-20000280,累计进行20000次战术少女拆解。
achievement-30000280,
achievement-10000281,非暴力不合作
achievement-20000281,累计进行50000次战术少女拆解。
achievement-30000281,
achievement-10000282,谢谢所有的鱼
achievement-20000282,累计进行100000次战术少女拆解。
achievement-30000282,
achievement-10000283,第5000条军规
achievement-20000283,累计进行5000次技能训练。
achievement-30000283,
achievement-10000284,魔鬼司令
achievement-20000284,累计进行10000次技能训练。
achievement-30000284,
achievement-10000285,和平经由暴政
achievement-20000285,累计进行20000次技能训练。
achievement-30000285,
achievement-10000286,和莎莫的5000天
achievement-20000286,累计完成5000次模拟作战。
achievement-30000286,
achievement-10000287,21世纪少女
achievement-20000287,累计完成10000次模拟作战。
achievement-30000287,
achievement-10000288,自由归于众生
achievement-20000288,累计完成20000次模拟作战。
achievement-30000288,
achievement-10000289,银翼杀手
achievement-20000289,累计完成20000次自律作战。
achievement-30000289,
achievement-10000290,神经浪游者
achievement-20000290,累计完成50000次自律作战。
achievement-30000290,
