explore_affair_server-10000001,[pet1]来到[gun1]的身边，但被枪吓到逃跑了，只留下了一件装备。
explore_affair_server-10000033,[gun1]协助了一群试著修复发电机的民间工程师，作为谢礼得到了物资。
explore_affair_server-10000034,[gun1]在河边上发现水下疑似藏有什么东西，潜下去之后找到了物资。
explore_affair_server-10000035,[gun1]在河边上发现水下疑似藏有什么东西，潜下去之后找到了物资。
explore_affair_server-10000036,[gun1]在河边上发现水下疑似藏有什么东西，潜下去之后找到了物资。
explore_affair_server-10000037,[gun1]在路上遇到了强盗，在解除对方武装时，在他们的行囊里发现了契约。
explore_affair_server-10000038,[gun1]在路上遇到了强盗，在解除对方武装时，在他们的行囊里发现了契约。
explore_affair_server-10000039,[gun1]在路上遇到了强盗，在解除对方武装时，在他们的行囊里发现了契约。
explore_affair_server-10000040,[gun1]在雪地里踩到了坚硬的东西。当[gun1]把这个东西挖上来时，惊讶地发现这是物资。
explore_affair_server-10000041,[gun1]在雪地里踩到了坚硬的东西。当[gun1]把这个东西挖上来时，惊讶地发现这是物资。
explore_affair_server-10000042,[gun1]在雪地里踩到了坚硬的东西。当[gun1]把这个东西挖上来时，惊讶地发现这是物资。
explore_affair_server-10000043,[gun1]找到了一处废弃品回收站，大家在里面找到了物资。
explore_affair_server-10000044,[gun1]找到了一处废弃品回收站，大家在里面找到了物资。
explore_affair_server-10000045,[gun1]找到了一处废弃品回收站，大家在里面找到了物资。
explore_affair_server-10000046,[gun1]在雪地中滑倒，虽然摔得很惨，但在雪堆中意外发现了物资。
explore_affair_server-10000047,[gun1]在雪地中滑倒，虽然摔得很惨，但在雪堆中意外发现了物资。
explore_affair_server-10000048,[gun1]在雪地中滑倒，虽然摔得很惨，但在雪堆中意外发现了物资。
explore_affair_server-10000049,[gun1]费力地打开了废弃木屋里的保险箱，里面小心翼翼地收藏著物资。
explore_affair_server-10000050,[gun1]费力地打开了废弃木屋里的保险箱，里面小心翼翼地收藏著物资。
explore_affair_server-10000051,[gun1]费力地打开了废弃木屋里的保险箱，里面小心翼翼地收藏著物资。
explore_affair_server-10000052,[gun1:37]靠著熟练的技巧打开了废弃木屋里的保险箱，里面小心翼翼地收藏著物资。
explore_affair_server-10000053,[gun1:37]靠著熟练的技巧打开了废弃木屋里的保险箱，里面小心翼翼地收藏著物资。
explore_affair_server-10000054,[gun1:37]靠著熟练的技巧打开了废弃木屋里的保险箱，里面小心翼翼地收藏著物资。
explore_affair_server-10000055,尽管无法提供实质上的帮助，[gun1]的话语还是为惶恐的人们提供了心灵上的慰藉，一个老人说不远处的树下埋著对她有帮助的东西，刨开土后大家找到了物资。
explore_affair_server-10000056,尽管无法提供实质上的帮助，[gun1]的话语还是为惶恐的人们提供了心灵上的慰藉，一个老人说不远处的树下埋著对她有帮助的东西，刨开土后大家找到了物资。
explore_affair_server-10000057,尽管无法提供实质上的帮助，[gun1]的话语还是为惶恐的人们提供了心灵上的慰藉，一个老人说不远处的树下埋著对她有帮助的东西，刨开土后大家找到了物资。
explore_affair_server-10000058,天气实在是太冷了。[gun1]在翻找防冻液的时候，找到了被妥善封存的物资。
explore_affair_server-10000059,天气实在是太冷了。[gun1]在翻找防冻液的时候，找到了被妥善封存的物资。
explore_affair_server-10000060,天气实在是太冷了。[gun1]在翻找防冻液的时候，找到了被妥善封存的物资。
explore_affair_server-10000061,[gun1]搜索了一处废弃的木屋，并且幸运地在角落找到了不知何故被遗留的物资。
explore_affair_server-10000062,[gun1]搜索了一处废弃的木屋，并且幸运地在角落找到了不知何故被遗留的物资。
explore_affair_server-10000063,[gun1]搜索了一处废弃的木屋，并且幸运地在角落找到了不知何故被遗留的物资。
explore_affair_server-10000064,在搜索一处废弃的木屋时，[gun1]发现了暗藏的地下室，并在里面找到了物资。
explore_affair_server-10000065,在搜索一处废弃的木屋时，[gun1]发现了暗藏的地下室，并在里面找到了物资。
explore_affair_server-10000066,在搜索一处废弃的木屋时，[gun1]发现了暗藏的地下室，并在里面找到了物资。
explore_affair_server-10000067,[gun1]在森林深处遇到了一只被藤蔓网住的废弃人形。虽然没能唤醒它，但是从它身上掉下了物资。
explore_affair_server-10000068,[gun1]在森林深处遇到了一只被藤蔓网住的废弃人形。虽然没能唤醒它，但是从它身上掉下了物资。
explore_affair_server-10000069,[gun1]在森林深处遇到了一只被藤蔓网住的废弃人形。虽然没能唤醒它，但是从它身上掉下了物资。
explore_affair_server-10000070,[gun1]在一处废弃的木屋里发现了一个人形的残骸，并在它的身上找到了物资。
explore_affair_server-10000071,[gun1]在一处废弃的木屋里发现了一个人形的残骸，并在它的身上找到了物资。
explore_affair_server-10000072,[gun1]在一处废弃的木屋里发现了一个人形的残骸，并在它的身上找到了物资。
explore_affair_server-10000073,[gun1]发现了一家不错的咖啡厅，想进去买些咖啡时，老板虽然认出了她是人形，但平等地接待了她，还送给她一些物资。
explore_affair_server-10000074,[gun1]发现了一家不错的咖啡厅，想进去买些咖啡时，老板虽然认出了她是人形，但平等地接待了她，还送给她一些物资。
explore_affair_server-10000075,[gun1]发现了一家不错的咖啡厅，想进去买些咖啡时，老板虽然认出了她是人形，但平等地接待了她，还送给她一些物资。
explore_affair_server-10000076,[gun1]在雪地里发现了破坏者堆好的雪人，并从雪人上得到了物资。
explore_affair_server-10000077,[gun1]在雪地里发现了破坏者堆好的雪人，并从雪人上得到了物资。
explore_affair_server-10000078,[gun1]在雪地里发现了破坏者堆好的雪人，并从雪人上得到了物资。
explore_affair_server-10000089,[pet1]来到[gun1]的身边，但被枪吓到逃跑了，只留下了物资。
explore_affair_server-10000090,[pet1]来到[gun1]的身边，但被枪吓到逃跑了，只留下了物资。
explore_affair_server-10000091,[pet1]来到[gun1]的身边，但被枪吓到逃跑了，只留下了物资。
explore_affair_server-10000092,[gun1]渡河时摔进了河里，却也因此在水底下发现了物资。
explore_affair_server-10000093,[gun1]渡河时摔进了河里，却也因此在水底下发现了物资。
explore_affair_server-10000094,[gun1]渡河时摔进了河里，却也因此在水底下发现了物资。
explore_affair_server-10000095,[gun1]在河边上发现水下疑似藏有什么东西，潜下去之后找到了物资。
explore_affair_server-10000096,[gun1]在河边上发现水下疑似藏有什么东西，潜下去之后找到了物资。
explore_affair_server-10000097,[gun1]在河边上发现水下疑似藏有什么东西，潜下去之后找到了物资。
explore_affair_server-10000098,[gun1]在路上遇到了强盗，在解除对方武装时，在他们的行囊里发现了物资。
explore_affair_server-10000099,[gun1]在路上遇到了强盗，在解除对方武装时，在他们的行囊里发现了物资。
explore_affair_server-10000100,[gun1]在路上遇到了强盗，在解除对方武装时，在他们的行囊里发现了物资。
explore_affair_server-10000101,[gun1]将自己多携带的食物分给了需要帮助的人们，在接受感激之馀，一位难民将自己珍藏的物资赠送给了她。
explore_affair_server-10000102,[gun1]将自己多携带的食物分给了需要帮助的人们，在接受感激之馀，一位难民将自己珍藏的物资赠送给了她。
explore_affair_server-10000103,[gun1]将自己多携带的食物分给了需要帮助的人们，在接受感激之馀，一位难民将自己珍藏的物资赠送给了她。
explore_affair_server-10000104,尽管无法提供实质上的帮助，[gun1]的话语还是为惶恐的人们提供了心灵上的慰藉，一个老人说不远处的树下埋著对她有帮助的东西，刨开土后大家找到了物资。
explore_affair_server-10000105,尽管无法提供实质上的帮助，[gun1]的话语还是为惶恐的人们提供了心灵上的慰藉，一个老人说不远处的树下埋著对她有帮助的东西，刨开土后大家找到了物资。
explore_affair_server-10000106,尽管无法提供实质上的帮助，[gun1]的话语还是为惶恐的人们提供了心灵上的慰藉，一个老人说不远处的树下埋著对她有帮助的东西，刨开土后大家找到了物资。
explore_affair_server-10000107,在搜索一处废弃的木屋时，[gun1]发现了暗藏的地下室，并在里面找到了物资。
explore_affair_server-10000108,在搜索一处废弃的木屋时，[gun1]发现了暗藏的地下室，并在里面找到了物资。
explore_affair_server-10000109,在搜索一处废弃的木屋时，[gun1]发现了暗藏的地下室，并在里面找到了物资。
explore_affair_server-10000004,[pet1]来到[gun1]的身边，但被枪吓到逃跑了，什么都没有留下。
explore_affair_server-10000014,[gun1]和冻到程序错乱的铁血打起了雪仗，但是失败了。
explore_affair_server-10000015,[gun1]和冻到程序错乱的铁血打起了雪仗，虽然获得了胜利，却被抢走了防寒服。
explore_affair_server-10000079,[gun1]认得这半张脸，至少她不是唯一一个认出来的人，再怎么说这可曾都是世界上最出名的面孔之一，这也导致了她今天只剩半张脸在这儿。
explore_affair_server-10000080,[gun1]揉了揉眼，不知道是不是错觉，但这个蓝色的电话亭十分眼熟，就好像它不停出现在每个地方，但察看了以后并没有发现任何异状。
explore_affair_server-10000081,[gun1]在一处加油站旁边找到了一个发红的陈旧火箭，加油站里还有个餐厅，她猜以前人类的太空人就是在这里用餐、加油、然后继续他们短暂的太空旅行。
explore_affair_server-10000082,如果某个警官没有睡过头，那么他可能就能搭著这辆警车去阻止世界末日的爆发，[gun1]看著这辆车子的残骸思考道。
explore_affair_server-10000083,[gun1]尝试连接地上那个奇怪的终端机接口但失败了，如果连接成功了，会不会遇到新的人工智能，它会说出失落的科研基地在哪里吗？
explore_affair_server-10000084,[gun1]发现这里是一处巨大的地下铁车站的入口，若不是已经坍塌，里面的空间或许能支撑好几代人度过世界末日。
explore_affair_server-10000085,[gun1]意外在土里找到了一个半埋住的方块，即使它不用开口也不用是活物就能成为人类的好朋友，但人类依然还是会选择把它安乐死，可能这就是人类吧。
explore_affair_server-10000086,[gun1]遇见了奇怪的雕塑，有鉴于它奇怪的形状，她们决定跟这东西合影，并亲切地称呼它“金色飞机头”。
explore_affair_server-10000087,[gun1]看著放在最外面的这个金色的雕塑，认为这团火焰的意象代表著当时人类对于繁荣的渴望。然而这种解读被其他人嘲笑了。
explore_affair_server-10000088,[gun1]在草丛里发现了一个奇怪的老旧载具残骸，其设计理念相当超前，以致于大家宁愿不相信这东西诞生在半个世纪前。
explore_affair_server-10000110,人形们与一批敌人正面遭遇。//n判断敌人实力很弱，大家决定当场开战。//n敌人果然被迅速击败，小队成员士气高涨，开开心心地继续前进。
explore_affair_server-10000111,人形们侦查到前方出现大批强敌。//n出于保存实力的考虑，大家决定避免正面冲突。//n敌人趾高气扬地在前面漫步，小队成员小心地隐蔽起来，等敌人离开之后再继续前进。
explore_affair_server-10000112,人形们正面遭遇了一批强敌。//n由于敌我实力悬殊，大家决定撤退。//n敌人不依不饶紧追不舍，小队成员迈开矫健的步迅速拉开距离，成功回避了一场苦战。
explore_affair_server-10000113,人形们正面遭遇了率领着强力小队的BOSS。//n由于受到BOSS的挑衅，大家愤而开战。//nBOSS的随从们血量当场蒸发，吓得BOSS仓皇逃窜，小队成员心情愉悦地继续前进。
