sangvis-10001001,稻草人
sangvis-40003003,铁血的高级作战傀儡，装配有护盾和短程火力武器，如外形所见的高防御护卫型角色，一般会用于防御重要单位，或者作为高级先锋在部队推进时出场。
sangvis-30003003,待定
sangvis-10003004,猎鸥
sangvis-40003004,铁血的常规作战傀儡，装配有远程狙击武器，火力和精准较高但本体脆弱，常规战场中必须小心的敌手。
sangvis-30003004,待定
sangvis-10003005,痛击者
sangvis-40003005,铁血的常规作战单位，装配有远程机枪武器，火力和射速较高，主要用于战场的火力输出和压制。
sangvis-30003005,待定
sangvis-10003006,兵蚁
sangvis-40003006,铁血的低级作战机甲，战斗能力较弱但适合量产，通常用于警卫和搜寻任务，采用粗暴的冲撞攻击，成群之后战斗力不容小觑。
sangvis-30003006,待定
sangvis-10003007,侦察者
sangvis-40003007,铁血的低级作战机甲，作战能力较弱，但机动性高且易于隐蔽，常用于前线侦察和情报采集。
sangvis-30003007,待定
sangvis-10003008,巡游者
sangvis-40003008,铁血的低级作战单位，火力和机动性都较弱，主要用于己方阵线的巡逻和侦查任务。
sangvis-30003008,待定
sangvis-10003009,劫豹
sangvis-40003009,铁血的常规作战机甲，可移动的高伤害迫击武器，机动性较差，但火力可以与当代的常规军用武器媲美。
sangvis-30003009,待定
sangvis-10009001,衔尾蛇
sangvis-40009001,擅长短距离的突破或者防御作战，智能和作战能力很高，是蝴蝶事件之后才制造的人形，但因为是制造时期的试验品，AI极不稳定且很难被控制。表面沉稳内心高傲，拥有强劲的武力和智力优势，但是实战经验较少，而且行事风格捉摸不定，令敌我双方都难以预判，因此具有极高的危险度。
sangvis-30009001,待定
