theater_area-10000411,普通关卡
theater_area-10000632,普通关卡
theater_area-20000632,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000633,要塞关卡
theater_area-20000633,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000634,普通关卡
theater_area-20000634,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000635,普通关卡
theater_area-20000635,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000636,要塞关卡
theater_area-20000636,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000637,普通关卡
theater_area-20000637,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000638,要塞关卡
theater_area-20000638,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000641,普通关卡
theater_area-20000641,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000642,普通关卡
theater_area-20000642,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000643,要塞关卡
theater_area-20000643,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000644,普通关卡
theater_area-20000644,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000645,普通关卡
theater_area-20000645,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000646,要塞关卡
theater_area-20000646,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000647,普通关卡
theater_area-20000647,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000648,要塞关卡
theater_area-20000648,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
