enemy_illustration_skill-10000001,普通射击
enemy_illustration_skill-20000066,计量官将在一次攻击中对目标单位造成4次伤害。
enemy_illustration_skill-10000067,辉之牙
enemy_illustration_skill-20000067,更高规格的计量官战斗模组将使用该技能//c在预警后对该区域造成伤害//c锁定我方一横向队列造成两段无视护甲的必中伤害。
enemy_illustration_skill-10000068,铁血战术·建筑师
enemy_illustration_skill-20000068,对我方随机单体投掷榴弹//c造成不可闪避的编制伤害。
enemy_illustration_skill-10000069,狂欢终结
enemy_illustration_skill-20000069,更高规格的建筑师战斗模组将使用该技能//c随机锁定我方任一单体//c以该人形为中心造成十字型的不可闪避范围伤害。
enemy_illustration_skill-10000070,铁血战术·梦想家
enemy_illustration_skill-20000070,预警后对我方单位发射可以贯穿一横排的激光//c对路径上的敌人造成无视护甲的必中伤害。
enemy_illustration_skill-10000071,铁血战术·衔尾蛇
enemy_illustration_skill-20000071,圆形浮游炮尾部展开//c发射四枚导弹对目标角色造成4发总计两倍的伤害。
enemy_illustration_skill-10000072,恶毒绽放
enemy_illustration_skill-20000072,锁定距离最远的4名单位并对目标造成必中伤害。
enemy_illustration_skill-10000073,铁血战术·法官·审
enemy_illustration_skill-20000073,法官身前出现紫色的护盾//c该状态下法官拥有额外的护甲值。
enemy_illustration_skill-10000074,铁血战术·法官·判
enemy_illustration_skill-20000074,取消防御状态//c法官周身发出紫光//c该状态下法官火力获得额外的提升。
enemy_illustration_skill-10000075,瘟疫立场
enemy_illustration_skill-20000075,法官高高跃起并对我方随机一名人形发动飞踢//c在产生伤害的位置留下紫色痕迹//c持续在该紫色范围内的我方单位将获得火力下降的负面状态。
enemy_illustration_skill-10000076,瘟疫立场Ex
enemy_illustration_skill-20000076,更高规格的法官战斗模组将使用该技能//c高高跃起并对我方全体人形发动飞踢//c在产生伤害的位置留下紫色痕迹//c持续在该紫色范围内的我方单位将获得火力下降的负面状态。
enemy_illustration_skill-10000077,铁血战术·代理人
enemy_illustration_skill-20000077,召唤傀儡分身代理人//c分身持续攻击但伤害较低//c拥有护甲//c可抵挡少量伤害。
enemy_illustration_skill-10000078,恶兆之钥
enemy_illustration_skill-20000078,代理人停止攻击，开启护盾吸收伤害。如果8秒内不能打破护盾，代理人会撤掉护盾发动毁灭性的攻击//c全灭我方单位。
enemy_illustration_skill-10000079,铁血战术·末日魔犬
enemy_illustration_skill-20000079,向我方中间竖列投掷三发榴弹//c对该竖列上人形造成无视护甲的必中伤害。
enemy_illustration_skill-10000080,灭绝死光
enemy_illustration_skill-20000080,对我方靠后两排进行颜色一深一浅的预警//c预警后对深色区域发射伤害更高的红色激光//c向浅色区域发射一排导弹//c造成计算护甲的必中伤害。
enemy_illustration_skill-10000081,铁血战术·M16
enemy_illustration_skill-20000081,每隔15s投掷一枚闪光弹对我方全体单位造成眩晕效果。
enemy_illustration_skill-10000082,信标采集
enemy_illustration_skill-20000082,M16向我方随机位置呼叫一枚信标，信标将检测该位置我方单位枪种//c并根据枪种反馈给M16增益效果。手枪<火力提升> 冲锋枪<命中提升> 步枪<射速提升> 突击步枪<护甲提升> 机枪<回避提升> 霰弹枪<穿甲提升> 落空将获得以上全部效果。
enemy_illustration_skill-10000083,厌世者打击
enemy_illustration_skill-20000083,以我方此次战斗中输出最高的人形为中心呼叫空袭//c锁定该角色//c对该人形及周围十字范围内的我方单位造成伤害。
enemy_illustration_skill-10000084,铁血战术·干扰者
enemy_illustration_skill-20000084,使用机枪端在短时间对目标单位造成多段伤害。
enemy_illustration_skill-10000085,蓄力攻击
enemy_illustration_skill-20000085,每普通攻击6次后，会进行一次蓄力攻击，对我方全体造成伤害。
enemy_illustration_skill-10000086,逆向坍塌
enemy_illustration_skill-20000086,每隔一段时间将距离最远的我方单位浮在空中//c浮在空中的单位不会受到地面上伤害。同时随着战斗的进行//c场景也将随机出现不受控制的逆向坍塌区域。
enemy_illustration_skill-10000087,终末辉光
enemy_illustration_skill-20000087,对全体造成高额伤害，同时生成3格范围的逆向坍塌区域。
enemy_illustration_skill-10010018,蟹炮扫射
enemy_illustration_skill-20010018,蟹防炮每三次普攻后会执行一次扫射，对面前一定范围的我方单位造成大量伤害
enemy_illustration_skill-10010019,危险海星
enemy_illustration_skill-20010019,向前移动//c并在检测到我方单位后布置看起来没什么危害的海星//c海星将在接触到我方单位后被触发//c从而对我方单位造成伤害
enemy_illustration_skill-10010021,瓜瓜滚滚
enemy_illustration_skill-20010021,检测到我方单位后持续生产球形双足机……等等？出现的是西瓜？
enemy_illustration_skill-10010022,瓜瓜冲撞
enemy_illustration_skill-20010022,接触我方单位后停止移动，并对我方单位造成伤害
enemy_illustration_skill-10010005,雇佣兵狙击
enemy_illustration_skill-20010005,瞄准2.5秒后//c对我方最后排的单位造成一次狙击伤害。
enemy_illustration_skill-10010087,鸡尾酒狂热
enemy_illustration_skill-20010087,对我方随机单位投掷燃烧瓶//c3秒的持续时间内每0.33秒制造一次伤害。
enemy_illustration_skill-10010091,墨尔斯假面
enemy_illustration_skill-20010091,对瞄准的敌人造成大量伤害。
enemy_illustration_skill-10010191,精英标记
enemy_illustration_skill-20010191,在标记范围内的我方单位将极大降低自身的伤害和射速//c同时获得大量护盾点。
enemy_illustration_skill-10000088,危机防护
enemy_illustration_skill-20000088,该单位每次损失编制时将获得1秒的无敌//c该特性触发间隔为6秒。
enemy_illustration_skill-10000089,干扰射击
enemy_illustration_skill-20000089,每3次常规攻击后//c下次攻击对射程内的随机我方单位产生干扰//c被命中的单位将降低自身火力和射速。
enemy_illustration_skill-10000090,自适应战术
enemy_illustration_skill-20000090,当该单位受到护盾的保护时//c将使用双枪射击//c第二把枪将对目标造成0.5倍的伤害。
enemy_illustration_skill-10000091,阵线强化
enemy_illustration_skill-20000091,战斗开始5秒后//c每间隔8秒提升全体射速50%//c持续4秒。
enemy_illustration_skill-10000092,防患未然
enemy_illustration_skill-20000092,战斗开始后获得一定护盾。
enemy_illustration_skill-10000093,压制
enemy_illustration_skill-20000093,固定对我方阵地内最上侧和最下侧射击造成编制伤害//c
enemy_illustration_skill-10000094,爆破
enemy_illustration_skill-20000094,预警后依次对我方阵地内的四格位置发射榴弹//c对范围内的敌方造成编制伤害。
enemy_illustration_skill-10000095,负罪者惩戒
enemy_illustration_skill-20000095,对我方全体单位造成大量伤害;可在该单位蓄力时击破护盾//c打断激光的释放从而破坏机甲的武器系统//c对机甲造成伤害。
enemy_illustration_skill-10000096,战术更新·计量官
enemy_illustration_skill-20000096,在失去了伊莱莎的控制之后寻找着自己的战斗方式。每次命中可以为自己的武器充能//c充满后可以切换到近战模式并持续一段时间;在近战模式下造成必中编制伤害//c同时破甲能力大幅提升。
enemy_illustration_skill-10000097,战术更新·梦想家
enemy_illustration_skill-20000097,在失去了伊莱莎的控制之后寻找着自己的战斗方式。每隔一段时间叠加一层怒意//c叠满后进入爆发模式//c提升100%伤害和射速//c但自身处于100%易伤状态。
enemy_illustration_skill-10000098,战术优化·衔尾蛇
enemy_illustration_skill-20000098,在某种状态下会以更全面的姿态迎战自己的敌人。每次暴击后将降低敌方目标的伤害和射速50%;也可以在战斗中增援浮游炮协助自己//c同时利用自身卓越的计算能力提升己方全体的射速和暴击能力。
enemy_illustration_skill-10000099,战术更新·破坏者
enemy_illustration_skill-20000099,在失去了伊莱莎的控制之后寻找着自己的战斗方式。每10次普通攻击后将对敌方血量最高目标发射一枚必中的榴弹//c造成2倍伤害。
