main_quest-10000001,完成行动：普通1-1
main_quest-20000083,紧急4-3首次全占领，获得该关卡银星勋章。
main_quest-10000084,全境封锁：紧急4-4
main_quest-20000084,紧急4-4首次全占领，获得该关卡银星勋章。
main_quest-10000085,全境封锁：0-1
main_quest-20000085,0-1首次全占领，获得该关卡银星勋章。
main_quest-10000086,全境封锁：0-2
main_quest-20000086,0-2首次全占领，获得该关卡银星勋章。
main_quest-10000087,全境封锁：0-3
main_quest-20000087,0-3首次全占领，获得该关卡银星勋章。
main_quest-10000088,全境封锁：0-4
main_quest-20000088,0-4首次全占领，获得该关卡银星勋章。
main_quest-10000089,完美胜利：普通1-1
main_quest-20000089,首次以S评价通过普通1-1，获得该关卡金星勋章。
main_quest-10000090,完美胜利：普通1-2
main_quest-20000090,首次以S评价通过普通1-2，获得该关卡金星勋章。
main_quest-10000091,完美胜利：普通1-3
main_quest-20000091,首次以S评价通过普通1-3，获得该关卡金星勋章。
main_quest-10000092,完美胜利：普通1-4
main_quest-20000092,首次以S评价通过普通1-4，获得该关卡金星勋章。
main_quest-10000093,完美胜利：普通1-5
main_quest-20000093,首次以S评价通过普通1-5，获得该关卡金星勋章。
main_quest-10000094,完美胜利：普通1-6
main_quest-20000094,首次以S评价通过普通1-6，获得该关卡金星勋章。
main_quest-10000095,完美胜利：普通2-1
main_quest-20000095,首次以S评价通过普通2-1，获得该关卡金星勋章。
main_quest-10000096,完美胜利：普通2-2
main_quest-20000096,首次以S评价通过普通2-2，获得该关卡金星勋章。
main_quest-10000097,完美胜利：普通2-3
main_quest-20000097,首次以S评价通过普通2-3，获得该关卡金星勋章。
main_quest-10000098,完美胜利：普通2-4
main_quest-20000098,首次以S评价通过普通2-4，获得该关卡金星勋章。
main_quest-10000099,完美胜利：普通2-5
main_quest-20000099,首次以S评价通过普通2-5，获得该关卡金星勋章。
main_quest-10000100,完美胜利：普通2-6
main_quest-20000100,首次以S评价通过普通2-6，获得该关卡金星勋章。
main_quest-10000101,完美胜利：普通3-1
main_quest-20000101,首次以S评价通过普通3-1，获得该关卡金星勋章。
main_quest-10000102,完美胜利：普通3-2
main_quest-20000102,首次以S评价通过普通3-2，获得该关卡金星勋章。
main_quest-10000103,完美胜利：普通3-3
main_quest-20000103,首次以S评价通过普通3-3，获得该关卡金星勋章。
main_quest-10000104,完美胜利：普通3-4
main_quest-20000104,首次以S评价通过普通3-4，获得该关卡金星勋章。
main_quest-10000105,完美胜利：普通3-5
main_quest-20000105,首次以S评价通过普通3-5，获得该关卡金星勋章。
main_quest-10000106,完美胜利：普通3-6
main_quest-20000106,首次以S评价通过普通3-6，获得该关卡金星勋章。
main_quest-10000107,完美胜利：普通4-1
main_quest-20000107,首次以S评价通过普通4-1，获得该关卡金星勋章。
main_quest-10000108,完美胜利：普通4-2
main_quest-20000108,首次以S评价通过普通4-2，获得该关卡金星勋章。
main_quest-10000109,完美胜利：普通4-3
main_quest-20000109,首次以S评价通过普通4-3，获得该关卡金星勋章。
main_quest-10000110,完美胜利：普通4-4
main_quest-20000110,首次以S评价通过普通4-4，获得该关卡金星勋章。
main_quest-10000111,完美胜利：普通4-5
main_quest-20000111,首次以S评价通过普通4-5，获得该关卡金星勋章。
main_quest-10000112,完美胜利：普通4-6
main_quest-20000112,首次以S评价通过普通4-6，获得该关卡金星勋章。
main_quest-10000113,完美胜利：紧急1-1
main_quest-20000113,首次以S评价通过紧急1-1，获得该关卡金星勋章。
main_quest-10000114,完美胜利：紧急1-2
main_quest-20000114,首次以S评价通过紧急1-2，获得该关卡金星勋章。
main_quest-10000115,完美胜利：紧急1-3
main_quest-20000115,首次以S评价通过紧急1-3，获得该关卡金星勋章。
main_quest-10000116,完美胜利：紧急1-4
main_quest-20000116,首次以S评价通过紧急1-4，获得该关卡金星勋章。
main_quest-10000117,完美胜利：紧急2-1
main_quest-20000117,首次以S评价通过紧急2-1，获得该关卡金星勋章。
main_quest-10000118,完美胜利：紧急2-2
main_quest-20000118,首次以S评价通过紧急2-2，获得该关卡金星勋章。
main_quest-10000119,完美胜利：紧急2-3
main_quest-20000119,首次以S评价通过紧急2-3，获得该关卡金星勋章。
main_quest-10000120,完美胜利：紧急2-4
main_quest-20000120,首次以S评价通过紧急2-4，获得该关卡金星勋章。
main_quest-10000121,完美胜利：紧急3-1
main_quest-20000121,首次以S评价通过紧急3-1，获得该关卡金星勋章。
main_quest-10000122,完美胜利：紧急3-2
main_quest-20000122,首次以S评价通过紧急3-2，获得该关卡金星勋章。
main_quest-10000123,完美胜利：紧急3-3
main_quest-20000123,首次以S评价通过紧急3-3，获得该关卡金星勋章。
main_quest-10000124,完美胜利：紧急3-4
main_quest-20000124,首次以S评价通过紧急3-4，获得该关卡金星勋章。
main_quest-10000125,完美胜利：紧急4-1
main_quest-20000125,首次以S评价通过紧急4-1，获得该关卡金星勋章。
main_quest-10000126,完美胜利：紧急4-2
main_quest-20000126,首次以S评价通过紧急4-2，获得该关卡金星勋章。
main_quest-10000127,完美胜利：紧急4-3
main_quest-20000127,首次以S评价通过紧急4-3，获得该关卡金星勋章。
main_quest-10000128,完美胜利：紧急4-4
main_quest-20000128,首次以S评价通过紧急4-4，获得该关卡金星勋章。
main_quest-10000129,完美胜利：0-1
main_quest-20000129,首次以S评价通过0-1，获得该关卡金星勋章。
main_quest-10000130,完美胜利：0-2
main_quest-20000130,首次以S评价通过0-2，获得该关卡金星勋章。
main_quest-10000131,完美胜利：0-3
main_quest-20000131,首次以S评价通过0-3，获得该关卡金星勋章。
main_quest-10000132,完美胜利：0-4
main_quest-20000132,首次以S评价通过0-4，获得该关卡金星勋章。
main_quest-10000133,评级晋升：5级
main_quest-20000133,指挥官等级达到5级。
main_quest-10000134,评级晋升：10级
main_quest-20000134,指挥官等级达到10级。
main_quest-10000135,评级晋升：15级
main_quest-20000135,指挥官等级达到15级。
main_quest-10000136,评级晋升：20级
main_quest-20000136,指挥官等级达到20级。
main_quest-10000137,评级晋升：25级
main_quest-20000137,指挥官等级达到25级。
main_quest-10000138,评级晋升：30级
main_quest-20000138,指挥官等级达到30级。
main_quest-10000139,评级晋升：35级
main_quest-20000139,指挥官等级达到35级。
main_quest-10000140,评级晋升：40级
main_quest-20000140,指挥官等级达到40级。
main_quest-10000141,评级晋升：45级
main_quest-20000141,指挥官等级达到45级。
main_quest-10000142,评级晋升：50级
main_quest-20000142,指挥官等级达到50级。
main_quest-10000143,评级晋升：60级
main_quest-20000143,指挥官等级达到60级。
main_quest-10000144,评级晋升：70级
main_quest-20000144,指挥官等级达到70级。
main_quest-10000145,评级晋升：80级
main_quest-20000145,指挥官等级达到80级。
main_quest-10000146,评级晋升：90级
main_quest-20000146,指挥官等级达到90级。
main_quest-10000147,评级晋升：100级
main_quest-20000147,指挥官等级达到100级。
main_quest-10000148,评级晋升：120级
main_quest-20000148,指挥官等级达到120级。
main_quest-10000149,评级晋升：140级
main_quest-20000149,指挥官等级达到140级。
main_quest-10000150,评级晋升：160级
main_quest-20000150,指挥官等级达到160级。
main_quest-10000151,评级晋升：180级
main_quest-20000151,指挥官等级达到180级。
main_quest-10000152,评级晋升：200级
main_quest-20000152,指挥官等级达到200级。
main_quest-10000153,完成行动：普通5-1
main_quest-20000153,首次通过普通5-1，获得该关卡铜星勋章。
main_quest-10000154,完成行动：普通5-2
main_quest-20000154,首次通过普通5-2，获得该关卡铜星勋章。
main_quest-10000155,完成行动：普通5-3
main_quest-20000155,首次通过普通5-3，获得该关卡铜星勋章。
main_quest-10000156,完成行动：普通5-4
main_quest-20000156,首次通过普通5-4，获得该关卡铜星勋章。
main_quest-10000157,完成行动：普通5-5
main_quest-20000157,首次通过普通5-5，获得该关卡铜星勋章。
main_quest-10000158,完成行动：普通5-6
main_quest-20000158,首次通过普通5-6，获得该关卡铜星勋章。
main_quest-10000159,完成行动：紧急5-1
main_quest-20000159,首次通过紧急5-1，获得该关卡铜星勋章。
main_quest-10000160,完成行动：紧急5-2
main_quest-20000160,首次通过紧急5-2，获得该关卡铜星勋章。
main_quest-10000161,完成行动：紧急5-3
main_quest-20000161,首次通过紧急5-3，获得该关卡铜星勋章。
main_quest-10000162,完成行动：紧急5-4
main_quest-20000162,首次通过紧急5-4，获得该关卡铜星勋章。
main_quest-10000163,全境封锁：普通5-1
main_quest-20000163,普通5-1首次全占领，获得该关卡银星勋章。
main_quest-10000164,全境封锁：普通5-2
main_quest-20000164,普通5-2首次全占领，获得该关卡银星勋章。
main_quest-10000165,全境封锁：普通5-3
main_quest-20000165,普通5-3首次全占领，获得该关卡银星勋章。
main_quest-10000166,全境封锁：普通5-4
main_quest-20000166,普通5-4首次全占领，获得该关卡银星勋章。
main_quest-10000167,全境封锁：普通5-5
main_quest-20000167,普通5-5首次全占领，获得该关卡银星勋章。
main_quest-10000168,全境封锁：普通5-6
main_quest-20000168,普通5-6首次全占领，获得该关卡银星勋章。
main_quest-10000169,全境封锁：紧急5-1
main_quest-20000169,紧急5-1首次全占领，获得该关卡银星勋章。
main_quest-10000170,全境封锁：紧急5-2
main_quest-20000170,紧急5-2首次全占领，获得该关卡银星勋章。
main_quest-10000171,全境封锁：紧急5-3
main_quest-20000171,紧急5-3首次全占领，获得该关卡银星勋章。
main_quest-10000172,全境封锁：紧急5-4
main_quest-20000172,紧急5-4首次全占领，获得该关卡银星勋章。
main_quest-10000173,完美胜利：普通5-1
main_quest-20000173,首次以S评价通过普通5-1，获得该关卡金星勋章。
main_quest-10000174,完美胜利：普通5-2
main_quest-20000174,首次以S评价通过普通5-2，获得该关卡金星勋章。
main_quest-10000175,完美胜利：普通5-3
main_quest-20000175,首次以S评价通过普通5-3，获得该关卡金星勋章。
main_quest-10000176,完美胜利：普通5-4
main_quest-20000176,首次以S评价通过普通5-4，获得该关卡金星勋章。
main_quest-10000177,完美胜利：普通5-5
main_quest-20000177,首次以S评价通过普通5-5，获得该关卡金星勋章。
main_quest-10000178,完美胜利：普通5-6
main_quest-20000178,首次以S评价通过普通5-6，获得该关卡金星勋章。
main_quest-10000179,完美胜利：紧急5-1
main_quest-20000179,首次以S评价通过紧急5-1，获得该关卡金星勋章。
main_quest-10000180,完美胜利：紧急5-2
main_quest-20000180,首次以S评价通过紧急5-2，获得该关卡金星勋章。
main_quest-10000181,完美胜利：紧急5-3
main_quest-20000181,首次以S评价通过紧急5-3，获得该关卡金星勋章。
main_quest-10000182,完美胜利：紧急5-4
main_quest-20000182,首次以S评价通过紧急5-4，获得该关卡金星勋章。
main_quest-10000183,评级晋升：220级
main_quest-20000183,指挥官等级达到220级。
main_quest-10000184,评级晋升：240级
main_quest-20000184,指挥官等级达到240级。
main_quest-10000185,评级晋升：260级
main_quest-20000185,指挥官等级达到260级。
main_quest-10000186,评级晋升：280级
main_quest-20000186,指挥官等级达到280级。
main_quest-10000187,评级晋升：300级
main_quest-20000187,指挥官等级达到300级。
main_quest-10000188,完成行动：夜战1-1
main_quest-20000188,首次通过夜战1-1。
main_quest-10000189,完成行动：夜战1-2
main_quest-20000189,首次通过夜战1-2。
main_quest-10000190,完成行动：夜战1-3
main_quest-20000190,首次通过夜战1-3。
main_quest-10000191,完成行动：夜战1-4
main_quest-20000191,首次通过夜战1-4。
main_quest-10000192,完成行动：夜战2-1
main_quest-20000192,首次通过夜战2-1。
main_quest-10000193,完成行动：夜战2-2
main_quest-20000193,首次通过夜战2-2。
main_quest-10000194,完成行动：夜战2-3
main_quest-20000194,首次通过夜战2-3。
main_quest-10000195,完成行动：夜战2-4
main_quest-20000195,首次通过夜战2-4。
main_quest-10000196,完成行动：夜战3-1
main_quest-20000196,首次通过夜战3-1。
main_quest-10000197,完成行动：夜战3-2
main_quest-20000197,首次通过夜战3-2。
main_quest-10000198,完成行动：夜战3-3
main_quest-20000198,首次通过夜战3-3。
main_quest-10000199,完成行动：夜战3-4
main_quest-20000199,首次通过夜战3-4。
main_quest-10000200,完成行动：普通6-1
main_quest-20000200,首次通过普通6-1，获得该关卡铜章。
main_quest-10000201,完成行动：普通6-2
main_quest-20000201,首次通过普通6-2，获得该关卡铜章。
main_quest-10000202,完成行动：普通6-3
main_quest-20000202,首次通过普通6-3，获得该关卡铜章。
main_quest-10000203,完成行动：普通6-4
main_quest-20000203,首次通过普通6-4，获得该关卡铜章。
main_quest-10000204,完成行动：普通6-5
main_quest-20000204,首次通过普通6-5，获得该关卡铜章。
main_quest-10000205,完成行动：普通6-6
main_quest-20000205,首次通过普通6-6，获得该关卡铜章。
main_quest-10000206,完成行动：紧急6-1
main_quest-20000206,首次通过紧急6-1，获得该关卡铜章。
main_quest-10000207,完成行动：紧急6-2
main_quest-20000207,首次通过紧急6-2，获得该关卡铜章。
main_quest-10000208,完成行动：紧急6-3
main_quest-20000208,首次通过紧急6-3，获得该关卡铜章。
main_quest-10000209,完成行动：紧急6-4
main_quest-20000209,首次通过紧急6-4，获得该关卡铜章。
main_quest-10000210,全境封锁：普通6-1
main_quest-20000210,普通6-1首次全占领，获得该关卡银章。
main_quest-10000211,全境封锁：普通6-2
main_quest-20000211,普通6-2首次全占领，获得该关卡银章。
main_quest-10000212,全境封锁：普通6-3
main_quest-20000212,普通6-3首次全占领，获得该关卡银章。
main_quest-10000213,全境封锁：普通6-4
main_quest-20000213,普通6-4首次全占领，获得该关卡银章。
main_quest-10000214,全境封锁：普通6-5
main_quest-20000214,普通6-5首次全占领，获得该关卡银章。
main_quest-10000215,全境封锁：普通6-6
main_quest-20000215,普通6-6首次全占领，获得该关卡银章。
main_quest-10000216,全境封锁：紧急6-1
main_quest-20000216,紧急6-1首次全占领，获得该关卡银章。
main_quest-10000217,全境封锁：紧急6-2
main_quest-20000217,紧急6-2首次全占领，获得该关卡银章。
main_quest-10000218,全境封锁：紧急6-3
main_quest-20000218,紧急6-3首次全占领，获得该关卡银章。
main_quest-10000219,全境封锁：紧急6-4
main_quest-20000219,紧急6-4首次全占领，获得该关卡银章。
main_quest-10000220,完美胜利：普通6-1
main_quest-20000220,首次以S评价通过普通6-1，获得该关卡金章。
main_quest-10000221,完美胜利：普通6-2
main_quest-20000221,首次以S评价通过普通6-2，获得该关卡金章。
main_quest-10000222,完美胜利：普通6-3
main_quest-20000222,首次以S评价通过普通6-3，获得该关卡金章。
main_quest-10000223,完美胜利：普通6-4
main_quest-20000223,首次以S评价通过普通6-4，获得该关卡金章。
main_quest-10000224,完美胜利：普通6-5
main_quest-20000224,首次以S评价通过普通6-5，获得该关卡金章。
main_quest-10000225,完美胜利：普通6-6
main_quest-20000225,首次以S评价通过普通6-6，获得该关卡金章。
main_quest-10000226,完美胜利：紧急6-1
main_quest-20000226,首次以S评价通过紧急6-1，获得该关卡金章。
main_quest-10000227,完美胜利：紧急6-2
main_quest-20000227,首次以S评价通过紧急6-2，获得该关卡金章。
main_quest-10000228,完美胜利：紧急6-3
main_quest-20000228,首次以S评价通过紧急6-3，获得该关卡金章。
main_quest-10000229,完美胜利：紧急6-4
main_quest-20000229,首次以S评价通过紧急6-4，获得该关卡金章。
main_quest-10000230,完成行动：夜战4-1
main_quest-20000230,首次通过夜战4-1。
main_quest-10000231,完成行动：夜战4-2
main_quest-20000231,首次通过夜战4-2。
main_quest-10000232,完成行动：夜战4-3
main_quest-20000232,首次通过夜战4-3。
main_quest-10000233,完成行动：夜战4-4
main_quest-20000233,首次通过夜战4-4。
main_quest-10000234,完成行动：普通7-1
main_quest-20000234,首次通过普通7-1，获得该关卡铜章。
main_quest-10000235,完成行动：普通7-2
main_quest-20000235,首次通过普通7-2，获得该关卡铜章。
main_quest-10000236,完成行动：普通7-3
main_quest-20000236,首次通过普通7-3，获得该关卡铜章。
main_quest-10000237,完成行动：普通7-4
main_quest-20000237,首次通过普通7-4，获得该关卡铜章。
main_quest-10000238,完成行动：普通7-5
main_quest-20000238,首次通过普通7-5，获得该关卡铜章。
main_quest-10000239,完成行动：普通7-6
main_quest-20000239,首次通过普通7-6，获得该关卡铜章。
main_quest-10000240,完成行动：紧急7-1
main_quest-20000240,首次通过紧急7-1，获得该关卡铜章。
main_quest-10000241,完成行动：紧急7-2
main_quest-20000241,首次通过紧急7-2，获得该关卡铜章。
main_quest-10000242,完成行动：紧急7-3
main_quest-20000242,首次通过紧急7-3，获得该关卡铜章。
main_quest-10000243,完成行动：紧急7-4
main_quest-20000243,首次通过紧急7-4，获得该关卡铜章。
main_quest-10000244,全境封锁：普通7-1
main_quest-20000244,普通7-1首次全占领，获得该关卡银章。
main_quest-10000245,全境封锁：普通7-2
main_quest-20000245,普通7-2首次全占领，获得该关卡银章。
main_quest-10000246,全境封锁：普通7-3
main_quest-20000246,普通7-3首次全占领，获得该关卡银章。
main_quest-10000247,全境封锁：普通7-4
main_quest-20000247,普通7-4首次全占领，获得该关卡银章。
main_quest-10000248,全境封锁：普通7-5
main_quest-20000248,普通7-5首次全占领，获得该关卡银章。
main_quest-10000249,全境封锁：普通7-6
main_quest-20000249,普通7-6首次全占领，获得该关卡银章。
main_quest-10000250,全境封锁：紧急7-1
main_quest-20000250,紧急7-1首次全占领，获得该关卡银章。
main_quest-10000251,全境封锁：紧急7-2
main_quest-20000251,紧急7-2首次全占领，获得该关卡银章。
main_quest-10000252,全境封锁：紧急7-3
main_quest-20000252,紧急7-3首次全占领，获得该关卡银章。
main_quest-10000253,全境封锁：紧急7-4
main_quest-20000253,紧急7-4首次全占领，获得该关卡银章。
main_quest-10000254,完美胜利：普通7-1
main_quest-20000254,首次以S评价通过普通7-1，获得该关卡金章。
main_quest-10000255,完美胜利：普通7-2
main_quest-20000255,首次以S评价通过普通7-2，获得该关卡金章。
main_quest-10000256,完美胜利：普通7-3
main_quest-20000256,首次以S评价通过普通7-3，获得该关卡金章。
main_quest-10000257,完美胜利：普通7-4
main_quest-20000257,首次以S评价通过普通7-4，获得该关卡金章。
main_quest-10000258,完美胜利：普通7-5
main_quest-20000258,首次以S评价通过普通7-5，获得该关卡金章。
main_quest-10000259,完美胜利：普通7-6
main_quest-20000259,首次以S评价通过普通7-6，获得该关卡金章。
main_quest-10000260,完美胜利：紧急7-1
main_quest-20000260,首次以S评价通过紧急7-1，获得该关卡金章。
main_quest-10000261,完美胜利：紧急7-2
main_quest-20000261,首次以S评价通过紧急7-2，获得该关卡金章。
main_quest-10000262,完美胜利：紧急7-3
main_quest-20000262,首次以S评价通过紧急7-3，获得该关卡金章。
main_quest-10000263,完美胜利：紧急7-4
main_quest-20000263,首次以S评价通过紧急7-4，获得该关卡金章。
main_quest-10000264,完成行动：夜战5-1
main_quest-20000264,首次通过夜战5-1。
main_quest-10000265,完成行动：夜战5-2
main_quest-20000265,首次通过夜战5-2。
main_quest-10000266,完成行动：夜战5-3
main_quest-20000266,首次通过夜战5-3。
main_quest-10000267,完成行动：夜战5-4
main_quest-20000267,首次通过夜战5-4。
main_quest-10000268,完成行动：普通8-1
main_quest-20000268,首次通过普通8-1，获得该关卡铜章。
main_quest-10000269,完成行动：普通8-2
