bingo_task_type-10000001,普通战役挑战
bingo_task_type-10000033,装甲机械铁血兵
bingo_task_type-20000033,战斗胜利情况下消灭{0}个装甲机械铁血兵
bingo_task_type-10000034,普通机械铁血兵
bingo_task_type-20000034,战斗胜利情况下消灭{0}个普通机械铁血兵
bingo_task_type-10000035,普通人形铁血兵
bingo_task_type-20000035,战斗胜利情况下消灭{0}个普通人形铁血兵
bingo_task_type-10000036,累计后勤支援时长
bingo_task_type-20000036,在后勤支援完成的情况下累计后勤{0}小时
bingo_task_type-10000037,消耗校准点券
bingo_task_type-20000037,累计消耗校准点券*{0}
bingo_task_type-10000038,模拟作战
bingo_task_type-20000038,累计进行模拟作战{0}次（不包括融合演习）
bingo_task_type-10000039,技能升级
bingo_task_type-20000039,进行{0}次技能升级（人形、妖精、融合势力皆可）
bingo_task_type-10000040,战斗大师
bingo_task_type-20000040,以S评价完成{0}场战斗
bingo_task_type-10000041,自律作战
bingo_task_type-20000041,任意关卡完成自律作战{0}次
bingo_task_type-10000042,波板糖
bingo_task_type-20000042,累计获得波板糖*{0}（可通过退库2星、3星家具获得）
bingo_task_type-10000043,脆皮甜筒
bingo_task_type-20000043,累计获得脆皮甜筒*{0}（可通过退库4星家具获得）
bingo_task_type-10000044,好友问候
bingo_task_type-20000044,通过聊天向好友问候{0}次
bingo_task_type-10000045,点赞使者
bingo_task_type-20000045,累计点赞他人宿舍{0}次
bingo_task_type-10000046,申请好友
bingo_task_type-20000046,申请好友{0}次
bingo_task_type-10000047,礼物赠送
bingo_task_type-20000047,累计赠送礼物{0}份
bingo_task_type-10000048,消耗电池
bingo_task_type-20000048,累计消耗电池*{0}
bingo_task_type-10000049,获得核心
bingo_task_type-20000049,累积获得核心*{0}
bingo_task_type-10000050,防御演习
bingo_task_type-20000050,参与防御演习{0}次
bingo_task_type-10000051,每日登录
bingo_task_type-20000051,每日登录
bingo_task_type-10000052,修复人形
bingo_task_type-20000052,修复人形{0}次
bingo_task_type-10000053,人形升级
bingo_task_type-20000053,人形升级{0}次
bingo_task_type-10000054,装备校准
bingo_task_type-20000054,装备校准{0}次 
bingo_task_type-10000055,人形拆解
bingo_task_type-20000055,拆解人形个数*{0}
bingo_task_type-10000056,装备强化
bingo_task_type-20000056,强化装备{0}次
bingo_task_type-10000057,核心消耗
bingo_task_type-20000057,累计消耗核心*{0}
bingo_task_type-10000058,初级资料消耗
bingo_task_type-20000058,累计消耗初级资料*{0}
bingo_task_type-10000059,中级资料消耗
bingo_task_type-20000059,累计消耗中级资料*{0}
bingo_task_type-10000060,高级资料消耗
bingo_task_type-20000060,累计消耗高级资料*{0}
bingo_task_type-10000061,增幅胶囊消耗
bingo_task_type-20000061,累计消耗增幅胶囊*{0}
bingo_task_type-10000062,快速训练契约
bingo_task_type-20000062,累计消耗快速训练契约*{0}
bingo_task_type-10000063,客似云来
bingo_task_type-20000063,累计被参观{0}次
bingo_task_type-10000064,送客！
bingo_task_type-20000064,累计送客{0}次
bingo_task_type-10000065,微博分享
bingo_task_type-20000065,分享宿舍页面{0}次
bingo_task_type-10000066,友情点数
bingo_task_type-20000066,累计获得友情点数*{0}
bingo_task_type-10000067,生产作战报告书
bingo_task_type-20000067,累计生产作战报告书*{0}
bingo_task_type-10000068,消耗作战报告书
bingo_task_type-20000068,累计消耗作战报告书*{0}
bingo_task_type-10000069,友谊的小船
bingo_task_type-20000069,累计被点赞{0}次
bingo_task_type-10000070,随机参观
bingo_task_type-20000070,累计随机参观{0}次
bingo_task_type-10000071,IDW哒喵
bingo_task_type-20000071,获得战术人形“IDW”*{0}
bingo_task_type-10000072,血统验证_人形
bingo_task_type-20000072,制造出4星人形*{0}
bingo_task_type-10000073,血统验证_装备
bingo_task_type-20000073,制造出4星装备*{0}
bingo_task_type-10000074,S胜（普通3-6）
bingo_task_type-20000074,第三战役普通3-6结算获取S胜{0}次
bingo_task_type-10000075,S胜（紧急4-4）
bingo_task_type-20000075,第四战役紧急4-4结算获取S胜{0}次
bingo_task_type-10000076,S胜（夜战3-4）
bingo_task_type-20000076,第三战役夜战3-4结算获取S胜{0}次
bingo_task_type-10000077,好友使用梯队
bingo_task_type-20000077,好友使用我方梯队{0}次
bingo_task_type-10000078,体力消耗
bingo_task_type-20000078,累计消耗体力*{0}
bingo_task_type-10000079,钻石消耗
bingo_task_type-20000079,累计消耗钻石*{0}
bingo_task_type-10000080,采购币购买
bingo_task_type-20000080,在商城“道具”界面购买采购币*{0}
bingo_task_type-10000081,购买快速修复契约
bingo_task_type-20000081,在商城“契约”界面购买“快速修复契约”{0}次
bingo_task_type-10000082,购买人形制造契约
bingo_task_type-20000082,在商城“契约”界面购买“人形制造契约”{0}次
bingo_task_type-10000083,购买快速制造契约
bingo_task_type-20000083,在商城“契约”界面购买“快速制造契约”{0}次
bingo_task_type-10000084,购买装备制造契约
bingo_task_type-20000084,在商城“契约”界面购买“装备制造契约”{0}次
bingo_task_type-10000085,原始样本解析
bingo_task_type-20000085,使用原始数据样本进行{0}次情报解析
bingo_task_type-10000086,纯净样本解析
bingo_task_type-20000086,使用纯净数据样本进行{0}次情报解析
bingo_task_type-10000087,数据分析
bingo_task_type-20000087,累计进行{0}次情报解析（原始/高级皆可）
bingo_task_type-10000088,中枢数据
bingo_task_type-20000088,通过情报解析获得中枢数据*{0}
bingo_task_type-10000089,血统验证
bingo_task_type-20000089,通过情报解析获得4星芯片*{0}
bingo_task_type-10000090,血统验证
bingo_task_type-20000090,通过情报解析获得5星芯片*{0}
bingo_task_type-10000091,重装等级提升
bingo_task_type-20000091,重装部队累计提升{0}级
bingo_task_type-10000092,重装部队强化
bingo_task_type-20000092,使用{0}个增幅胶囊强化重装部队
bingo_task_type-10000093,重装部队训练
bingo_task_type-20000093,重装部队完成{0}次训练（经验/技能皆可）
bingo_task_type-10000094,重装部队晋升
bingo_task_type-20000094,重装部队晋升{0}次
bingo_task_type-10000095,重装部队迭代
bingo_task_type-20000095,累计进行{0}次迭代
bingo_task_type-10000096,芯片强化
bingo_task_type-20000096,将{0}个芯片用于芯片强化
bingo_task_type-10000097,体力购买
bingo_task_type-20000097,累计购买体力{0}次
bingo_task_type-10000098,采购币购买
bingo_task_type-20000098,累计购买采购币*{0}
bingo_task_type-10000099,购买快速训练契约
bingo_task_type-20000099,购买快速训练契约*{0}
bingo_task_type-10000100,宠物收养
bingo_task_type-20000100,收养任意宠物*{0}
bingo_task_type-10000101,M1911
bingo_task_type-20000101,通过人形制造获得战术人形“M1911”*{0}
bingo_task_type-10000102,MP40
bingo_task_type-20000102,通过人形制造获得战术人形“MP40”*{0}
bingo_task_type-10000103,PPK
bingo_task_type-20000103,通过人形制造获得战术人形“PPK”*{0}
bingo_task_type-10000104,IDW哒喵
bingo_task_type-20000104,通过人形制造获得战术人形“IDW”*{0}
bingo_task_type-10000105,校准点券获取
bingo_task_type-20000105,通过防御演习获得校准点券*{0}
bingo_task_type-10000106,采购币消耗
bingo_task_type-20000106,累计消耗采购币*{0}
bingo_task_type-10000107,血统验证_人形
bingo_task_type-20000107,制造出5星人形*{0}
bingo_task_type-10000108,血统验证_装备
bingo_task_type-20000108,制造出5星装备*{0}
bingo_task_type-10000109,装备拆解
bingo_task_type-20000109,拆解装备数量*{0}
bingo_task_type-10000110,获得好友电池
bingo_task_type-20000110,累计从好友处获得{0}次共享电池
bingo_task_type-10000111,妖精校准
bingo_task_type-20000111,进行{0}次妖精校准
bingo_task_type-10000112,妖精强化
bingo_task_type-20000112,进行{0}次妖精强化
bingo_task_type-10000113,获得钻石
bingo_task_type-20000113,累计获得钻石*{0}
bingo_task_type-10000114,完成情报任务
bingo_task_type-20000114,完成{0}次情报任务
bingo_task_type-10000115,消耗快速解析契约
bingo_task_type-20000115,累计消耗快速解析契约*{0}
bingo_task_type-10000116,血统验证_BGM-71
bingo_task_type-20000116,累计获得{0}个反坦克武器中枢碎片
bingo_task_type-10000117,血统验证_2B14
bingo_task_type-20000117,累计获得{0}个迫击炮中枢碎片
bingo_task_type-10000118,血统验证_AGS-30
bingo_task_type-20000118,累计获得{0}个榴弹发射器中枢碎片
bingo_task_type-10000119,获取原始数据样本
bingo_task_type-20000119,累计获得{0}个原始数据样本
bingo_task_type-10000120,获取纯净数据样本
bingo_task_type-20000120,累计获得{0}个纯净数据样本
bingo_task_type-10000121,生产任意作战报告书
bingo_task_type-20000121,累计生产任意作战报告书*{0}（包括作战报告书和特种作战报告书）
bingo_task_type-10000122,出发进行探索
bingo_task_type-20000122,进行{0}次探索
bingo_task_type-10000123,日常捕获
bingo_task_type-20000123,完成日常捕获{0}次
bingo_task_type-10000124,委托捕获
bingo_task_type-20000124,完成委托捕获{0}次
bingo_task_type-10000125,融合演习
bingo_task_type-20000125,完成融合演习{0}次
bingo_task_type-10000126,防卫构思集训
bingo_task_type-20000126,完成防卫构思集训{0}次
bingo_task_type-10000127,开发调节操练
bingo_task_type-20000127,完成开发调节操练{0}次
bingo_task_type-10000128,解密算法练习
bingo_task_type-20000128,完成解密算法练习{0}次
