tips_info-10000001,选择<color=#e57006>梯队</color> 提供更多战斗选择
tips_info-10000042,切换 重装部队<color=#e57006>类别</color>
tips_info-10000043,升级<color=#e57006>解析仪</color>
tips_info-10000044,进行<color=#e57006>数据分析</color>  获取芯片和重装部队的中枢数据
tips_info-10000045,查看重装部队<color=#e57006>解锁进度</color>
tips_info-10000046,查看持有的<color=#e57006>芯片</color>
tips_info-10000047,消耗<color=#e57006>数据样本</color> 解锁重装部队
tips_info-10000048,完成研究任务 <color=#e57006>获取数据样本</color>
tips_info-10000049,查看已有的 重装部队
tips_info-10000050,查看持有的<color=#e57006>芯片</color> 进行强化和拆解
tips_info-10000051,查看持有的<color=#e57006>中枢数据</color> 或进行拆解
tips_info-10000052,切换训练内容
tips_info-10000053,选择训练<color=#e57006>持续时间</color>
tips_info-10000054,训练需要消耗特殊 <color=#e57006>作战报告书</color>和<color=#e57006>电池</color>
tips_info-10000055,切换训练内容
tips_info-10000056,选择训练<color=#e57006>持续时间</color>
tips_info-10000057,训练需要消耗特殊 <color=#e57006>作战报告书</color>和<color=#e57006>电池</color>
tips_info-10000058,<color=#e57006>点击</color>右侧中枢数据进行<color=#e57006>删减</color>操作
tips_info-10000059,<color=#e57006>点击</color>左侧中枢数据进行<color=#e57006>增加</color>操作
tips_info-10000060,将当前阵型<color=#e57006>保存至</color>预设
tips_info-10000061,将预设阵型//n<color=#e57006>套用至</color>本梯队
tips_info-10000062,选择<color=#e57006>预设阵型</color>栏位
tips_info-10000063,切换至<color=#e57006>重装部队</color>列表
tips_info-10000064,选择<color=#e57006>妖精</color>
tips_info-10000065,添加或更换//n人形<color=#e57006>装备</color>
tips_info-10000066,关闭装备列表
tips_info-10000067,<color=#e57006>移除</color>所选人形
tips_info-10000068,<color=#e57006>选择</color>上阵人形
tips_info-10000069,选择//n排序方式
tips_info-10000070,选择//n筛选方式
tips_info-10000071,开启//n锁定模式
tips_info-10000072,<color=#e57006>移除</color>所选装备
tips_info-10000073,<color=#e57006>选择</color>使用装备
tips_info-10000074,选择//n排序方式
tips_info-10000075,选择//n筛选方式
tips_info-10000076,开启//n锁定模式
tips_info-10000077,<color=#e57006>移除</color>所选妖精
tips_info-10000078,选择//n排序方式
tips_info-10000079,选择//n筛选方式
tips_info-10000080,开启//n锁定模式
tips_info-10000081,查看<color=#e57006>推荐公式</color>，及其他指挥官的<color=#e57006>建造公式</color>
tips_info-10000082,批量进行多个制造
tips_info-10000083,选择投入制造的<color=#e57006>物资数量</color>
tips_info-10000084,选择投入制造的<color=#e57006>物资数量</color>
tips_info-10000085,选择投入的<color=#e57006>核心和契约数量</color>
tips_info-10000086,选择人形
tips_info-10000087,智能选取所有低星级人形
tips_info-10000088,选择//n排序方式
tips_info-10000089,选择//n筛选方式
tips_info-10000090,开启//n锁定模式
tips_info-10000091,<color=#e57006>移除</color>所选装备
tips_info-10000092,<color=#e57006>选择</color>装备
tips_info-10000093,选择//n排序方式
tips_info-10000094,选择//n筛选方式
tips_info-10000095,开启//n锁定模式
tips_info-10000096,<color=#e57006>选择</color>妖精
tips_info-10000097,选择//n排序方式
tips_info-10000098,选择//n筛选方式
tips_info-10000099,开启//n锁定模式
tips_info-10000100,智能选取所有低星级装备
tips_info-10000101,午间和晚间可领取电容中的<color=#e57006>电池</color>
tips_info-10000102,<color=#e57006>宿舍房间</color>编号与梯队编号对应
tips_info-10000103,查看当前宿舍的<color=#e57006>舒适度</color>
tips_info-10000104,预览当前的采购<color=#e57006>奖池内容</color>
tips_info-10000105,使用<color=#e57006>黑卡兑换</color>家具和装扮
tips_info-10000106,将家具//n<color=#e57006>放入宿舍</color>
tips_info-10000107,查看<color=#e57006>支援指令</color>数量和回复速度
tips_info-10000108,升级<color=#e57006>解析仪</color>
tips_info-10000109,查看持有的<color=#e57006>芯片</color>
tips_info-10000110,添加<color=#e57006>数据样本</color>开始情报解析
tips_info-10000111,<color=#e57006>特种作战报告书</color>数量查看
tips_info-10000112,选择人形
tips_info-10000113,智能选取所有低星级人形
tips_info-10000114,选择//n排序方式
tips_info-10000115,选择//n筛选方式
tips_info-10000116,开启//n锁定模式
tips_info-10000117,<color=#e57006>选择</color>妖精
tips_info-10000118,选择//n排序方式
tips_info-10000119,选择//n筛选方式
tips_info-10000120,开启//n锁定模式
tips_info-10000121,<color=#e57006>选择</color>装备
tips_info-10000122,选择//n排序方式
tips_info-10000123,选择//n筛选方式
tips_info-10000124,开启//n锁定模式
tips_info-10000125,智能选取所有低星级装备
tips_info-10000126,<color=#e57006>退回</color>家具//n获取礼物
tips_info-10000127,选择//n筛选方式
tips_info-10000128,选择//n排序方式
tips_info-10000129,切换<color=#e57006>套装查看</color>模式
tips_info-10000130,批量进行<color=#e57006>家具退回</color>
tips_info-10000131,选择礼物//n<color=#e57006>赠送</color>给人形
tips_info-10000132,切换行动回报//n<color=#e57006>显示模式</color>
tips_info-10000133,选择<color=#e57006>模拟作战</color>类型
tips_info-10000134,消耗<color=#e57006>动能</color>进行模拟作战
tips_info-10000135,在这里更换您的<color=#e57706ff>性别显示</color>
tips_info-10000136,在这里更换您的<color=#f57006ff>心情表情</color>
tips_info-10000137,查看服装<color=#e57706ff>技能列表</color>
tips_info-10000138,点击服装，进入<color=#e57706ff>换装界面</color>
tips_info-10000139,您可随时存储或者套用服装搭配
tips_info-10000140,选择或预览当前服装的不同<color=#e57706ff>配色方案</color>
tips_info-10000141,使用<color=#e57706ff>染色剂</color>，解锁当前服装的更多配色方案
tips_info-10000142,点击不同部位，切换服装筛选列表
tips_info-10000143,选择想要穿戴的<color=#e57706ff>服装部件</color>
tips_info-10000144,可选择按<color=#e57706ff>单件服装</color>或按<color=#e57706ff>套装</color>查看衣柜内容
tips_info-10000145,点击<color=#e57706ff>确定</color>，完成当前服装搭配
tips_info-10000146,按住可预览服装<color=#e57706ff>配色</color>
tips_info-10000147,点击不同部位，切换服装<color=#e57706ff>筛选列表</color>
tips_info-10000148,点击切换<color=#e57706ff>单选或多选</color>服装商品
tips_info-10000149,点击进入<color=#e57006>指挥官衣柜</color>
tips_info-10000150,可选择按<color=#e57706ff>单件服装</color>或按<color=#e57706ff>套装</color>查看衣柜内容
tips_info-10000151,清除服装<color=#e57706ff>预览</color>
tips_info-10000152,点击购买选中的<color=#e57706ff>单件</color>或<color=#e57706ff>多件</color>服装
tips_info-10000153,前往<color=#e57706ff>指挥官衣柜</color>
tips_info-10000154,<color=#e57006>出发</color>或<color=#e57006>取消</color>探索
tips_info-10000155,<color=#e57006>出发</color>或<color=#e57006>取消</color>探索
tips_info-10000156,实时查看梯队<color=#e57006ff>探索动态</color>
tips_info-10000157,使用探索奖励<color=#e57006ff>兑换各种道具</color>
tips_info-10000158,编辑探索梯队//n选择探索时长
tips_info-10000159,暂存探索奖励//n点击领取全部
