unit_character-10000100,格里芬
unit_character-20000902,警告！高度危险！规避！规避！
unit_character-10000903,训练专用
unit_character-20000903,训练用
unit_character-10000904,心智干扰
unit_character-20000904,
unit_character-10000905,心智复苏
unit_character-20000905,
unit_character-10000906,心智链接
unit_character-20000906,
unit_character-10000907,心智融合
unit_character-20000907,
unit_character-10000908,致命
unit_character-20000908,目标拥有难以承受的超高伤害，千万别被击中
unit_character-10000909,人形机械
unit_character-20000909,
unit_character-10000910,自动防御设施
unit_character-20000910,该建筑拥有自主攻击的能力
unit_character-10000911,失格异构体
unit_character-20000911,失格异构体
unit_character-10000401,持盾前进
unit_character-20000401,该单位在移动时将使用盾牌降低受到的伤害//c伤害降低的数量与当前该单位可造成的伤害相同。
unit_character-10000402,加速猛击
unit_character-20000402,每次常规攻击命中后都将提升自身的攻击速度//c在5次常规攻击后将提升至最大且保持不变。
unit_character-10000403,近点燃烧
unit_character-20000403,将向距离自己最近的敌方单位所在点投掷燃烧弹。
unit_character-10000404,火焰喷射
unit_character-20000404,该单位可用特殊的火焰喷射器造成范围伤害。移动至我方最近单位面前并朝该单位喷射火焰//c同时目标单位身后的单位也会受到伤害。
unit_character-10000405,移动猛击
unit_character-20000405,该单位停止移动后的首次攻击将造成额外的伤害。
unit_character-10000406,破片投掷
unit_character-20000406,将向随机敌方单位投掷破片手雷//c对目标区域以及周围4格范围造成伤害。
unit_character-10000407,卧射姿态
unit_character-20000407,停止移动3秒后将使用卧射姿态进行攻击//c该模式下优先攻击我方血量最低的单位//c并提升自身命中和伤害。
unit_character-10000408,弱点命中
unit_character-20000408,常规攻击中有概率降低受击目标伤害和命中。
unit_character-10000409,射程提升
unit_character-20000409,该单位停止移动后将额外获得3点攻击射程。
unit_character-10000410,电击投掷
unit_character-20000410,将向随机敌方单位所在点投掷电击手雷//c降低被命中单位的射速和移速。
unit_character-10000411,燃烧炮台
unit_character-20000411,该单位将在一定间隔后放置燃烧炮台//c燃烧炮台的常规攻击将引燃命中的区域。
unit_character-10000412,电击炮台
unit_character-20000412,该单位将在一定间隔后放置电击炮台//c电击炮台的常规攻击将眩晕命中的单位。
unit_character-10000413,装备提升
unit_character-20000413,该单位可在战斗5秒后提升己方全体的射速。
unit_character-10000414,黏弹
unit_character-20000414,投掷黏弹并吸附在最近的敌方单位身上//c一段时间后将爆炸对自身及周围8格范围造成伤害。
unit_character-10000415,生物科技
unit_character-20000415,一定间隔后将回复自身已损失血量一定比例的护盾。
unit_character-10000416,燃烧投掷
unit_character-20000416,将向随机敌方单位所在点投掷燃烧弹。
unit_character-10000417,焚烧者
unit_character-20000417,该单位身后的气罐若被击破的话将受到大量的伤害//c若自身血量低于30%//c还将获得额外的伤害提升。
unit_character-10000418,机动掩体
unit_character-20000418,该单位将运用掩体与自己的敌人周旋。掩体将提升自身的闪避和命中//c同时血量每损失30%//c该单位都将额外安置一个掩体吸收伤害。
unit_character-10000419,地狱火
unit_character-20000419,该单位获得负面状态时将立刻清除自身的负面状态//c同时获得护盾。
unit_character-10000420,獠牙
unit_character-20000420,该单位将交替使用两种投掷物削弱我方单位;黏弹将对最近单位造成不可回避的伤害;电击弹将持续降低影响区域内单位的伤害和命中。
unit_character-10000421,自动炮台
unit_character-20000421,进入战斗8秒后//c每间隔10秒将安置一架自动炮台//c炮台每次受到的伤害都为1。
unit_character-10000422,分裂威胁
unit_character-20000422,血量低于80%/50%/20%时将安置分裂球雷对预警范围造成大量伤害。
unit_character-10000423,强袭专注
unit_character-20000423,提升自身火力35%和命中100%//c持续5s。技能前置:5秒//c冷却时间:8秒。
unit_character-10000424,射击
unit_character-20000424,该单位的射击可以通过在掩体后躲避从而规避伤害。
unit_character-10000425,投掷
unit_character-20000425,将对预警范围造成大量伤害//c注意躲避!同时也将在投掷点留下弹药//c运用弹药进行反击吧!
