()||<BIN>9</BIN><BGM>BGM_Empty</BGM>:...
AR15(0)<Speaker>ST AR-15</Speaker>||:Don't worry. At least this human is more reliable than M4A1.
？？()<Speaker>???</Speaker>||<黑点1>:Humph, I'm sure about that, if nothing else. +Right, ready for your orders?
M4A1(2)<Speaker>M4A1</Speaker>||<黑点2><BIN>9</BIN><BGM>BGM_Empty</BGM>:Orders... +Why did I have to take orders from this person...? +Why is this memory...different than how I remembered it...? +Wasn't the AR Team...operating alone? +Am I not...the leader of the AR Team?
稚嫩的女声()<Speaker>Youthful female voice</Speaker>||:You were deceived, M4A1... +Let me show you the truth.
M4A1(3)<Speaker>M4A1</Speaker>||:The truth... I don't care about the truth. Let me go back. +They...they still need me!
稚嫩的女声()<Speaker>Youthful female voice</Speaker>||:But I need you too. +The truth must be—
RO635()<Speaker>RO635</Speaker>||:M4!! +Wake up, M4!
M4A1(2)<Speaker>M4A1</Speaker>||<BGM>BGM_Wake</BGM>:Is that...RO...?
RO635(5)<Speaker>RO635</Speaker><通讯框>||:Sorry for disturbing your beauty sleep again, but you've got to wake up now! +Someone is trying to hack into your neural cloud and we're in grave danger!
M4A1(2)<Speaker>M4A1</Speaker>||:RO... I'm...
RO635(4)<Speaker>RO635</Speaker><通讯框>||:M4A1! Where are you? Can you hear me? Answer me!
稚嫩的女声()<Speaker>Youthful female voice</Speaker>||:Don't answer her. You're no longer who you used to be.
清澈的女声()<Speaker>Clear female voice</Speaker>||:Don't answer her. You can make up your own mind now.
RO635(4)<Speaker>RO635</Speaker>||:Please, wake up!
M4A1(2)<Speaker>M4A1</Speaker>;RO635(4)||:RO...I...I'm here! ...I'm right here!
M4A1(2);RO635(2)<Speaker>RO635</Speaker>||:Thank goodness, M4! I finally got you! +Listen, right now you're lost within the network and being attacked by a massive amount of signals. +I'm trying to help you break the connection with the hackers and pull your consciousness back to Level II. +I'll divert the dataflow for you with my entire processor! +Until then, you must maintain your defense with everything you've got!
M4A1(2)<Speaker>M4A1</Speaker>;RO635(2)||:Where's SOP-II? And the Commander? How are they doing?
M4A1(2);RO635(4)<Speaker>RO635</Speaker>||:Better than you. You're what really matters now! +I'm diverting the dataflow right now. Don't let the illusions beguile you. Concentrate and follow me! +Your consciousness will be restored soon!
M4A1(2)<Speaker>M4A1</Speaker>||:I'll...do my best...
清澈的女声()<Speaker>Clear female voice</Speaker>||:Come back, or you'll regret the past.
稚嫩的女声()<Speaker>Youthful female voice</Speaker>||:Come back, or you'll be disappointed in the future.
M4A1(3)<Speaker>M4A1</Speaker>||:RO...RO, where are you?! I can't hear you anymore!
M4A1(3);RO635(5)<Speaker>RO635</Speaker><通讯框>||:The invasive signals have increased! They're gonna completely overwhelm our link! +But don't worry, M4A1! I'll find you again and lead you on your way!
RO635(5)<Speaker>RO635</Speaker>||<黑屏1>:Don't give up! Don't surrender to Mastermind and wait for me! +Wait for me...M4A1! I WILL find you!
()||<BIN>10</BIN><黑屏2><BGM>BGM_Empty</BGM><SE1>Battlefield</SE1>:Meanwhile.
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:Commander! We're still fighting off Judge's forces! What's going on with you?!
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<SE2>Gunfight</SE2>:...Their onslaught does seem to be waning. Is that your doing? +Thanks so much, but we've still taken a huge blow. Our defense might fall apart any second, and RO is still trying to wake M4 up! +The Carcano sisters' forces and I are the only ones still standing, Commander! Please keep attacking and try to reopen a gap for us to come through! 
