()||<BGM>BGM_Empty</BGM><BIN>9</BIN><黑屏1>0,10</黑屏1>:
()||<BGM>BGM_Empty</BGM><黑屏2><BIN>197</BIN>:
()||<SE1>MachineGunBurst</SE1>:...Outside the Intercontinental Railway Station, Tallinn.
()||<BGM>BGM_Boss2</BGM><SE2>Gunfight</SE2>:A gunshot breaks the silence that sits upon the ruins. More shots follow and grow increasingly frequent.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Phew, that was close! RO, you alright?
RO635(4)<Speaker>RO635</Speaker>||<SE1>Gunfight</SE1>:I'm fine... Dammit, we haven't run into Paradeus, but there are automatic weapon platforms everywhere.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Our objective is to find a safe path for the train to proceed towards the base in Tallinn. +If we leave these defensive facilities be, there's no way the train can pass through the city without taking damage... We must eliminate the mortars along the railway tracks.
RO635(0)<Speaker>RO635</Speaker>||:That is true, but some of these turrets are even protected by force fields - very nasty.
RO635(5)<Speaker>RO635</Speaker>||:They're giving us a one-sided beatdown here. It's uncertain if we can even withdraw safely, let alone take them out! We need support from the HOC!
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:But the HOC are still with the Commander; it'll take them a while to catch up. +RO, aren't you equipped for electronic warfare? Can't you hack into the operation system of those mortars and take control?
RO635(5)<Speaker>RO635</Speaker>||:You make it sound so easy... The problem is that these old turret models switch to an entirely closed circuit once they've been set to auto mode. +In other words, I can only get in by plugging myself directly into their control panels, or connecting to their intranet node!
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:What...? Why is it such a pain?!
RO635(0)<Speaker>RO635</Speaker>||:What do you expect? These systems are ancient stuff from a bygone era. They're such a headache...
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Actually, that isn't entirely impossible. We can draw the turrets' attention and cover RO so that she can head for their blind spot and hack them from there... +...What do you think? Does the plan sound plausible, M4?
M4A1Mod(0)<Speaker>M4A1</Speaker>||:(You can do it? Then I'll leave this to you.)
M4A1Mod(0)<Speaker>M4A1</Speaker>||:...That won't be necessary.
AR15Mod(2)<Speaker>ST AR-15</Speaker>||:But won't that...
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Load your weapons and prepare to move. I'll try to connect to the defense system and deactivate it, but it won't stay off for too long. +After that, we'll have to run directly into Tallinn City Station. Is that clear?
RO635(3)<Speaker>RO635</Speaker>||:But how can you possibly do...
AR15Mod(0)<Speaker>ST AR-15</Speaker>||<SE1>AVG_weapon_reload</SE1>:Hush, RO. Trust M4. Get ready and wait for the signal.
M4A1Mod(4)<Speaker>M4A1</Speaker>||<SE2>AVG_tele_disconnect</SE2>:Ready... Three, two, one... Now!
()||:The deafening sound of artillery fire that was resounding through the streets just a second ago comes to a sudden halt.
()||:ST AR-15 throws a rock outside and watches as it roll all the way down the street without triggering any attacks, then she walks out into the open.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||<黑点1><SE2>Runstep</SE2>:Start moving! Head for the station! Be snappy!
()||<BIN>197</BIN><黑点2><SE1>Runstep</SE1><BGM>BGM_Empty</BGM>:The Griffin Dolls dash inside Tallinn City Station without a hitch.
RO635(0)<Speaker>RO635</Speaker>||<BGM>BGM_Room</BGM>:I can't believe it...! All those weapon platforms around the station...
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:They don't retaliate even when we fire at them! They're completely paralyzed!
RO635(0)<Speaker>RO635</Speaker>||:They all got hacked in one go. How on earth did you do that, M4?
M4A1Mod(0)<Speaker>M4A1</Speaker>||:...I've been given several new modules when I went through my neural upgrade that greatly augmented my electronic warfare capability. +As the leader of the AR Team, I can't afford to keep putting my teammates in danger.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Well done, M4. How's your neural cloud coping with the strain?
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Hmm, thanks for your concern... I could use some rest. Gotta catch my breath and let my head cool down a bit.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Don't rely on it too much.
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Right...
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:What were you two whispering about?
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Nothing. More importantly, RO, can you do me a favor? While I was trying to hack into the turrets, I detected a network node with very busy data traffic underneath the station. I believe it's the command center of the autonomous defense system... +Find that, and we'll be able to access the system mainframe of Tallinn's city defenses.
RO635(0)<Speaker>RO635</Speaker>||:A node, you say...? I'll set off right away then.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||<黑屏1>:I'll come and help too! Finding things is my forte!
()||<黑屏2><BIN>46</BIN><Night>:
RO635(0)<Speaker>RO635</Speaker>||<SE1>AVG_footsteps_cave</SE1>:Hmm... Node... Can you see any machine that looks like a computer or a terminal...?
RO635(0);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:What about that at the customer service counter?
RO635(0)<Speaker>RO635</Speaker>;M4 SOPMOD IIMod(0)||:Oh, a station control panel of the Intercontinental Railway... That would do.
RO635(0);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:M4 was amazing! I can't believe she's that good at electronic warfare! You should learn a few tricks from her, RO.
RO635(4)<Speaker>RO635</Speaker>;M4 SOPMOD IIMod(0)||<BGM>BGM_Empty</BGM>:(Mutters) That wasn't electronic warfare at all.
RO635(4);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||<BGM>BGM_Brain</BGM>:Huh? What do you mean?
RO635(4)<Speaker>RO635</Speaker>;M4 SOPMOD IIMod(0)||:Hacking into two or three machines at the same time and controling them is achievable through electronic warfare.
RO635(4)<Speaker>RO635</Speaker>;M4 SOPMOD IIMod(0)||:But the way she manipulated several dozen automated defenses was simply... +Infiltrating an internal system that doesn't operate on the Zener Protocol without any physical contact is utterly inconceivable.
RO635(4);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:...You think M4 lied to us? But why would she do that?
RO635(3)<Speaker>RO635</Speaker>||:Maybe she did, maybe she didn't. I have a feeling even she herself isn't too sure how she did it... In any case, let's leave everything till the mission is over. +Alright, let me see... The switch should be...here.
()||<黑屏1><SE1>AVG_tele_connect</SE1><BGM>BGM_Empty</BGM>:Click... Hummmmmm...
()|||<黑屏2><BIN>46</BIN>:The lights inside the station come on all of a sudden. The air conditioning system that hasn't been in use for years also whirs into action, blowing up a puff of dust.
()||:The originally silent underground section of the station is soon filled with mechanical sounds.
RO635(3)<Speaker>RO635</Speaker>||<BGM>BGM_Room</BGM>:Huh? So the power supply is still operational. That's helpful. +Begin connection. Accessing... Intercontinental Railway Defense System... Good, here it is. M4 do you copy?
RO635(3);M4A1Mod(0)<Speaker>M4A1</Speaker><通讯框>||:<color=#00CCFF>Loud and clear. The lights came on in the main concourse. Was that your doing?</color>
RO635(0)<Speaker>RO635</Speaker>;M4A1Mod(0)<通讯框>||:Yes, the power grid in Tallinn is fully functional. The equipment is in such pristine condition... How should I say this... It's hard to believe all these generators in a contamination zone that's been abandoned for decades are still running normally. +It almost feels as if someone was still maintaining the basic infrastructure even after the city has been sealed off.
RO635(0);M4A1Mod(0)<Speaker>M4A1</Speaker><通讯框>||:<color=#00CCFF>Is that so...? Is the control center of the quarantine wall down there as well?</color>
RO635(0)<Speaker>RO635</Speaker>;M4A1Mod(0)<通讯框>||:No...I haven't been able to access anything related to the quarantine wall. I suppose they wouldn't have put the city's defense system together with the quarantine wall control system.
RO635(0);M4A1Mod(0)<Speaker>M4A1</Speaker><通讯框>||:<color=#00CCFF>You have a point... Then what about the defense system along the railway tracks? Can you shut it down?</color>
RO635(0)<Speaker>RO635</Speaker>;M4A1Mod(0)<通讯框>||:I can only operate a small number of the turrets around the station from this control panel. A considerable amount of the defensive mechanisms are currently disconnected, but it's shown here that they're still consuming power. +This means they could already be activated and have entered auto mode by disconnecting from the central control room.
RO635(0);M4A1Mod(0)<Speaker>M4A1</Speaker><通讯框>||:<color=#00CCFF>If you can't deactivate them directly... RO, locate the power generators for me.</color>
RO635(0)<Speaker>RO635</Speaker>;M4A1Mod(0)<通讯框>||:I can do that. They're mostly concentrated around a power plant on the outskirts of Tallinn. Why do you ask?
RO635(0);M4A1Mod(0)<Speaker>M4A1</Speaker><通讯框>||:<color=#00CCFF>I'm going to cut off those platforms' external power supply.</color>
RO635(4)<Speaker>RO635</Speaker>;M4A1Mod(0)<通讯框>||:But even so, the weapon platforms still have auxiliary batteries and won't be put out of action immediately. +It is the safest option to wait for their batteries to run out, but there's no telling how long that's going to take...
RO635(4);M4A1Mod(0)<Speaker>M4A1</Speaker><通讯框>||:<color=#00CCFF>Once their power supply is cut off, they won't be able to deploy their force fields as they consume a lot of energy.</color>
RO635(4);M4A1Mod(0)<Speaker>M4A1</Speaker><通讯框>||:<color=#00CCFF>In their weakened state, we'll be able to destroy them with ease.</color>
RO635(3)<Speaker>RO635</Speaker>;M4A1Mod(0)<通讯框>||:That's a possible solution. +However, we're a fair distance away from the power plant. Judging by the map, we'll come across a lot of defensive facilities on the way...
M4A1Mod(0)<Speaker>M4A1</Speaker><通讯框>||<黑屏1>:<color=#00CCFF>You don't have to worry about that. The Commander have arranged for very dependable backup for us.</color>
()||<BGM>BGM_Empty</BGM><黑屏2><BIN>55</BIN>:
()||<BGM>BGM_Reverse</BGM>:...On the outskirts of Tallinn.
UMP45Mod(0)<Speaker>UMP45</Speaker>||:Oh? +We just received an additional request. Our objective is to destroy the power plant in Tallinn. I've just uploaded the coordinates.
G11(2)<Speaker>Gr G11</Speaker>||:What? We literally just sat down! I thought I could at least take a nap...
HK416Mod(0)<Speaker>416</Speaker>||:And here I thought you were just going to stand by and watch them get wiped out.
UMP45Mod(0)<Speaker>UMP45</Speaker>||:We don't have to get involved in situations that they can handle on their own. We're the safety fuse - there's no point in pulling ourselves taut so soon. +9, are the explosives ready?
UMP9Mod(0)<Speaker>UMP9</Speaker>||:Ja. The drones deployed from the train will airdrop supply crates armed with explosives in five minutes.
UMP45Mod(0)<Speaker>UMP45</Speaker>||:Perfect. We will most probably run into some resistance put up by the defensive mechanisms. I'm sure you all know the drill. +This is the part where we get to earn our bonus, so perk up.
()||<黑屏1>:
