()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:...
()||<黑屏2><BIN>288</BIN><BGM>BGM_Empty</BGM>:...
HK416Mod(0)<Speaker>416</Speaker>||<BGM>GF_The_Division_Ola_Strandh_Dark Zone</BGM><SE1>AVG_footsteps_cave</SE1>:Forget it.+This is weird.+There's no more fog, but it feels even more disorienting than before.+I'm having difficulty finding the right path.
NPC-Dima(1)<Speaker>Dima</Speaker><通讯框>;HK416Mod(0)||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>That's because hardly anyone has come here before.</color>
NPC-Dima(1)<通讯框>;HK416Mod(0)<Speaker>416</Speaker>||:Why is it you can still contact me?
NPC-Dima(1)<Speaker>Dima</Speaker><通讯框>;HK416Mod(0)||:<color=#00CCFF>We have a special SHD-only frequency.</color>
NPC-Dima(1)<通讯框>;HK416Mod(0)<Speaker>416</Speaker>||:Really?
NPC-Dima(1)<Speaker>Dima</Speaker><通讯框>;HK416Mod(0)||:<color=#00CCFF>After this, please pay attention to the contaminated areas within the Dark Zone. Staying there for extended periods of time will worsen your infection.</color>
NPC-Dima(1)<通讯框>;HK416Mod(0)<Speaker>416</Speaker>||:If you're talking about the passages by the road which seem to be glowing green, I already guessed they were bad news. I have no intention of going into them.
NPC-Dima(1)<Speaker>Dima</Speaker><通讯框>;HK416Mod(0)||:<color=#00CCFF>After Black Friday, they moved a large number of the people who needed help to this region, then built a wall around them and established Manhattan's final defensive line.</color>+<color=#00CCFF>The situation deteriorated beyond what the line could handle.</color>+<color=#00CCFF>When Manhattan lost power, this place was quickly abandoned. The only thing left behind other than the cutting edge weapons and gear they once used is death.</color>+<color=#00CCFF>Nobody went in again, and nobody has come out alive either.</color>
NPC-Dima(1)<通讯框>;HK416Mod(0)<Speaker>416</Speaker>||:The Dark Zone.+...It takes a light to cast shadows.+But I can't see the slightest bit of light in this world.+It's just going from one Hell to a worse one.
NPC-Dima(1)<Speaker>Dima</Speaker><通讯框>;HK416Mod(0)||:<color=#00CCFF>No, we still have a thread of hope left here—</color>
NPC-Dima(1)<通讯框>;HK416Mod(0)<Speaker>416</Speaker>||:"The people outside desperately need the medicine."+You're trying to say that light is hidden in the darkest place, right?+Cliches like that went out of style 40 years ago.
NPC-Dima(1)<Speaker>Dima</Speaker><通讯框>;HK416Mod(0)||:<color=#00CCFF>That's the most important objective to me.</color> +<color=#00CCFF>The medicine itself means more than its mere existence.</color>+<color=#00CCFF>What it symbolizes—hope—is far more important.</color>+<color=#00CCFF>People always try to save things because they need a purpose.</color>+<color=#00CCFF>This is also why we're so weak when we try to save ourselves.</color>
NPC-Dima(1)<通讯框>;HK416Mod(0)<Speaker>416</Speaker>||:What you said sounds pretty deep and profound, but do you actually know what it means?+It doesn't match at all with what I said. You sound like you're reading off a script.
NPC-Dima(1)<Speaker>Dima</Speaker><通讯框>;HK416Mod(0)||<BGM>BGM_Empty</BGM>:<color=#00CCFF>There seems to be a good extraction point near the Russian Embassy. If you find the medicine, you can call for help there.</color>
HK416Mod(0)<Speaker>416</Speaker>||<BGM>BGM_Danger</BGM>:Well, isn't that a "personalized" suggestion... Hm?
()<Speaker></Speaker>||<SE2>Gunfight</SE2>:Thud!+As a chill creeps up her spine, 416 silently curses herself for her carelessness — she was so caught up in talking to Dima that she failed to noticed the rapid footsteps behind her.+By the time she realizes that someone was approaching, her opponent has already gotten to within two body lengths - a somewhat dangerous range for her.+Before even verifying the identity of the person behind her, 416 explosively maxes out her body's physical parameters by turning to face the source of the sound and holding down the trigger.+From the corner of her vision, she notices a familiar figure swiftly evading the attack.
Vector(0)<Speaker>Vector</Speaker>||:Silvery hair and lime green eyes... I won't let you get away this time.
Vector(0);HK416Mod(0)<Speaker>416</Speaker>||<黑屏1>:Again? +—Alright then, this time I'll silence you for good!
()||<黑屏2><BIN>298</BIN><BGM>BGM_Empty</BGM>:... + Several minutes ago.
()<Speaker>System</Speaker>||<BGM>BGM_Truth</BGM>:The transmission ends. +X Hellfire has killed Good Luck Doesn't Last. +X Hellfire has killed Philosopher Fairy.
Vector(0)<Speaker>Vector</Speaker>||:...
Vector(0)<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:R93 and K5's transmissions are suddenly interrupted, and the announcement of their deaths soon follows.+Vector clenches her fists. It implies that she is now totally alone.+PP-90's words are still echoing in her ears.
Vector(0)<Speaker>Vector</Speaker>||<黑屏1>:...Even without the Commander's mission to drive me... +Even if it's just for the sake of my friends, I will NOT lose.
()<Speaker></Speaker>||<黑屏2><BIN>288</BIN>:I have to win.+This thought burns brightly within Vector's neural cloud.+Not only does she have to win, but also...
Vector(0)<Speaker>Vector</Speaker>||:Silvery hair and lime green eyes...+I know, I know there is no right or wrong on the battlefield.+But...the deaths of my friends must be avenged.
Vector(0);NPC-Dima(1)<Speaker>Dima</Speaker><通讯框>||:<color=#00CCFF>Agent, please continue advancing, there's not much time left!</color>
Vector(0)<Speaker>Vector</Speaker>;NPC-Dima(1)<通讯框>||:I know that, can't you see I'm moving forward?+...How many agents are left, Miss Dima?
Vector(0);NPC-Dima(1)<Speaker>Dima</Speaker><通讯框>||:<color=#00CCFF>...There should be three left, I think.</color>
Vector(0)<Speaker>Vector</Speaker>;NPC-Dima(1)<通讯框>||:You actually answered me?+...Before this you didn't seem to care.
Vector(0);NPC-Dima(1)<Speaker>Dima</Speaker><通讯框>||:<color=#00CCFF>Surely you jest, Agent.</color>+<color=#00CCFF>The enemy forces are still very strong, so I need you all to work together.</color>
Vector(0)<Speaker>Vector</Speaker>;NPC-Dima(1)<通讯框>||:I can't do that.+One of the other surviving agents...has silvery hair and lime green eyes, right?+I will never forgive her for what she did.
Vector(0);NPC-Dima(1)<Speaker>Dima</Speaker><通讯框>||:<color=#00CCFF>Agent, there is no need to continue fighting among yourselves. Please...</color>
Vector(0)<Speaker>Vector</Speaker>;NPC-Dima(1)<通讯框>||:...!
Vector(0)<Speaker></Speaker>;NPC-Dima(1)<通讯框>||:Just as Vector slowly approaches the center, a familiar yet eye-catching form comes into view.
Vector(0)<Speaker>Vector</Speaker>;NPC-Dima(1)<通讯框>||<BGM>BGM_Empty</BGM>:—It's her!
NPC-Dima(1)<Speaker>Dima</Speaker><通讯框>||:<color=#00CCFF>W-wait, Agent!</color>
()<Speaker>Vector</Speaker>||<快跑><BGM>BGM_Battle</BGM><SE1>RunStep</SE1>:Blood for blood!
NPC-Dima(1)<Speaker>Dima</Speaker><通讯框>||:<color=#00CCFF>Please wait! Agents! You don't need to fight anymore!</color>
HK416Mod(0)<Speaker>416</Speaker>||:You should be telling her that.
HK416Mod(0)<Speaker>416</Speaker>||<SE1>AVG_weapon_reload</SE1><黑点1>:However, you'll have to pray that she survives this time.
