()||<BGM>BGM_Empty</BGM><BIN>9</BIN><黑屏1>0,10</黑屏1>:
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>Oh, oh, stop, my dear Commander.</color>
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>You aren't the only one unhappy with Statesec. Many, including me, have quite a lot to say about their methods.</color>
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>But you yourself have had dealings with them in the past, so you should know full well that it's meaningless to complain, and it's even more meaningless to complain to ME.</color>
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>What can I do after you whine to me about your grievances? Do you expect me to repeat your yammering to the Chief?</color>
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>Not to mention...you do have plans of your own.</color>
NPC-Havel(1)<Speaker>Commander</Speaker><通讯框>||:...I have no idea what you're talking about.
NPC-Havel(0)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>I know what you're planning with Ange.</color>
NPC-Havel(0)<Speaker>Commander</Speaker><通讯框>||:That must've been the funniest joke I've heard in a while. +I followed intel that you provided and went to Belgrade on a wild goose chase for Ange. Now you're saying I'm in touch with her?
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>Commander, I may have no hope of comparing with you in commanding Dolls in battle, but when it comes to analyzing intelligence, I'm way ahead of you.</color>
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>You've been deliberately avoiding any mention of Ange in your communications logs, but looking at the combat records in that time frame, your forces were perfectly in sync with Ange's Task Force DEFY.</color>
NPC-Havel(1)<Speaker>Commander</Speaker><通讯框>||:We have Persica and her brilliantly designed neural clouds to thank for, don't you think? +The situation was absolutely chaotic back then so most of the battles were fought at the discretion of Dolls equipped with command modules. Even you know I was trapped in the cathedral for a good part of the entire operation.
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>Oh, that reminds me. When these Dolls equipped with command modules returned from DEFY to Griffin, did you question them regarding Ange's whereabouts? I clearly remember that the job I gave you was to find Ange. Surely you haven't forgotten, Commander?</color>
NPC-Havel(1)<Speaker>Commander</Speaker><通讯框>||:...Tsk.
NPC-Havel(0)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>Hahaha, neither of us wants to show our entire hand. The same goes for Statesec, obviously.</color>
NPC-Havel(0)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>It's not a bad thing to keep a few secrets to yourself, but if even an amateur like me can tell, then a conniving bastard like Zelinsky can definitely see through your little ruse as well.</color>
NPC-Havel(0)<Speaker>Commander</Speaker><通讯框>||:My excuse did sound pretty pathetic when you put it that way. Still, no matter what you suspect, I really can't tell you what I don't know myself.
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>Good, you know how to keep your mouth shut, especially after Ange committed treason and seized the Pike Node. You don't disappoint.</color>
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>But you don't have to worry too much. Since you willingly handed over the core of the Pike Node, the Chief of Statesec still believes Griffin is loyal.</color>
NPC-Havel(1)<Speaker>Commander</Speaker><通讯框>||:Why does Statesec want the Pike Node so desperately? What exactly are they planning to do with it?
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>They wonder about the same thing, except the subject of their question is "the Military".</color>
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>Having analyzed the core you returned with, Statesec now have a grasp over the Military's intentions... They'll then deploy their agents to the storage facilities all over the world and foil the Military's conspiracy.</color>
NPC-Havel(1)<Speaker>Commander</Speaker><通讯框>||:Just like that? So simple?
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>It really is that simple. What happens next has absolutely nothing to do with me, you, or Griffin...</color>
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>At least, that was Statesec's plan.</color>
NPC-Havel(1)<Speaker>Commander</Speaker><通讯框>||:I'm sensing a "but".
NPC-Havel(0)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>Haha, exactly... BUT! Our job isn't over yet. Your next destination is the Paldiski Submarine Base in Estonia.</color>
NPC-Havel(0)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>According to a source, there are traces of Paradeus movements near the base. Military forces are also on their way there.</color>
NPC-Havel(0)<Speaker>Commander</Speaker><通讯框>||:Didn't you just say Statesec would stop the Military from taking the Pike Node?
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>Indeed, you heard that right.</color>
NPC-Havel(1)<Speaker>Commander</Speaker><通讯框>||:Then why are they sending Griffin halfway across the continent to do their job...?
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>Because that facility won't actually contain a Pike Node.</color>
NPC-Havel(1)<Speaker>Commander</Speaker><通讯框>||<BGM>BGM_Empty</BGM>:Pardon...?
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||<BGM>BGM_Reverse</BGM><黑屏1>:<color=#00CCFF>Hmm, one question - have you ever heard of a man known as Lycoris?</color>
NPC-Lyco(0)<Speaker>Commander</Speaker>||<黑屏2><BIN>54</BIN>:You mean the chief engineer of Sangvis Ferri Industries? I've seen that name before on the documents that Persica gave me.
NPC-Lyco(0)<Speaker>Havier</Speaker>||:<color=#00CCFF>Yes, that's him. Lycoris was the one who designed the Sangvis Mastermind...codenamed "Elisa". You probably know that already.</color>
NPC-Lyco(0)<Speaker>Havier</Speaker>||:<color=#00CCFF>My point is, the data that Lyco used to create Elisa was derived from the Pike Node A-51-241 through inverse operation. That Pike Node is currently stored within the Paldiski Submarine Base.</color>
()<Speaker>Commander</Speaker><通讯框>||:So Elisa...
BOSS-12(0)<Speaker>Havier</Speaker>||:<color=#00CCFF>...Isn't exactly a dupe. Lyco had integrated a lot of his own original ideas into the design. It was a truly astounding feat of genius.</color>
BOSS-12(0)<Speaker>Havier</Speaker>||:<color=#00CCFF>Still, the coding of the basic frames are quite recognizable. In other words, you can think of that particular Pike Node as Elisa's "blueprint".</color>
BOSS-12(0)<Speaker>Havier</Speaker>||:<color=#00CCFF>Statesec thinks that this is just another one of the many regular Pike Nodes, just as how I used to assume that the Butterfly Incident was purely an accident.</color>
BOSS-12(0)<Speaker>Havier</Speaker>||:<color=#00CCFF>But this series of events has led me to believe that Sangvis Ferri, the Military, and Paradeus...aren't merely parallel lines that just so happened to have intersected.</color>
()<Speaker>Havier</Speaker>||:<color=#00CCFF>And the Paldiski Submarine Base is where it all began.</color>
()<Speaker>Havier</Speaker>||<黑屏1>:<color=#00CCFF>I hope you can take control of this facility before the evidence is destroyed. That should also be quite helpful for the friend that you don't want to admit you've made.</color>
()<Speaker>Commander</Speaker><通讯框>||<黑屏2><BIN>202</BIN>:Havier... You...
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>I know this isn't going to be an easy job. Both Paldiski and Tallinn have long since been ghost towns. It's a huge risk sending you into a Red Zone.</color>
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>Also... Commander, the more we learn about the truth behind the Butterfly Incident, the closer we are to the dangerous pit of flames.</color>
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>You've been miraculously lucky so far, which is a very important reason why I'm willing to place my bets on you, but don't count on the Goddess of Luck's blessings every time.</color>
NPC-Havel(1)<Speaker>Commander</Speaker><通讯框>||:I appreciate your concern, Mr. Havier. I think I know...
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>No, you have no idea.</color>
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>You couldn't have made it this far if you weren't a busybody who would risk your own life for someone else's sake, Commander.</color>
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>That young lady—Persica, I mean—will soon find out that you're heading toward Paldiski and she'll ask all sorts of unreasonable things of you.</color>
NPC-Havel(1)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>You need to learn how to say "no" to people, or one day, your luck will run out.</color>
NPC-Havel(1)<Speaker>Commander</Speaker><通讯框>||:...What if I say "no"?
NPC-Havel(0)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>Ha, you're a fast learner, Commander. But that's why I'm merely asking a favor, not giving you a commission this time.</color>
NPC-Havel(0)<Speaker>Havier</Speaker><通讯框>||:<color=#00CCFF>Take care. I hope you'll still be this sprightly the next time I see you.</color>
()||<黑屏1><BGM>BGM_Empty</BGM><SE1>AVG_tele_disconnect</SE1>:...Transmission ends.
()||<黑屏2><BIN>202</BIN><BGM>BGM_stage1</BGM>:12 hours later.
()<Speaker>Kalina</Speaker>||:Hellooooo~ Commander, are you up yet...?
()<Speaker>Commander</Speaker>||:Just come in.
NPC-Kalin(3)<Speaker>Kalina</Speaker>||<SE1>AVG_door_elecport</SE1>:Still thinking about your conversation with Mr. Havier yesterday?
NPC-Kalin(3)<Speaker>Commander</Speaker>||:Sigh... I thought I was fully prepared, but he's still way ahead of me.
NPC-Kalin(1)<Speaker>Kalina</Speaker>||:...That old gentleman was quite talkative. You must've learned something that's worth looking into?
NPC-Kalin(1)<Speaker>Commander</Speaker>||:He did say a lot, but he only told us what he wanted us to know, and he's already planned several moves ahead. +I suppose we should be glad that he's on Griffin's side...at least for now.
NPC-Kalin(0)<Speaker>Kalina</Speaker>||:Don't worry too much about what comes later, Commander, because there are many headache-inducing problems that require your attention right now. +The Intercontinental Railway will arrive in the outskirts of Tallinn in around 10 minutes, and our recon echelons have already submitted their reports. +As you anticipated, as the only transport hub connected to the Paldiski Base, Tallinn has long since been in a state of lockdown due to severe contamination. +The AR Team, who has gone to scout ahead, reached the same conclusion - if the quarantine wall around Tallinn remains closed, our train won't be able to advance any further. They now await new directives from you.
NPC-Kalin(0)<Speaker>Commander</Speaker>||:So soon? I thought I could at least get some sleep...
NPC-Kalin(3)<Speaker>Kalina</Speaker>||:We didn't move Griffin's command center onto the Intercontinental Rail so that you can have an extravagant berth, Commander. +All T-Dolls are prepped and ready to move out as soon as the train stops and you give the word.
NPC-Kalin(3)<Speaker>Commander</Speaker>||<黑屏1>:Looks like the itinerary for this trip will be much busier than Belgrade. 
