()||<BIN>22</BIN><BGM>BGM_Room</BGM>:...
NPC-Ange(0)<Speaker>Ange</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:What can you give me?
NPC-Ange(0);NPC-Havel(0)<Speaker>Havier</Speaker>||<BIN>22</BIN>:I can give you an explosion bigger than anything you can imagine, but the price is an increased likelihood of your death.
NPC-Ange(0)<Speaker>Ange</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:I've already died once.
NPC-Ange(0);NPC-Havel(0)<Speaker>Havier</Speaker>||<BIN>22</BIN>:And if you don't die, you'll be damned as a traitor for the rest of your days. That's much harder to bear than simply dying, my dear.
NPC-Ange(0)<Speaker>Ange</Speaker>||<BIN>22</BIN>:...
NPC-Ange(0);NPC-Persica(3)<Speaker>Persica</Speaker>||<BIN>22</BIN>:Ange...
NPC-Ange(0)<Speaker>Ange</Speaker>||<BIN>22</BIN>:I accept. +I will pay any price to stop them.
NPC-Ange(0);NPC-Havel(0)<Speaker>Havier</Speaker>||<BIN>22</BIN>:Very good. Then I'll think of a way to airdrop it to you.
NPC-Ange(0)<Speaker>Ange</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:What is it? +Something more powerful than an airstrike...that can be deployed via airdrop... +Don't tell me...
NPC-Ange(0);NPC-Havel(0)<Speaker>Havier</Speaker>||<BIN>22</BIN>:Yes, that's it. +Once you get it, you can let your imagination run wild.
NPC-Ange(0)<Speaker>Ange</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:...If I use that, I'm pretty sure that being branded as a traitor will be the happiest ending I can hope for. +Is that what you meant by a catalyst and an excuse?
NPC-Ange(0);NPC-Havel(0)<Speaker>Havier</Speaker>||<BIN>22</BIN>:A perfect one, don't you think? Carter will have a hell of a time trying to explain that away.
NPC-Ange(0)<Speaker>Ange</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:You...are way more devious than I imagined.
NPC-Ange(0);NPC-Havel(0)<Speaker>Havier</Speaker>||<BIN>22</BIN>:My head swells when a young lady praises me. +Oh yes, I have another request. I'm very interested in learning how OGAS was reactivated, so do your best to bring Lyco's work back. +It would be a shame to destroy her with the Military.
NPC-Ange(0);NPC-Persica(3)<Speaker>Persica</Speaker>||<BIN>22</BIN>:I would also like for you to bring her back. That was Lyco's final work.
NPC-Ange(0)<Speaker>Ange</Speaker>||<BIN>22</BIN><黑屏1>:I can guarantee that they will not get her. +As for bringing her back... you'd better pray for me.
