()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
AR15Mod(0)<Speaker></Speaker>||:AR15点了点头，默默地跟在小队的末尾。+在与狮鹫小队擦肩而过的时候，她与帕罗莎交换了一下眼神。+一阵无言中，指挥官与AR小队的人形们走进了地下基地的大门。
VP1915(0)<Speaker>帕罗莎</Speaker>||:……呼。
VP1915(0);Kolibri(0)<Speaker>蜂鸟</Speaker>||:发生什么了？
VP1915(0)<Speaker>帕罗莎</Speaker>;Kolibri(0)||:什么？
VP1915(0);Kolibri(0)<Speaker>蜂鸟</Speaker>||:别唬我，我可是看见了。+你刚才跟那个喜欢炸毛的粉头发对了下眼神吧。+你俩又什么时候勾搭上了？
VP1915(0)<Speaker>帕罗莎</Speaker>;Kolibri(0)||:……别胡说八道了。+把无人机放出去，做好警戒。
VP1915(0);Kolibri(0)<Speaker>蜂鸟</Speaker>||:切。
VP1915(0)<Speaker></Speaker>||:蜂鸟闷闷不乐地走向了一边。
VP1915(0)<Speaker>帕罗莎</Speaker>||:……
VP1915(0)<Speaker></Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:帕罗莎站在原地，低头看向了AR小队先前走过的地方。
()<Speaker></Speaker>||<BIN>202</BIN><回忆><黑屏2><BGM>BGM_Room</BGM>:……+指挥室内。
AR15Mod(0)<Speaker>AR15</Speaker>||:帕罗莎。
VP1915(0)<Speaker>帕罗莎</Speaker>;AR15Mod(0)||:……AR15？+有什么事吗？
VP1915(0);AR15Mod(2)<Speaker>AR15</Speaker>||:刚才玛赫莲说的那些，你信了几分？
VP1915(0)<Speaker>帕罗莎</Speaker>;AR15Mod(2)||:你是说……关于工厂内部的事？+还是她从工厂逃脱的事？
VP1915(0);AR15Mod(0)<Speaker>AR15</Speaker>||:工厂内部有丹德莱把关，我没什么意见。+但是她说的她逃跑的事情，我怎么听都觉得奇怪。
VP1915(0)<Speaker>帕罗莎</Speaker>;AR15Mod(0)||:的确，太轻松了。
VP1915(0);AR15Mod(0)<Speaker>AR15</Speaker>||:还不止是这样。+退一万步说，就算她真的是无辜的。+但她最后跑到了哪？伯恩村。+那鬼地方我们已经证实了是帕拉蒂斯的另一个传教点。+结果她到头来根本就没从人家的掌心跳出来过。
VP1915(0)<Speaker>帕罗莎</Speaker>;AR15Mod(0)||:而且你们之前在伯恩村行动的时候，帕拉蒂斯的反应也非常快，我不认为他们对玛赫莲的下落一无所知。
VP1915(0);AR15Mod(0)<Speaker>AR15</Speaker>||:果然，很可疑，对吧？
VP1915(0)<Speaker>帕罗莎</Speaker>;AR15Mod(0)||:你为什么不去跟指挥官说？
VP1915(0);AR15Mod(0)<Speaker>AR15</Speaker>||:特效药的事对指挥官很重要，我现在说什么他也不会中止行动。+而且，他在对待玛赫莲的问题上跟我意见不太一样。+我承认玛赫莲的表演有时候是挺能打动人，但这不代表我就能忘掉她身上的这些疑点。
VP1915(0)<Speaker>帕罗莎</Speaker>;AR15Mod(0)||:所以，你就来找我？+你有什么想法吗？
VP1915(0);AR15Mod(0)<Speaker>AR15</Speaker>||:丹德莱的扫描图我看过了，没什么问题。+但是，里面的地形太复杂了，我想以防万一，如果出现什么情况。+我需要你和你的小队能第一时间赶到。
VP1915(0)<Speaker>帕罗莎</Speaker>||:原来如此……我明白了。
()<Speaker></Speaker>||:帕罗莎点了点头，从战术包里取出了一个小巧的管子。
AR15Mod(2)<Speaker>AR15</Speaker>||:这是什么？
VP1915(0)<Speaker>帕罗莎</Speaker>;AR15Mod(2)||:一种原始的战术道具，是一种极特殊的粉尘，只有经过紫外线灯照明才能看见。+你进去的时候，沿途洒下这个，我就能知道你们行进的路线。+如果有什么意外，我会追着你留下的痕迹第一时间赶到的。
VP1915(0);AR15Mod(0)<Speaker>AR15</Speaker>||:……还真的是很原始。
VP1915(0)<Speaker>帕罗莎</Speaker>;AR15Mod(0)||:但是很有效。+紫外线灯我也有多的，你也拿一份吧。
AR15Mod(0)<Speaker>AR15</Speaker>||<黑屏1>:好。
VP1915(0)<Speaker>帕罗莎</Speaker>||<黑屏2><关闭蒙版><BGM>BGM_Empty</BGM><BIN>322</BIN>:……
()<Speaker></Speaker>||:也许……AR15只是在杞人忧天而已。+他们的行动会非常迅速，也许都用不了十分钟，指挥官便会折返。+但是……
VP1915(0)<Speaker>帕罗莎</Speaker>||<黑屏1>:……总觉得，有些不安。
()<Speaker></Speaker>||<黑屏2><BIN>324</BIN><BGM>BGM_Sneak</BGM>:在丹德莱扫描的地形图的帮助下，指挥官一行并没有绕太多的远路。+在进入基地后的几分钟后，一行人便顺利抵达了目标地点。+断裂的电线，桌上的积灰，破碎的不明设备……每一件物品都露骨地彰显着这个地方已经被抛弃的事实。
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:这里好破旧哦。
RO635Mod(0)<Speaker>RO635</Speaker>||:确实看得出来撤离的时候很仓促，遗留了很多东西。+这些小型设备是干什么用的？
()<Speaker></Speaker>||:犹如柱子一样的奇异物体颇有规律地摆放在道路的两侧，数量惊人。+丹德莱看着这一切，皱了皱眉。
NytoIsomer(7)<Speaker>丹德莱</Speaker>||:我无法骇入它们……也无法启动。+可能是物理层面上被破坏了。
NytoIsomer(7);NPC-Machlian(5)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:我没有见过这种设备……+在我还在的时候，还没有这些东西。
AR15Mod(4)<Speaker>AR15</Speaker>;NPC-Machlian(5)<Position>0,-50</Position>||:哼。
RO635Mod(0)<Speaker>RO635</Speaker>;NPC-Machlian(5)<Position>0,-50</Position>||:指挥官，这附近除了我们以外没有别的讯号。
RO635Mod(0)<Speaker>指挥官</Speaker>;NPC-Machlian(5)<Position>0,-50</Position>||:好，不要放松警惕，立刻展开搜索。
RO635Mod(0)<Speaker>RO635</Speaker>;NPC-Machlian(5)<Position>0,-50</Position>||:明白。
NPC-Machlian(5)<Speaker></Speaker><Position>0,-50</Position>||:AR小队在小范围内分散开来，开始从遍地的废弃品中搜索起有价值的情报。
NPC-Machlian(5)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:罗宾，合成室在那里。
NPC-Machlian(5)<Speaker>指挥官</Speaker><Position>0,-50</Position>||:我们去看看设备的运作，丹德莱，你也来吧。
NytoIsomer(7)<Speaker>丹德莱</Speaker><Position>0,-50</Position>||:好的。
()<Speaker></Speaker>||<黑屏1>:与丹德莱一同，指挥官跟随着玛赫莲走进了合成室。
()<Speaker></Speaker>||<黑屏2><BIN>70</BIN>:合成室内也是一片混乱，一件奇怪的仪器摆在实验室的中间。+上面积压着厚厚的灰尘，似乎有阵子没使用过了。
NPC-Machlian(5)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:这里……就是制造血清的地方。
NPC-Machlian(5)<Speaker>指挥官</Speaker><Position>0,-50</Position>||:……就是这个？
NPC-Machlian(5)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:嗯。
NPC-Machlian(5)<Speaker></Speaker><Position>0,-50</Position>||:玛赫莲看着巨大的仪器两侧的导管，一只手放在自己的胸口，另一只手伸上前去，擦拭了一下顶端的刺针。
NPC-Machlian(5)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:看起来……还能使用。
NytoIsomer(7)<Speaker>丹德莱</Speaker>||:电力系统还能正常运转。+恭喜你，指挥官，你找到四十大盗的宝库了。
NytoIsomer(7)<Speaker>指挥官</Speaker>||:玛赫莲？
NPC-Machlian(5)<Speaker></Speaker><Position>0,-50</Position>||:没有回应指挥官的话，玛赫莲主动爬上了机器，坐在上面，将导管拉到自己的面前。
NPC-Machlian(5)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:请后退一些，罗宾。+机器应该记录了之前的运行模式。+等它开始抽取我的血液，血清就会自动生成了。
NPC-Machlian(5)<Speaker>指挥官</Speaker><Position>0,-50</Position>||:……好。
NPC-Machlian(8)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:……谢谢你一直相信我，罗宾。+我会把药交到你手上的，我保证。
()<Speaker></Speaker>||:指挥官点了点头，与丹德莱一同向后退了几步。+玛赫莲咬了咬牙，将刺针扎入了自己的胳膊。+随着机器的启动，合成室内的灯光也突然亮了起来。
()<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1>:通讯响起。
VP1915(0)<Speaker>帕罗莎</Speaker><通讯框>||:<color=#00CCFF>定期联络，指挥官。</color>
VP1915(0)<Speaker>指挥官</Speaker>||:我们这边也一切顺利。+已抵达目标地点，正在搜索。+你们那边有什么状况吗？
VP1915(0)<Speaker>帕罗莎</Speaker>||:<color=#00CCFF>没有，一切正常。</color>+<color=#00CCFF>404小队正在巡逻，虽然我看不见她们。</color>+<color=#00CCFF>但刚才已经通讯过了。</color>
VP1915(0)<Speaker></Speaker>||<BGM>BGM_Empty</BGM><SE1>AVG_whitenoise</SE1>:通讯器中忽然出现了莫名的噪音。
VP1915(0)<Speaker>指挥官</Speaker>||:好，下次联络。
VP1915(0)<Speaker>帕罗莎</Speaker>||:<color=#00CCFF>指挥官……你……说……</color>
VP1915(0)<Speaker>指挥官</Speaker>||:喂？帕罗莎？
VP1915(0)<Speaker>帕罗莎</Speaker>||<SE1>AVG_whitenoise</SE1>:<color=#00CCFF>指……我……</color>
()<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:通讯断开。
()<Speaker>指挥官</Speaker>||:怎么回事？
NytoIsomer(7)<Speaker>丹德莱</Speaker>||:指挥官——
NytoIsomer(7);NPC-Machlian(7)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:咕……！
NytoIsomer(7);NPC-Machlian(7)<Speaker></Speaker><Position>0,-50</Position>||:玛赫莲的脸上突然出现了痛苦的神情。
()<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1>:滴——
()<Speaker></Speaker>||<SE1>AVG_bigglassbreak</SE1>:轰轰……
()<Speaker></Speaker>||<SE2>Alarm</SE2><SE1>AVG_Helicopter</SE1>:忽然一阵轰鸣的机械声响起，在两人的面前，放置着玛赫莲的机床突然开始下沉。+靛青色的强光照射在她的脸上，原本就苍白的面孔变得如同鬼魅。
()<Speaker>指挥官</Speaker>||<BGM>BGM_Danger</BGM>:丹德莱！
NytoIsomer(7)<Speaker>丹德莱</Speaker>||:我控制不了。+不……不止是这样……+我收不到任何讯号——怎么会，我被切断了！
NytoIsomer(7)<Speaker>指挥官</Speaker>||:什么！？
()<Speaker></Speaker>||<SE1>AVG_door_elecport</SE1>:就在这一迟疑的时候，玛赫莲与机床一起沉入了地下。
()<Speaker></Speaker>||<闪屏><duration>5</duration></闪屏><BIN>229</BIN>:眨眼间，金属的地板将机床留下的空洞合闭，只留下指挥官等人站在陌生的房间。
()<Speaker>指挥官</Speaker>||:玛赫莲！
M4 SOPMOD IIMod(3)<Speaker>M4 SOPMOD II</Speaker>||:指挥官！指挥官！不好啦指挥官！！
M4 SOPMOD IIMod(3)<Speaker></Speaker>||<SE1>RunStep</SE1>:与此同时，SOP2匆忙跑了进来，身后紧跟着脸色难看的AR15和RO635。
M4 SOPMOD IIMod(3)<Speaker>M4 SOPMOD II</Speaker>||:外面那些小东西……+那些柱子……突，突然发光了！
RO635Mod(4)<Speaker>RO635</Speaker>||:指挥官！我们跟外面的链接全部断开了。+我们收不到任何讯号！也没办法跟上面的人联络！
AR15Mod(4)<Speaker>AR15</Speaker>||:是陷阱。+我早就说过了，这是个陷阱！
()<Speaker>指挥官</Speaker>||:帕罗莎？45？
()<Speaker></Speaker>||<SE1>AVG_whitenoise</SE1>:呲呲……
()<Speaker>指挥官</Speaker>||:……
M4 SOPMOD IIMod(3)<Speaker>M4 SOPMOD II</Speaker>||:怎么办啊！指挥官！
RO635Mod(4)<Speaker>RO635</Speaker>||:丹德莱，你不是说这里面没问题吗！
NytoIsomer(7)<Speaker>丹德莱</Speaker>||:……
NytoIsomer(7)<Speaker></Speaker>||:丹德莱愣愣地看着自己的双手。+她对RO的问题充耳不闻，仿佛陷入了自己的世界。
NytoIsomer(7)<Speaker>丹德莱</Speaker>||:我……我……+我不知道……我……+我从来没有过这种感觉……
AR15Mod(0)<Speaker>AR15</Speaker>||:你能不能靠谱一点，别在关键时刻掉链子？
()<Speaker>指挥官</Speaker>||<BGM>BGM_Empty</BGM>:冷静！
()<Speaker></Speaker>||:在指挥官突然的厉声中，连上蹿下跳的SOP都静了下来。
NytoIsomer(7)<Speaker>丹德莱</Speaker>||:……！
RO635Mod(0)<Speaker>RO635</Speaker>||:指挥官……
()<Speaker></Speaker>||<BGM>m_avg_hope</BGM>:指挥官抬头看了看头顶。+404和狮鹫小队正在药厂外待命，一旦发生任何异常情况，她们都会立刻进来支援。+刚才的通讯，应该已经足够让帕罗莎发现异常。
()<Speaker>指挥官</Speaker>||:狮鹫和404应该已经在进来救援的路上了。+我们原路返回，赶紧和她们汇合。
RO635Mod(0)<Speaker>RO635</Speaker>||:……好的，知道了！
NytoIsomer(7)<Speaker></Speaker>||:丹德莱看了看指挥官。
NytoIsomer(7)<Speaker>丹德莱</Speaker>||:……那玛赫莲呢？+药怎么办？
NytoIsomer(7);AR15Mod(5)<Speaker>AR15</Speaker>||:药？事到如今你还相信她！？+安洁说的没错，她就是个骗子！
NytoIsomer(7);AR15Mod(5)<Speaker>指挥官</Speaker>||:……现在的情况对我们非常不利，先和狮鹫汇合。+至少……
NytoIsomer(7)<Speaker></Speaker>||:指挥官看向了丹德莱。
NytoIsomer(7)<Speaker>指挥官</Speaker>||:要让你恢复正常才行，你现在这样，我们根本没有胜算。
NytoIsomer(7)<Speaker>丹德莱</Speaker>||:胜算？
NytoIsomer(7);AR15Mod(5)<Speaker>AR15</Speaker>||:见鬼。
RO635Mod(4)<Speaker>RO635</Speaker>||:来得真快。
M4 SOPMOD IIMod(3)<Speaker>M4 SOPMOD II</Speaker>||:嘎嗷！！
NytoIsomer(7)<Speaker>丹德莱</Speaker>||:……糟了。
NytoIsomer(7)<Speaker></Speaker>||<SE1>AVG_Crowd_Run</SE1>:丹德莱皱起了眉，她也听见了。+虽然还无法估算具体的距离，但不知何时出现的密集脚步声分明正朝着几人的位置涌来。
NytoIsomer(7)<Speaker>丹德莱</Speaker>||:……我听见了。+真抱歉，我还不习惯用听觉接收信息呢。
()<Speaker>指挥官</Speaker>||:别说了。+准备迎击。
()<Speaker></Speaker>||<黑屏1><SE1>AVG_weapon_reload</SE1>:指挥官掏出了自己的手枪，拉上了枪膛。
