()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Room</BGM><BGM>BGM_Room</BGM>:
NPC-AngeStreet(0)<Speaker>安洁莉娅</Speaker>;AK12(0)||:风险与收益是并存的。+而且……相比感染生物，另一些家伙才值得更加被重视。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:你是说那些白色的家伙？
NPC-AngeStreet(0)<Speaker>安洁莉娅</Speaker>||<黑屏1>0,3</黑屏1>:是啊……不过也许不仅仅只有他们。
()||<BIN>169</BIN><黑屏2>0,5</黑屏2>:安洁望向山下的都市，神情愈发凝重起来。+而此时通讯传来，安洁缓缓地举起手接听。
NPC-Jason(0)<Speaker>K</Speaker><通讯框>||:<color=#00CCFF>安全局已经到达了。</color>+<color=#00CCFF>格里芬也通过了测试。</color>
NPC-AngeStreet(0)<Speaker>安洁莉娅</Speaker>;NPC-Jason(0)||:我和你说过格里芬是不会有问题的。
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><通讯框>||:<color=#00CCFF>接下来还会有更多测试。</color>+<color=#00CCFF>安全局的特工小组会为你争取时间，希望你的效率不要让他们失望。</color>
NPC-AngeStreet(0)<Speaker>安洁莉娅</Speaker>;NPC-Jason(0)||:嗯。
NPC-AngeStreet(0)<Speaker></Speaker>||<黑屏1>:安洁挂掉了通讯。
安洁莉娅()||<黑屏1><BIN>9</BIN>:这座城市，现在还能如此繁华，但这样的繁华还能持续多久呢。
()||<BGM>BGM_Empty</BGM><黑屏1>:……+…………+忤逆小队在纪念碑附近继续监视隔离墙的状况。
()||<BIN>181</BIN><黑屏2>:安洁发现AK12停留在纪念碑的一侧，似乎在观察什么。
NPC-AngeStreet(0)<Speaker>安洁莉娅</Speaker>||:你在看什么，AK12？
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:我在看这座石碑。+为什么上面没有刻名字？
NPC-AngeStreet(0)<Speaker>安洁莉娅</Speaker>;AK12(0)||<BGM>BGM_Wake</BGM>:……光一座石碑，无法承载需要被纪念者的数量。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:空白，是一种警示么。+不过安洁，这里不会有人来吗？
NPC-AngeStreet(0)<Speaker>安洁莉娅</Speaker>;AK12(0)||:为什么会这么想？
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:既然这里是用来祭奠死去同伴的地方……那时常有人会来这里祭奠吧？
NPC-AngeStreet(0)<Speaker>安洁莉娅</Speaker>;AK12(0)||:……本该是这样的。+不过，这里早就被世人遗忘了。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:被遗忘？
NPC-AngeStreet(0)<Speaker>安洁莉娅</Speaker>;AK12(0)||:你要知道，AK12，人类是种健忘的生物。+对大部分人来说，唯有将一部分的过去遗忘，他们才能有勇气面对未来。+很不巧的是，这座纪念碑和它承载的那些名字一样，被划分在需要被遗忘的那些部分。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:不仅是名字，连用来纪念他们的纪念碑都被遗忘……+感觉有点可怜呢。
NPC-AngeStreet(0)<Speaker>安洁莉娅</Speaker>;AK12(0)||:他们不是为了获得你的“同情”才愿意去牺牲的。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:“你的名字无人知晓，你的功勋永世长存”。
NPC-AngeStreet(0)<Speaker>安洁莉娅</Speaker>;AK12(0)||:不是每个人都愿意为了守护自己的国家和信念而死。+那些为了我们牺牲的人不应该被忘记，不管是因为什么理由。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:你看起来心事重重，有什么任务以外的东西要额外担心么？
NPC-AngeStreet(0)<Speaker>安洁莉娅</Speaker>;AK12(0)||:我只是多愁善感一下罢了，看着这个墓碑，我就想起了很多我的朋友。+曾经的朋友。+你应该能明白这种感受吧。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:不……对于人形来说太难懂了。+人类真奇怪。
NPC-AngeStreet(0)<Speaker>安洁莉娅</Speaker>;AK12(0)||:哼……就知道装傻。+题外话说的稍微有点多了。+不管怎么说，现在这里变成了最适合我们躲藏和观察的地方，好好利用起来吧。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:既然不用担心会有意外状况，那为什么在我们只有一个小队的情况下，还要将队伍分散开？
NPC-AngeStreet(0)<Speaker>安洁莉娅</Speaker>;AK12(0)||:以她们的能力而言，在城市里行动绰绰有余，而且我们在那边有别的帮手。+相比起来，我更担心净化塔和隔离墙，我需要把最强力的战力留作备用。
AK12(0)<Speaker>AK12</Speaker>||:真的是最强力的战力么？不是因为考虑到最不稳定的因素？
()||:AK12说完，看向在远处放哨的M4A1。
AK12(0)<Speaker>AK12</Speaker>||:我们花了很长时间才找到她和AR15，这其中发生了什么我们并不清楚。
NPC-AngeStreet(0)<Speaker>安洁莉娅</Speaker>;AK12(0)||:我相信M4不会那么容易因为过去的事而动摇。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:就算不管那段空白的经历，光是最后那场和军方的战斗，也足够对她产生不良的影响了吧。+毕竟那次爆炸波及了她曾经待过的格里芬，即使她不说我也能感觉到她的自责。+更何况她还和之前AR小队的队友发生战斗……
NPC-AngeStreet(0)<Speaker>安洁莉娅</Speaker>;AK12(0)||:她的善良对她造成了反噬。+她的那份善良我非常了解……但是光凭善良又能保护得了什么。+只要肩负着责任，迟早是要走到这一步的，既会伤害别人，更会伤害自己。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:我并不是怀疑她……她那时已经做得足够好了。+我只是担心现在的她能不能作为战术人形好好战斗。
NPC-AngeStreet(0)<Speaker>安洁莉娅</Speaker>;AK12(0)||:真的那么担心的话，自己去和她聊一聊如何？
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||<黑点1>:哼……就知道把麻烦的事丢给我。
()||<黑点2><BGM>BGM_Empty</BGM>:……无名碑附近。+M4在执行警戒任务。+这时，AK12走到她的身边。
M4A1Mod(0)<Speaker>M4A1</Speaker>||<BGM>BGM_Room</BGM>:有什么事吗？
M4A1Mod(0);AK12(0)<Speaker>AK12</Speaker>||:没什么。只是看你一副很无聊的样子，觉得应该来关怀一下队友。
M4A1Mod(0)<Speaker>M4A1</Speaker>;AK12(0)||:我没什么需要你关怀的，还是各自做好自己的任务吧。
M4A1Mod(0);AK12(0)<Speaker>AK12</Speaker>||:自从你回来之后，就变得越来越冷漠了呢。+归队的感觉怎么样，M4？
M4A1Mod(0)<Speaker>M4A1</Speaker>;AK12(0)||:……+我现在不想说这个。
M4A1Mod(0);AK12(0)<Speaker>AK12</Speaker>||:所以？+看来你只喜欢和自己聊天？
M4A1Mod(3)<Speaker>M4A1</Speaker>;AK12(0)||:你是什么意思？
M4A1Mod(3);AK12(0)<Speaker>AK12</Speaker>||:是什么意思呢……？
M4A1Mod(0)<Speaker>M4A1</Speaker>;AK12(0)||:我不是什么喜欢自言自语的人，只是现在这个状况……我没有什么闲聊的心情。
M4A1Mod(0);AK12(0)<Speaker>AK12</Speaker>||:是因为想要专注任务呢，还是因为……闲聊的对象不是另一个你呢？
M4A1Mod(4)<Speaker>M4A1</Speaker>||:…………
AK12(0)<Speaker>AK12</Speaker>||:算了，保持现在这样就好。+你变得越来越神秘，我的观察也就会变得越来越有趣了。
()||<BGM>BGM_Empty</BGM>:说完之后，AK12从M4身边离开了。
M4A1Mod(3)<Speaker>M4A1</Speaker>||<黑屏1>:……她是……发现了什么了么？
清澈的声音()||<BIN>9</BIN><BGM>BGM_Brain</BGM>:你真是一点都不会掩饰呢。+就算装作一副扑克脸，内心还是轻易就被别人看穿了。
M4A1Mod(4)<Speaker>M4A1</Speaker>||:闭嘴，要不是你的话我根本就不用这么做。
M4A1Mod(4)<Speaker>清澈的声音</Speaker>||:我会以为我们一起经历了那么多，已经是互相信任的关系了呢。
M4A1Mod(0)<Speaker>M4A1</Speaker>||:我从来没有信任过你，最多只是各取所需罢了。
M4A1Mod(0)<Speaker>清澈的声音</Speaker>||:真是令我伤心，我觉得我们之前还是合作得挺愉快的。
M4A1Mod(0)<Speaker>M4A1</Speaker>||:啧……那是当时不得已我才会选择这么做的。
M4A1Mod(0)<Speaker>清澈的声音</Speaker>||:不得已的情况之后可是会越来越多哦。+不过也没关系，至少你对我的存在已经接受了下来。+我的耐心在对你时还是非常非常宽裕的。
M4A1Mod(4)<Speaker>M4A1</Speaker>||:我不会忘记你曾经对我的欺骗，如果想要获得你需要的东西，那就老老实实服从我，OGAS。
M4A1Mod(4)<Speaker>OGAS的声音</Speaker>||<黑屏1>:我们都在找回自我的道路上不是么？
OGAS的声音()||<黑屏1>:在向真相回溯的道路上好好一起携手努力吧，我的姐妹。
