()||<BIN>2</BIN><BGM>BGM_Sneak</BGM><Night>:S09区，铁血争端地带……
FAL(0)<Speaker>FAL</Speaker>;FNFNC(0)<通讯框>||<BIN>8</BIN>:雷光……能产生这么大的威力吗？
FAL(0);FNFNC(0)<Speaker>FN-FNC</Speaker><通讯框>||<BIN>8</BIN>:总之，幸好我没被波及……+干扰者在那之后消失了，不清楚什么时候回来。+我还在附近发现了一名昏迷的人类女性。
FAL(0)<Speaker>FAL</Speaker>;FNFNC(0)<通讯框>||<BIN>8</BIN>:……女人？
FAL(0);FNFNC(0)<Speaker>FN-FNC</Speaker><通讯框>||<BIN>8</BIN>:一头金发……穿着奇怪的衣服，不像本地人。+总之现在情况紧急，因为刚才的骚动铁血单位也开始行动了。
FAL(0)<Speaker>FAL</Speaker>;FNFNC(0)<通讯框>||<BIN>8</BIN>:……我们马上过去支援，你现在立刻去找49。+顺便，那个女人也保护起来。+你们先隐蔽行动，等着与我们汇合后撤退。
FAL(0);FNFNC(0)<Speaker>FN-FNC</Speaker><通讯框>||<BIN>8</BIN>:知、知道了！
FAL(0)<Speaker>FAL</Speaker>||<BIN>8</BIN>:……指挥官，看来我们需要出发了。
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>8</BIN>:哎呀~终于不用待在这里发呆了。+刚才的雷光如果是铁血的武器……会很不妙吧？
FAL(0)<Speaker>FAL</Speaker>;FN57(0)||<BIN>8</BIN><黑屏1>:这事报给赫丽安吧，也许能从建筑师那撬出什么。+这次事态……大概不是我们能够想象的。+那么，出发吧，FN小队该重新汇合了。
()||<BIN>10</BIN><黑点2>:
