()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Truth</BGM>:
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>;NPC-Havel(1)||:那真是谢谢夸奖了……
NPC-AngeDamage(0);NPC-Persica(3)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>别着急安洁，哈维尔刚才一直在协调支援，你听他说完吧？</color>
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>;NPC-Persica(3)||:好吧……咳咳……姑且……
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>哈维尔</Speaker><通讯框>||:<color=#00CCFF>抱歉，说正事吧，我会尝试和你们的局长泽林斯基进行联系的。</color>+<color=#00CCFF>不过我想你也猜得到，让他们直接派遣支援是不太可能的，你也是明白这一点所以才没找他联系，对吧？</color>
NPC-AngeDamage(2)<Speaker>安洁莉娅</Speaker>;NPC-Havel(1)||:的确不能指望他们，特别是脏弹爆炸后，局长已经和我是对立面了……
NPC-AngeDamage(2);NPC-Havel(1)<Speaker>哈维尔</Speaker>||:<color=#00CCFF>不过我会想办法让他无法阻挠我们的，所以我和帕斯卡已经在为你提供解决方案了。</color>+<color=#00CCFF>与其依赖别人，不如自己想办法解决，来解释一下吧，帕斯卡。</color>
NPC-AngeDamage(0);NPC-Persica(3)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>抱歉安洁，之前你说人形的武装无法面对军方时我就在想……</color>+<color=#00CCFF>你还记得之前格里芬的指挥官俘获了一个铁血头目吗？</color>
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>;NPC-Persica(3)||:你是说……那个……叫“建筑师”的人形？
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>哈维尔</Speaker><通讯框>||:<color=#00CCFF>看来你的记性不错，她是个很好的技术样本，也很配合我们。</color>+<color=#00CCFF>帕斯卡从它和它的武器身上采集了很多数据，然后做了些新玩意。</color>
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>;NPC-Havel(1)||:你们居然用敌人的素体开发武器？
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>哈维尔</Speaker>||:<color=#00CCFF>我们可从没跟它说谢谢。</color>+<color=#00CCFF>帕斯卡之前就一直在对它做相应的研究，理论上可以为人形装配部分重型火力，很强大，当然，研发代价的也很大，让多个人形合作操纵复杂武器的AI可不便宜。</color>
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>;NPC-Havel(1)||:操纵重型火力？这已经违背了私人安全承包商的武器条款了吧？
NPC-AngeDamage(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||:<color=#00CCFF>昂贵、危险、又违法。这种东西根本没法卖，理论上作为投资人的我应该阻止帕斯卡投入资源去研究。</color>
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>;NPC-Havel(0)||:不过以你的个性就是喜欢这种危险的东西……
NPC-AngeDamage(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||:<color=#00CCFF>“不刺激的武器没有价值”！你要感谢我的个性，因为我的个性也许你还能得救。</color>
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>;NPC-Havel(0)||:咳咳……我万分感激……+不过有一件事你搞错了，哈维尔，我逃出去的可能性微乎其微。+我要你提供支援的，是格里芬的指挥官，把你们那些昂贵、危险、又违法的玩意交给他，也许格里芬的部队还可以突围……
NPC-AngeDamage(0);NPC-Persica(1)<Speaker>帕斯卡</Speaker><通讯框>||: <color=#00CCFF>什么？但是现在最需要支援的是你……！</color>
NPC-AngeDamage(2)<Speaker>安洁莉娅</Speaker>;NPC-Persica(1)||:我？我现在能做什么……？我在辐射区的中心苟延残喘，没法去追捕主脑，手里也没有人形可以抵御军方……+就算派什么重型火力过来也就只能对抗一些低辐射感染者，但是这毫无意义……哈维尔，你一定不会把钱投在没有回报的地方吧？
NPC-AngeDamage(2);NPC-Havel(1)<Speaker>哈维尔</Speaker><通讯框>||:<color=#00CCFF>……</color>
NPC-AngeDamage(2);NPC-Persica(3)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>但是……</color>
NPC-AngeDamage(3)<Speaker>安洁莉娅</Speaker>;NPC-Persica(3)||:我说的事实，你知道我一向是按照结果导向来做计划。
NPC-AngeDamage(3);NPC-Havel(1)<Speaker>哈维尔</Speaker><通讯框>||:<color=#00CCFF>你确定？你真的觉得这名指挥官值得用你的性命来交换？</color>
NPC-AngeDamage(3)<Speaker>安洁莉娅</Speaker>;NPC-Havel(1)||:这不是交换，是取舍……而且我可还没准备放弃自己……+只是我现在的状态很难进行指挥，交给那位指挥官也许还有一线生机。+而且那位指挥官在对抗军方时已经证明了自己的能力，如果忤逆还需要支援，指挥官是不会袖手旁观的……+而且就算任务失败了……至少格里芬还能继续存在下去。
NPC-AngeDamage(3);NPC-Havel(1)<Speaker>哈维尔</Speaker>||:<color=#00CCFF>为了格里芬，我应该很感动吗？</color>
NPC-AngeDamage(2)<Speaker>安洁莉娅</Speaker>;NPC-Havel(1)||:毕竟我也在那里待过，我喜欢那里……+快点吧，再拖延下去，连格里芬都无法挽回了。
NPC-AngeDamage(2);NPC-Havel(1)<Speaker></Speaker>||:……通讯器对面的哈维尔长长地叹了口气。
NPC-AngeDamage(2);NPC-Havel(1)<Speaker>哈维尔</Speaker>||:<color=#00CCFF>你知道我不会放弃你的，不过我也理解你的决定。</color>+<color=#00CCFF>我知道你说的是哪位指挥官，但是我不知道坐标。</color>
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>;NPC-Havel(1)||:如果格里芬没有移位的话，指挥官的位置应该还在临时指挥部。+那个位置离爆炸中心点还有一些距离，格里芬部队应该还有一些存活的人形和雇员，除了火力的支援外，我希望你还能想办法帮他们撤离……
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>哈维尔</Speaker>||:<color=#00CCFF>虽然你这么说，但现在除了有卫星通讯的你以外，我们并不能联系上指挥官。</color>
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>;NPC-Havel(1)||:我会想办法找个基站建立通讯通道……不过我不知道我能不能做到……
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>哈维尔</Speaker>||:<color=#00CCFF>希望你能尽快，那样的话没准你受到的感染还可以被治疗。</color>+<color=#00CCFF>我会离开一会儿去协调运输机通行的权限，祝你能活到那个时候吧。</color>
NPC-AngeDamage(0)<Speaker></Speaker>||:哈维尔离开了通讯。
NPC-AngeDamage(0);NPC-Persica(3)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>既然你知道格里芬的坐标，如果你能撤离到他们控制的区域………</color>
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>;NPC-Persica(3)||:我明白，最后的机会。先按我说的做吧……我会努力往那边靠拢的……+有感染者向我的位置靠拢了，我必须移动了，一会儿再聊。
NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:<color=#00CCFF>安洁，等等，我们会努力——</color>
()<Speaker></Speaker>||:……安洁关闭了通讯。
NPC-AngeDamage(2)<Speaker>安洁莉娅</Speaker>||:如果你看到我的这张脸，你就知道没什么好努力的了。+当然，也许很快我连这张脸都不会剩下了……
NPC-AngeDamage(2)<Speaker></Speaker>||:……安洁靠着墙，叹了口气。
NPC-AngeDamage(2)<Speaker>安洁莉娅</Speaker>||:麻烦透了……真是一步都不想再动了……
()<Speaker></Speaker>||:……脚步声和嚎叫声愈发靠近。
NPC-AngeDamage(3)<Speaker>安洁莉娅</Speaker>||<黑屏1>:啧，它们察觉到我了……+虽然也许活不了多久了……不过死在这里也未免太难看了……+再走出一点点试试看吧，安洁……
()<Speaker></Speaker>||<BIN>157</BIN><黑点2><BGM>BGM_Empty</BGM>:……安洁逃到下一个掩体中，怪物的嚎叫声却一直紧随着自己。
NPC-AngeDamage(3)<Speaker>安洁莉娅</Speaker>||<BGM>BGM_Sad</BGM>:体力快到极限了……+身体终于快支撑不住了吗……
()<Speaker>？？</Speaker>||<震屏>:呃啊啊啊啊——
NPC-AngeDamage(3)<Speaker>安洁莉娅</Speaker>||:在哪里……+声音越来越近了……+到底在哪里！
NPC-AngeDamage(3)<Speaker>安洁莉娅</Speaker><Shake>||:……！！+在后面！
()<Speaker></Speaker>||<SE2>MachineGunBurst</SE2>:……安洁一转身，用手枪击中了那个怪物！+……但是！
()<Speaker>？？</Speaker>||<震屏>:呃啊啊啊啊——！！
NPC-AngeDamage(3)<Speaker>安洁莉娅</Speaker>||:死不掉吗？+不愧是——！
NPC-AngeDamage(3)<Speaker>安洁莉娅</Speaker>||<震屏><SE2>MachineGunBurst</SE2>:E！
NPC-AngeDamage(3)<Speaker>安洁莉娅</Speaker>||<震屏><SE2>MachineGunBurst</SE2>:L！
NPC-AngeDamage(3)<Speaker>安洁莉娅</Speaker>||<震屏><SE2>MachineGunBurst</SE2>:I！
NPC-AngeDamage(3)<Speaker>安洁莉娅</Speaker>||<震屏><SE2>MachineGunBurst</SE2>:D！
NPC-AngeDamage(3)<Speaker>安洁莉娅</Speaker>||<震屏><SE2>MachineGunBurst</SE2>:感！染！者！
()<Speaker></Speaker>||:……
()<Speaker></Speaker>||<震屏>:……那个怪物倒地了。
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>||:哈……！+哈……！+咳咳……+结果……还是能杀死的啊。
()<Speaker>感染者</Speaker>||<震屏>:呃啊啊啊啊啊——！！
()<Speaker></Speaker>||:……更多的感染者从掩体外匍匐涌来！
NPC-AngeDamage(3)<Speaker>安洁莉娅</Speaker>||:被枪声吸引来的吗？
()<Speaker></Speaker>||:……安洁扣了扣扳机，已经没有子弹了。
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>||:我就知道……
()<Speaker></Speaker>||:……安洁把武器丢在地上，摊开双手。
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>||:就在这里吧，最好没人发现我。
()<Speaker>感染者</Speaker>||<震屏>:呃啊啊啊啊啊——！！
()<Speaker>？？</Speaker>||<BGM>BGM_Empty</BGM>:哎呀……已经连遗言都想好了吗？
()<Speaker>？？</Speaker>||:抱歉，我们来早了。
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>||<黑屏1><CGDelay>0.4</CGDelay>:你们啊……
()<Speaker>安洁莉娅</Speaker>||<BIN>9</BIN><黑屏2>:趁我还有力气反悔，快点搞定。
()<Speaker></Speaker>||<SE2>Gunfight</SE2><黑屏1>:……
()<Speaker></Speaker>||<BIN>157</BIN><BGM>BGM_Sneak</BGM><黑屏2>:……
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>||:你们是怎么找到我的……
NPC-AngeDamage(0);AK12(0)<Speaker>AK12</Speaker>||:不是你一直在呼叫我们吗，虽然没法进行通讯，但还是可以锁定你的位置。+本来以为你已经快不行了，没想到跑得还挺快，我们不得不一边消灭这些玩意一边追赶你。
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>;AK12(0)||:啧，果然刚才不想动的直觉是正确的。
AK12(0)<Speaker>AK12</Speaker>||:没想到这些东西是真的呢，我还以为有些训练永远都派不上用场。
AK12(0)<Speaker></Speaker>||:……AK12用脚戳翻一具感染者的尸体。
AK12(0)<Speaker>AK12</Speaker>||:不过，只是些恶心又无能的怪物而已。
AN94(0)<Speaker>AN94</Speaker>||:这就是广域性低辐射感染者……
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>||:一般我们称他们为ELID，第一次真正见到吧？三战后确实很少见了。+耐受度差的普通人被辐射后会直接致死，身体好一些的感染加剧后就会变异成这幅样子，肉体硅化，失去理智，在真正死亡前充满攻击性。+你们得感谢爆炸没经过多久，在辐射区内待得越久，那些人类就会变得越可怕。
AK12(0)<Speaker>AK12</Speaker>||:那些感染者，是被M4A1引爆的那些坍塌液脏弹波及的军方士兵吗？
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>||:是的，现在时间还比较短，只有处在引爆核心区域的人会受到影响而变异。+但是污染正在扩散，来不及撤出的人类也会加入它们……+……比如我。
AN94(0)<Speaker>AN94</Speaker>||:暂时不会，我正在给你做一些简单的治疗，你要撑住。
AK12(0)<Speaker></Speaker>||:……AK12捡起地上的武器。
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>;AK12(0)||:那个已经没弹药了。
NPC-AngeDamage(0);AK12(0)<Speaker>AK12</Speaker>||:至少让我认出这具尸体是你啊。
NPC-AngeDamage(0)<Speaker></Speaker>||:……安洁忍着疼痛笑了笑，接过武器。
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>||:咳……用枪来识别尸体效率也未免太低了。
NPC-AngeDamage(0);AN94(0)<Speaker>AN94</Speaker>||:别动，安洁，消毒还没结束。
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>;AN94(0)||:没什么用的，咳咳……这可是坍塌辐射……皮肤表面会溃烂然后硅化，消毒派不上什么用处……+身体的肌肉和血管也会逐渐硬化……你们人形想象不出这有多痛苦……+能撑到你们出现就很走运了，我以为你们会跟着M4A1……
NPC-AngeDamage(0);AN94(0)<Speaker>AN94</Speaker>||:M4A1去追主脑了，她被带上了军方的洲际列车。
NPC-AngeDamage(0);AK12(0)<Speaker>AK12</Speaker>||:AR15跟过去了，我们拦不住她。
NPC-AngeDamage(3)<Speaker>安洁莉娅</Speaker>;AK12(0)||:那你们应该也跟上，我说过那是任务。
NPC-AngeDamage(3);AN94(0)<Speaker>AN94</Speaker>||:我们当时负责掩护她们上车，车已经开走了，接下来的事我们无能为力。+我们的任务已经完成了，现在重要的是你。
NPC-AngeDamage(3)<Speaker>安洁莉娅</Speaker>;AN94(0)||:我？抛下我也许你们还有希望，带上通讯器和帕斯卡建立通讯，然后听她的指挥撤离。
NPC-AngeDamage(3);AK12(4)<Speaker>AK12</Speaker>||:你要放弃了？安洁，你什么时候变得那么悲观了？
NPC-AngeDamage(3)<Speaker>安洁莉娅</Speaker>;AK12(4)||:你有信心一只手扶着我一只手向敌人射击？+除了要对付这些丧尸片演员，还有军方，他们不会因为一个炸弹而完全瘫痪。+如果叶戈尔还活着，那他只剩下一个目的，就是报复，或者说得更直白一些，那就是干掉我们……
NPC-AngeDamage(3);AN94(0)<Speaker>AN94</Speaker>||:那我们就撤离，离开这里。+也许沿路有些格里芬傀儡为我们重启使用，我们能撑过去。
NPC-AngeDamage(2)<Speaker>安洁莉娅</Speaker>||:污染区的所有讯号都收到严重干扰，通讯和定位设备都坏了，我也不知道该去哪儿。+就这样吧……我累了……想睡一会……
AK12(3)<Speaker>AK12</Speaker>||:安洁！
()<Speaker></Speaker>||<震屏>:啪！+AK12上去狠狠地打了安洁一个耳光。
AK12(3)<Speaker>AK12</Speaker>||:刚才你让我们带上卫星通讯和帕斯卡建立联系，这说明我们的后方已经有计划了，只要想办法离开污染区就可以执行撤离，我说的没错吧。
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>||:…………
AK12(3)<Speaker>AK12</Speaker>||:我知道你现在很痛苦，不过就这么随便放弃一点都不像你的作风。+我还记得你承诺的回去要请我们喝一杯。如果你这么想解脱，那不如我来帮你一把，这样你也可以死得轻松一点。
()<Speaker></Speaker>||<SE1>Select</SE1>:AK12将枪指向安洁的头部。
AN94(2)<Speaker>AN94</Speaker>||:12……这样不行……！
()<Speaker></Speaker>||:空气像凝固了一样，就这么对峙了好几秒钟。
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker><Shake>||:哼……哼……+哈哈哈哈哈……+
NPC-AngeDamage(3)<Speaker>安洁莉娅</Speaker><Shake>||:啊痛痛痛……+该死，不应该这么笑的……
AK12(3)<Speaker></Speaker>||:AK12举枪的手有一些颤抖。
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>||:光是拒绝我的指令，就已经快令你的心智模块过载了吧，要是在这里就融毁了，可没人能带我出去了。
NPC-AngeDamage(0);AK12(4)<Speaker>AK12</Speaker>||:看来对付你，光用虚张声势是行不通的。
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>;AK12(4)||:敌我判断的指令可是我亲自输入的，不如说，你还真有胆量敢这么做。
NPC-AngeDamage(0);AK12(4)<Speaker>AK12</Speaker>||:“忤逆”这个名字，不就是这个意思吗？你知道我们和你之前的人形部下不一样。
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>;AK12(4)||:哼……多谢提醒，我差点忘了这种一点都不重要的事了。+AN94，停止治疗，我们立刻出发。
NPC-AngeDamage(0);AN94(4)<Speaker>AN94</Speaker>||:可是感染的地方还没有完全包扎好……
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>;AN94(4)||:不必了，反正包扎了也没有什么用，不如先行动起来。
NPC-AngeDamage(0);AK12(0)<Speaker>AK12</Speaker>||:不和往常一样，先信心满满地告诉我们接下来的计划吗？
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>;AK12(0)||:计划？计划就是我们朝北直线移动，能走多远就走多远。
NPC-AngeDamage(0);AK12(0)<Speaker>AK12</Speaker>||:为什么是朝北？而且你确定要直线移动吗？外面还有很多感染者，走规避路线会比较安全吧。
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>;AK12(0)||:现在唯一可能还存在的安全区域就在北面，我们人类在小时候会学到直线的速度比较快，所以现在是赌一把的时候了。
AK12(2)<Speaker>AK12</Speaker>||:你说了算。94，附近有大约20个感染者，做好战斗准备。+我会负责突击清理道路，你带着安洁进行移动，一步都不要离开她。
AN94(0)<Speaker>AN94</Speaker>||:明白，我会做好护卫的。
AK12(2)<Speaker>AK12</Speaker>||<黑屏1>:那就开始行动！
()||<BIN>10</BIN><黑点2>:
