帕斯卡()<Speaker>帕斯卡</Speaker>||<BIN>9</BIN><BGM>BGM_Room</BGM><黑屏2>:你真的……现在就要出发吗？
NPC-Persica(0);NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:即使不看监控文件，我想你也已经猜到发生什么了吧。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||:…………+即使如此……我也要亲眼确认……+你一定明白我的感受。
NPC-Persica(0);NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:呿……+好吧，不过丑话说在前头，价格可不会打折的，毕竟我们也是要吃饭的。
NPC-Persica(2)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||:只要能把文档拿到手，你随便开价。+另外……还有件事，也许该和你说。
NPC-Persica(0);NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:那就别说了，一定不是好事。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||:她还是走了，我拦不住她。
NPC-Persica(0);NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:哈……我就知道。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||:这是我的另一个订单。+M4，还有AR小队，她们的安全……
NPC-Persica(0);NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:这可比上个任务困难多了。+你知道吧，她们现在已经在军事行动范围内了，有点超出我的能力范畴了。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||:我知道……但是现在也只有你能保护她们了。+毕竟你和她们……
NPC-Persica(0);NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:别再提了，我早就忘掉了……+那你就准备好搬家吧，这次你可是下了个大订单呢。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||:谢谢，没关系……毕竟我也只有你可以依赖了……
NPC-Persica(0);NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:帕斯卡，你……
NPC-Persica(2)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||:但是如果你失败了，我是连一个子都不会给你的哦。
NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||<震屏>:你这家伙！+如果我以后退休了，宠物绝对是不会养猫的！再见！
()||:……安洁莉娅狠狠挂断了通讯。
NPC-Persica(2)<Speaker>帕斯卡</Speaker>||<黑屏1>:知道吗，安洁莉娅。+养猫的人一开始都这么说。
()||<黑屏2><BGM>BGM_Empty</BGM><BIN>9</BIN>:……三小时后。
无线电()<Speaker>无线电</Speaker>||<BGM>BGM_Sneak</BGM>:空域193x432-1单位，这里是临时空管塔，表现你的身份。
驾驶员()<Speaker>驾驶员</Speaker>||:这里是IOP公司所属运输直升机，登记编号xed900002。+我们已经申请过前方空域的通过权。
无线电()<Speaker>无线电</Speaker>||:空域193x432-1单位，在空中待命，我们正在审核你的飞行路径。
驾驶员()<Speaker>驾驶员</Speaker>||:收到，正在盘旋。
M4A1()<Speaker>M4A1</Speaker>||:怎么了？
驾驶员()<Speaker>驾驶员</Speaker>||:很奇怪，这条路线以前是没有那么多空管的。
无线电()<Speaker>无线电</Speaker>||:空域193x432-1单位，你要前往的空域已经被划入军事禁区，无授权单位禁止进入，请立即离开。
驾驶员()<Speaker>驾驶员</Speaker>||:收到，开始离开。
M4A1()<Speaker>M4A1</Speaker>||:我们不能到目的地了吗？
驾驶员()<Speaker>驾驶员</Speaker>||:空域被封锁了，现在只能返航了。
M4A1()<Speaker>M4A1</Speaker>||:地面也被封锁了？
驾驶员()<Speaker>驾驶员</Speaker>||:这就不清楚了，但如果是军事禁区，那天上地下都一样。
M4A1()<Speaker>M4A1</Speaker>||<黑屏1>:在附近降落吧，我从地面试试。
()||<BIN>4</BIN><黑屏2>:……15分钟后。
M4A1(0)<Speaker>M4A1</Speaker>||:虽然到了地面，但是道路也被封锁了。+这里原本是格里芬的管理区，但是指挥官一直联系不上……+看来只能碰碰运气了。
M4A1(0)<Speaker>人类士兵</Speaker>||:停下！这里禁止入内！
M4A1(2)<Speaker>M4A1</Speaker>||:我是S09辖区格里芬特别执行战术人形，现在要归队执行任务。+这里是我的识别码。
M4A1(2)<Speaker>人类士兵</Speaker>||:格里芬的战术人形？+前方是本次联合行动的限制区域，格里芬的人形进入需要登记的指挥官授权。
M4A1(2)<Speaker>M4A1</Speaker>||:我……是从其他地方赶来的，还没遇到我的指挥官。
M4A1(2)<Speaker>人类士兵</Speaker>||:那就先去联系你的主人吧，人偶小姐。+不过我建议你早点放弃，你这样单薄瘦小的人形进去也帮不了什么忙，更何况拿着那种武器。
M4A1(2)<Speaker>M4A1</Speaker>||:…………
NPC-Ange(0)<Speaker>？？？</Speaker>||:这个瘦小的人偶能瞬间掰断你的脊梁骨，所以我建议你最好说话小心点。
NPC-Ange(0)<Speaker>人类士兵</Speaker>||:你是什么人？
NPC-Ange(0)<Speaker>成熟的人类女性</Speaker>||:十七混合侦查旅二级上尉，这是我的证件，我可以进去吗？
NPC-Ange(0)<Speaker>人类士兵</Speaker>||:是！请进，长官！
NPC-Ange(0)<Speaker>成熟的人类女性</Speaker>||:这个人形是我的辅佐官，她也要和我一起进去。
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:——？？
NPC-Ange(0);M4A1(0)||:
人类士兵()<Speaker>人类士兵</Speaker>||:是！但是刚才她不是说自己是格里芬……
NPC-Ange(0)<Speaker>成熟的人类女性</Speaker>;M4A1(0)||:从现在起她被征用了。
NPC-Ange(0);M4A1(0)||:
人类士兵()<Speaker>人类士兵</Speaker>||:是！认证已通过，请进！
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||<黑屏1>:……
()||<黑屏2><BGM>BGM_Empty</BGM><BIN>9</BIN><黑屏1>:……M4A1和那个女人一起进入了限制区。
M4A1(0)<Speaker>M4A1</Speaker>||<黑屏2><BIN>83</BIN><BGM>BGM_Room</BGM>:安洁莉娅小姐。
NPC-Ange(0)<Speaker>安洁莉娅</Speaker>;M4A1(0)||:你看到证件上的名字了？
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:我看到了，但是我不能当你的辅佐官。+我要去找我自己的指挥官。
NPC-Ange(0)<Speaker></Speaker>;M4A1(0)||:……安洁莉娅笑了笑。
NPC-Ange(0)<Speaker>安洁莉娅</Speaker>;M4A1(0)||:我猜你是不是心里想着要我夸奖你的诚实？
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:我只是实话实说……
NPC-Ange(0)<Speaker>安洁莉娅</Speaker>;M4A1(0)||:我知道。+不过你知道去哪儿找你的指挥官吗？+你的指挥官现在在最前线，所有情报全被军方加密了，以你目前的权限很难找到什么。
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:这里是格里芬的辖区，我总有办法。
NPC-Ange(0)<Speaker>安洁莉娅</Speaker>;M4A1(0)||:只是曾经是。+你现在就是只刚刚挣脱牢笼的小鸟，只会到处乱撞。+看到前面的烟雾了吗？铁血刚刚又破坏了一支补给小队。+这里可是真正的战场，一两个“胡峰”“猎鸥”，甚至是几头“兵蚁”都可能要你的命。
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:那你为什么要带我进来？
NPC-Ange(0)<Speaker>安洁莉娅</Speaker>;M4A1(0)||:有人付钱让我帮助你，哪怕是你想送死我也要满足你。
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:帕斯卡小姐？
NPC-Ange(0)<Speaker>安洁莉娅</Speaker>;M4A1(0)||:你很聪明。
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:可是，我没从帕斯卡小姐那里听说过你，你到底是谁？
NPC-Ange(0)<Speaker>安洁莉娅</Speaker>;M4A1(0)||:我嘛……
NPC-Ange(0)<Speaker></Speaker>;M4A1(0)||:……安洁仔细看了M4A1一眼。
NPC-Ange(0)<Speaker>安洁莉娅</Speaker>;M4A1(0)||:我只是个这年头随处可见的佣兵而已，拿钱办事，没什么特别的。
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:那……刚才的证件是假的？
NPC-Ange(0)<Speaker>安洁莉娅</Speaker>;M4A1(0)||:军队的封锁能力还是不差的，但我毕竟是这方面的专家。+不过放心吧，我这次是来帮你们的，用我自己的方式……还有其它问题吗？
NPC-Ange(0);M4A1(0)<Speaker></Speaker>||:……M4A1沉默了一会儿。
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:请告诉我接下来该怎么做。
NPC-Ange(0)<Speaker>安洁莉娅</Speaker>;M4A1(0)||:嗯？
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:你刚才不是说，帕斯卡小姐让你来帮助我吗。+我……不知道接下来该怎么办……
NPC-Ange(0)<Speaker>安洁莉娅</Speaker>;M4A1(0)||:你什么都没准备，就一个人莽莽撞撞地往军事区里冲吗？
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:我只是有这样的冲动，我想回到我的小队……回到我的朋友身边，然后找铁血的主脑算账。+但是怎么才能做到，我并不知道……+我不知道自己出了什么问题，这根本不合理……
NPC-Ange(0)<Speaker>安洁莉娅</Speaker>;M4A1(0)||:你想变得更坚强，但你的本质并非如此，所以这对你来说的确太难了。
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:我……
NPC-Ange(0)<Speaker>安洁莉娅</Speaker>;M4A1(0)||:前面有个小据点，在里面等着。
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:什么？
NPC-Ange(0)<Speaker>安洁莉娅</Speaker>;M4A1(0)||:你的指挥官会来接应你的，我会帮你搞定，相信我。
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:真的……可以吗？
NPC-Ange(0)<Speaker>安洁莉娅</Speaker>;M4A1(0)||:嗯。+虽然不是我想这么做的，不过我会再一次让你坚强起来的。
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:再一次？
NPC-Ange(0)<Speaker>安洁莉娅</Speaker>;M4A1(0)||:你来到了这里，说明你已经选择了自己的道路。+你做出了自己的选择，那么答案显而易见。
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:但那个答案不是出于命令，所以我无法判断那是不是正确的……
NPC-Ange(0)<Speaker>安洁莉娅</Speaker>;M4A1(0)||:人形原本就设计成如此，但你不一样，你是特殊的。+选择就意味着痛苦，因为你要自己承担由选择带来的结果。+但是只有这样才会变得强大，然后你才能决定自己的命运。
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:自己的命运……
NPC-Ange(0)<Speaker>安洁莉娅</Speaker>;M4A1(0)||:你接受的训练不就是为了这一天吗，AR小队的M4A1？
M4A1(0)<Speaker></Speaker>||<黑屏1>:……安洁莉娅摆了摆手，然后走掉了。
安洁莉娅()<Speaker>安洁莉娅</Speaker>||<黑屏2><BIN>9</BIN>:你已经变了，和那时相比……+继续去改变点什么吧。+（只有这样，你才能成为唯一的希望，让他们无法得逞的希望……）
()||<黑屏1><BGM>BGM_Empty</BGM>:…………
()||<BIN>8</BIN><BGM>BGM_Sunshine</BGM><黑屏2>:……同一时间，S11区，格里芬指挥据点。
NPC-Kalin(0)<Speaker>格琳</Speaker>||:指挥官，我们的后勤物资已经顺利抵达基地了！接下来只剩下军方的命令啦！+诶？我吵到您了吗？+抱歉抱歉，毕竟这么重大的行动，难免有点激动嘛！再说您不是也很紧张吗，难得见你上午起来这么早！+……是呢，突然接到这样的命令，无论如何也平静不下来啊。+终于……要和铁血主脑进行决战了。+虽然交火了这么久，但这个时候真的来临时，反而有点措手不及呢。+而且这是格里芬头一次与军方联合行动，不知道能不能顺利呢……+……诶？我的话有点多？指挥官！你怎么能这样说你的副官呢！+总之！想再多也没用，只要跟随军方的命令行动就好了吧！+指挥官，准备在前线放手战斗吧！我会成为您最得力的后援的！
NPC-Kalin(0)<Speaker></Speaker>||:……指挥室传来通讯请求。
NPC-Kalin(0)<Speaker>格琳</Speaker>||:来了来了！一定是军方的命令！
NPC-Kalin(0);NPC-Helian(0)<Speaker></Speaker><通讯框>||:……滴。
NPC-Kalin(0);NPC-Helian(0)<Speaker>赫丽安</Speaker><通讯框>||:格琳，你也在这里，正好。
NPC-Kalin(3)<Speaker>格琳</Speaker>);NPC-Helian(0)||:什么啊……是赫丽安小姐啊……
NPC-Kalin(3);NPC-Helian(0)<Speaker>赫丽安</Speaker>||:你这失望的表情是怎么回事……+指挥官，你的梯队已经先行抵达了作战区域，但是其他指挥官还在后方，所以我这里有项重要任务交给你们。
NPC-Kalin(2)<Speaker>格琳</Speaker>);NPC-Helian(0)||:哦哦！这次果然是全体出动吧！
NPC-Kalin(2);NPC-Helian(0)<Speaker>赫丽安</Speaker>||<黑点1>:五分钟前，铁血从多个据点发起突袭，对我们的补给线造成了损失。+这几个据点已经被我们的侦察梯队标记在了地图上，为了保证后续输送的通畅，我需要你们立刻清除它们。
NPC-Kalin(0)<Speaker>格琳</Speaker><通讯框>||<BIN>10</BIN><BGM>BGM_War</BGM><黑点2>:就是这里的铁血据点吗？
NPC-Kalin(0);NPC-Helian(0)<Speaker>赫丽安</Speaker><通讯框>||:是的，这次行动事关重大，绝对不能马虎，尤其这里是铁血的腹地。+所以这项任务就交给你们了，可以吗？+……很好，指挥官，你一直是我们最放心的人选，祝你顺利。
NPC-Kalin(0)<Speaker>格琳</Speaker>;NPC-Helian(0)||<黑点1>:这算是大战之前的热身吗？我们快上吧，指挥官！
()||<黑点2>:
