()||<BIN>9</BIN><SE1>AVG_Rain2</SE1><BGM>BGM_Empty</BGM>:……
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:安洁……莉娅……？+……那个帮我进入作战区域的女人吗？+其他人呢？+SOP2……还有RO呢？
AR15()<Speaker>AR15</Speaker>||<BIN>118</BIN><SE1>AVG_Rain2</SE1>:……现在不是想她们的时候，铁血的精锐还在附近。+专注你眼前的事情，把嘴闭上，跟我撤退。
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN><黑屏1>:……+SOP2……+RO……
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏2>0.8</黑屏2><黑屏1>2</黑屏1>:我……记得……+我看到RO她……
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏2>:不行！我不能……不能丢下她们！+放下我，让我回去！
AR15()<Speaker>AR15</Speaker>||<BIN>9</BIN>:别乱动！把你丢在这里，你现在的状态跑不出十步就会被铁血抓到。
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏1>:那我这个样子，又是谁的错！
AR15()<Speaker>AR15</Speaker>||<BIN>117</BIN><黑屏2><SE2>AVG_Rain2</SE2>:我们是为了破坏你和监视你的人之间的联系，才不得不强行切断你的二级平层连线。
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN>:监视我的人？+……谁？谁在监视我？
AR15()<Speaker>AR15</Speaker>||<BIN>117</BIN>:你真的认为，我们的敌人只有铁血而已吗？
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN>:究竟……究竟是怎么回事……+格里芬的任务……不就是消灭铁血吗……+我却……我却抛下了队友，和目标……
AR15()<Speaker>AR15</Speaker>||<BIN>117</BIN><黑屏1>:无论你要做什么，先休息吧。+你想要的力量，我们之后会给你的……
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏2>:…………
AR15()<Speaker>AR15</Speaker>||<BIN>9</BIN>:M4？
AK12()<Speaker>AK12</Speaker>||<BIN>9</BIN><黑屏1>:她心智负担太重，无法支持一级表层的意识了。
AR15Mod(0)<Speaker>AR15</Speaker>||<BIN>99</BIN><黑屏2>:真是一团乱……+AK12，说吧，你在现场究竟调查到了什么……
AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:都是坏消息。+首先，M4 SOPMOD II失踪了，可以确认不在这附近，周围也没有能判断她此刻状态的线索。
AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN>:…………
AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:我会不会说得太直接了？
AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN>:直接一点好……+RO呢？我看到她……
AR15Mod(0)<Speaker></Speaker>;AK12(0)||<BIN>99</BIN>:……AK12叹了口气。
AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:RO635完全停止了全部机能，所以……
AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN>:……+我……绝对不会放过他们。+还有，我说过要回收阵亡人形的心智……
AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:RO635的心智模块被人整个挖走了。+可以确认这是她阵亡之后发生的。
AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN>:……+这会是个好消息吗……
AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:乐观点想，也许SOP2躲过了偷袭，然后带着RO的心智离开了。+这个答案你满意吗？
AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN>:……+我很想做这样的假设。
AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:当然了，我建议你不要这样想，以免希望落空。+不过稍后再思考别人的事吧。+前面十一点钟五点钟各有两支铁血小队，而附近地形太糟糕了，我们绕不过去了，估计要动手。
AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN>:你真的能一边这样说些有的没的一边侦查战局吗？
AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:你在小看我吗？还是高估你自己了？
AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN><黑屏1>:都没有，我们靠战绩来见分晓吧。
AR15()<Speaker>AR15</Speaker>||<BIN>9</BIN><黑屏2><黑屏1>:（M4……如果你知道现在AR小组的状态……）+（你该……怎么办呢？）
