()||<BGM>BGM_Boss</BGM><BIN>15</BIN>:……格里芬一处废弃指挥室，铁血破坏者最后的藏身地。
BOSS-6(0);BOSS-11(0)<Speaker>梦想家</Speaker>||<黑屏1>:没错，至少这次是这样的……
梦想家()<Speaker>梦想家</Speaker>||<黑屏2><BGM>BGM_Empty</BGM><BIN>9</BIN>:不过下次再被人窃听到，就真的把你丢掉哦。
破坏者()<Speaker>破坏者</Speaker>||:窃……窃听？+？！……是谁？！什么时候？！
AR15()<Speaker>AR15</Speaker>||<黑屏1>:……
AR15(0)<Speaker>AR15</Speaker>||<BIN>3</BIN><黑屏2>:哼……+你是什么时候发现我的，梦想家。
BOSS-11(0)<Speaker>梦想家</Speaker><通讯框>||:掌握天空的人就拥有一切，我现在连地上的一只小猫都看得清呢。
AR15(0)<Speaker>AR15</Speaker>||:怪不得……看来仅仅关闭通讯，还不够呢。
BOSS-11(0)<Speaker>梦想家</Speaker>;AR15(0)||<BGM>BGM_Sad</BGM>:你一直在等这个机会吧，让格里芬关闭你的通讯模块，然后神不知鬼不觉地入侵我们。
BOSS-11(0);AR15(0)<Speaker>AR15</Speaker>||:……看来，你也不像传闻中那么疯呢。
BOSS-11(0)<Speaker>梦想家</Speaker>;AR15(0)||:哎呀……你也不像资料上显示地那么冷酷死板呢。+但是为什么呢？作为人形，不违抗雇主的代价究竟是什么呢？
BOSS-11(0);AR15(2)<Speaker>AR15</Speaker>||:你们利用我，泄露了危害同伴的情报……+铁血，你认为我会原谅你们的行为吗！
BOSS-11(0)<Speaker>梦想家</Speaker>;AR15(2)||:别激动嘛，你明明早就发现了吧，你是情报的泄露源。+如果早一点通知大家，破坏者的爆破计划可能就泡汤了哦。
破坏者()<Speaker>破坏者</Speaker>||:等等，梦想家，你说什么！+也就是说，我的作战只是个陪衬嘛！
BOSS-11(0);AR15(2)<Speaker>AR15</Speaker>||:……+随你怎么想，我现在要做的事情，和格里芬的命令没关系。
BOSS-11(0)<Speaker>梦想家</Speaker>;AR15(2)||:哦？看来你还不明白呢。+你认为我们是随手抽到了你，就像劣质的人类决定笔下角色生死一样随意吗？+不……AR-15，你是被选中的。+你还记得吗？我们馈赠给你的那份能力？
BOSS-11(0);AR15(2)<Speaker>AR15</Speaker>||:……？！+难道说，这一切……
BOSS-11(0)<Speaker>梦想家</Speaker>;AR15(2)||:嘻嘻，是的呀。+要不要再挣扎一下试试呢，格里芬的AR-15？+看看你的垂死一击，会让事情变得更好，还是更糟？
BOSS-11(0);AR15(0)<Speaker>AR15</Speaker>||<黑屏1>:……+那就如你所愿，梦想家。
AR15()<Speaker>AR15</Speaker>||<黑屏2><BIN>27</BIN>:……我会挣扎下去，直到弄清楚这一切。
梦想家()<Speaker>梦想家</Speaker>||:为了同伴，竟然甘愿背叛整个格里芬，我该赞扬这份深刻的爱意吗？
AR15()<Speaker>AR15</Speaker>||<黑屏1>:这只是我作为人形，接受的命令罢了。+作为AR小组成员……最为优先的命令。+就算失去所有归宿，我也不会背叛当初接纳了自己的人。+这是我唯一的价值，唯一的命运。+铁血，让我们走着瞧吧。+铁血所有的阴谋，我会踩着你们的脸颊，让你一个字节一个字节地挤出来！
