()||<BIN>79</BIN><BGM>BGM_Room</BGM>:…………军方宴会中。
NPC-Carter(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||:好了好了，到此为止，难的来一趟我可要和楼底下那些媒体大亨们套套近乎，我也知道你们看见我就吃不下饭。+那么，我告辞了。
NPC-Carter(0);NPC-Yegor(0)<Speaker></Speaker>||:……叶戈尔立刻挡住了哈维尔的去路。
NPC-Carter(0)<Speaker>卡特</Speaker>;NPC-Yegor(0)||:上尉，让他走吧，我不想搞砸这个美好的宴席。
NPC-Carter(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||<黑屏1>:真是不错啊，这个时代有如此听话的年轻人可不多了。+希望你能活久一点，有机会再见。
()||<黑屏2>:…………哈维尔离开了。
NPC-Kyruger(0)<Speaker>克鲁格</Speaker>||:别在意他，指挥官，那是个怪老头。+只要不在乎他说的那些胡言乱语，他提供的产品还是很可靠的。
NPC-Kyruger(0);NPC-Carter(0)<Speaker>卡特</Speaker>||:我想他还在记恨你把莱柯带走的事。+凭他的视野高度根本无法理解……我们的尝试能为未来的技术奠定下多么扎实的基础。+等他尝到甜头了就会感谢我们了，克鲁格。
NPC-Kyruger(0)<Speaker>克鲁格</Speaker>;NPC-Carter(0)||:我明白，都是过去的事了，再去考虑也没什么意义。
NPC-Kyruger(0);NPC-Carter(0)<Speaker>卡特</Speaker>||:那就好，让我们正式开始主题吧，接下来的行动我们来对接一下大致的方向。
NPC-Kyruger(0)<Speaker>克鲁格</Speaker>;NPC-Carter(0)||<黑屏1>:好的，我们十分期待。
克鲁格()<Speaker>克鲁格</Speaker>||<BIN>9</BIN><黑屏1><黑屏2>:消灭铁血不是想要的结果……+哈维尔，这究竟是什么意思……
