()||<BIN>9</BIN><BGM>BGM_Sneak</BGM>:…………两小时后。
RO635()<Speaker>RO635</Speaker>||:SOP2……+会有机会的，M16一定在某个地方等着我们，而AR15……很多事情还没有确认不是吗？+我们只要活下来，未来总有办法的。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:嗯……RO，你觉得我们为什么要有感情模块呢？
RO635()<Speaker>RO635</Speaker>||:这个……
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:我曾经问过M16，她说那可能是为了证明我们并不只是杀戮的机器。+我们拥有情感，所以和那些冷冰冰的军用人形是不一样的……+但是也有人说，感情是我们的弱点，是劣质品的证明……+所以你觉得呢？人形拥有感情……就意味着是劣质品吗？
RO635()<Speaker>RO635</Speaker>||:我不知道……+但是感情模块是人类给予我们的，没有人会特地为自己的产品打上劣等的标签吧？+所以……这一切一定是有意义的。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:没准只是觉得这样好玩罢了，他们可能并不在乎我们。
RO635()<Speaker>RO635</Speaker>||:哼哼，如果真的不在乎我们，那我们可就自由了，不是吗？+没有目的，就没有秩序，马卡洛夫有次夜战回来后告诉我的。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:哇哦……RO，这个想法……很有趣呢。+至少我不后悔被加载感情模块，因为这样我才会记得AR15和M16，然后才能努力和她们重逢。
RO635()<Speaker>RO635</Speaker>||<黑屏1>:没错……+可惜啊……感情并不适用现在的环境，现在我们得活下来。
RO635()<Speaker>RO635</Speaker>||<BIN>9</BIN><黑屏1>:一定……要活下来。
