dorm_emoji_text-10260301,Eh? My feelings...are answered?
dorm_emoji_text-10111515,♪Salivili hipput tupput täppyt
dorm_emoji_text-10111516,♪Äppyt tipput hilijalleen
dorm_emoji_text-10117101,♪Pourquoi
dorm_emoji_text-10117102,♪le loup mange l'agneau?
dorm_emoji_text-10117103,♪le lièvre et la tortue ?
dorm_emoji_text-10117104,♪les anges ont-ils des ailes ?
dorm_emoji_text-10117105,♪le diable et le bon Dieu ?
dorm_emoji_text-10119401,♪곰 세마리가 한집에 있어
dorm_emoji_text-10119402,♪아빠곰 엄마곰 애기곰
dorm_emoji_text-10119403,♪아빠곰은 뚱뚱해
dorm_emoji_text-10119404,♪엄마곰은 날씬해
dorm_emoji_text-10119405,♪애기곰은 너무 귀여워
dorm_emoji_text-10119406,♪으쓱으쓱 잘한다
dorm_emoji_text-10111401,♪You turn to me in all your wordly 
dorm_emoji_text-10111402,♪greed and pride
dorm_emoji_text-10111403,♪But will you turn to me 
dorm_emoji_text-10111404,♪when it's your turn to die
dorm_emoji_text-10111405,♪Lord of shadow
dorm_emoji_text-10111406,♪Evil Possessor
dorm_emoji_text-10111407,♪Lord of shadow
dorm_emoji_text-10111408,♪he's your confessor now！ 
dorm_emoji_text-10102101,♪Сакварлис саплавс ведзебди
dorm_emoji_text-10102102,♪Вер внахе дакаргулико
dorm_emoji_text-10102103,♪Гуламосквнили втироди
dorm_emoji_text-10102104,♪Сада хар чемо Сулико?
dorm_emoji_text-10102105,♪Гуламосквнили втироди
dorm_emoji_text-10102106,♪Сада хар чемо Сулико?
dorm_emoji_text-10119601,♪al' na tebe nikada//c jedina moja//c ja ne zaboravljam
dorm_emoji_text-10119602,♪Bog mi te dao
dorm_emoji_text-10119603,♪drugi uzeo
dorm_emoji_text-10119604,♪moju srecu//c moju ljubav
dorm_emoji_text-10119605,♪neko drugi odnio
dorm_emoji_text-10119606,♪A bili smo//c bili
dorm_emoji_text-10119607,♪samo ti i ja
dorm_emoji_text-10119608,♪k'o dva majska cvjeta
dorm_emoji_text-10119609,♪k'o dva bjela goluba
dorm_emoji_text-10119610,♪k'o dva bjela goluba
dorm_emoji_text-10112901,♪蒹葭苍苍，白露为霜
dorm_emoji_text-10112902,♪所谓伊人，在水一方
dorm_emoji_text-10112903,♪溯洄从之，道阻且长
dorm_emoji_text-10112904,♪溯游从之，宛在水中央
dorm_emoji_text-12310101,Has this day finally come at last?
dorm_emoji_text-12310102,Thank you for always being by my side//c Commander. My mission is finally complete...
dorm_emoji_text-12310103,Ah//c Let me put on some music to celebrate!
dorm_emoji_text-12310104,Eh? No need?
dorm_emoji_text-12310201,I have never imagined that there was any meaning in relying on others.
dorm_emoji_text-12310202,But as long as I am with you//c "I can't do it" is no longer scary.
dorm_emoji_text-12310203,(Pondering) Have I become stronger or weaker…?
dorm_emoji_text-12310204,(Determined) You tell me//c Commander.
dorm_emoji_text-12310301,Eh? Commander//c what is this for?
dorm_emoji_text-12310302,I've always felt very embarrassed…
dorm_emoji_text-12310303,...for you to constantly look after me.
dorm_emoji_text-12310304,It seems that I must become a bit more reliable to meet your expectations♪
dorm_emoji_text-12310501,I was worried that you would get annoyed if I kept pestering you…
dorm_emoji_text-12310502,...but I couldn't help myself.
dorm_emoji_text-12310503,Perhaps...it was decided since the very beginning...
dorm_emoji_text-12310504,But it doesn't matter now. You've given me a new purpose.
dorm_emoji_text-12310505,So let me call you one more time//nDarling...
dorm_emoji_text-12310601,Commander//c I have been very careful in avoiding your gaze...
dorm_emoji_text-12310602,Yet…
dorm_emoji_text-12310603,You have always been fixated on me...
dorm_emoji_text-12310604,I'm...starting to like that look in your eyes...❤
dorm_emoji_text-12310701,Commander//c I'm exhausted from having to bear this heavy burden by myself…
dorm_emoji_text-12310702,But as long as you're here with me//c the burden…
dorm_emoji_text-12310703,is no longer scary.
dorm_emoji_text-12310704,For the parts that I can't endure…
dorm_emoji_text-12310705,can I continue to count on you in the future//c Commander?
