furniture_establish-10010001,Rescue Station Wallpaper
furniture_establish-10010205,Plain Cat Bed
furniture_establish-20010205,After meticulously preparing the cat bed//c the Commander is heartbroken to find that the cats prefer to sleep in the cardboard boxes for storing ammo. "Get rid of all those boxes!"
furniture_establish-10010206,Isolated Cat Tree
furniture_establish-20010206,The commander pursed his lips and spent his hard-earned batteries on building a multi-dimensional cat tree that comes with glass partitions. The cat then jumped over the partition and hasn't returned ever since.
furniture_establish-10010207,Isolated Cat Tree
furniture_establish-20010207,The commander pursed his lips and spent his hard-earned batteries on building a multi-dimensional cat tree that comes with glass partitions. The cat then jumped over the partition and hasn't returned ever since.
furniture_establish-10010208,Isolated Cat Tree
furniture_establish-20010208,The commander pursed his lips and spent his hard-earned batteries on building a multi-dimensional cat tree that comes with glass partitions. The cat then jumped over the partition and hasn't returned ever since.
furniture_establish-10010209,Isolated Cat Tree
furniture_establish-20010209,The commander pursed his lips and spent his hard-earned batteries on building a multi-dimensional cat tree that comes with glass partitions. The cat then jumped over the partition and hasn't returned ever since.
furniture_establish-10010210,Large Cat Castle
furniture_establish-20010210,Though the large cat castle quickly became an empty one//c the Commander is pleased with the photos he captured in the short few seconds that the cats were inside. "Not like anyone knows anyway//c hehehe..."
furniture_establish-10010300,Dusty Doghouse
furniture_establish-20010300,An abandoned doghouse. It can probably be used to keep stray dogs overnight after cleaning it up a bit.
furniture_establish-10010301,Simple Doghouse
furniture_establish-20010301,A simple doghouse equipped with a temperature control system and a fake bone to keep the dogs busy. Please remember to play with the dogs everyday//c Commander.
furniture_establish-10010302,Simple Doghouse
furniture_establish-20010302,A simple doghouse equipped with a temperature control system and a fake bone to keep the dogs busy. Please remember to play with the dogs everyday//c Commander.
furniture_establish-10010303,Simple Doghouse
furniture_establish-20010303,A simple doghouse equipped with a temperature control system and a fake bone to keep the dogs busy. Please remember to play with the dogs everyday//c Commander.
furniture_establish-10010304,Simple Doghouse
furniture_establish-20010304,A simple doghouse equipped with a temperature control system and a fake bone to keep the dogs busy. Please remember to play with the dogs everyday//c Commander.
furniture_establish-10010305,Simple Doghouse
furniture_establish-20010305,A simple doghouse equipped with a temperature control system and a fake bone to keep the dogs busy. Please remember to play with the dogs everyday//c Commander.
furniture_establish-10010306,Automated Doghouse
furniture_establish-20010306,The upgraded doghouse will automatically let the dogs out to play at specific times//c but it is still the Commander's responsibility to capture those hyperactive dogs back.
furniture_establish-10010307,Automated Doghouse
furniture_establish-20010307,The upgraded doghouse will automatically let the dogs out to play at specific times//c but it is still the Commander's responsibility to capture those hyperactive dogs back.
furniture_establish-10010308,Automated Doghouse
furniture_establish-20010308,The upgraded doghouse will automatically let the dogs out to play at specific times//c but it is still the Commander's responsibility to capture those hyperactive dogs back.
furniture_establish-10010309,Automated Doghouse
furniture_establish-20010309,The upgraded doghouse will automatically let the dogs out to play at specific times//c but it is still the Commander's responsibility to capture those hyperactive dogs back.
furniture_establish-10010310,Integrated Canine Care Station
furniture_establish-20010310,The most advanced doghouse comes equipped with a canine health management system//c being able to detect everything from dental caries to chocolate ingestion. The dogs protest their loss of privacy.
furniture_establish-10010400,Dust-Covered Bird Stand
furniture_establish-20010400,A bird stand left here by an unknown person. Maybe you can try raising some birds once you remove the rust.
furniture_establish-10010401,Simple Bird Stand
furniture_establish-20010401,The Commander has been regularly talking to the birds ever since he started raising them//c and gossip that the Commander acts like a retired veteran has begun to circulate among the T-Dolls.
furniture_establish-10010402,Simple Bird Stand
furniture_establish-20010402,The Commander has been regularly talking to the birds ever since he started raising them//c and gossip that the Commander acts like a retired veteran has begun to circulate among the T-Dolls.
furniture_establish-10010403,Simple Bird Stand
furniture_establish-20010403,The Commander has been regularly talking to the birds ever since he started raising them//c and gossip that the Commander acts like a retired veteran has begun to circulate among the T-Dolls.
furniture_establish-10010404,Simple Bird Stand
furniture_establish-20010404,The Commander has been regularly talking to the birds ever since he started raising them//c and gossip that the Commander acts like a retired veteran has begun to circulate among the T-Dolls.
furniture_establish-10010405,Simple Bird Stand
furniture_establish-20010405,The Commander has been regularly talking to the birds ever since he started raising them//c and gossip that the Commander acts like a retired veteran has begun to circulate among the T-Dolls.
furniture_establish-10010406,Compound Bird Cage
furniture_establish-20010406,The upgraded bird cage allows for the care of multiple birds at once//c revealing a whole new world of possibilities. The Commander's eager expression in expectation of the birds mating was secretly photographed and posted on the Griffin Anonymous Message Board.
furniture_establish-10010407,Compound Bird Cage
furniture_establish-20010407,The upgraded bird cage allows for the care of multiple birds at once//c revealing a whole new world of possibilities. The Commander's eager expression in expectation of the birds mating was secretly photographed and posted on the Griffin Anonymous Message Board.
furniture_establish-10010408,Compound Bird Cage
furniture_establish-20010408,The upgraded bird cage allows for the care of multiple birds at once//c revealing a whole new world of possibilities. The Commander's eager expression in expectation of the birds mating was secretly photographed and posted on the Griffin Anonymous Message Board.
furniture_establish-10010409,Compound Bird Cage
furniture_establish-20010409,The upgraded bird cage allows for the care of multiple birds at once//c revealing a whole new world of possibilities. The Commander's eager expression in expectation of the birds mating was secretly photographed and posted on the Griffin Anonymous Message Board.
furniture_establish-10010410,Advanced Compound Bird Cage
furniture_establish-20010410,The most technologically-advanced automated compound bird cage. In addition to displaying bird health diagnostics data//c the curved screen can also be set to display a nature wallpaper//c kindling the birds' desire to fly freely in the wild.
furniture_establish-10010500,Dusty Multifunctional Cage
furniture_establish-20010500,A glass cage left here by someone. You should be able to raise some strange miniature pets inside it once you clean it.
furniture_establish-10010501,Simple Multifunction Temperature-Controlled Enclosure
furniture_establish-20010501,It's fitted with heating equipment and insulation and its floor is covered in soft hay bedding//c perfect for little animals to burrow into.
furniture_establish-10010502,Simple Multifunction Temperature-Controlled Enclosure
furniture_establish-20010502,It's fitted with heating equipment and insulation and its floor is covered in soft hay bedding//c perfect for little animals to burrow into.
furniture_establish-10010503,Simple Multifunction Temperature-Controlled Enclosure
furniture_establish-20010503,It's fitted with heating equipment and insulation and its floor is covered in soft hay bedding//c perfect for little animals to burrow into.
furniture_establish-10010504,Simple Multifunction Temperature-Controlled Enclosure
furniture_establish-20010504,It's fitted with heating equipment and insulation and its floor is covered in soft hay bedding//c perfect for little animals to burrow into.
furniture_establish-10010505,Simple Multifunction Temperature-Controlled Enclosure
furniture_establish-20010505,It's fitted with heating equipment and insulation and its floor is covered in soft hay bedding//c perfect for little animals to burrow into.
furniture_establish-10010506,Multifunctional Temperature-Controlled Playpen
furniture_establish-20010506,After satisfying their basic physical needs//c the Commander noticed the importance of the small animals' mental development//c and so he installed many miniature play facilities as a form of edutainment.
furniture_establish-10010507,Multifunctional Temperature-Controlled Playpen
furniture_establish-20010507,After satisfying their basic physical needs//c the Commander noticed the importance of the small animals' mental development//c and so he installed many miniature play facilities as a form of edutainment.
furniture_establish-10010508,Multifunctional Temperature-Controlled Playpen
furniture_establish-20010508,After satisfying their basic physical needs//c the Commander noticed the importance of the small animals' mental development//c and so he installed many miniature play facilities as a form of edutainment.
furniture_establish-10010509,Multifunctional Temperature-Controlled Playpen
furniture_establish-20010509,After satisfying their basic physical needs//c the Commander noticed the importance of the small animals' mental development//c and so he installed many miniature play facilities as a form of edutainment.
furniture_establish-10010510,Fully-Automatic Twin-Level Temperature-Controlled Playpen
furniture_establish-20010510,A cultured Commander is an understanding Commander//c so he went to great expense to purchase a high-end twin-level temperature-controlled enclosure. Nothing is more satisfying than watching small animals crawl up and down through tunnels.
furniture_establish-10020001,Data Room Wallpaper
furniture_establish-20020001,Data Room Default Wallpaper
furniture_establish-10020002,Data Room Floor
furniture_establish-20020002,Data Room Default Floor
furniture_establish-10020003,Data Room Cable 1
furniture_establish-20020003,
furniture_establish-10020004,Data Room Cable 2
furniture_establish-20020004,
furniture_establish-10020005,Data Room Light 1
furniture_establish-20020005,
furniture_establish-10020006,Data Room Light 2
furniture_establish-20020006,
furniture_establish-10020007,Data Room Light 3
furniture_establish-20020007,
furniture_establish-10020008,Data Room Light 4
furniture_establish-20020008,
furniture_establish-10020009,Data Room Light 5
furniture_establish-20020009,
furniture_establish-10020010,Data Room Light 6
furniture_establish-20020010,
furniture_establish-10020100,Dusty Desk
furniture_establish-20020100,A desk that hasn't been used for a long time. A thick layer of dust rests on top of it. Fix this up a bit and this may be a good place to set up data work.
furniture_establish-10020101,Plain Desk
furniture_establish-20020101,No matter whether you use a quill or a pen//c a good Combat Report still needs a good writer to complete. Miss Kalina//c do keep up the good work.
furniture_establish-10020102,Plain Desk
furniture_establish-20020102,No matter whether you use a quill or a pen//c a good Combat Report still needs a good writer to complete. Miss Kalina//c do keep up the good work.
furniture_establish-10020103,Plain Desk
furniture_establish-20020103,No matter whether you use a quill or a pen//c a good Combat Report still needs a good writer to complete. Miss Kalina//c do keep up the good work.
furniture_establish-10020104,Plain Desk
furniture_establish-20020104,No matter whether you use a quill or a pen//c a good Combat Report still needs a good writer to complete. Miss Kalina//c do keep up the good work.
furniture_establish-10020105,Plain Desk
furniture_establish-20020105,No matter whether you use a quill or a pen//c a good Combat Report still needs a good writer to complete. Miss Kalina//c do keep up the good work.
furniture_establish-10020106,Modern Era Desk
furniture_establish-20020106,The strange thing is that people don't think of modern as "now"//c but rather the golden era at the start of the last century//c during the time of loud typewriters and towering skyscrapers of Manhattan.
furniture_establish-10020107,Modern Era Desk
furniture_establish-20020107,The strange thing is that people don't think of modern as "now"//c but rather the golden era at the start of the last century//c during the time of loud typewriters and towering skyscrapers of Manhattan.
furniture_establish-10020108,Modern Era Desk
furniture_establish-20020108,The strange thing is that people don't think of modern as "now"//c but rather the golden era at the start of the last century//c during the time of loud typewriters and towering skyscrapers of Manhattan.
furniture_establish-10020109,Modern Era Desk
furniture_establish-20020109,The strange thing is that people don't think of modern as "now"//c but rather the golden era at the start of the last century//c during the time of loud typewriters and towering skyscrapers of Manhattan.
furniture_establish-10020110,Digital Era Desk
furniture_establish-20020110,The addition of a computer greatly increased Miss Kalina's work efficiency...wait//c there's no increase? Block her internet!
furniture_establish-10020200,Dusty Console
furniture_establish-20020200,Seems like it can be used as a drone console after sorting it out. With recordings of battles from drones//c we can probably get more valuable combat experience.
furniture_establish-10020201,Simple Drone Console
furniture_establish-20020201,A field control terminal for the UAV has been set up//c but the image quality isn't very good. It's definitely more comfortable than lying in the bushes next to the battlefield though.
furniture_establish-10020202,Simple Drone Console
furniture_establish-20020202,A field control terminal for the UAV has been set up//c but the image quality isn't very good. It's definitely more comfortable than lying in the bushes next to the battlefield though.
furniture_establish-10020203,Simple Drone Console
furniture_establish-20020203,A field control terminal for the UAV has been set up//c but the image quality isn't very good. It's definitely more comfortable than lying in the bushes next to the battlefield though.
furniture_establish-10020204,Simple Drone Console
furniture_establish-20020204,A field control terminal for the UAV has been set up//c but the image quality isn't very good. It's definitely more comfortable than lying in the bushes next to the battlefield though.
furniture_establish-10020205,Simple Drone Console
furniture_establish-20020205,A field control terminal for the UAV has been set up//c but the image quality isn't very good. It's definitely more comfortable than lying in the bushes next to the battlefield though.
furniture_establish-10020206,Professional Drone Console
furniture_establish-20020206,The room finally looks like a proper combat data room after unlocking the large equipment. The two HD monitors allow for more efficient intel analysis.
furniture_establish-10020207,Professional Drone Console
furniture_establish-20020207,The room finally looks like a proper combat data room after unlocking the large equipment. The two HD monitors allow for more efficient intel analysis.
furniture_establish-10020208,Professional Drone Console
furniture_establish-20020208,The room finally looks like a proper combat data room after unlocking the large equipment. The two HD monitors allow for more efficient intel analysis.
furniture_establish-10020209,Professional Drone Console
furniture_establish-20020209,The room finally looks like a proper combat data room after unlocking the large equipment. The two HD monitors allow for more efficient intel analysis.
furniture_establish-10020210,Advanced Drone Console
furniture_establish-20020210,Griffin's most advanced console equipment//c being able to simultaneously control two UAVs to record combat data//c is invaluable in the collection of combat experience.
furniture_establish-10020300,Dusty Operating Station
furniture_establish-20020300,Under the thick rainproof tarp is what looks like a workbench. Maybe it can be used to help analyze the T-Dolls' super-hard-to-remove advanced combat recorders.
furniture_establish-10020301,Archaic Operating Station
furniture_establish-20020301,It seems that before the war//c people used this to process metals. Now//c it is mainly used to help extract the combat recorders from T-Dolls for analysis. Please try not to hurt them.
furniture_establish-10020302,Archaic Operating Station
furniture_establish-20020302,It seems that before the war//c people used this to process metals. Now//c it is mainly used to help extract the combat recorders from T-Dolls for analysis. Please try not to hurt them.
furniture_establish-10020303,Archaic Operating Station
furniture_establish-20020303,It seems that before the war//c people used this to process metals. Now//c it is mainly used to help extract the combat recorders from T-Dolls for analysis. Please try not to hurt them.
furniture_establish-10020304,Archaic Operating Station
furniture_establish-20020304,It seems that before the war//c people used this to process metals. Now//c it is mainly used to help extract the combat recorders from T-Dolls for analysis. Please try not to hurt them.
furniture_establish-10020305,Archaic Operating Station
furniture_establish-20020305,It seems that before the war//c people used this to process metals. Now//c it is mainly used to help extract the combat recorders from T-Dolls for analysis. Please try not to hurt them.
furniture_establish-10020306,Automated Operating Station
furniture_establish-20020306,With the help of a precise robotic arm//c the analysis of the combat recorders have become much more efficient and convenient//c receiving the praises of many T-Dolls.
furniture_establish-10020307,Automated Operating Station
furniture_establish-20020307,With the help of a precise robotic arm//c the analysis of the combat recorders have become much more efficient and convenient//c receiving the praises of many T-Dolls.
furniture_establish-10020308,Automated Operating Station
furniture_establish-20020308,With the help of a precise robotic arm//c the analysis of the combat recorders have become much more efficient and convenient//c receiving the praises of many T-Dolls.
furniture_establish-10020309,Automated Operating Station
furniture_establish-20020309,With the help of a precise robotic arm//c the analysis of the combat recorders have become much more efficient and convenient//c receiving the praises of many T-Dolls.
furniture_establish-10020310,Advanced Automated Operating Station
furniture_establish-20020310,A highly efficient automated operating station that can increase the conversion rate of combat experience and prevents equipment from overheating. It is indeed a high-end device.
furniture_establish-10020500,Dusty Computer
furniture_establish-20020500,There's a small covered up table in the corner which looks like just the right place to put a computer on. If we set up a data server using a computer//c our work efficiency will definitely increase greatly.
furniture_establish-10020501,Ancient Computer
furniture_establish-20020501,Don't mind the yellowing outer shell//c back in the day this was a dream machine that lit up so many youngsters' Silicon Valley dreams. Its 48k memory is like a breath of fresh air.
furniture_establish-10020502,Ancient Computer
furniture_establish-20020502,Don't mind the yellowing outer shell//c back in the day this was a dream machine that lit up so many youngsters' Silicon Valley dreams. Its 48k memory is like a breath of fresh air.
furniture_establish-10020503,Ancient Computer
furniture_establish-20020503,Don't mind the yellowing outer shell//c back in the day this was a dream machine that lit up so many youngsters' Silicon Valley dreams. Its 48k memory is like a breath of fresh air.
furniture_establish-10020504,Ancient Computer
furniture_establish-20020504,Don't mind the yellowing outer shell//c back in the day this was a dream machine that lit up so many youngsters' Silicon Valley dreams. Its 48k memory is like a breath of fresh air.
furniture_establish-10020505,Ancient Computer
furniture_establish-20020505,Don't mind the yellowing outer shell//c back in the day this was a dream machine that lit up so many youngsters' Silicon Valley dreams. Its 48k memory is like a breath of fresh air.
furniture_establish-10020506,Small Server
furniture_establish-20020506,Although it's equipment discarded by headquarters//c the processing power of a dedicated server is unmatched. We don't even need to turn it off//c how convenient.
furniture_establish-10020507,Small Server
furniture_establish-20020507,Although it's equipment discarded by headquarters//c the processing power of a dedicated server is unmatched. We don't even need to turn it off//c how convenient.
furniture_establish-10020508,Small Server
furniture_establish-20020508,Although it's equipment discarded by headquarters//c the processing power of a dedicated server is unmatched. We don't even need to turn it off//c how convenient.
furniture_establish-10020509,Small Server
furniture_establish-20020509,Although it's equipment discarded by headquarters//c the processing power of a dedicated server is unmatched. We don't even need to turn it off//c how convenient.
furniture_establish-10020510,Modern Large Server
furniture_establish-20020510,Taller cabinets and more processors. Just looking at the blinking LED arrays feels very satisfying. Saving up batteries for this long was definitely worth the wait.
furniture_establish-10020400,Dusty Data Table
furniture_establish-20020400,The vague outline of a large table is hidden under a rainproof tarp. Maybe we can use this to deposit and organize collected combat records.
furniture_establish-10020401,Messy Data Table
furniture_establish-20020401,Paperwork is something unavoidable for Commanders of any era. It is only then that one feels deeply grateful for Kalina's presence.
furniture_establish-10020402,Messy Data Table
furniture_establish-20020402,Paperwork is something unavoidable for Commanders of any era. It is only then that one feels deeply grateful for Kalina's presence.
furniture_establish-10020403,Messy Data Table
furniture_establish-20020403,Paperwork is something unavoidable for Commanders of any era. It is only then that one feels deeply grateful for Kalina's presence.
furniture_establish-10020404,Messy Data Table
furniture_establish-20020404,Paperwork is something unavoidable for Commanders of any era. It is only then that one feels deeply grateful for Kalina's presence.
furniture_establish-10020405,Messy Data Table
furniture_establish-20020405,Paperwork is something unavoidable for Commanders of any era. It is only then that one feels deeply grateful for Kalina's presence.
furniture_establish-10020406,Large Data Table
furniture_establish-20020406,A larger work area and more standardized organization method brings with it a much higher storage capacity. The art of file management is profound indeed.
furniture_establish-10020407,Large Data Table
furniture_establish-20020407,A larger work area and more standardized organization method brings with it a much higher storage capacity. The art of file management is profound indeed.
furniture_establish-10020408,Large Data Table
furniture_establish-20020408,A larger work area and more standardized organization method brings with it a much higher storage capacity. The art of file management is profound indeed.
furniture_establish-10020409,Large Data Table
furniture_establish-20020409,A larger work area and more standardized organization method brings with it a much higher storage capacity. The art of file management is profound indeed.
furniture_establish-10020410,Hard Disk Array Data Table
furniture_establish-20020410,No matter how excellent any paper-based file management system is//c they are all dwarfed by the power of a large-scale hard disk array. The only problem is the electricity cost.
furniture_establish-10020600,Dusty Fax Machine
furniture_establish-20020600,Under the rainproof tarp is an unfamiliar machine seemingly not of this era. Maybe I should ask M1918 about it?
furniture_establish-10020601,Ancient Fax Machine
furniture_establish-20020601,During the wave of globalization in the past century//c fax machines were necessities for every multinational company. Each transmission could send the data of a whole roll of paper//c very sci-fi indeed.
furniture_establish-10020602,Ancient Fax Machine
furniture_establish-20020602,During the wave of globalization in the past century//c fax machines were necessities for every multinational company. Each transmission could send the data of a whole roll of paper//c very sci-fi indeed.
furniture_establish-10020603,Ancient Fax Machine
furniture_establish-20020603,During the wave of globalization in the past century//c fax machines were necessities for every multinational company. Each transmission could send the data of a whole roll of paper//c very sci-fi indeed.
furniture_establish-10020604,Ancient Fax Machine
furniture_establish-20020604,During the wave of globalization in the past century//c fax machines were necessities for every multinational company. Each transmission could send the data of a whole roll of paper//c very sci-fi indeed.
furniture_establish-10020605,Ancient Fax Machine
furniture_establish-20020605,During the wave of globalization in the past century//c fax machines were necessities for every multinational company. Each transmission could send the data of a whole roll of paper//c very sci-fi indeed.
furniture_establish-10020606,Networked Printer
furniture_establish-20020606,With the blessings of advanced internet technologies//c we can now print all the Combat Reports directly in one go~ eh//c it got stuck? Did it run out of ink again?
furniture_establish-10020607,Networked Printer
furniture_establish-20020607,With the blessings of advanced internet technologies//c we can now print all the Combat Reports directly in one go~ eh//c it got stuck? Did it run out of ink again?
furniture_establish-10020608,Networked Printer
furniture_establish-20020608,With the blessings of advanced internet technologies//c we can now print all the Combat Reports directly in one go~ eh//c it got stuck? Did it run out of ink again?
furniture_establish-10020609,Networked Printer
furniture_establish-20020609,With the blessings of advanced internet technologies//c we can now print all the Combat Reports directly in one go~ eh//c it got stuck? Did it run out of ink again?
furniture_establish-10020610,Advanced Automated Writer
furniture_establish-20020610,An integrated solutions apparatus that possesses a high memory capacity and high-speed digital writing. It's so high-tech that just looking at it makes me dizzy.
furniture_establish-10030001,Fairy Chamber Wallpaper
furniture_establish-20030001,Fairy Chamber Default Wallpaper
furniture_establish-10030002,Fairy Chamber Floor
furniture_establish-20030002,Fairy Chamber Default Floor
furniture_establish-10030003,Fairy Chamber Wall Decorations
furniture_establish-20030003,Fairy Chamber Wall Decorations
furniture_establish-10030004,Fairy Chamber Light 4
furniture_establish-20030004,
furniture_establish-10030005,Fairy Chamber Light 5
furniture_establish-20030005,
furniture_establish-10030006,Fairy Chamber Light 6
furniture_establish-20030006,
furniture_establish-10030007,Fairy Chamber Carpet
furniture_establish-20030007,Fairy Chamber Carpet
furniture_establish-10030100,Barren Valley
furniture_establish-20030100,The Fairies keep insisting that they are real mythical creatures//c the guardians of the forests and glens. The Commander//c who'd had enough of the AIs' endless badgering//c finally decided to build them a suitable living environment.
furniture_establish-10030101,Mountain Fort
furniture_establish-20030101,After some hard work//c the Commander built a medieval castle in the middle of styrofoam mountains. With this//c other facilities can also be leveled up now. (Mind the ventilation when spraying paint!)
furniture_establish-10030102,Mountain Fort
furniture_establish-20030102,After some hard work//c the Commander built a medieval castle in the middle of styrofoam mountains. With this//c other facilities can also be leveled up now. (Mind the ventilation when spraying paint!)
furniture_establish-10030103,Mountain Fort
furniture_establish-20030103,After some hard work//c the Commander built a medieval castle in the middle of styrofoam mountains. With this//c other facilities can also be leveled up now. (Mind the ventilation when spraying paint!)
furniture_establish-10030104,Mountain Fort
furniture_establish-20030104,After some hard work//c the Commander built a medieval castle in the middle of styrofoam mountains. With this//c other facilities can also be leveled up now. (Mind the ventilation when spraying paint!)
furniture_establish-10030105,Mountain Fort
furniture_establish-20030105,After some hard work//c the Commander built a medieval castle in the middle of plastic foam mountains. With this//c some facilities can probably be leveled up now. (Mind the ventilation when spraying paint!)
furniture_establish-10030106,Fairy Hall
furniture_establish-20030106,The Fairies think that they deserve a more grandiose home that better reflects their rapidly rising status. This neoclassical white hall seems fitting.
furniture_establish-10030107,Fairy Hall
furniture_establish-20030107,The Fairies think that they deserve a more grandiose home that better reflects their rapidly rising status. This neoclassical white hall seems fitting.
furniture_establish-10030108,Fairy Hall
furniture_establish-20030108,The Fairies think that they deserve a more grandiose home that better reflects their rapidly rising status. This neoclassical white hall seems fitting.
furniture_establish-10030109,Fairy Hall
furniture_establish-20030109,The Fairies think that they deserve a more grandiose home that better reflects their rapidly rising status. This neoclassical white hall seems fitting.
furniture_establish-10030110,Fairy Palace
furniture_establish-20030110,The final form complete with white towers and an outer wall. The pleased Fairies are already chattering nonstop and demanding the addition of a peerage system. It seems like there is still a market for feudal monarchy.
furniture_establish-10030200,Dusty Railway Model
furniture_establish-20030200,The shape of a railway model peeks out from under the dusty cloth. This is probably the facility for us to obtain more Commands. Railway models make one feel so nostalgic...
furniture_establish-10030201,Rural Railway Model
furniture_establish-20030201,An ordinary rural station//c witness of the young ones' hopes and dreams that have been washed away by time. If one passes through the tunnel//c will they find the life they have once longed for?
furniture_establish-10030202,Rural Railway Model
furniture_establish-20030202,An ordinary rural station//c witness of the young ones' hopes and dreams that have been washed away by time. If one passes through the tunnel//c will they find the life they have once longed for?
furniture_establish-10030203,Rural Railway Model
furniture_establish-20030203,An ordinary rural station//c witness of the young ones' hopes and dreams that have been washed away by time. If one passes through the tunnel//c will they find the life they have once longed for?
furniture_establish-10030204,Rural Railway Model
furniture_establish-20030204,An ordinary rural station//c witness of the young ones' hopes and dreams that have been washed away by time. If one passes through the tunnel//c will they find the life they have once longed for?
furniture_establish-10030205,Rural Railway Model
furniture_establish-20030205,An ordinary rural station//c witness of the young ones' hopes and dreams that have been washed away by time. If one passes through the tunnel//c will they find the life they have once longed for?
furniture_establish-10030206,Railway Station Model
furniture_establish-20030206,The industrial-era train station built with iron structures has replaced the previous ordinary station. The trains filled with mail and passengers have also been replaced by freight trains carrying raw materials. This is what they call technological progress.
furniture_establish-10030207,Railway Station Model
furniture_establish-20030207,The industrial-era train station built with iron structures has replaced the previous ordinary station. The trains filled with mail and passengers have also been replaced by freight trains carrying raw materials. This is what they call technological progress.
furniture_establish-10030208,Railway Station Model
furniture_establish-20030208,The industrial-era train station built with iron structures has replaced the previous ordinary station. The trains filled with mail and passengers have also been replaced by freight trains carrying raw materials. This is what they call technological progress.
furniture_establish-10030209,Railway Station Model
furniture_establish-20030209,The industrial-era train station built with iron structures has replaced the previous ordinary station. The trains filled with mail and passengers have also been replaced by freight trains carrying raw materials. This is what they call technological progress.
furniture_establish-10030210,King Railway Hub Model
furniture_establish-20030210,After several upgrades//c the Royal Railway Station Model has finally been completed. It is based on an important station in the capital of a certain pre-War empire that can only live on as a model.
furniture_establish-10030300,Warehouse Model Foundation
furniture_establish-20030300,We can build a warehouse model on this foundation to store the Commands shipped from HQ. Wondering how a model warehouse can store Fairy Commands? I'd like to know as well...
furniture_establish-10030301,Temporary Warehouse Model
furniture_establish-20030301,A temporary warehouse has been built//c but this structure made out of fine wires and spray-painted plastic film is extremely fragile. Please exercise caution when retrieving Commands//c Commander.
furniture_establish-10030302,Temporary Warehouse Model
furniture_establish-20030302,A temporary warehouse has been built//c but this structure made out of fine wires and spray-painted plastic film is extremely fragile. Please exercise caution when retrieving Commands//c Commander.
furniture_establish-10030303,Temporary Warehouse Model
furniture_establish-20030303,A temporary warehouse has been built//c but this structure made out of fine wires and spray-painted plastic film is extremely fragile. Please exercise caution when retrieving Commands//c Commander.
furniture_establish-10030304,Temporary Warehouse Model
furniture_establish-20030304,A temporary warehouse has been built//c but this structure made out of fine wires and spray-painted plastic film is extremely fragile. Please exercise caution when retrieving Commands//c Commander.
