bingo_task_type-10000001,Normal Battle Challenge
bingo_task_type-10000104,IDW DA NYA
bingo_task_type-20000104,Acquire {0} T-Doll IDW through production.
bingo_task_type-10000105,Calibration Ticket Accrual
bingo_task_type-20000105,Gather {0} Calibration Tickets from Defense Drill.
bingo_task_type-10000106,Token Consumption
bingo_task_type-20000106,Spend {0} Tokens.
bingo_task_type-10000107,Test Your Luck - T-Doll
bingo_task_type-20000107,Produce a 5-star T-Doll {0} times.
bingo_task_type-10000108,Test Your Luck - Equipment
bingo_task_type-20000108,Produce a 5-star equipment {0} times.
bingo_task_type-10000109,Equipment Dismantling
bingo_task_type-20000109,Dismantle {0} pieces of equipment.
bingo_task_type-10000110,Collecting Friend Batteries
bingo_task_type-20000110,Collect batteries from a friend's Dorm {0} times.
bingo_task_type-10000111,Fairy Calibration
bingo_task_type-20000111,Perform Fairy Calibration {0} times.
bingo_task_type-10000112,Fairy Enhancement
bingo_task_type-20000112,Perform Fairy Enhancement {0} times.
bingo_task_type-10000113,Acquire Gems
bingo_task_type-20000113,Acquire {0} Gems
bingo_task_type-10000114,Complete Intelligence Mission
bingo_task_type-20000114,Complete {0} Intelligence Missions.
bingo_task_type-10000115,Spend Quick Analysis Contract
bingo_task_type-20000115,Spend {0} Quick Analysis Contracts.
bingo_task_type-10000116,Test Your Luck - BGM-71
bingo_task_type-20000116,Acquire {0} pieces of the anti-tank weapon's Central Data.
bingo_task_type-10000117,Test Your Luck - 2B14
bingo_task_type-20000117,Acquire {0} pieces of the mortar's Central Data.
bingo_task_type-10000118,Test Your Luck - AGS-30
bingo_task_type-20000118,Acquire {0} pieces of the grenade launcher's Central Data.
bingo_task_type-10000119,Acquire Original Sample
bingo_task_type-20000119,Acquire {0} Original Samples.
bingo_task_type-10000120,Acquire Pure Sample
bingo_task_type-20000120,Acquire {0} Pure Samples.
bingo_task_type-10000121,Produce Combat Reports
bingo_task_type-20000121,Produce a total of {0} Combat Reports. (Both Combat Report and Special Combat Report are acceptable)
bingo_task_type-10000122,Explorations
bingo_task_type-20000122,Go on {0} explorations
