explore_affair_server-10000001,[pet1] walks up to [gun1] but is scared away by her gun//c leaving only an equipment.
explore_affair_server-10000054,[gun1:37] skillfully unlocks a safe filled with goods in an abandoned wooden shed.
explore_affair_server-10000055,Although she couldn't provide any substantial help//c [gun1]'s words still calmed the nerves of the fearful people. An old man tells her something is buried under a nearby tree. The group digs under the tree to unearth something useful.
explore_affair_server-10000056,Although she couldn't provide any substantial help//c [gun1]'s words still calmed the nerves of the fearful people. An old man tells her something is buried under a nearby tree. The group digs under the tree to unearth something useful.
explore_affair_server-10000057,Although she couldn't provide any substantial help//c [gun1]'s words still calmed the nerves of the fearful people. An old man tells her something is buried under a nearby tree. The group digs under the tree to unearth something useful.
explore_affair_server-10000058,The weather is seriously too cold. While looking for her antifreeze//c [gun1] finds something else instead.
explore_affair_server-10000059,The weather is seriously too cold. While looking for her antifreeze//c [gun1] finds something else instead.
explore_affair_server-10000060,The weather is seriously too cold. While looking for her antifreeze//c [gun1] finds something else instead.
explore_affair_server-10000061,[gun1] searches an abandoned wooden house and is fortunate enough to find something left behind in a corner.
explore_affair_server-10000062,[gun1] searches an abandoned wooden house and is fortunate enough to find something left behind in a corner.
explore_affair_server-10000063,[gun1] searches an abandoned wooden house and is fortunate enough to find something left behind in a corner.
explore_affair_server-10000064,While searching through an abandoned wooden house//c [gun1] finds a hidden basement with some goods.
explore_affair_server-10000065,While searching through an abandoned wooden house//c [gun1] finds a hidden basement with some goods.
explore_affair_server-10000066,While searching through an abandoned wooden house//c [gun1] finds a hidden basement with some goods.
explore_affair_server-10000067,[gun1] comes across an abandoned Doll entangled in vines deep in the forest. Although it could not be woken up//c it did drop something useful.
explore_affair_server-10000068,[gun1] comes across an abandoned Doll entangled in vines deep in the forest. Although it could not be woken up//c it did drop something useful.
explore_affair_server-10000069,[gun1] comes across an abandoned Doll entangled in vines deep in the forest. Although it could not be woken up//c it did drop something useful.
explore_affair_server-10000070,[gun1] comes across the wreckage of a Doll inside an abandoned wooden house and finds something on it.
explore_affair_server-10000071,[gun1] comes across the wreckage of a Doll inside an abandoned wooden house and finds something on it.
explore_affair_server-10000072,[gun1] comes across the wreckage of a Doll inside an abandoned wooden house and finds something on it.
explore_affair_server-10000073,[gun1] finds a nice coffee shop. Although the boss notices she is a T-Doll//c she is treated fairly and is given a gift.
explore_affair_server-10000074,[gun1] finds a nice coffee shop. Although the boss notices she is a T-Doll//c she is treated fairly and is given a gift.
explore_affair_server-10000075,[gun1] finds a nice coffee shop. Although the boss notices she is a T-Doll//c she is treated fairly and is given a gift.
explore_affair_server-10000076,[gun1] comes across a snowman built by Destroyer and picks up something useful from it.
explore_affair_server-10000077,[gun1] comes across a snowman built by Destroyer and picks up something useful from it.
explore_affair_server-10000078,[gun1] comes across a snowman built by Destroyer and picks up something useful from it.
explore_affair_server-10000089,[pet1] walks up to [gun1] but is scared away by her gun//c leaving only an item.
explore_affair_server-10000090,[pet1] walks up to [gun1] but is scared away by her gun//c leaving only an item.
explore_affair_server-10000091,[pet1] walks up to [gun1] but is scared away by her gun//c leaving only an item.
explore_affair_server-10000092,[gun1] falls into the water while crossing a river//c but finds something.
explore_affair_server-10000093,[gun1] falls into the water while crossing a river//c but finds something.
explore_affair_server-10000094,[gun1] falls into the water while crossing a river//c but finds something.
explore_affair_server-10000095,[gun1] notices something hidden underwater from the riverside and dives in to retrieve it.
explore_affair_server-10000096,[gun1] notices something hidden underwater from the riverside and dives in to retrieve it.
explore_affair_server-10000097,[gun1] notices something hidden underwater from the riverside and dives in to retrieve it.
explore_affair_server-10000098,[gun1] comes across a group of bandits. While disarming them//c she finds an item in their belongings.
explore_affair_server-10000099,[gun1] comes across a group of bandits. While disarming them//c she finds an item in their belongings.
explore_affair_server-10000100,[gun1] comes across a group of bandits. While disarming them//c she finds an item in their belongings.
explore_affair_server-10000101,[gun1] distributes her own food to a group of people in need//c and one of them gifts her their treasure in return as thanks.
explore_affair_server-10000102,[gun1] distributes her own food to a group of people in need//c and one of them gifts her their treasure in return as thanks.
explore_affair_server-10000103,[gun1] distributes her own food to a group of people in need//c and one of them gifts her their treasure in return as thanks.
explore_affair_server-10000104,Although she couldn't provide any substantial help//c [gun1]'s words still calmed the nerves of the fearful people. An old man tells her something is buried under a nearby tree. The group digs under the tree to unearth something useful.
explore_affair_server-10000105,Although she couldn't provide any substantial help//c [gun1]'s words still calmed the nerves of the fearful people. An old man tells her something is buried under a nearby tree. The group digs under the tree to unearth something useful.
explore_affair_server-10000106,Although she couldn't provide any substantial help//c [gun1]'s words still calmed the nerves of the fearful people. An old man tells her something is buried under a nearby tree. The group digs under the tree to unearth something useful.
explore_affair_server-10000107,While searching through an abandoned wooden house//c [gun1] finds a hidden basement with some goods.
explore_affair_server-10000108,While searching through an abandoned wooden house//c [gun1] finds a hidden basement with some goods.
explore_affair_server-10000109,While searching through an abandoned wooden house//c [gun1] finds a hidden basement with some goods.
explore_affair_server-10000004,[pet1] walks up to [gun1] but is scared away by her gun//c leaving nothing behind.
explore_affair_server-10000014,[gun1] gets into a snow fight with Sangvis units suffering from processor malfunction due to the coldness but gets defeated.
explore_affair_server-10000015,[gun1] gets into a snow fight with Sangvis units suffering from processor malfunction due to the coldness. Although she wins//c her winter coat gets stolen.
explore_affair_server-10000079,[gun1] recognizes this half of a face//c and she's not the only one to do so. It is once one of the most famous faces in the world//c after all//c which is also why she's got only half a face left.
explore_affair_server-10000080,[gun1] rubs her eyes//c unsure if the familiar blue telephone booth before her is an illusion//c as it seems to appear everywhere//c yet nothing out of the ordinary is found after an inspection of the booth.
explore_affair_server-10000081,[gun1] notices a glowing red//c outdated-looking rocket beside a gas station. In the gas station also resides a diner//c and she guesses that human astronauts of the past used to come here to eat and refuel before continuing on their short-lived space travels.
explore_affair_server-10000082,If the police officer did not oversleep//c then he might've been able to stop the end of the world with this police cruiser//c thought [gun1] as she looks on the wreckage of the car.
explore_affair_server-10000083,[gun1] tries to connect with the strange terminal interface on the ground but fails. If she did succeed//c would she encounter an AI? Would it tell her where the lost research base is?
explore_affair_server-10000084,[gun1] discovers an entrance to a huge underground subway system. If it hasn't collapsed inside//c perhaps there's enough space to support many generations if the world ever comes to an end.
explore_affair_server-10000085,[gun1] unexpectedly finds a cube half buried in the ground. Even if it isn't alive and doesn't have a mouth it can still be a companion to a human//c yet humans will choose to euthanize it. I guess that is just what humans are.
explore_affair_server-10000086,[gun1] comes across a strange statue//c and in light of its strange shape//c the group decides to take a photo with it and affectionately name it the "Golden Ducktail".
explore_affair_server-10000087,[gun1] looks at the golden statue placed out here//c imagining this flame to be a past representation of the human desire for prosperity. However//c the others sneer at this interpretation.
explore_affair_server-10000088,[gun1] finds a wreckage of a strange//c old vehicle. The design looks so advanced that nobody could believe it came from half a century ago.
explore_affair_server-10000110,The T-Dolls come up against a group of enemies.//nJudging them to be very weak//c the group decides to fight.//nThe enemies are dealt with swiftly//c and the group gets a boost in morale//c and they happily continue on with their journey.
explore_affair_server-10000111,The T-Dolls detect a large number of enemies to the front.//nFor the sake of saving strength//c the group decides to avoid a head-on fight.//nThe enemies arrogantly saunter while the T-Dolls conceal themselves and wait for the enemies to leave before heading on.
explore_affair_server-10000112,The T-Dolls come up against a group of strong enemies.//nIn light of the difference in strength//c the group decides to retreat.//nThe enemies chase in pursuit but the group is able to break away//c successfully avoiding a tough fight.
explore_affair_server-10000113,The T-Dolls come up against a BOSS leading a powerful group of enemies.//nThey engage the BOSS following its provocation.//nThe enemies drop like flies and the BOSS flees in terror//c and the group happily continues on with their journey.
