enemy_illustration_skill-10000001,Normal Shot
enemy_illustration_skill-20000024,Deploy a shield with 0.8% of its max HP. This shield reduces all damage taken by the Orthrus to 1 and lasts 6 seconds. The unit cannot attack while its shield is up. If the shield is destroyed//c the Orthrus takes 50% of its max HP in damage.
enemy_illustration_skill-10000025,Minotaurus EM Impact
enemy_illustration_skill-20000025,It charges up an electromagnetic pulse around its hands/c/ then does damage to enemy units in a small area.
enemy_illustration_skill-10000026,Damage Reduction
enemy_illustration_skill-20000026,The Minotaurus enters a defensive state where it cannot attack and takes 80% less damage. This state lasts for 5 seconds.
enemy_illustration_skill-10000033,Guided Missile Barrage
enemy_illustration_skill-20000033,A one-time missile volley that deals damage to 4 randomly flagged locations. This skill can only be used once per battle.
enemy_illustration_skill-10000027,Rodelero
enemy_illustration_skill-20000027,Rodeleros have a unique beam weapon regular attack. They lock onto a unit in the front row and deal piercing damage to all units in the same horizontal row.
enemy_illustration_skill-10000028,Grenade Strike
enemy_illustration_skill-20000028,Fire grenades//c dealing damage to enemy units in the front row.
enemy_illustration_skill-10000029,Alpha Strike
enemy_illustration_skill-20000029,Fire grenades at up to 8 tiles on the friendly side and do relatively high damage to units standing on the flagged locations.
enemy_illustration_skill-10000030,Tank Normal Attack
enemy_illustration_skill-20000030,Attack the enemy units in the front row.
enemy_illustration_skill-10000031,Uhlan
enemy_illustration_skill-20000031,Fire grenades//c dealing damage to enemy units in the front row.
enemy_illustration_skill-10000032,Ram
enemy_illustration_skill-20000032,After displaying a warning//c ram the frontmost enemy units//c doing damage to all units on the flagged locations in the same horizontal row.
enemy_illustration_skill-10000034,Roaring Smash
enemy_illustration_skill-20000034,Deal damage to the enemy unit directly in front of it//c reducing the unit's move speed and ROF by 30%.
enemy_illustration_skill-10000035,Force Field Regeneration
enemy_illustration_skill-20000035,The Gladiator puts up a force field and enters a recovery state//c restoring 300 field strength per second for 5 seconds.
enemy_illustration_skill-10000036,Shields Up
enemy_illustration_skill-20000036,Deploy a shield with 150% of its max HP//c lasting 6 seconds.
enemy_illustration_skill-10000037,Mobile Tactics
enemy_illustration_skill-20000037,Increase self evasion by 1900% and switch to Sniper Mode.
enemy_illustration_skill-10000038,Sniper Mode
enemy_illustration_skill-20000038,Reduce its ROF by 50% but increase damage by 150%//c dealing guaranteed damage that ignores armor//c  lasting for 6 seconds.
enemy_illustration_skill-10000039,Disrupting Shot
enemy_illustration_skill-20000039,Every 3 seconds//c the next normal attack reduces the target's accuracy and evasion by 20%. Stacks up to 3 times and lasts 3 seconds. 
enemy_illustration_skill-10000040,Neural Cloud Tremor
enemy_illustration_skill-20000040,Advance and every 4 seconds//c stun all enemy units within a radius of 2 for 2 seconds.
enemy_illustration_skill-10000041,Tide of Apocalyptic Moon
enemy_illustration_skill-20000041,Lock onto a random enemy Doll//c disrupting her neural cloud and rendering her unable to carry out any orders. After that//c deal damage to all enemy units in a cross-shaped area around the target. The skill remains in effect until the illusion summoned by Nimogen is destroyed.
enemy_illustration_skill-10000042,Rally the Cults
enemy_illustration_skill-20000042,Continuously summon fresh Paradeus units that enter the battlefield from behind Mercurows.
enemy_illustration_skill-10000043,Planetary Sarcophagus
enemy_illustration_skill-20000043,Lock onto the enemy Doll with the highest DPS. Said Doll suffers continuous damage from neural cloud disruption. At the same time//c Mercurows continuously restores her HP. During the course of this skill//c Mercurows deploys a 4000-point shield around herself which lasts for 8 seconds. Breaking this shield cancels Planetary Sarcophagus.
enemy_illustration_skill-10000044,Flowers of the End
enemy_illustration_skill-20000044,A concentrated hail of bullets that can seemingly destroy anything (Enter special shoot-em-up play mode). 
enemy_illustration_skill-10000045,Black Obelisk
enemy_illustration_skill-20000045,Shields self while charging up power. The longer the shield is up//c the more instances of damage and the bigger the area of effect//c up to a maximum of 3 instances of damage. Friendly Dolls who have a white marker on them take extra explosive damage.
enemy_illustration_skill-10000046,White Night
enemy_illustration_skill-20000046,Shield self while charging up power. The longer the shield is up//c the more instances of damage and the bigger the area of effect//c up to a maximum of 3 instances of damage. Enemy Dolls with a black marker on them grant her extra shields if they are hit.
enemy_illustration_skill-10000047,Bonds
enemy_illustration_skill-20000047,Deal explosive damage to three Dolls. Dolls who take explosive damage from the Black Nyto gain black markers while Dolls who take explosive damage from the White Nyto gain white markers.
enemy_illustration_skill-10000048,Heavy Cleave
enemy_illustration_skill-20000048,When shielded//c damage the three tiles directly in front of her and deal damage to enemy units//c while also reducing hit units' firepower and move speed by 30%.
enemy_illustration_skill-10000049,Shields Up
enemy_illustration_skill-20000049,Deploy a shield with a value of 20% of her max HP//c lasting 8 seconds.
enemy_illustration_skill-10000050,Self-Defense Mode
enemy_illustration_skill-20000050,When HP drops below 30%//c raise its shield and gain 50% damage reduction//c while also ceasing all attack and movement.
enemy_illustration_skill-10000051,Shield Generator
enemy_illustration_skill-20000051,Deploy a shield with a value of 10% of its max HP for all allied units//c lasting 6 seconds.
enemy_illustration_skill-10000052,Smoke Tactics
enemy_illustration_skill-20000052,Randomly fire smoke grenades into enemy territory//c reducing enemy units' move speed and accuracy by 30% for 5 seconds.
enemy_illustration_skill-10000053,Deep Strike
enemy_illustration_skill-20000053,Lock onto a unit in the front row//c then fire a round after 2 seconds of aiming//c dealing damage to all Dummy-Links of the target and dealing somewhat less damage to all Dummy-Links of the units behind the target.
enemy_illustration_skill-10000054,Armor Break
enemy_illustration_skill-20000054,Every hit reduces target armor by 10% for 5 seconds.
enemy_illustration_skill-10000055,Chain Slash
enemy_illustration_skill-20000055,After every 3 normal attacks//c the 4th attack does double damage//c but Chain Slash does not damage armor.
enemy_illustration_skill-10000056,Pinpoint Bombardment
enemy_illustration_skill-20000056,Aim and open fire//c dealing unavoidable damage to an enemy unit.
enemy_illustration_skill-10000057,Corrosive Miasma
enemy_illustration_skill-20000057,Deal continuous damage to all surrounding Dolls. Keep your back row as far away from this unit as possible.
enemy_illustration_skill-10000058,Conversion
enemy_illustration_skill-20000058,Absorb vitality from the smaller surrounding zombies and shield itself. The value of this shield is determined by the number of units it absorbed.
enemy_illustration_skill-10000059,Sangvis Tactics - Scarecrow
enemy_illustration_skill-20000059,Scarecrow rotates her three floating guns and does 3 instances of damage to the targeted unit.
enemy_illustration_skill-10000060,Sangvis Tactics - Executioner
enemy_illustration_skill-20000060,Executioner locks onto the unit closest to herself and uses her sword to cleave through up to 2 enemy units//c dealing high damage that ignores armor.
enemy_illustration_skill-10000061,Execution under Misty Moonlight
enemy_illustration_skill-20000061,A skill used by Executioner after being outfitted with higher-spec combat modules. Damages all units within the flagged locations. The sword slash affects an entire horizontal row//c the explosion hits an entire column//c and enemy units caught in the intersection of both effects take two instances of damage.
enemy_illustration_skill-10000062,Sangvis Tactics - Hunter
enemy_illustration_skill-20000062,Hunter rapidly fires her handguns for a brief duration//c dealing many instances of high damage to her target.
enemy_illustration_skill-10000063,Sangvis Tactics - Alchemist
enemy_illustration_skill-20000063,Alchemist jumps and moves rapidly//c dealing multiple instances of damage to her target.
enemy_illustration_skill-10000064,Sangvis Tactics - Destroyer
enemy_illustration_skill-20000064,Destroyer fires grenades into the air. The grenades fall in a straight line along the flagged locations//c dealing damage to all enemy units on them.
enemy_illustration_skill-10000065,Gaia Rocket Launch
enemy_illustration_skill-20000065,A skill used by Destroyer after being outfitted with higher-spec combat modules. After generating a large warning marker//c she fires a delayed-detonation grenade at each flagged location//c dealing multiple instances of damage to all enemy units on the affected tiles.
enemy_illustration_skill-10000066,Sangvis Tactics - Gager
enemy_illustration_skill-20000066,Gager does 4 instances of damage to her target with a single attack.
enemy_illustration_skill-10000067,Gager's Quantum Sting
enemy_illustration_skill-20000067,A skill used by Gager after being outfitted with higher-spec combat modules. She marks an area and then deals damage to all units within it. After locking onto a row//c she deals two instances of armor-ignoring damage.
enemy_illustration_skill-10000068,Sangvis Tactics: Architect
enemy_illustration_skill-20000068,Randomly launches grenades on friendly tiles//c dealing unavoidable damage to all dummy-links.
enemy_illustration_skill-10000069,Architect's Missile Launch
enemy_illustration_skill-20000069,A skill used by Architect after being outfitted with higher-spec combat modules. Randomly locks onto a enemy unit//c then attacks the target with unavoidable damage in a cross-shaped AOE.
enemy_illustration_skill-10000070,Sangvis Tactics - Dreamer
enemy_illustration_skill-20000070,After displaying a warning marker//c fires a beam that pierces an entire row//c dealing armor-ignoring damage that automatically hits all enemies in its path.
enemy_illustration_skill-10000071,Sangvis Tactics - Ouroboros
enemy_illustration_skill-20000071,Open the rear ends of her round floating cannons//c then fire four guided missiles at the flagged locations//c doing a total of 2x damage to characters on those tiles.
enemy_illustration_skill-10000072,Weaver's Missile Salvo
enemy_illustration_skill-20000072,Lock onto the 4 most distant enemies deal unavoidable damage.
enemy_illustration_skill-10000073,Sangvis Tactics - Judge - Trial
enemy_illustration_skill-20000073,Judge deploys a purple shield in front of her//c granting her extra armor while it is up.
enemy_illustration_skill-10000074,Sangvis Tactics - Judge - Sentence
enemy_illustration_skill-20000074,Judge cancels her defensive status and glows with purple light. In this state//c Judge gains extra firepower.
enemy_illustration_skill-10000075,Plague Field
enemy_illustration_skill-20000075,Judge jumps up and launches a flying kick at a random enemy Doll//c leaving a purple mark on the spot where she touches down. Units which remain in this purple area suffer reduced firepower.
enemy_illustration_skill-10000076,Plague Field EX
enemy_illustration_skill-20000076,A skill used by Judge after being outfitted with higher-spec combat modules. Judge jumps up and launches a flying kick at all Dolls//c leaving a purple mark on the spot where she touches down. Units which remain in this purple area suffer reduced firepower.
enemy_illustration_skill-10000077,Sangvis Tactics - Agent
enemy_illustration_skill-20000077,Summon Dummy Agents//c which can attack but have reduced damage. The Dummies have armor and can withstand small amounts of damage.
enemy_illustration_skill-10000078,Key of Omens
enemy_illustration_skill-20000078,Agent stops attacking and deploys a shield that absorbs damage. If the shield is not broken within 8 seconds//c Agent drops the shield and unleashes a devastating attack//c destroying all enemy units.
enemy_illustration_skill-10000079,Sangvis Tactics - Cerberus
enemy_illustration_skill-20000079,Launch three grenades at the middle row of the echelon formation//c dealing unavoidable damage that ignores armor to any Dolls in its path.
enemy_illustration_skill-10000080,Cerberus' Hyperbeam
enemy_illustration_skill-20000080,Display dark and light-colored warning markers on two horizontal rows of the formation//c then fire a high-damage laser beam at the dark-colored region and a line of missiles at the light-colored region//c dealing guaranteed damage that can be reduced by armor.
enemy_illustration_skill-10000081,Sangvis Tactics - M16
enemy_illustration_skill-20000081,Throw a flashbang every 15 seconds that stuns all enemy units.
enemy_illustration_skill-10000082,Detector
enemy_illustration_skill-20000082,M16 summons a detector on a random tile. The detector scans the Doll on its position and grants M16 a buff depending on her gun type. HGs buff her firepower//c SMGs buff her accuracy//c RFs buff her ROF//c ARs buff her armor and SGs buff her AP. If there is nobody on the detector//c she gets ALL of those buffs.
enemy_illustration_skill-10000083,Misanthropic Strike
enemy_illustration_skill-20000083,Call an airstrike on the Doll with the highest DPS in this battle. Lock on to the target and deal damage in a cross-shaped area around her.
enemy_illustration_skill-10000084,Sangvis Tactics - Intruder
enemy_illustration_skill-20000084,Use a machine gun to inflict multiple instances of damage on her target for a short while.
enemy_illustration_skill-10000085,Charge Attack
enemy_illustration_skill-20000085,Launch a charged attack after every 6 normal attacks//c dealing damage to all enemy units.
enemy_illustration_skill-10000086,Reverse Collapse
enemy_illustration_skill-20000086,Cause the unit furthest from herself to float into the air at regular intervals. Floating units are not affected by surface damage. At the same time//c uncontrolled Reverse Collapse zones appear on the battlefield as the battle progresses.
enemy_illustration_skill-10000087,Glow of Termination
enemy_illustration_skill-20000087,Deal high damage to all units//c while also creating a 3-tile radius Reverse Collapse zone.
enemy_illustration_skill-10010018,Crab Cannon Barrage
enemy_illustration_skill-20010018,The Crab Cannon launches a barrage every three auto attacks//c dealing massive damage to enemies within range.
enemy_illustration_skill-10010019,Dangerous Starfish
enemy_illustration_skill-20010019,Moves forward and disguises itself as a harmless-looking starfish upon detecting hostile units. The starfish is triggered on contact//c dealing damage to enemies.
enemy_illustration_skill-10010021,Watermelon Roll
enemy_illustration_skill-20010021,A machine that keeps releasing round bipedal machines upon detecting hostile units… Hold on? They're watermelons?
enemy_illustration_skill-10010022,Watermelon Crash
enemy_illustration_skill-20010022,Stop moving upon contact with enemy units and damage them.
enemy_illustration_skill-10010005,Mercenary Sniping
enemy_illustration_skill-20010005,After aiming for 2.5 seconds//c perform a sniping attack on the rearmost enemy unit.
enemy_illustration_skill-10010087,Cocktail Mania
enemy_illustration_skill-20010087,Throw a Molotov cocktail at a random enemy unit//c dealing damage every 0.33s over the course of 3s.
enemy_illustration_skill-10010091,Mask of Hermes
enemy_illustration_skill-20010091,Aim and deal massive damage to targeted enemy.
enemy_illustration_skill-10010191,Mark of Elite
enemy_illustration_skill-20010191,Units standing in the flagged areas suffer from a massive debuff in damage and rate of fire//c but also gain a lot of shield points.
enemy_illustration_skill-10000088,
enemy_illustration_skill-20000088,
enemy_illustration_skill-10000089,Disrupting Shot
enemy_illustration_skill-20000089,
enemy_illustration_skill-10000090,
enemy_illustration_skill-20000090,
enemy_illustration_skill-10000091,
enemy_illustration_skill-20000091,
enemy_illustration_skill-10000092,
enemy_illustration_skill-20000092,
enemy_illustration_skill-10000093,Suppression
enemy_illustration_skill-20000093,
enemy_illustration_skill-10000094,Demolished
enemy_illustration_skill-20000094,
enemy_illustration_skill-10000095,
enemy_illustration_skill-20000095,
enemy_illustration_skill-10000096,
enemy_illustration_skill-20000096,
enemy_illustration_skill-10000097,
enemy_illustration_skill-20000097,
enemy_illustration_skill-10000098,
enemy_illustration_skill-20000098,
enemy_illustration_skill-10000099,
enemy_illustration_skill-20000099,
