gift_item-10000001,Pumpkin Mishka
gift_item-30000410,Gift this item to UMP45 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000411,English in Love
gift_item-20000411,Unlocks a new costume for your T-Doll
gift_item-30000411,Gift this item to Welrod MkⅡ in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000603,Reciprocated Love
gift_item-20000603,Unlocks a new costume for your T-Doll
gift_item-30000603,Gift this item to STEN MkⅡ in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000502,At Your Service
gift_item-20000502,Unlocks a new costume for your T-Doll
gift_item-30000502,Gift this item to SV-98 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000601,A Couple's Journey
gift_item-20000601,Unlocks a new costume for your T-Doll
gift_item-30000601,Gift this item to Tokarev in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000602,Moment of Vows
gift_item-20000602,Unlocks a new costume for your T-Doll
gift_item-30000602,Gift this item to PPSh-41 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000604,Lifelong Protector
gift_item-20000604,Unlocks a new costume for your T-Doll
gift_item-30000604,Gift this item to Lee Enfield in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000605,By Your Side
gift_item-20000605,Unlocks a new costume for your T-Doll
gift_item-30000605,Gift this item to PK in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000606,Pinky Swear
gift_item-20000606,Unlocks a new costume for your T-Doll
gift_item-30000606,Gift this item to P7 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000607,The Big Day
gift_item-20000607,Unlocks a new costume for your T-Doll
gift_item-30000607,Gift this item to FAL in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000701,Literary Girl
gift_item-20000701,Unlocks a new costume for your T-Doll
gift_item-30000701,Gift this item to ST AR-15 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000702,Ace on Duty
gift_item-20000702,Unlocks a new costume for your T-Doll
gift_item-30000702,Gift this item to M950A in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000703,Survival Club
gift_item-20000703,Unlocks a new costume for your T-Doll
gift_item-30000703,Gift this item to Gr MG4 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000704,Battle Sailor
gift_item-20000704,Unlocks a new costume for your T-Doll
gift_item-30000704,Gift this item to 6P62 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10200001,Combat Report
gift_item-20200001,N/A
gift_item-30200001,"The external appearance looks like the nostalgic floppy disks of the past with their memory capacity of 1.4Mb. Fortunately//c these ones have upgraded memory//c otherwise it'll take a forklift full of disks to cover one report."
gift_item-10200002,Radiant Poetry
gift_item-20200002,N/A
gift_item-30200002,Gift in Dorm to increase T-Doll or Fairy EXP by 10//c000.
gift_item-10200003,Beer on Discount
gift_item-20200003,N/A
gift_item-30200003,Gift in Dorm to increase T-Doll or Fairy EXP by 10//c000.
gift_item-10200004,Paper Target
gift_item-20200004,None
gift_item-30200004,Gift in Dorm to increase T-Doll or Fairy EXP by 10//c000.
gift_item-10000801,Crimson Starlet
gift_item-20000801,Unlocks a new costume for your T-Doll
gift_item-30000801,Gift this item to Skorpion in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000802,Queen in Radiance
gift_item-20000802,Unlocks a new costume for your T-Doll
gift_item-30000802,Gift this item to Springfield in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000803,Moonlit Ocean
gift_item-20000803,Unlocks a new costume for your T-Doll
gift_item-30000803,Gift this item to Mosin-Nagant in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000804,Ballroom Interlude
gift_item-20000804,Unlocks a new costume for your T-Doll
gift_item-30000804,Gift this item to WA2000 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000805,Starry Cocoon
gift_item-20000805,Unlocks a new costume for your T-Doll
gift_item-30000805,Gift this item to 416 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000806,Tender Nocturne
gift_item-20000806,Unlocks a new costume for your T-Doll
gift_item-30000806,Gift this item to M1918 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000807,Bunny Macchiato
gift_item-20000807,Unlocks a new costume for your T-Doll
gift_item-30000807,Gift this item to SR-3MP in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000808,Concert Diva!
gift_item-20000808,Unlocks a new costume for your T-Doll
gift_item-30000808,Gift this item to M950A in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000901,Onion Shooter
gift_item-20000901,Unlocks a new costume for your T-Doll
gift_item-30000901,Gift this item to Lee Enfield in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000902,Thumbelina
gift_item-20000902,Unlocks a new costume for your T-Doll
gift_item-30000902,Gift this item to MP40 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000903,Teddy//c Transform!
gift_item-20000903,Unlocks a new costume for your T-Doll
gift_item-30000903,Gift this item to Grizzly in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000904,Little Drifter
gift_item-20000904,Unlocks a new costume for your T-Doll
gift_item-30000904,Gift this item to Negev in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000905,Mini Maid
gift_item-20000905,Unlocks a new costume for your T-Doll
gift_item-30000905,Gift this item to Gr G36 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000503,μ-12
gift_item-20000503,Unlocks a new costume for your T-Doll
gift_item-30000503,Gift this item to Noel in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000504,Magnum Wedding
gift_item-20000504,Unlocks a new costume for your T-Doll
gift_item-30000504,Gift this item to Elphelt in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000505,Doll Annihilator
gift_item-20000505,Unlocks a new costume for your T-Doll
gift_item-30000505,Gift this item to Elphelt in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001101,Op. Blazing Sun
gift_item-20001101,Unlocks a new costume for your T-Doll
gift_item-30001101,Gift this item to NTW-20 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001102,Summer Cicada
gift_item-20001102,Unlocks a new costume for your T-Doll
gift_item-30001102,Gift this item to Type95 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001103,Midsummer Pixie
gift_item-20001103,Unlocks a new costume for your T-Doll
gift_item-30001103,Gift this item to Suomi in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001104,Tropical Storm
gift_item-20001104,Unlocks a new costume for your T-Doll
gift_item-30001104,Gift this item to MkG28 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001105,Summer Parader
gift_item-20001105,Unlocks a new costume for your T-Doll
gift_item-30001105,Gift this item to M37 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001106,Beach Princess
gift_item-20001106,Unlocks a new costume for your T-Doll
gift_item-30001106,Gift this item to M1 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001107,Stirring Mermaid
gift_item-20001107,Unlocks a new costume for your T-Doll
gift_item-30001107,Gift this item to Springfield in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001108,Op. Manta Ray
gift_item-20001108,Unlocks a new costume for your T-Doll
gift_item-30001108,Gift this item to WA2000 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001109,Cruise Queen
gift_item-20001109,Unlocks a new costume for your T-Doll
gift_item-30001109,Gift this item to F5.7 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001201,Flower and Water
gift_item-20001201,Unlocks a new costume for your T-Doll
gift_item-30001201,Gift this item to PKP in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001202,Ode to Summer
gift_item-20001202,Unlocks a new costume for your T-Doll
gift_item-30001202,Gift this item to Gr G36c in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001203,Flurry of Petals
gift_item-20001203,Unlocks a new costume for your T-Doll
gift_item-30001203,Gift this item to OTs-14 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001204,The Three Crows
gift_item-20001204,Unlocks a new costume for your T-Doll
gift_item-30001204,Gift this item to KLIN in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001205,Sleepless Begonias
gift_item-20001205,Unlocks a new costume for your T-Doll
gift_item-30001205,Gift this item to Gr MP5 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001301,Arctic Fox
gift_item-20001301,Unlocks a new costume for your T-Doll
gift_item-30001301,Gift this item to M249 SAW in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001302,Bullets Cafe
gift_item-20001302,Unlocks a new costume for your T-Doll
gift_item-30001302,Gift this item to 9A-91 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001303,Battlefield Baker
gift_item-20001303,Unlocks a new costume for your T-Doll
gift_item-30001303,Gift this item to Gr G3 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001304,Urban Holiday
gift_item-20001304,Unlocks a new costume for your T-Doll
gift_item-30001304,Gift this item to MG3 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001305,Night at the Bar
gift_item-20001305,Unlocks a new costume for your T-Doll
gift_item-30001305,Gift this item to TAR-21 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001401,Lord of Shadow
gift_item-20001401,Unlocks a new costume for your T-Doll
gift_item-30001401,Gift this item to Welrod MkⅡ in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001402,Nine-Tail Fox
gift_item-20001402,Unlocks a new costume for your T-Doll
gift_item-30001402,Gift this item to Type79 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001403,The Seventh Sealer
gift_item-20001403,Unlocks a new costume for your T-Doll
gift_item-30001403,Gift this item to IWS 2000 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001404,Sister Gunslinger
gift_item-20001404,Unlocks a new costume for your T-Doll
gift_item-30001404,Gift this item to P7 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001405,The Last Alice
gift_item-20001405,Unlocks a new costume for your T-Doll
gift_item-30001405,Gift this item to Spitfire in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001406,Candy Thief
gift_item-20001406,Unlocks a new costume for your T-Doll
gift_item-30001406,Gift this item to FF FNC in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001407,Wolf Walker
gift_item-20001407,Unlocks a new costume for your T-Doll
gift_item-30001407,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000506,Kiana's Dress
gift_item-20000506,Unlocks a new costume for your T-Doll
gift_item-30000506,Gift this item to Kiana in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000507,Bronya's Armor
gift_item-20000507,Unlocks a new costume for your T-Doll
gift_item-30000507,Gift this item to Bronya in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000508,Seele's Ceremony
gift_item-20000508,Unlocks a new costume for your T-Doll
gift_item-30000508,Gift this item to Seele in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001501,Demon Hunter
gift_item-20001501,Unlocks a new costume for your T-Doll
gift_item-30001501,Gift this item to Thompson in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001502,Opera Ghost
gift_item-20001502,Unlocks a new costume for your T-Doll
gift_item-30001502,Gift this item to Contender in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001503,L.A.D.Y
gift_item-20001503,Unlocks a new costume for your T-Doll
gift_item-30001503,Gift this item to PKP in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001504,Call of the Hunter
gift_item-20001504,Unlocks a new costume for your T-Doll
gift_item-30001504,Gift this item to Mch5 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001505,Babe Driver
gift_item-20001505,Unlocks a new costume for your T-Doll
gift_item-30001505,Gift this item to AEK-999 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001506,Raging Rider
gift_item-20001506,Unlocks a new costume for your T-Doll
gift_item-30001506,Gift this item to PzB39 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001507,"Sommelier"
gift_item-20001507,Unlocks a new costume for your T-Doll
gift_item-30001507,Gift this item to MkG36 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001608,Forest Reindeer
gift_item-20001608,Unlocks a new costume for your T-Doll
gift_item-30001608,Gift this item to OTs-44 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001601,How RFB Stole Xmas
gift_item-20001601,Unlocks a new costume for your T-Doll
gift_item-30001601,Gift this item to RFP in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001602,Schoenstes Geschenk
gift_item-20001602,Unlocks a new costume for your T-Doll
gift_item-30001602,Gift this item to MkG11 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001603,Gunshot in the Snow
gift_item-20001603,Unlocks a new costume for your T-Doll
gift_item-30001603,Gift this item to Zas M21 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001604,Winter Forager
gift_item-20001604,Unlocks a new costume for your T-Doll
gift_item-30001604,Gift this item to CZ75 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001605,Little Gift Tree
gift_item-20001605,Unlocks a new costume for your T-Doll
gift_item-30001605,Gift this item to Ameli in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001606,War Is Over
gift_item-20001606,Unlocks a new costume for your T-Doll
gift_item-30001606,Gift this item to M1918 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001701,Rabbit Squad
gift_item-20001701,Unlocks a new costume for your T-Doll
gift_item-30001701,Gift this item to M99 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001702,ThanX! & Go2Hell!
gift_item-20001702,Unlocks a new costume for your T-Doll
gift_item-30001702,Gift this item to NZ75 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001703,Snowflakes in Arms
gift_item-20001703,Unlocks a new costume for your T-Doll
gift_item-30001703,Gift this item to SPP-1 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001704,Crossing in Labyrinth
gift_item-20001704,Unlocks a new costume for your T-Doll
gift_item-30001704,Gift this item to Super-Shorty in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001705,Cross the Milky Way
gift_item-20001705,Unlocks a new costume for your T-Doll
gift_item-30001705,Gift this item to RMB-93  in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001801,Red Peony
gift_item-20001801,Unlocks a new costume for your T-Doll
gift_item-30001801,Gift this item to DSG-50 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001802,Wintersweet
gift_item-20001802,Unlocks a new costume for your T-Doll
gift_item-30001802,Gift this item to S.A.T.8 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001803,White Cabbage
gift_item-20001803,Unlocks a new costume for your T-Doll
gift_item-30001803,Gift this item to ART556 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001804,Fairy Lily
gift_item-20001804,Unlocks a new costume for your T-Doll
gift_item-30001804,Gift this item to JS05 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001805,Honey Flower
gift_item-20001805,Unlocks a new costume for your T-Doll
gift_item-30001805,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001806,Angel's Trumpet
gift_item-20001806,Unlocks a new costume for your T-Doll
gift_item-30001806,Gift this item to M590 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001807,White Camellia
gift_item-20001807,Unlocks a new costume for your T-Doll
gift_item-30001807,Gift this item to Type81R in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001808,Golden Starthistle
gift_item-20001808,Unlocks a new costume for your T-Doll
gift_item-30001808,Gift this item to LWMMG in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001809,East Lake Lotus
gift_item-20001809,Unlocks a new costume for your T-Doll
gift_item-30001809,Gift this item to Type88 in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001901,Ardent Devotion
gift_item-20001901,Unlocks a new costume for your T-Doll
gift_item-30001901,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001902,Smile of Acceptance
gift_item-20001902,Unlocks a new costume for your T-Doll
gift_item-30001902,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001903,A Small Step
gift_item-20001903,Unlocks a new costume for your T-Doll
gift_item-30001903,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001904,Pure White Cornflower
gift_item-20001904,Unlocks a new costume for your T-Doll
gift_item-30001904,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001905,'Til Death Do Us Part
gift_item-20001905,Unlocks a new costume for your T-Doll
gift_item-30001905,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10001906,Pierce Your Heart!
gift_item-20001906,Unlocks a new costume for your T-Doll
gift_item-30001906,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002001,Far East Princess
gift_item-20002001,Unlocks a new costume for your T-Doll
gift_item-30002001,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002002,Dome Moonlight
gift_item-20002002,Unlocks a new costume for your T-Doll
gift_item-30002002,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002003,Waning Winter
gift_item-20002003,Unlocks a new costume for your T-Doll
gift_item-30002003,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002004,Dusk Phoenix
gift_item-20002004,Unlocks a new costume for your T-Doll
gift_item-30002004,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000509,Pocket City Queen the Second
gift_item-20000509,Unlocks a new costume for your T-Doll
gift_item-30000509,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000510,Pocket City Queen the Third
gift_item-20000510,Unlocks a new costume for your T-Doll
gift_item-30000510,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002101,Highest Bid
gift_item-20002101,Unlocks a new costume for your T-Doll
gift_item-30002101,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002102,Starry Night Ball
gift_item-20002102,Unlocks a new costume for your T-Doll
gift_item-30002102,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002103,Nightfall Crisis
gift_item-20002103,Unlocks a new costume for your T-Doll
gift_item-30002103,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002104,White Queen
gift_item-20002104,Unlocks a new costume for your T-Doll
gift_item-30002104,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002105,Queen of Miracles
gift_item-20002105,Unlocks a new costume for your T-Doll
gift_item-30002105,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002106,The World's Melody
gift_item-20002106,Unlocks a new costume for your T-Doll
gift_item-30002106,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002107,Diamond Flower
gift_item-20002107,Unlocks a new costume for your T-Doll
gift_item-30002107,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002108,Cat in the Box
gift_item-20002108,Unlocks a new costume for your T-Doll
gift_item-30002108,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002109,White Night Star
gift_item-20002109,Unlocks a new costume for your T-Doll
gift_item-30002109,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002201,Little Brave Cano
