tutorial_manual-10000100,Commander Information
tutorial_manual-10000605,Combat//n<SIZE=25>Simulation</SIZE>
tutorial_manual-20000605,Different Combat Simulations are available on different days; please clear them as needed. 
tutorial_manual-10000606,Event Missions
tutorial_manual-20000606,Various events will come up from time to time//c be sure to pay attention!
tutorial_manual-10000607,Theater
tutorial_manual-20000607,Conquer a Theater with other Commanders in this limited-time content.
tutorial_manual-10000608,Target Practice
tutorial_manual-20000608,
tutorial_manual-10000609,
tutorial_manual-20000609,
tutorial_manual-10000700,Battle Guidelines
tutorial_manual-20000700,You must understand the rules and techniques of each battle.
tutorial_manual-10000701,Drafting Echelons
tutorial_manual-20000701,About the importance of echelon composition and formation.
tutorial_manual-10000702,Movement
tutorial_manual-20000702,These are the principles of combat movement.
tutorial_manual-10000703,Movement Nodes
tutorial_manual-20000703,During battles//c different movement nodes have different uses and characteristics.
tutorial_manual-10000704,T-Doll Combat
tutorial_manual-20000704,Techniques for controlling T-Dolls in combat.
tutorial_manual-10000705,Retreat
tutorial_manual-20000705,Knowing when to withdraw is also a tactic.
tutorial_manual-10000706,Planning Mode
tutorial_manual-20000706,Plan a reasonable route to improve your combat efficiency.
tutorial_manual-10000707,Support Echelon
tutorial_manual-20000707,Don't worry//c a Griffin Commander is never alone.
tutorial_manual-10000708,Fairy Combat
tutorial_manual-20000708,Bring Fairies into battle with you.
tutorial_manual-10000709,Heavy Ordnance Corps Combat
tutorial_manual-20000709,Use your Heavy Ordnance Corps to provide fire support for battles.
tutorial_manual-10000710,Facility
tutorial_manual-20000710,Learn more about battlefield facilities.
tutorial_manual-10000711,
tutorial_manual-20000711,
tutorial_manual-10000712,Friend's Echelon
tutorial_manual-20000712,
tutorial_manual-10000800,Base
tutorial_manual-20000800,You can check and manage various tasks from the Base Screen.
tutorial_manual-10000801,DORM
tutorial_manual-20000801,Welcome to the Tactical Doll Dormitories! Dress your T-Dolls up and interact with them!
tutorial_manual-10000802,Procurement
tutorial_manual-20000802,Don't stinge on Tokens.
tutorial_manual-10000803,Dorm Editing
tutorial_manual-20000803,Show your skills at dorm design as well as combat.
tutorial_manual-10000804,Giving Gifts
tutorial_manual-20000804,You should give the T-Dolls gifts to encourage them.
tutorial_manual-10000805,Visit
tutorial_manual-20000805,Visit other Commanders' dorms and leave a message for them.
tutorial_manual-10000806,Battery
tutorial_manual-20000806,Batteries are an important resource for development//c the construction of all dorm facilities depends on them.
tutorial_manual-10000807,Auxiliary//nRooms
tutorial_manual-20000807,You must familiarize yourself with the useful and interesting auxiliary rooms in your dorm.
tutorial_manual-10000808,Coastal Defense Artillery
tutorial_manual-20000808,
tutorial_manual-10000809,
tutorial_manual-20000809,
tutorial_manual-10000810,
tutorial_manual-20000810,
tutorial_manual-10000811,
tutorial_manual-20000811,
tutorial_manual-10000900,Social Exchange
tutorial_manual-20000900,A Griffin Commander is never alone.
tutorial_manual-10000901,Friend
tutorial_manual-20000901,Making more friends is never a bad thing.
tutorial_manual-10000902,
tutorial_manual-20000902,
tutorial_manual-10000903,
tutorial_manual-20000903,
tutorial_manual-10000904,
tutorial_manual-20000904,
tutorial_manual-10000905,
tutorial_manual-20000905,
tutorial_manual-10000906,
tutorial_manual-20000906,
tutorial_manual-10000907,
tutorial_manual-20000907,
tutorial_manual-10001000,Echelon Formation
tutorial_manual-20001000,
tutorial_manual-10001001,Formation
tutorial_manual-20001001,
tutorial_manual-10001002,
tutorial_manual-20001002,
tutorial_manual-10001003,
tutorial_manual-20001003,
tutorial_manual-10001004,
tutorial_manual-20001004,
tutorial_manual-10001005,Equipment preset
tutorial_manual-20001005,
tutorial_manual-10001100,Base
tutorial_manual-20001100,
tutorial_manual-10001101,DORM
tutorial_manual-20001101,
tutorial_manual-10001102,Procurement
tutorial_manual-20001102,
tutorial_manual-10001103,
tutorial_manual-20001103,
tutorial_manual-10001104,
tutorial_manual-20001104,
tutorial_manual-10001105,Visit Dorm
tutorial_manual-20001105,
tutorial_manual-10001106,Battery
tutorial_manual-20001106,
tutorial_manual-10001107,Data Room
tutorial_manual-20001107,
tutorial_manual-10001108,Cafe
tutorial_manual-20001108,
tutorial_manual-10001109,Rescue Station
tutorial_manual-20001109,
tutorial_manual-10001110,Fairy Chamber
tutorial_manual-20001110,
tutorial_manual-10001111,Forward Basecamp
tutorial_manual-20001111,
tutorial_manual-10001112,Garage
tutorial_manual-20001112,
tutorial_manual-10001113,Intelligence Center
tutorial_manual-20001113,
tutorial_manual-10001114,Protocol Control Center
tutorial_manual-20001114,
tutorial_manual-10001200,Coalition Forces
tutorial_manual-20001200,
tutorial_manual-10001201,
tutorial_manual-20001201,
tutorial_manual-10001202,
tutorial_manual-20001202,
tutorial_manual-10001203,
tutorial_manual-20001203,
tutorial_manual-10001204,
tutorial_manual-20001204,
tutorial_manual-10001205,
tutorial_manual-20001205,
tutorial_manual-10001206,Tactical Chip
tutorial_manual-20001206,
tutorial_manual-10001207,
tutorial_manual-20001207,
tutorial_manual-10001208,Coalition Drill
tutorial_manual-20001208,
tutorial_manual-10001209,
tutorial_manual-20001209,
tutorial_manual-10001210,Protocol Control Center
tutorial_manual-20001210,
tutorial_manual-10001300,Factory
tutorial_manual-20001300,
tutorial_manual-10001301,T-Doll Production
tutorial_manual-20001301,
tutorial_manual-10001302,Dummy Link
tutorial_manual-20001302,
tutorial_manual-10001303,
tutorial_manual-20001303,
tutorial_manual-10001304,T-Doll Enhancement
tutorial_manual-20001304,
tutorial_manual-10001305,
tutorial_manual-20001305,
tutorial_manual-10001306,
tutorial_manual-20001306,
tutorial_manual-10001307,Produce Equipment
tutorial_manual-20001307,
tutorial_manual-10001400,Research
tutorial_manual-20001400,
tutorial_manual-10001401,Skill Training
tutorial_manual-20001401,
tutorial_manual-10001402,Equipment Enhancement
tutorial_manual-20001402,
tutorial_manual-10001403,Equipment Calibration
tutorial_manual-20001403,
tutorial_manual-10001404,Fairy Enhancement
tutorial_manual-20001404,
tutorial_manual-10001405,Fairy Calibration
tutorial_manual-20001405,
tutorial_manual-10001406,Neural Upgrade
tutorial_manual-20001406,
tutorial_manual-10001500,
tutorial_manual-20001500,
tutorial_manual-10001501,Friend
tutorial_manual-20001501,
tutorial_manual-10001502,ID Card
tutorial_manual-20001502,
tutorial_manual-10001503,Support Echelon
tutorial_manual-20001503,
tutorial_manual-10001600,Commander's Wardrobe
tutorial_manual-20001600,
tutorial_manual-10001601,Commander Costume
tutorial_manual-20001601,
tutorial_manual-10001602,
tutorial_manual-20001602,
tutorial_manual-10001603,
tutorial_manual-20001603,
tutorial_manual-10001604,
tutorial_manual-20001604,
tutorial_manual-10001700,Forward Basecamp
tutorial_manual-20001700,
tutorial_manual-10001701,
tutorial_manual-20001701,
tutorial_manual-10001702,Exploration Preparation
tutorial_manual-20001702,
tutorial_manual-10001703,Black Market Shop
tutorial_manual-20001703,
tutorial_manual-10001800,
tutorial_manual-20001800,
tutorial_manual-10001801,Memory Collection
tutorial_manual-20001801,
tutorial_manual-10001802,Base Overview
tutorial_manual-20001802,
