item-10000001,T-Doll Contract
item-20000301,Data fragment of HOC BGM-71. "Sir//c friendly forces spotted in targeted zones!" "Oh dear... Well//c wish them luck!"
item-10000302,Central Data: AGS-30
item-20000302,Data fragment of HOC AGS-30. "Actually...we all have glasses." "That's right//c mine are just not as portable!"
item-10000303,Central Data: 2B14
item-20000303,Data fragment of HOC 2B14. "You remember if this is a grenade or the firework we stuffed full last night at the wine party?" "Whichever it is//c I'm sure someone will wanna watch//c right?"
item-10000304,Central Data: M2
item-20000304,Data fragment of HOC M2. "Are you sure...about this angle?" "Even if it doesn't work out//c it's not my fault. It's math's."
item-10000305,Central Data: AT4
item-20000305,Data fragment of HOC AT4
item-10000306,
item-20000306,
item-10000501,Manpower
item-20000501,A basic resource for powering T-Dolls operations.
item-10000502,Ammo
item-20000502,A basic resource for keeping T-Dolls armed.
item-10000503,Rations
item-20000503,A basic resource for sustaining T-Dolls' survival.
item-10000504,Parts
item-20000504,A basic resource for assembling T-Dolls.
item-10000505,Gems
item-20000505,The universal currency newly established in this era of chaos. "It's more useful than money in most cases."
item-10000506,Battery
item-20000506,Special battery used for auxiliary room expansions. "It's a bit big for a battery//c but the Battery Rights Organization says that even batteries have a right to dream."
item-10000507,Surplus EXP
item-20000507,Surplus EXP
item-10000508,Friendship Points
item-20000508,Acquired through gameplay interaction with friends. "Oh? Are you also a Friend from the end of the century?"
item-10000509,Fairy Command
item-20000509,Activate a Fairy's skill by using Fairy Commands. "Some people guess that there is a cap on the Fairy Commands because the Fairies are lazy."
item-10000510,Combat Sim Extra Energy
item-20000510,Sim Energy for conducting Combat Simulations. Obtainable from the Shop. "Limited purchases and infinite consumption. This is the market!"
item-10000511,Commander EXP
item-20000511,Commander EXP
item-10001001,AAT-52 Icon
item-20001001,AAT-52 Icon
item-10001002,G43 Icon
item-20001002,G43 Icon
item-10001003,IDW Icon
item-20001003,IDW Icon
item-10001004,L85A1 Icon
item-20001004,L85A1 Icon
item-10001005,M1911 Icon
item-20001005,M1911 Icon
item-10001006,PPSh-41 Icon
item-20001006,PPSh-41 Icon
item-10001007,M38 Icon
item-20001007,M38 Icon
item-10001008,AK-47 Icon
item-20001008,AK-47 Icon
item-10001009,G17 Icon
item-20001009,G17 Icon
item-10001010,Makarov Icon
item-20001010,Makarov Icon
item-10001011,Skorpion Icon
item-20001011,Skorpion Icon
item-10001012,Serdyukov Icon
item-20001012,Serdyukov Icon
item-10001013,AR15 Icon
item-20001013,AR15 Icon
item-10001014,M1918 Icon
item-20001014,M1918 Icon
item-10001015,Gr MP5 Icon
item-20001015,Gr MP5 Icon
item-10001016,PTRD Icon
item-20001016,PTRD Icon
item-10001017,UMP9 Icon
item-20001017,UMP9 Icon
item-10001018,Gr G11 Icon
item-20001018,Gr G11 Icon
item-10001019,OTs-14 Icon
item-20001019,OTs-14 Icon
item-10001020,Suomi Icon
item-20001020,Suomi Icon
item-10001021,IOP
item-20001021,Background: IOP
item-10001022,AEGIS
item-20001022,Background: AEGIS
item-10001023,Jupiter
item-20001023,Background: Jupiter
item-10001024,SOPMODII
item-20001024,Background: SOPMODII
item-10001025,Korvatunturi Pixie
item-20001025,Background: Korvatunturi Pixie
item-10001026,M4A1 Celebration Icon
item-20001026,M4A1 Celebration Icon
item-10001027,AR15 Celebration Icon
item-20001027,AR15 Celebration Icon
item-10001028,M16 Celebration Icon
item-20001028,M16 Celebration Icon
item-10001029,SOPMODII Celebration Icon
item-20001029,SOPMODII Celebration Icon
item-10001030,The 1st Anniversary Celebration ID Card Background
item-20001030,The 1st Anniversary Celebration ID Card Background
item-10001031,Bren Icon
item-20001031,Bren Icon
item-10001032,FMG-9 Icon
item-20001032,FMG-9 Icon
item-10001033,KS-23 Icon
item-20001033,KS-23 Icon
item-10001034,M9 Icon
item-20001034,M9 Icon
item-10001035,M1919A4 Icon
item-20001035,M1919A4 Icon
item-10001036,Ingram Icon
item-20001036,Ingram Icon
item-10001037,Micro Uzi Icon
item-20001037,Micro Uzi Icon
item-10001038,OTs-12 Icon
item-20001038,OTs-12 Icon
item-10001039,PPS-43 Icon
item-20001039,PPS-43 Icon
item-10001040,RMB-93 Icon
item-20001040,RMB-93 Icon
item-10001041,STEN Mk II Icon
item-20001041,STEN Mk II Icon
item-10001042,SV-98 Icon
item-20001042,SV-98 Icon
item-10001043,Gr G36 Icon
item-20001043,Gr G36 Icon
item-10001044,SAA Icon
item-20001044,SAA Icon
item-10001045,SPAS-12 Icon
item-20001045,SPAS-12 Icon
item-10001046,SVD Icon
item-20001046,SVD Icon
item-10001047,UMP45 Icon
item-20001047,UMP45 Icon
item-10001048,Am KSG Icon
item-20001048,Am KSG Icon
item-10001049,M99 Icon
item-20001049,M99 Icon
item-10001050,RO635 Icon
item-20001050,RO635 Icon
item-10001051,Manticore
item-20001051,Background: Manticore
item-10001052,Vespid&Ripper
item-20001052,Background: Vespid&Ripper
item-10001053,M4A1
item-20001053,Background: M4A1
item-10001054,SPP-1
item-20001054,Background: SPP-1
item-10001055,Dreamer
item-20001055,Background: Dreamer
item-10001056,UMP40 Icon
item-20001056,UMP40 Icon
item-10001057,Background: Deep Dive
item-20001057,Background: Deep Dive
item-10001058,FF FNP9 Icon
item-20001058,FF FNP9 Icon
item-10001059,Gr G3 Icon
item-20001059,Gr G3 Icon
item-10001060,LWMMG Icon
item-20001060,LWMMG Icon
item-10001061,M3 Icon
item-20001061,M3 Icon
item-10001062,M1895 Icon
item-20001062,M1895 Icon
item-10001063,Spectre M4 Icon
item-20001063,Spectre M4 Icon
item-10001064,SVT-38 Icon
item-20001064,SVT-38 Icon
item-10001065,M1 Garand Icon
item-20001065,M1 Garand Icon
item-10001066,M2HB Icon
item-20001066,M2HB Icon
item-10001067,M21 Icon
item-20001067,M21 Icon
item-10001068,StG44 Icon
item-20001068,StG44 Icon
item-10001069,Tokarev Icon
item-20001069,Tokarev Icon
item-10001070,AS Val Icon
item-20001070,AS Val Icon
item-10001071,M60 Icon
item-20001071,M60 Icon
item-10001072,Gr Mk23 Icon
item-20001072,Gr Mk23 Icon
item-10001073,Springfield Icon
item-20001073,Springfield Icon
item-10001074,Stechkin Icon
item-20001074,Stechkin Icon
item-10001075,Kar98k Icon
item-20001075,Kar98k Icon
item-10001076,M950A Icon
item-20001076,M950A Icon
item-10001077,Thompson Icon
item-20001077,Thompson Icon
item-10001078,Jaeger
item-20001078,Jaeger
item-10001079,Dragoon
item-20001079,Dragoon
item-10001080,Sangvis Ferri
item-20001080,Sangvis Ferri
item-10001081,ST AR-15
item-20001081,ST AR-15
item-10001082,Destroyer
item-20001082,Destroyer
item-10001083,Monitoring Room
item-20001083,Monitoring Room
item-10001084,Radar Station
item-20001084,Radar Station
item-10001085,Graffiti Art
item-20001085,Graffiti Art
item-10001086,Skyline Terrace
item-20001086,Skyline Terrace
item-10001087,Pumpkin Mishka
item-20001087,Pumpkin Mishka
item-10001088,Kitty Paws
item-20001088,Kitty Paws
item-10001089,Nocturnal Familiar
item-20001089,Nocturnal Familiar
item-10001090,Candy Express
item-20001090,Candy Express
item-10001091,Classic Witch
item-20001091,Classic Witch
item-10001092,Haunted Castle
item-20001092,Haunted Castle
item-10001093,Carmilla
item-20001093,Carmilla
item-10001094,Impish Sweetheart
item-20001094,Impish Sweetheart
item-10001095,Neet Zombie
item-20001095,Neet Zombie
item-10001096,Witch from Afar
item-20001096,Witch from Afar
item-10001097,Huntress' Frock
item-20001097,Huntress' Frock
item-10001098,Dorky Sleepyhead
item-20001098,Dorky Sleepyhead
item-10001099,Bunny Girl
item-20001099,Bunny Girl
item-10001100,Boisterous Rogue
item-20001100,Boisterous Rogue
item-10001101,Water Gown
item-20001101,Water Gown
item-10001102,Weekend Cop
item-20001102,Weekend Cop
item-10001103,Party Sweetheart
item-20001103,Party Sweetheart
item-10001104,Wish Upon A Star
item-20001104,Wish Upon A Star
item-10001105,O Holy Night
item-20001105,O Holy Night
item-10001106,Xmas Parade
item-20001106,Xmas Parade
item-10001107,Xmas At Home
item-20001107,Xmas At Home
item-10001108,Winter Fairy
item-20001108,Winter Fairy
item-10001109,Date in the Snow
item-20001109,Date in the Snow
item-10001110,Xmas Reindeer
item-20001110,Xmas Reindeer
item-10001111,Winter Supply
item-20001111,Winter Supply
item-10001112,Crimson Guardian
item-20001112,Crimson Guardian
item-10001113,Korvatunturi Pixie
item-20001113,Korvatunturi Pixie
item-10001114,Scarlet Sage
item-20001114,Scarlet Sage
item-10001115,Sunflower
item-20001115,Sunflower
item-10001116,Chrysanthemum
item-20001116,Chrysanthemum
item-10001117,Cyclamen
item-20001117,Cyclamen
item-10001118,Narcissus
item-20001118,Narcissus
item-10001119,Peony
item-20001119,Peony
item-10001120,Fairy Primrose
item-20001120,Fairy Primrose
item-10001121,Romantic Mission
item-20001121,Romantic Mission
item-10001122,"Am I Late?"
item-20001122,"Am I Late?"
item-10001123,"Just This Time."
item-20001123,"Just This Time."
item-10001124,English in Love
item-20001124,English in Love
item-10001125,At Your Service
item-20001125,At Your Service
item-10001126,A Couple's Journey
item-20001126,A Couple's Journey
item-10001127,Moment of Vows
item-20001127,Moment of Vows
item-10001128,Reciprocated Love
item-20001128,Reciprocated Love
item-10001129,Lifelong Protector
item-20001129,Lifelong Protector
item-10001130,By Your Side
item-20001130,By Your Side
item-10001131,Pinky Swear
item-20001131,Pinky Swear
item-10001132,The Big Day
item-20001132,The Big Day
item-10001133,Literary Girl
item-20001133,Literary Girl
item-10001134,Ace on Duty
item-20001134,Ace on Duty
item-10001135,Survival Club
item-20001135,Survival Club
item-10001136,Battle Sailor
item-20001136,Battle Sailor
item-10001137,Crimson Starlet
item-20001137,Crimson Starlet
item-10001138,Queen in Radiance
item-20001138,Queen in Radiance
item-10001139,Moonlit Ocean
item-20001139,Moonlit Ocean
item-10001140,Ballroom Interlude
item-20001140,Ballroom Interlude
item-10001141,Starry Cocoon
item-20001141,Starry Cocoon
item-10001142,Tender Nocturne
item-20001142,Tender Nocturne
item-10001143,Bunny Macchiato
item-20001143,Bunny Macchiato
item-10001144,Concert Diva!
item-20001144,Concert Diva!
item-10001145,Onion Shooter
item-20001145,Onion Shooter
item-10001146,Thumbelina
item-20001146,Thumbelina
item-10001147,Teddy//c Transform!
item-20001147,Teddy//c Transform!
item-10001148,Little Drifter
item-20001148,Little Drifter
item-10001149,Mini Maid
item-20001149,Mini Maid
item-10001150,μ-12
item-20001150,μ-12
item-10001151,Magnum Wedding
item-20001151,Magnum Wedding
item-10001152,Doll Annihilator
item-20001152,Doll Annihilator
item-10001153,Op. Blazing Sun
item-20001153,Op. Blazing Sun
item-10001154,Summer Cicada
item-20001154,Summer Cicada
item-10001155,Midsummer Pixie
item-20001155,Midsummer Pixie
item-10001156,Tropical Storm
item-20001156,Tropical Storm
item-10001157,Summer Parader
item-20001157,Summer Parader
item-10001158,Beach Princess
item-20001158,Beach Princess
item-10001159,Stirring Mermaid
item-20001159,Stirring Mermaid
item-10001160,Op. Manta Ray
item-20001160,Op. Manta Ray
item-10001161,Cruise Queen
item-20001161,Cruise Queen
item-10001162,Flower and Water
item-20001162,Flower and Water
item-10001163,Ode to Summer
item-20001163,Ode to Summer
item-10001164,Flurry of Petals
item-20001164,Flurry of Petals
item-10001165,The Three Crows
item-20001165,The Three Crows
item-10001166,Sleepless Begonias
item-20001166,Sleepless Begonias
item-10001167,Arctic Fox
item-20001167,Arctic Fox
item-10001168,Bullets Cafe
item-20001168,Bullets Cafe
item-10001169,Battlefield Baker
item-20001169,Battlefield Baker
item-10001170,Urban Holiday
item-20001170,Urban Holiday
item-10001171,Night at the Bar
item-20001171,Night at the Bar
item-10001172,Icon: Zombie Homebody
item-20001172,Icon: Zombie Homebody
item-10001173,Lord of Shadow
item-20001173,Lord of Shadow
item-10001174,Nine-Tail Fox
item-20001174,Nine-Tail Fox
item-10001175,The Seventh Sealer
item-20001175,The Seventh Sealer
item-10001176,Sister Gunslinger
item-20001176,Sister Gunslinger
item-10001177,The Last Alice
item-20001177,The Last Alice
item-10001178,Candy Thief
item-20001178,Candy Thief
item-10001179,Wolf Walker
item-20001179,Wolf Walker
item-10001180,Am RFB Icon
item-20001180,Am RFB Icon
item-10001181,S.A.T.8 Icon
item-20001181,S.A.T.8 Icon
item-10001182,USAS-12 Icon
item-20001182,USAS-12 Icon
item-10001183,Vector Icon
item-20001183,Vector Icon
item-10001184,Spitfire Icon
item-20001184,Spitfire Icon
item-10001185,Kar98k
item-20001185,Background: Kar98k
item-10001186,M4A1
item-20001186,Background: M4A1
item-10001187,M16A1
item-20001187,Background: M16A1
item-10001188,Halloween
item-20001188,Background: Halloweeen
item-10001189,Dinergate
item-20001189,Background: Dinergate
item-10001190,Kiana's Ballgown
item-20001190,Kiana's Ballgown
item-10001191,Bronya's Corselet
item-20001191,Bronya's Corselet
item-10001192,Seele's Kimono
item-20001192,Seele's Kimono
item-10001193,Icon: Solitaire - I only hope that one day…
item-20001193,Icon: Solitaire - I only hope that one day…
item-10001194,Icon: Solitaire - Kiana
item-20001194,Icon: Solitaire - Kiana
item-10001195,Icon: Solitaire - Mei
item-20001195,Icon: Solitaire - Mei
item-10001196,Icon: Solitaire - Bronya
item-20001196,Icon: Solitaire - Bronya
item-10001197,Icon: Solitaire - Theresa
item-20001197,Icon: Solitaire - Theresa
item-10001198,Icon: Solitaire - Himeko
item-20001198,Icon: Solitaire - Himeko
item-10001199,Icon: Solitaire - Seele
item-20001199,Icon: Solitaire - Seele
item-10001200,ID Card: Solitaire - Title Page
item-20001200,ID Card: Solitaire - Title Page
item-10001201,ID Card: Solitaire - Resentment
item-20001201,ID Card: Solitaire - Resentment
item-10001202,ID Card: Solitaire - Imminent Collapse
item-20001202,ID Card: Solitaire - Imminent Collapse
item-10001203,Demon Hunter
item-20001203,Demon Hunter
item-10001204,Opera Ghost
item-20001204,Opera Ghost
item-10001205,L.A.D.Y
item-20001205,L.A.D.Y
item-10001206,Call of the Hunter
item-20001206,Call of the Hunter
item-10001207,Babe Driver
item-20001207,Babe Driver
item-10001208,Raging Rider
item-20001208,Raging Rider
item-10001209,"Sommelier"
item-20001209,"Sommelier"
item-10001210,Icon: Demon Hunter
item-20001210,Icon: Demon Hunter
item-10001211,Base Background: Grand Theater
item-20001211,Base Background: Grand Theater
item-10001212,Icon: Korvatunturi Pixie
item-20001212,Icon: Korvatunturi Pixie
item-10001213,Base Background: A Corner on Christmas Eve
item-20001213,Base Background: A Corner on Christmas Eve
item-10001214,Base Background: Christmas Eve Lodge
item-20001214,Base Background: Christmas Eve Lodge
item-10001215,How RFB Stole Xmas
item-20001215,How RFB Stole Xmas
item-10001216,Schoenstes Geschenk
item-20001216,Schoenstes Geschenk
item-10001217,Gunshot in the Snow
item-20001217,Gunshot in the Snow
item-10001218,Winter Forager
item-20001218,Winter Forager
item-10001219,Little Gift Tree
item-20001219,Little Gift Tree
item-10001220,War Is Over
item-20001220,War Is Over
item-10001221,Forest Reindeer
item-20001221,Forest Reindeer
item-10001222,Icon: Tactical Ferret
item-20001222,Icon: Tactical Ferret
item-10001223,Icon: Griffin Christmas Emblem
item-20001223,Icon: Griffin Christmas Emblem
item-10001224,Icon: S.F. Christmas Emblem
item-20001224,Icon: S.F. Christmas Emblem
item-10001225,Icon: Mysterious Santa Claus
item-20001225,Icon: Mysterious Santa Claus
item-10001226,ID Card: A Christmas Meeting with Nature
item-20001226,ID Card: A Christmas Meeting with Nature
item-10001227,Trad. Chinese Server 1st Anniversary Icon
item-20001227,Trad. Chinese Server 1st Anniversary Icon
item-10001228,Icon: Official 4-Koma vol.1
item-20001228,Icon: Official 4-Koma vol.1
item-10001229,Icon: Official 4-Koma vol.2
item-20001229,Icon: Official 4-Koma vol.2
item-10001230,Icon: Official 4-Koma vol.3
item-20001230,Icon: Official 4-Koma vol.3
item-10001231,Rabbit Squad
item-20001231,Rabbit Squad
item-10001232,ThanX! & Go2Hell!
item-20001232,ThanX! & Go2Hell!
item-10001233,Snowflakes in Arms
item-20001233,Snowflakes in Arms
item-10001234,Crossing in Labyrinth
item-20001234,Crossing in Labyrinth
item-10001235,Cross the Milky Way
item-20001235,Cross the Milky Way
item-10001236,Trad. Chinese Server 1st Anniversary ID Card
item-20001236,Trad. Chinese Server 1st Anniversary ID Card
item-10001237,Icon: Reunion
item-20001237,Icon: Reunion
item-10001238,ID Card: Coercion
item-20001238,ID Card: Coercion
item-10001239,Red Peony
item-20001239,Red Peony
item-10001240,Wintersweet
item-20001240,Wintersweet
item-10001241,White Cabbage
item-20001241,White Cabbage
item-10001242,Fairy Lily
item-20001242,Fairy Lily
item-10001243,Honey Flower
item-20001243,Honey Flower
item-10001244,Angel's Trumpet
item-20001244,Angel's Trumpet
item-10001245,White Camellia
item-20001245,White Camellia
item-10001246,Golden Starthistle
item-20001246,Golden Starthistle
item-10001247,East Lake Lotus
item-20001247,East Lake Lotus
item-10001248,Icon: Official 4-Koma vol.4
item-20001248,Icon: Official 4-Koma vol.4
item-10001249,Icon: Goddess of Red Packets
item-20001249,Icon: Goddess of Red Packets
item-10001250,Background: Spring Festival Bar
item-20001250,Background: Spring Festival Bar
item-10001251,ID Card: Epitome of Femininity
item-20001251,ID Card: Epitome of Femininity
item-10001252,Ardent Devotion
item-20001252,Ardent Devotion
item-10001253,Smile of Acceptance
item-20001253,Smile of Acceptance
item-10001254,A Small Step
item-20001254,A Small Step
item-10001255,Pure White Cornflower
item-20001255,Pure White Cornflower
item-10001256,'Til Death Do Us Part
item-20001256,'Til Death Do Us Part
item-10001257,Pierce Your Heart!
item-20001257,Pierce Your Heart!
item-10001258,Icon: Melancholic Bride
item-20001258,Icon: Melancholic Bride
item-10001259,Background: Cathedral
item-20001259,Background: Cathedral
item-10001260,ID Card: Easter Warning
item-20001260,ID Card: Easter Warning
item-10001261,Icon: Easter Bunny
item-20001261,Icon: Easter Bunny
item-10001262,M1911 Neural Upgrade Icon
item-20001262,M1911 Neural Upgrade Icon
item-10001263,FF FN49 Neural Upgrade Icon
item-20001263,FF FN49 Neural Upgrade Icon
item-10001264,M4A1 Neural Upgrade Icon
item-20001264,M4A1 Neural Upgrade Icon
item-10001265,ST AR-15 Neural Upgrade Icon
item-20001265,ST AR-15 Neural Upgrade Icon
item-10001266,IDW Neural Upgrade Icon
item-20001266,IDW Neural Upgrade Icon
item-10001267,Type64 Neural Upgrade Icon
item-20001267,Type64 Neural Upgrade Icon
item-10001268,M1895 Neural Upgrade Icon
item-20001268,M1895 Neural Upgrade Icon
item-10001269,Mosin-Nagant Neural Upgrade Icon
item-20001269,Mosin-Nagant Neural Upgrade Icon
item-10001270,M1918 Neural Upgrade Icon
item-20001270,M1918 Neural Upgrade Icon
item-10001271,MP-446 Neural Upgrade Icon
item-20001271,MP-446 Neural Upgrade Icon
item-10001272,Far East Princess
item-20001272,Far East Princess
item-10001273,Dome Moonlight
item-20001273,Dome Moonlight
item-10001274,Waning Winter
item-20001274,Waning Winter
item-10001275,Dusk Phoenix
item-20001275,Dusk Phoenix
item-10001276,Icon: Black Rider
item-20001276,Icon: Black Rider
item-10001277,Icon: Wind Speaker
item-20001277,Icon: Wind Speaker
item-10001278,Icon: Fallen Angel
item-20001278,Icon: Fallen Angel
item-10001279,Icon: White Doll
item-20001279,Icon: White Doll
item-10001280,Icon: Cat Warrior
item-20001280,Icon: Cat Warrior
item-10001281,Icon: El Clear
item-20001281,Icon: El Clear
item-10001282,Icon: El Fail
item-20001282,Icon: El Fail
item-10001283,Icon: Queen of Pocket City
item-20001283,Icon: Queen of Pocket City
item-10001284,Pocket City Queen the Second
item-20001284,Pocket City Queen the Second
item-10001285,Pocket City Queen the Third
item-20001285,Pocket City Queen the Third
item-10001286,ID Card: Big Adventure in Pocket City
item-20001286,ID Card: Big Adventure in Pocket City
item-10001287,Icon: Official 4-koma - VOL. 5
item-20001287,Icon: Official 4-koma - VOL. 5
item-10001288,Icon: Anniversary Special Kalina
item-20001288,Icon: Anniversary Special Kalina
item-10001289,ID Card: Our Year Together
item-20001289,ID Card: Our Year Together
item-10001290,Highest Bid
item-20001290,Highest Bid
item-10001291,Starry Night Ball
item-20001291,Starry Night Ball
item-10001292,Nightfall Crisis
item-20001292,Nightfall Crisis
item-10001293,White Queen
item-20001293,White Queen
item-10001294,Queen of Miracles
item-20001294,Queen of Miracles
item-10001295,The World's Melody
item-20001295,The World's Melody
item-10001296,Diamond Flower
item-20001296,Diamond Flower
item-10001297,Cat in the Box
item-20001297,Cat in the Box
item-10001298,White Night Star
item-20001298,White Night Star
item-10001299,Icon: The Lost Avenger
item-20001299,Icon: The Lost Avenger
item-10001300,Icon: Determined Punisher
item-20001300,Icon: Determined Punisher
item-10001301,Icon: Heartless Doll
item-20001301,Icon: Heartless Doll
item-10001302,Icon: Smile of the Wolf
item-20001302,Icon: Smile of the Wolf
item-10001303,True Core Mask Memento Icon
item-20001303,True Core Mask Memento Icon
item-10001304,ID Card: Pippa's Song
item-20001304,ID Card: Pippa's Song
item-10001305,Icon: Official 4-koma - VOL. 6
item-20001305,Icon: Official 4-koma - VOL. 6
item-10001306,Icon: The Perfect Exchange
item-20001306,Icon: The Perfect Exchange
item-10001307,Little Brave Cano
item-20001307,Little Brave Cano
item-10001308,Miss Pinocchio
item-20001308,Miss Pinocchio
item-10001309,Adventures of Fenfen
item-20001309,Adventures of Fenfen
item-10001310,Frog Princess
item-20001310,Frog Princess
item-10001311,The Wonderful Adventures of Goose
item-20001311,The Wonderful Adventures of Goose
item-10001312,Lenore's Raven
item-20001312,Lenore's Raven
item-10001313,Icon: Metal Zongzi
item-20001313,Icon: Metal Zongzi
item-10001314,Icon: Zongzi Cat
item-20001314,Icon: Zongzi Cat
item-10001315,ID Card: Type Zongzi
item-20001315,ID Card: Type Zongzi
item-10001316,Korean Server 1st Anniversary Icon
item-20001316,Korean Server 1st Anniversary Icon
item-10001317,Korean Server 1st Anniversary ID Card
item-20001317,Korean Server 1st Anniversary ID Card
item-10001318,SAA Neural Upgrade Icon
item-20001318,SAA Neural Upgrade Icon
item-10001319,SV-98 Neural Upgrade Icon
item-20001319,SV-98 Neural Upgrade Icon
item-10001320,Gr G3 Neural Upgrade Icon
item-20001320,Gr G3 Neural Upgrade Icon
item-10001321,Bren Neural Upgrade Icon
item-20001321,Bren Neural Upgrade Icon
item-10001322,The Aristocrat Experience
item-20001322,The Aristocrat Experience
item-10001323,Flowerful Maid
item-20001323,Flowerful Maid
item-10001324,Home Ec Training
item-20001324,Home Ec Training
item-10001325,Beer Ranch
item-20001325,Beer Ranch
item-10001326,Contracted Today
item-20001326,Contracted Today
item-10001327,Icon: Aristocrat's Taste Test
item-20001327,Icon: Aristocrat's Taste Test
item-10001328,Background: Cozy Cafe
item-20001328,Background: Cozy Cafe
item-10001329,ID Card: Maid Internship
item-20001329,ID Card: Maid Internship
item-10001330,Icon: Kitsune Mask
item-20001330,Icon: Kitsune Mask
item-10001331,Base Background:Fireworks of Summer
item-20001331,Base Background:Fireworks of Summer
item-10001332,Icon: Reservoir Dog
item-20001332,Icon: Reservoir Dog
item-10001333,ID Card: Final Flight
item-20001333,ID Card: Final Flight
item-10001334,Beach Punk 2064
item-20001334,Beach Punk 2064
item-10001335,Age of Slushies
item-20001335,Age of Slushies
item-10001336,The Sun Never Rises
item-20001336,The Sun Never Rises
item-10001337,The Diving Bell and the Doll
item-20001337,The Diving Bell and the Doll
item-10001338,Lollipop Ammo
item-20001338,Lollipop Ammo
item-10001339,FAL's Summer
item-20001339,FAL's Summer
item-10001340,50 Days with Gr G36
item-20001340,50 Days with Gr G36
