carnival_task_type-10000001,Total Login
carnival_task_type-10000030,T-Doll Level Up
carnival_task_type-20000030,Level up T-Dolls {0} times.
carnival_task_type-10000031,T-Doll Enhancement
carnival_task_type-20000031,Perform T-Doll Enhancement {0} times.
carnival_task_type-10000032,Affection
carnival_task_type-20000032,Increase T-Doll Affection by {0} points.
carnival_task_type-10000033,Establish Oath
carnival_task_type-20000033,Establish Oath with {0} T-Dolls.
carnival_task_type-10000034,T-Doll Production
carnival_task_type-20000034,Produce a T-Doll {0} times.
carnival_task_type-10000035,Equipment Production
carnival_task_type-20000035,Produce an equipment {0} times.
carnival_task_type-10000036,Test Your Luck - Equipment
carnival_task_type-20000036,Produce a 4-star equipment {0} times.
carnival_task_type-10000037,Test Your Luck - Equipment
carnival_task_type-20000037,Produce a 5-star equipment {0} times.
carnival_task_type-10000038,Manpower Consumption
carnival_task_type-20000038,Consume Manpower * {0} in total.
carnival_task_type-10000039,Ration Consumption
carnival_task_type-20000039,Consume Ration * {0} in total.
carnival_task_type-10000040,Parts Consumption
carnival_task_type-20000040,Consume Parts * {0} in total.
carnival_task_type-10000041,Energy Purchase
carnival_task_type-20000041,Purchase Sim Energy {0} times.
carnival_task_type-10000042,Core Consumption
carnival_task_type-20000042,Consume Dummy Core * {0} in total.
carnival_task_type-10000043,Exchange Ticket Consumption
carnival_task_type-20000043,Consume Exchange Tickets * {0} in total.
carnival_task_type-10000044,Black Card Consumption
carnival_task_type-20000044,Consume Black Cards * {0} in total.
carnival_task_type-10000045,Gifting
carnival_task_type-20000045,Gift a total of {0} gifts.
carnival_task_type-10000046,Purchasing
carnival_task_type-20000046,Purchase gacha {0} times. (Purchasing a 10-roll counts as 11 times)
carnival_task_type-10000047,Enhancement Capsule
carnival_task_type-20000047,Consume Enhancement Capsule * {0} in total.
carnival_task_type-10000048,Quick Training Contract
carnival_task_type-20000048,Consume Quick Training Contracts * {0} in total.
carnival_task_type-10000049,Quick Repair Contract
carnival_task_type-20000049,Consume Quick Repair Contracts * {0} in total.
carnival_task_type-10000050,Gems Consumption
carnival_task_type-20000050,Consume Gems * {0} in total.
carnival_task_type-10000051,Recharge - Amount
carnival_task_type-20000051,Recharge ${0}.
carnival_task_type-10000052,Recharge - Days
carnival_task_type-20000052,Recharge for one/two/three days in total (any amount). A maximum of one day will be counted for the sake of this mission in a single day regardless of the number of recharges.
carnival_task_type-10000053,Heavy Production
carnival_task_type-20000053,Use T-Doll Heavy Production {0} times.
carnival_task_type-10000054,Equipment Calibration
carnival_task_type-20000054,
carnival_task_type-10000055,Defense Drill
carnival_task_type-20000055,
carnival_task_type-10000056,
carnival_task_type-20000056,Eliminate Hunter in {0} victorious battles.
carnival_task_type-10000057,
carnival_task_type-20000057,Eliminate Executioner in {0} victorious battles.
carnival_task_type-10000058,
carnival_task_type-20000058,Eliminate Architect in {0} victorious battles.
carnival_task_type-10000059,
carnival_task_type-20000059,Eliminate Ouroboros in {0} victorious battles.
carnival_task_type-10000060,
carnival_task_type-20000060,Gather {0} Friend Points during the event.
carnival_task_type-10000061,
carnival_task_type-20000061,Consume Friend Points during the event * {0} in total.
carnival_task_type-10000062,
carnival_task_type-20000062,Consume construction materials * {0} in total.
carnival_task_type-10000063,Wanted
carnival_task_type-20000063,Eliminate Intruder in {0} victorious battles.
carnival_task_type-10000064,Wanted
carnival_task_type-20000064,Eliminate Destroyer in {0} victorious battles.
carnival_task_type-10000065,Wanted
carnival_task_type-20000065,Eliminate Alchemist in {0} victorious battles.
carnival_task_type-10000066,
carnival_task_type-20000066,Consume Quick Production Contracts * {0} in total.
carnival_task_type-10000067,Logistic Support Great Success
carnival_task_type-20000067,Get Great Sucess {0} times.
carnival_task_type-10000068,Challenge and win the designated mission 5 times
carnival_task_type-20000068,M4A1: AR-15...Have you actually experienced...'death'...? (Find out the mission according to the clue)
carnival_task_type-10000069,Challenge and win the designated mission 5 times
carnival_task_type-20000069,IDW: Oh! Safe at last! Thank you so much//c Master of someone else! (Find out the mission according to the clue)
carnival_task_type-10000070,Challenge and win the designated mission 5 times
carnival_task_type-20000070,MP40: Wait! You over there! Is that FFC? Please finish your ice cream before you join the queue. Don't drip it on someone else! (Find out the mission according to the clue)
carnival_task_type-10000071,
carnival_task_type-20000071,
carnival_task_type-10000072,
carnival_task_type-20000072,
carnival_task_type-10000073,
carnival_task_type-20000073,
carnival_task_type-10000074,
carnival_task_type-20000074,
carnival_task_type-10000075,
carnival_task_type-20000075,
carnival_task_type-10000076,
carnival_task_type-20000076,
carnival_task_type-10000077,
carnival_task_type-20000077,
carnival_task_type-10000078,
carnival_task_type-20000078,Equipment Heavy Production
carnival_task_type-10000079,
carnival_task_type-20000079,Battle in event map or regular map
carnival_task_type-10000080,
carnival_task_type-20000080,Perform {0} Neural Upgrades
carnival_task_type-10000081,
carnival_task_type-20000081,Reset event map {0} times.
carnival_task_type-10000082,
carnival_task_type-20000082,Rabbit Hole high score reaches {0}.
carnival_task_type-10000083,
carnival_task_type-20000083,Purchase a comic {0} times.
carnival_task_type-10000084,
carnival_task_type-20000084,Purchase a PV {0} times.
carnival_task_type-10000085,
carnival_task_type-20000085,Complete Neural Cloud Corridor {0} times (any difficulty)
carnival_task_type-10000086,Test Your Luck
carnival_task_type-20000086,Acquire Tactical Fairy {0}
carnival_task_type-10000087,
carnival_task_type-20000087,Heavy Production {0}
carnival_task_type-10000088,Intelligence Analysis
carnival_task_type-20000088,Conduct Intelligence Analysis {0} times with Original Sample.
carnival_task_type-10000089,Intelligence Analysis
carnival_task_type-20000089,Conduct Intelligence Analysis {0} times with Pure Sample.
carnival_task_type-10000090,Intelligence Analysis
carnival_task_type-20000090,Conduct Intelligence Analysis {0} times. (Both Original and Pure Samples are acceptable)
carnival_task_type-10000091,Central Data
carnival_task_type-20000091,Acquire {0} pieces of Central Data through Intelligence Analysis.
carnival_task_type-10000092,Test Your Luck
carnival_task_type-20000092,Acquire {0} 4-star chips through Intelligence Analysis.
carnival_task_type-10000093,Test Your Luck
carnival_task_type-20000093,Acquire {0} 5-star chips through Intelligence Analysis.
carnival_task_type-10000094,Heavy Ordnance Corps Level Up
carnival_task_type-20000094,Level up a unit of your HOC {0} times.
carnival_task_type-10000095,Heavy Ordnance Corps Enhancement
carnival_task_type-20000095,Spend {0} Enhancement Capsules on a unit of your HOC.
carnival_task_type-10000096,Heavy Ordnance Corps Training
carnival_task_type-20000096,Complete HOC EXP or Skill Training {0} times.
carnival_task_type-10000097,Heavy Ordnance Corps Promotion
carnival_task_type-20000097,Promote a unit of your HOC {0} times.
carnival_task_type-10000098,Heavy Ordnance Corps Iteration
carnival_task_type-20000098,Undergo HOC Iteration {0} times.
carnival_task_type-10000099,Chip Enhancement
carnival_task_type-20000099,Use {0} chips through Chip Enhancement.
carnival_task_type-10000100,Doll Dummy Linking
carnival_task_type-20000100,Perform {0} Dummy Links.
carnival_task_type-10000101,Armored Machine Type S.F. Forces
carnival_task_type-20000101,Eliminate {0} armored machine type S.F. enemies in victorious battles.
carnival_task_type-10000102,Normal Machine Type S.F. Forces
carnival_task_type-20000102,Eliminate {0} normal machine type S.F. enemies in victorious battles.
carnival_task_type-10000103,Normal Doll Type S.F. Forces
carnival_task_type-20000103,Eliminate {0} normal Doll type S.F. enemies in victorious battles.
carnival_task_type-10000104,BOSS Extermination
carnival_task_type-20000104,Eliminate a total of {0} bosses in victorious battles.
carnival_task_type-10000105,Collect Batteries
carnival_task_type-20000105,Collect batteries from friends' dorms {0} times.
carnival_task_type-10000106,Complete Intelligence Mission
carnival_task_type-20000106,Complete {0} Intelligence Missions.
carnival_task_type-10000107,Spend Quick Analysis Contract
carnival_task_type-20000107,Consume Quick Analysis Contracts * {0} in total.
carnival_task_type-10000108,Test Your Luck - BGM-71
carnival_task_type-20000108,Acquire {0} pieces of the anti-tank weapon's Central Data.
carnival_task_type-10000109,Test Your Luck - 2B14
carnival_task_type-20000109,Acquire {0} pieces of the mortar's Central Data.
carnival_task_type-10000110,Test Your Luck - AGS-30
carnival_task_type-20000110,Acquire {0} pieces of the grenade launcher's Central Data.
carnival_task_type-10000111,Acquire Original Sample
carnival_task_type-20000111,Acquire {0} Original Samples.
carnival_task_type-10000112,Acquire Pure Sample
carnival_task_type-20000112,Acquire {0} Pure Samples.
carnival_task_type-10000113,Produce Combat Reports
carnival_task_type-20000113,Produce a total of {0} Combat Reports. (Both Combat Report and Special Combat Report are acceptable)
carnival_task_type-10000114,Complete Exploration
carnival_task_type-20000114,Complete a total of {0} hours of exploration
carnival_task_type-10000115,Commander Costume Purchase
carnival_task_type-20000115,Purchase {0} pieces of Commander costumes
carnival_task_type-10000116,Commander Costume Obtained
carnival_task_type-20000116,Obtain {0} pieces of Commander costumes
carnival_task_type-10000117,Random Dye
carnival_task_type-20000117,Purchase {0} random dyes
carnival_task_type-10000118,Specified Dye
carnival_task_type-20000118,Purchase {0} specified dyes
carnival_task_type-10000119,Use Dyes
carnival_task_type-20000119,Use {0} dyes
