main_quest-10000001,Mission Accomplished: Normal 1-1
main_quest-10000028,Mission Accomplished: Emergency 1-4
main_quest-20000028,Complete Emergency 1-4 for the first time to acquire the bronze medal.
main_quest-10000029,Mission Accomplished: Emergency 2-1
main_quest-20000029,Complete Emergency 2-1 for the first time to acquire the bronze medal.
main_quest-10000030,Mission Accomplished: Emergency 2-2
main_quest-20000030,Complete Emergency 2-2 for the first time to acquire the bronze medal.
main_quest-10000031,Mission Accomplished: Emergency 2-3
main_quest-20000031,Complete Emergency 2-3 for the first time to acquire the bronze medal.
main_quest-10000032,Mission Accomplished: Emergency 2-4
main_quest-20000032,Complete Emergency 2-4 for the first time to acquire the bronze medal.
main_quest-10000033,Mission Accomplished: Emergency 3-1
main_quest-20000033,Complete Emergency 3-1 for the first time to acquire the bronze medal.
main_quest-10000034,Mission Accomplished: Emergency 3-2
main_quest-20000034,Complete Emergency 3-2 for the first time to acquire the bronze medal.
main_quest-10000035,Mission Accomplished: Emergency 3-3
main_quest-20000035,Complete Emergency 3-3 for the first time to acquire the bronze medal.
main_quest-10000036,Mission Accomplished: Emergency 3-4
main_quest-20000036,Complete Emergency 3-4 for the first time to acquire the bronze medal.
main_quest-10000037,Mission Accomplished: Emergency 4-1
main_quest-20000037,Complete Emergency 4-1 for the first time to acquire the bronze medal.
main_quest-10000038,Mission Accomplished: Emergency 4-2
main_quest-20000038,Complete Emergency 4-2 for the first time to acquire the bronze medal.
main_quest-10000039,Mission Accomplished: Emergency 4-3
main_quest-20000039,Complete Emergency 4-3 for the first time to acquire the bronze medal.
main_quest-10000040,Mission Accomplished: Emergency 4-4
main_quest-20000040,Complete Emergency 4-4 for the first time to acquire the bronze medal.
main_quest-10000041,Covert Mission: 0-1
main_quest-20000041,Complete 0-1 for the first time to acquire the bronze medal.
main_quest-10000042,Covert Mission: 0-2
main_quest-20000042,Complete 0-2 for the first time to acquire the bronze medal.
main_quest-10000043,Covert Mission: 0-3
main_quest-20000043,Complete 0-3 for the first time to acquire the bronze medal.
main_quest-10000044,Covert Mission: 0-4
main_quest-20000044,Complete 0-4 for the first time to acquire the bronze medal.
main_quest-10000045,Total Lockdown: Normal 1-1
main_quest-20000045,Take over the whole map in Normal 1-1 to acquire the silver medal.
main_quest-10000046,Total Lockdown: Normal 1-2
main_quest-20000046,Take over the whole map in Normal 1-2 to acquire the silver medal.
main_quest-10000047,Total Lockdown: Normal 1-3
main_quest-20000047,Take over the whole map in Normal 1-3 to acquire the silver medal.
main_quest-10000048,Total Lockdown: Normal 1-4
main_quest-20000048,Take over the whole map in Normal 1-4 to acquire the silver medal.
main_quest-10000049,Total Lockdown: Normal 1-5
main_quest-20000049,Take over the whole map in Normal 1-5 to acquire the silver medal.
main_quest-10000050,Total Lockdown: Normal 1-6
main_quest-20000050,Take over the whole map in Normal 1-6 to acquire the silver medal.
main_quest-10000051,Total Lockdown: Normal 2-1
main_quest-20000051,Take over the whole map in Normal 2-1 to acquire the silver medal.
main_quest-10000052,Total Lockdown: Normal 2-2
main_quest-20000052,Take over the whole map in Normal 2-2 to acquire the silver medal.
main_quest-10000053,Total Lockdown: Normal 2-3
main_quest-20000053,Take over the whole map in Normal 2-3 to acquire the silver medal.
main_quest-10000054,Total Lockdown: Normal 2-4
main_quest-20000054,Take over the whole map in Normal 2-4 to acquire the silver medal.
main_quest-10000055,Total Lockdown: Normal 2-5
main_quest-20000055,Take over the whole map in Normal 2-5 to acquire the silver medal.
main_quest-10000056,Total Lockdown: Normal 2-6
main_quest-20000056,Take over the whole map in Normal 2-6 to acquire the silver medal.
main_quest-10000057,Total Lockdown: Normal 3-1
main_quest-20000057,Take over the whole map in Normal 3-1 to acquire the silver medal.
main_quest-10000058,Total Lockdown: Normal 3-2
main_quest-20000058,Take over the whole map in Normal 3-2 to acquire the silver medal.
main_quest-10000059,Total Lockdown: Normal 3-3
main_quest-20000059,Take over the whole map in Normal 3-3 to acquire the silver medal.
main_quest-10000060,Total Lockdown: Normal 3-4
main_quest-20000060,Take over the whole map in Normal 3-4 to acquire the silver medal.
main_quest-10000061,Total Lockdown: Normal 3-5
main_quest-20000061,Take over the whole map in Normal 3-5 to acquire the silver medal.
main_quest-10000062,Total Lockdown: Normal 3-6
main_quest-20000062,Take over the whole map in Normal 3-6 to acquire the silver medal.
main_quest-10000063,Total Lockdown: Normal 4-1
main_quest-20000063,Take over the whole map in Normal 4-1 to acquire the silver medal.
main_quest-10000064,Total Lockdown: Normal 4-2
main_quest-20000064,Take over the whole map in Normal 4-2 to acquire the silver medal.
main_quest-10000065,Total Lockdown: Normal 4-3
main_quest-20000065,Take over the whole map in Normal 4-3 to acquire the silver medal.
main_quest-10000066,Total Lockdown: Normal 4-4
main_quest-20000066,Take over the whole map in Normal 4-4 to acquire the silver medal.
main_quest-10000067,Total Lockdown: Normal 4-5
main_quest-20000067,Take over the whole map in Normal 4-5 to acquire the silver medal.
main_quest-10000068,Total Lockdown: Normal 4-6
main_quest-20000068,Take over the whole map in Normal 4-6 to acquire the silver medal.
main_quest-10000069,Total Lockdown: Emergency 1-1
main_quest-20000069,Take over the whole map in Emergency 1-1 to acquire the silver medal.
main_quest-10000070,Total Lockdown: Emergency 1-2
main_quest-20000070,Take over the whole map in Emergency 1-2 to acquire the silver medal.
main_quest-10000071,Total Lockdown: Emergency 1-3
main_quest-20000071,Take over the whole map in Emergency 1-3 to acquire the silver medal.
main_quest-10000072,Total Lockdown: Emergency 1-4
main_quest-20000072,Take over the whole map in Emergency 1-4 to acquire the silver medal.
main_quest-10000073,Total Lockdown: Emergency 2-1
main_quest-20000073,Take over the whole map in Emergency 2-1 to acquire the silver medal.
main_quest-10000074,Total Lockdown: Emergency 2-2
main_quest-20000074,Take over the whole map in Emergency 2-2 to acquire the silver medal.
main_quest-10000075,Total Lockdown: Emergency 2-3
main_quest-20000075,Take over the whole map in Emergency 2-3 to acquire the silver medal.
main_quest-10000076,Total Lockdown: Emergency 2-4
main_quest-20000076,Take over the whole map in Emergency 2-4 to acquire the silver medal.
main_quest-10000077,Total Lockdown: Emergency 3-1
main_quest-20000077,Take over the whole map in Emergency 3-1 to acquire the silver medal.
main_quest-10000078,Total Lockdown: Emergency 3-2
main_quest-20000078,Take over the whole map in Emergency 3-2 to acquire the silver medal.
main_quest-10000079,Total Lockdown: Emergency 3-3
main_quest-20000079,Take over the whole map in Emergency 3-3 to acquire the silver medal.
main_quest-10000080,Total Lockdown: Emergency 3-4
main_quest-20000080,Take over the whole map in Emergency 3-4 to acquire the silver medal.
main_quest-10000081,Total Lockdown: Emergency 4-1
main_quest-20000081,Take over the whole map in Emergency 4-1 to acquire the silver medal.
main_quest-10000082,Total Lockdown: Emergency 4-2
main_quest-20000082,Take over the whole map in Emergency 4-2 to acquire the silver medal.
main_quest-10000083,Total Lockdown: Emergency 4-3
main_quest-20000083,Take over the whole map in Emergency 4-3 to acquire the silver medal.
main_quest-10000084,Total Lockdown: Emergency 4-4
main_quest-20000084,Take over the whole map in Emergency 4-4 to acquire the silver medal.
main_quest-10000085,Total Lockdown: 0-1
main_quest-20000085,Take over the whole map in 0-1 to acquire the silver medal.
main_quest-10000086,Total Lockdown: 0-2
main_quest-20000086,Take over the whole map in 0-2 to acquire the silver medal.
main_quest-10000087,Total Lockdown: 0-3
main_quest-20000087,Take over the whole map in 0-3 to acquire the silver medal.
main_quest-10000088,Total Lockdown: 0-4
main_quest-20000088,Take over the whole map in 0-4 to acquire the silver medal.
main_quest-10000089,Perfect Victory: Normal 1-1
main_quest-20000089,Complete Normal 1-1 with S rank for the first time to acquire the gold medal.
main_quest-10000090,Perfect Victory: Normal 1-2
main_quest-20000090,Complete Normal 1-2 with S rank for the first time to acquire the gold medal.
main_quest-10000091,Perfect Victory: Normal 1-3
main_quest-20000091,Complete Normal 1-3 with S rank for the first time to acquire the gold medal.
main_quest-10000092,Perfect Victory: Normal 1-4
main_quest-20000092,Complete Normal 1-4 with S rank for the first time to acquire the gold medal.
main_quest-10000093,Perfect Victory: Normal 1-5
main_quest-20000093,Complete Normal 1-5 with S rank for the first time to acquire the gold medal.
main_quest-10000094,Perfect Victory: Normal 1-6
main_quest-20000094,Complete Normal 1-6 with S rank for the first time to acquire the gold medal.
main_quest-10000095,Perfect Victory: Normal 2-1
main_quest-20000095,Complete Normal 2-1 with S rank for the first time to acquire the gold medal.
main_quest-10000096,Perfect Victory: Normal 2-2
main_quest-20000096,Complete Normal 2-2 with S rank for the first time to acquire the gold medal.
main_quest-10000097,Perfect Victory: Normal 2-3
main_quest-20000097,Complete Normal 2-3 with S rank for the first time to acquire the gold medal.
main_quest-10000098,Perfect Victory: Normal 2-4
main_quest-20000098,Complete Normal 2-4 with S rank for the first time to acquire the gold medal.
main_quest-10000099,Perfect Victory: Normal 2-5
main_quest-20000099,Complete Normal 2-5 with S rank for the first time to acquire the gold medal.
main_quest-10000100,Perfect Victory: Normal 2-6
main_quest-20000100,Complete Normal 2-6 with S rank for the first time to acquire the gold medal.
main_quest-10000101,Perfect Victory: Normal 3-1
main_quest-20000101,Complete Normal 3-1 with S rank for the first time to acquire the gold medal.
main_quest-10000102,Perfect Victory: Normal 3-2
main_quest-20000102,Complete Normal 3-2 with S rank for the first time to acquire the gold medal.
main_quest-10000103,Perfect Victory: Normal 3-3
main_quest-20000103,Complete Normal 3-3 with S rank for the first time to acquire the gold medal.
main_quest-10000104,Perfect Victory: Normal 3-4
main_quest-20000104,Complete Normal 3-4 with S rank for the first time to acquire the gold medal.
main_quest-10000105,Perfect Victory: Normal 3-5
main_quest-20000105,Complete Normal 3-5 with S rank for the first time to acquire the gold medal.
main_quest-10000106,Perfect Victory: Normal 3-6
main_quest-20000106,Complete Normal 3-6 with S rank for the first time to acquire the gold medal.
main_quest-10000107,Perfect Victory: Normal 4-1
main_quest-20000107,Complete Normal 4-1 with S rank for the first time to acquire the gold medal.
main_quest-10000108,Perfect Victory: Normal 4-2
main_quest-20000108,Complete Normal 4-2 with S rank for the first time to acquire the gold medal.
main_quest-10000109,Perfect Victory: Normal 4-3
main_quest-20000109,Complete Normal 4-3 with S rank for the first time to acquire the gold medal.
main_quest-10000110,Perfect Victory: Normal 4-4
main_quest-20000110,Complete Normal 4-4 with S rank for the first time to acquire the gold medal.
main_quest-10000111,Perfect Victory: Normal 4-5
main_quest-20000111,Complete Normal 4-5 with S rank for the first time to acquire the gold medal.
main_quest-10000112,Perfect Victory: Normal 4-6
main_quest-20000112,Complete Normal 4-6 with S rank for the first time to acquire the gold medal.
main_quest-10000113,Perfect Victory: Emergency 1-1
main_quest-20000113,Complete Emergency 1-1 with S rank for the first time to acquire the gold medal.
main_quest-10000114,Perfect Victory: Emergency 1-2
main_quest-20000114,Complete Emergency 1-2 with S rank for the first time to acquire the gold medal.
main_quest-10000115,Perfect Victory: Emergency 1-3
main_quest-20000115,Complete Emergency 1-3 with S rank for the first time to acquire the gold medal.
main_quest-10000116,Perfect Victory: Emergency 1-4
main_quest-20000116,Complete Emergency 1-4 with S rank for the first time to acquire the gold medal.
main_quest-10000117,Perfect Victory: Emergency 2-1
main_quest-20000117,Complete Emergency 2-1 with S rank for the first time to acquire the gold medal.
main_quest-10000118,Perfect Victory: Emergency 2-2
main_quest-20000118,Complete Emergency 2-2 with S rank for the first time to acquire the gold medal.
main_quest-10000119,Perfect Victory: Emergency 2-3
main_quest-20000119,Complete Emergency 2-3 with S rank for the first time to acquire the gold medal.
main_quest-10000120,Perfect Victory: Emergency 2-4
main_quest-20000120,Complete Emergency 2-4 with S rank for the first time to acquire the gold medal.
main_quest-10000121,Perfect Victory: Emergency 3-1
main_quest-20000121,Complete Emergency 3-1 with S rank for the first time to acquire the gold medal.
main_quest-10000122,Perfect Victory: Emergency 3-2
main_quest-20000122,Complete Emergency 3-2 with S rank for the first time to acquire the gold medal.
main_quest-10000123,Perfect Victory: Emergency 3-3
main_quest-20000123,Complete Emergency 3-3 with S rank for the first time to acquire the gold medal.
main_quest-10000124,Perfect Victory: Emergency 3-4
main_quest-20000124,Complete Emergency 3-4 with S rank for the first time to acquire the gold medal.
main_quest-10000125,Perfect Victory: Emergency 4-1
main_quest-20000125,Complete Emergency 4-1 with S rank for the first time to acquire the gold medal.
main_quest-10000126,Perfect Victory: Emergency 4-2
main_quest-20000126,Complete Emergency 4-2 with S rank for the first time to acquire the gold medal.
main_quest-10000127,Perfect Victory: Emergency 4-3
main_quest-20000127,Complete Emergency 4-3 with S rank for the first time to acquire the gold medal.
main_quest-10000128,Perfect Victory: Emergency 4-4
main_quest-20000128,Complete Emergency 4-4 with S rank for the first time to acquire the gold medal.
main_quest-10000129,Perfect Victory: 0-1
main_quest-20000129,Complete 0-1 with S rank for the first time to acquire the gold medal.
main_quest-10000130,Perfect Victory: 0-2
main_quest-20000130,Complete 0-2 with S rank for the first time to acquire the gold medal.
main_quest-10000131,Perfect Victory: 0-3
main_quest-20000131,Complete 0-3 with S rank for the first time to acquire the gold medal.
main_quest-10000132,Perfect Victory: 0-4
main_quest-20000132,Complete 0-4 with S rank for the first time to acquire the gold medal.
main_quest-10000133,Promotion: Level 5
main_quest-20000133,Commander level reaches Level 5.
main_quest-10000134,Promotion: Level 10
main_quest-20000134,Commander level reaches Level 10.
main_quest-10000135,Promotion: Level 15
main_quest-20000135,Commander level reaches Level 15.
main_quest-10000136,Promotion: Level 20
main_quest-20000136,Commander level reaches Level 20.
main_quest-10000137,Promotion: Level 25
main_quest-20000137,Commander level reaches Level 25.
main_quest-10000138,Promotion: Level 30
main_quest-20000138,Commander level reaches Level 30.
main_quest-10000139,Promotion: Level 35
main_quest-20000139,Commander level reaches Level 35.
main_quest-10000140,Promotion: Level 40
main_quest-20000140,Commander level reaches Level 40.
main_quest-10000141,Promotion: Level 45
main_quest-20000141,Commander level reaches Level 45.
main_quest-10000142,Promotion: Level 50
main_quest-20000142,Commander level reaches Level 50.
main_quest-10000143,Promotion: Level 60
main_quest-20000143,Commander level reaches Level 60.
main_quest-10000144,Promotion: Level 70
main_quest-20000144,Commander level reaches Level 70.
main_quest-10000145,Promotion: Level 80
main_quest-20000145,Commander level reaches Level 80.
main_quest-10000146,Promotion: Level 90
main_quest-20000146,Commander level reaches Level 90.
main_quest-10000147,Promotion: Level 100
main_quest-20000147,Commander level reaches Level 100.
main_quest-10000148,Promotion: Level 120
main_quest-20000148,Commander level reaches Level 120.
main_quest-10000149,Promotion: Level 140
main_quest-20000149,Commander level reaches Level 140.
main_quest-10000150,Promotion: Level 160
main_quest-20000150,Commander level reaches Level 160.
main_quest-10000151,Promotion: Level 180
main_quest-20000151,Commander level reaches Level 180.
main_quest-10000152,Promotion: Level 200
main_quest-20000152,Commander level reaches Level 200.
main_quest-10000153,Mission Accomplished: Normal 5-1
main_quest-20000153,Complete Normal 5-1 for the first time to acquire the bronze medal.
main_quest-10000154,Mission Accomplished: Normal 5-2
main_quest-20000154,Complete Normal 5-2 for the first time to acquire the bronze medal.
main_quest-10000155,Mission Accomplished: Normal 5-3
main_quest-20000155,Complete Normal 5-3 for the first time to acquire the bronze medal.
main_quest-10000156,Mission Accomplished: Normal 5-4
main_quest-20000156,Complete Normal 5-4 for the first time to acquire the bronze medal.
main_quest-10000157,Mission Accomplished: Normal 5-5
main_quest-20000157,Complete Normal 5-5 for the first time to acquire the bronze medal.
main_quest-10000158,Mission Accomplished: Normal 5-6
main_quest-20000158,Complete Normal 5-6 for the first time to acquire the bronze medal.
main_quest-10000159,Mission Accomplished: Emergency 5-1
main_quest-20000159,Complete Emergency 5-1 for the first time to acquire the bronze medal.
main_quest-10000160,Mission Accomplished: Emergency 5-2
main_quest-20000160,Complete Emergency 5-2 for the first time to acquire the bronze medal.
main_quest-10000161,Mission Accomplished: Emergency 5-3
main_quest-20000161,Complete Emergency 5-3 for the first time to acquire the bronze medal.
main_quest-10000162,Mission Accomplished: Emergency 5-4
main_quest-20000162,Complete Emergency 5-4 for the first time to acquire the bronze medal.
main_quest-10000163,Total Lockdown: Normal 5-1
main_quest-20000163,Take over the whole map in Normal 5-1 to acquire the silver medal.
main_quest-10000164,Total Lockdown: Normal 5-2
main_quest-20000164,Take over the whole map in Normal 5-2 to acquire the silver medal.
main_quest-10000165,Total Lockdown: Normal 5-3
main_quest-20000165,Take over the whole map in Normal 5-3 to acquire the silver medal.
main_quest-10000166,Total Lockdown: Normal 5-4
main_quest-20000166,Take over the whole map in Normal 5-4 to acquire the silver medal.
main_quest-10000167,Total Lockdown: Normal 5-5
main_quest-20000167,Take over the whole map in Normal 5-5 to acquire the silver medal.
main_quest-10000168,Total Lockdown: Normal 5-6
main_quest-20000168,Take over the whole map in Normal 5-6 to acquire the silver medal.
main_quest-10000169,Total Lockdown: Emergency 5-1
main_quest-20000169,Take over the whole map in Emergency 5-1 to acquire the silver medal.
main_quest-10000170,Total Lockdown: Emergency 5-2
main_quest-20000170,Take over the whole map in Emergency 5-2 to acquire the silver medal.
main_quest-10000171,Total Lockdown: Emergency 5-3
main_quest-20000171,Take over the whole map in Emergency 5-3 to acquire the silver medal.
main_quest-10000172,Total Lockdown: Emergency 5-4
main_quest-20000172,Take over the whole map in Emergency 5-4 to acquire the silver medal.
main_quest-10000173,Perfect Victory: Normal 5-1
main_quest-20000173,Complete Normal 5-1 with S rank for the first time to acquire the gold medal.
main_quest-10000174,Perfect Victory: Normal 5-2
main_quest-20000174,Complete Normal 5-2 with S rank for the first time to acquire the gold medal.
main_quest-10000175,Perfect Victory: Normal 5-3
main_quest-20000175,Complete Normal 5-3 with S rank for the first time to acquire the gold medal.
main_quest-10000176,Perfect Victory: Normal 5-4
main_quest-20000176,Complete Normal 5-4 with S rank for the first time to acquire the gold medal.
main_quest-10000177,Perfect Victory: Normal 5-5
main_quest-20000177,Complete Normal 5-5 with S rank for the first time to acquire the gold medal.
main_quest-10000178,Perfect Victory: Normal 5-6
main_quest-20000178,Complete Normal 5-6 with S rank for the first time to acquire the gold medal.
main_quest-10000179,Perfect Victory: Emergency 5-1
main_quest-20000179,Complete Emergency 5-1 with S rank for the first time to acquire the gold medal.
main_quest-10000180,Perfect Victory: Emergency 5-2
main_quest-20000180,Complete Emergency 5-2 with S rank for the first time to acquire the gold medal.
main_quest-10000181,Perfect Victory: Emergency 5-3
main_quest-20000181,Complete Emergency 5-3 with S rank for the first time to acquire the gold medal.
main_quest-10000182,Perfect Victory: Emergency 5-4
main_quest-20000182,Complete Emergency 5-4 with S rank for the first time to acquire the gold medal.
main_quest-10000183,Promotion: Level 220
main_quest-20000183,Commander level reaches Level 220.
main_quest-10000184,Promotion: Level 240
main_quest-20000184,Commander level reaches Level 240.
main_quest-10000185,Promotion: Level 260
main_quest-20000185,Commander level reaches Level 260.
main_quest-10000186,Promotion: Level 280
main_quest-20000186,Commander level reaches Level 280.
main_quest-10000187,Promotion: Level 300
main_quest-20000187,Commander level reaches Level 300.
main_quest-10000188,Mission Accomplished: Night 1-1
main_quest-20000188,Complete Night 1-1 for the first time.
main_quest-10000189,Mission Accomplished: Night 1-2
main_quest-20000189,Complete Night 1-2 for the first time.
main_quest-10000190,Mission Accomplished: Night 1-3
main_quest-20000190,Complete Night 1-3 for the first time.
main_quest-10000191,Mission Accomplished: Night 1-4
main_quest-20000191,Complete Night 1-4 for the first time.
main_quest-10000192,Mission Accomplished: Night 2-1
main_quest-20000192,Complete Night 2-1 for the first time.
main_quest-10000193,Mission Accomplished: Night 2-2
main_quest-20000193,Complete Night 2-2 for the first time.
main_quest-10000194,Mission Accomplished: Night 2-3
main_quest-20000194,Complete Night 2-3 for the first time.
main_quest-10000195,Mission Accomplished: Night 2-4
main_quest-20000195,Complete Night 2-4 for the first time.
main_quest-10000196,Mission Accomplished: Night 3-1
main_quest-20000196,Complete Night 3-1 for the first time.
main_quest-10000197,Mission Accomplished: Night 3-2
main_quest-20000197,Complete Night 3-2 for the first time.
main_quest-10000198,Mission Accomplished: Night 3-3
main_quest-20000198,Complete Night 3-3 for the first time.
main_quest-10000199,Mission Accomplished: Night 3-4
main_quest-20000199,Complete Night 3-4 for the first time.
main_quest-10000200,Mission Accomplished: Normal 6-1
main_quest-20000200,Complete Normal 6-1 for the first time to acquire the bronze medal.
main_quest-10000201,Mission Accomplished: Normal 6-2
main_quest-20000201,Complete Normal 6-2 for the first time to acquire the bronze medal.
main_quest-10000202,Mission Accomplished: Normal 6-3
main_quest-20000202,Complete Normal 6-3 for the first time to acquire the bronze medal.
main_quest-10000203,Mission Accomplished: Normal 6-4
main_quest-20000203,Complete Normal 6-4 for the first time to acquire the bronze medal.
main_quest-10000204,Mission Accomplished: Normal 6-5
main_quest-20000204,Complete Normal 6-5 for the first time to acquire the bronze medal.
main_quest-10000205,Mission Accomplished: Normal 6-6
main_quest-20000205,Complete Normal 6-6 for the first time to acquire the bronze medal.
main_quest-10000206,Mission Accomplished: Emergency 6-1
main_quest-20000206,Complete Emergency 6-1 for the first time to acquire the bronze medal.
main_quest-10000207,Mission Accomplished: Emergency 6-2
main_quest-20000207,Complete Emergency 6-2 for the first time to acquire the bronze medal.
main_quest-10000208,Mission Accomplished: Emergency 6-3
main_quest-20000208,Complete Emergency 6-3 for the first time to acquire the bronze medal.
main_quest-10000209,Mission Accomplished: Emergency 6-4
main_quest-20000209,Complete Emergency 6-4 for the first time to acquire the bronze medal.
main_quest-10000210,Total Lockdown: Normal 6-1
main_quest-20000210,Take over the whole map in Normal 6-1 to acquire the silver medal.
main_quest-10000211,Total Lockdown: Normal 6-2
main_quest-20000211,Take over the whole map in Normal 6-2 to acquire the silver medal.
main_quest-10000212,Total Lockdown: Normal 6-3
main_quest-20000212,Take over the whole map in Normal 6-3 to acquire the silver medal.
main_quest-10000213,Total Lockdown: Normal 6-4
main_quest-20000213,Take over the whole map in Normal 6-4 to acquire the silver medal.
main_quest-10000214,Total Lockdown: Normal 6-5
main_quest-20000214,Take over the whole map in Normal 6-5 to acquire the silver medal.
main_quest-10000215,Total Lockdown: Normal 6-6
main_quest-20000215,Take over the whole map in Normal 6-6 to acquire the silver medal.
main_quest-10000216,Total Lockdown: Emergency 6-1
main_quest-20000216,Take over the whole map in Emergency 6-1 to acquire the silver medal.
main_quest-10000217,Total Lockdown: Emergency 6-2
main_quest-20000217,Take over the whole map in Emergency 6-2 to acquire the silver medal.
main_quest-10000218,Total Lockdown: Emergency 6-3
main_quest-20000218,Take over the whole map in Emergency 6-3 to acquire the silver medal.
main_quest-10000219,Total Lockdown: Emergency 6-4
main_quest-20000219,Take over the whole map in Emergency 6-4 to acquire the silver medal.
main_quest-10000220,Perfect Victory: Normal 6-1
main_quest-20000220,Complete Normal 6-1 with S rank for the first time to acquire the gold medal.
main_quest-10000221,Perfect Victory: Normal 6-2
main_quest-20000221,Complete Normal 6-2 with S rank for the first time to acquire the gold medal.
main_quest-10000222,Perfect Victory: Normal 6-3
main_quest-20000222,Complete Normal 6-3 with S rank for the first time to acquire the gold medal.
main_quest-10000223,Perfect Victory: Normal 6-4
main_quest-20000223,Complete Normal 6-4 with S rank for the first time to acquire the gold medal.
main_quest-10000224,Perfect Victory: Normal 6-5
main_quest-20000224,Complete Normal 6-5 with S rank for the first time to acquire the gold medal.
main_quest-10000225,Perfect Victory: Normal 6-6
main_quest-20000225,Complete Normal 6-6 with S rank for the first time to acquire the gold medal.
main_quest-10000226,Perfect Victory: Emergency 6-1
main_quest-20000226,Complete Emergency 6-1 with S rank for the first time to acquire the gold medal.
main_quest-10000227,Perfect Victory: Emergency 6-2
main_quest-20000227,Complete Emergency 6-2 with S rank for the first time to acquire the gold medal.
main_quest-10000228,Perfect Victory: Emergency 6-3
main_quest-20000228,Complete Emergency 6-3 with S rank for the first time to acquire the gold medal.
main_quest-10000229,Perfect Victory: Emergency 6-4
main_quest-20000229,Complete Emergency 6-4 with S rank for the first time to acquire the gold medal.
main_quest-10000230,Mission Accomplished: Night 4-1
main_quest-20000230,Complete Night 4-1 for the first time.
main_quest-10000231,Mission Accomplished: Night 4-2
main_quest-20000231,Complete Night 4-2 for the first time.
main_quest-10000232,Mission Accomplished: Night 4-3
main_quest-20000232,Complete Night 4-3 for the first time.
main_quest-10000233,Mission Accomplished: Night 4-4
main_quest-20000233,Complete Night 4-4 for the first time.
main_quest-10000234,Mission Accomplished: Normal 7-1
main_quest-20000234,Complete Normal 7-1 for the first time to acquire the bronze medal.
main_quest-10000235,Mission Accomplished: Normal 7-2
