enemy_illustration-10000027,Architect
enemy_illustration-20000033,The ultimate upgraded version of the Sangvis "Dinergate". Its size//c armor//c and firepower have all been significantly augmented//c allowing it to carry a Doll's neural cloud (albeit an incomplete copy). However//c it isn't very cost-effective//c making mass production difficult. Its tactical role is unclear//c even its development records are a mystery//c so it doesn't see much use on the battlefield.
enemy_illustration-30000033,This unit deals heavy damage to flagged positions. Be sure to move your Dolls in time to evade her attacks.
enemy_illustration-10000044,M16A1
enemy_illustration-20000044,After being infected by the Parapluie virus//c Griffin Tactical Doll M16A1//c former member of the AR Team//c has been converted to a Sangvis unit and underwent drastic changes in both her appearance and personality. The only thing that remains unchanged is her reliable combat capabilities. She makes a reassuring friend and a terrifying foe.
enemy_illustration-30000044,Depending on the gun type of the Doll marked by M16A1's detector//c M16A1 will receive different buffs. When a detector is placed//c consider carefully what kind of Doll you use to pick it up.
enemy_illustration-10000004,Ripper
enemy_illustration-20000004,Sangvis Ferri's regular combat Dummy equipped with short-range assault weaponry. Its high mobility often puts it in the role of a vanguard or a scout.
enemy_illustration-30000004,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000007,Vespid
enemy_illustration-20000007,Sangvis Ferri's regular combat Dummy equipped with long-range assault weaponry. Its firepower is about the same as a low-tier Military unit. It makes up the main force in small-scale skirmishes.
enemy_illustration-30000007,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000010,Guard
enemy_illustration-20000010,Sangvis Ferri's high-spec combat Dummy equipped with a shield and short-range weaponry. As its appearance suggests//c it has high defensive capabilities and is often used to defend important units or to enter the fray as a more advanced vanguard.
enemy_illustration-30000010,This melee unit has strong defensive capabilities but deals negligible damage. Most of the threat comes from other damage-oriented units//c so it is recommended to pick Dolls of suitable gun types to deal with the units behind the Guards first.
enemy_illustration-10000057,Guard_SWAP
enemy_illustration-20000057,An upgraded version of the Guard. Both its shield and short-range weaponry have been enhanced//c further improving its already outstanding defensive capabilities.
enemy_illustration-30000057,This melee unit has strong defensive capabilities but deals negligible damage. Most of the threat comes from other damage-oriented units//c so it is recommended to pick Dolls of suitable gun types to deal with the units behind the Guards first.
enemy_illustration-10000009,Jaeger
enemy_illustration-20000009,Sangvis Ferri's regular combat Dummy equipped with long-range sniping weaponry. Deals heavy damage and has high accuracy//c but is physically fragile. An enemy to watch out for on the battlefield.
enemy_illustration-30000009,This unit is the main damage dealer in the back row. It has a low rate of fire and high accuracy//c dealing steady and significant damage to the player's units in the front row. It is recommended to clear them up with Dolls who prioritize targets in the back row.
enemy_illustration-10000056,Jaeger_SWAP
enemy_illustration-20000056,An upgraded version of the Jaeger. With improved firepower and accuracy as well as better survivability//c it has become an even more formidable enemy.
enemy_illustration-30000056,This unit is the main damage dealer in the back row. It has a low rate of fire and high accuracy//c dealing steady and significant damage to the player's units in the front row. It is recommended to clear them up with Dolls who prioritize targets in the back row.
enemy_illustration-10000029,Striker
enemy_illustration-20000029,Sangvis Ferri's regular combat unit equipped with a long-range machine gun. Possesses high firepower and rate of fire//c making it the main damage dealers and suppressors on the field.
enemy_illustration-30000029,This unit has a high rate of fire and deals moderate damage. Shotguns are recommended to provide adequate armor against their attacks.
enemy_illustration-10000059,Striker_SWAP
enemy_illustration-20000059,An upgraded version of the Striker. With improved firepower and sturdier armor//c it deals more damage and is more effective in suppressing enemy fire.
enemy_illustration-30000059,This unit has a high rate of fire and deals moderate damage. Shotguns are recommended to provide adequate armor against their attacks.
enemy_illustration-10000028,Brute
enemy_illustration-20000028,Sangvis Ferri's new melee combat unit. It approaches enemies at high speed and deals a fearsome amount of damage//c but is only equipped with negligible armor//c making it quite fragile.
enemy_illustration-30000028,This unit is very effective in piercing through armor//c which poses a considerable threat to Shotgun T-Dolls. Don't let her touch any friendly SGs. It is recommended to use Dolls with high evasion such as SMGs and HGs in the front row.
enemy_illustration-10000012,Dragoon
enemy_illustration-20000012,Sangvis Ferri's high-spec combat Dummy equipped with a small-scale transportational mech. It has considerable firepower//c firing range//c and maneuverability//c making it an effective assaulter on the battlefield.
enemy_illustration-30000012,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000058,Dragoon_SWAP
enemy_illustration-20000058,An upgraded version of the Dragoon. Both the transportational mech and assault weaponry have been enhanced//c making its overall improvement the most significant out of all Sangvis units. Confront with caution.
enemy_illustration-30000058,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000006,Dinergate
enemy_illustration-20000006,Sangvis Ferri's low-spec combat mech. It has mediocre combat capabilities but is suited for mass production. Usually used in defensive or search missions. Attacks by ramming with force; not to be underestimated in groups.
enemy_illustration-30000006,This melee unit deals incredibly high damage but has bad survivability. It is recommended to destroy them with Assault Rifle Dolls or Dolls who can quickly deal AoE damage before they come close.
enemy_illustration-10000003,Scout
enemy_illustration-20000003,Sangvis Ferri's low-spec combat mech. It has mediocre combat capabilities but is highly mobile and good at concealment. Often used in frontline reconnaissance.
enemy_illustration-30000003,This unit has high evasion. Make sure your echelon has enough accuracy.
enemy_illustration-10000002,Prowler
enemy_illustration-20000002,Sangvis Ferri's low-spec combat mech. It has poor firepower and mobility. Primarily used to patrol their own lines and conduct reconnaissance.
enemy_illustration-30000002,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000055,Prowler_SWAP
enemy_illustration-20000055,An upgraded version of the Prowler. The weak firepower and low mobility have been compensated//c making it fully viable in direct confrontations that involve intense crossfires.
enemy_illustration-30000055,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000013,Jaguar
enemy_illustration-20000013,Sangvis Ferri's regular combat mech. A mobile mortar that deals high damage. Its maneuverability is poor//c but its firepower is comparable to that of contemporary Military weapons.
enemy_illustration-30000013,This unit deals high projectile damage to flagged positions. Move your Dolls in time to evade its attacks.
enemy_illustration-10000015,Aegis
enemy_illustration-20000015,The Military's regular combat unit. Outfitted with regular electric weaponry and a military shield//c it possesses excellent melee combat capabilities and very sturdy armor.
enemy_illustration-30000015,This unit has a very high armor value. Make sure your echelon has enough armor piercing capability before engaging it in combat.
enemy_illustration-10000060,Aegis_SWAP
enemy_illustration-20000060,An upgraded version of the Military Aegis hacked by Sangvis Ferri. Outfitted with contemporary high-spec military armor and a reinforced shield//c its melee combat capabilities also see a devastating improvement.
enemy_illustration-30000060,This armored unit can withstand a lot of damage. It is recommended that you prioritize killing the damage dealers behind its cover.
enemy_illustration-10000014,Nemeum
enemy_illustration-20000014,A regular military mech made for the army equipped with the contemporary military firing system. It can charge up to deal higher damage//c but has a low rate of fire and poor defense.
enemy_illustration-30000014,This armored unit is mainly a damage dealer on the back row. It has a low rate of fire but high accuracy//c dealing steady and significant damage to the player's units in the front row. It is recommended to clear them up with Dolls who prioritize targets in the back row.
enemy_illustration-10000030,Tarantula
enemy_illustration-20000030,An upgraded version of the Sangvis "Dinergate". With significantly improved survivability//c it can close in quickly and deal massive damage to enemies in groups.
enemy_illustration-30000030,This unit deals extremely high melee damage but is relatively fragile. However//c its armor can still cause a problem if the player's echelon does not have adequate armor piercing. It is recommended to wipe them out with Machine Gun Dolls or Dolls who can quickly deal AoE damage before they come close.
enemy_illustration-10000016,Manticore
enemy_illustration-20000016,A regular military mech made for the army equipped with contemporary military assault weaponry and armor. It deals staggering long-range damage and is extremely well-defended.
enemy_illustration-30000016,This unit possesses strong armor and deals massive damage. It is unwise to engage it in a drawn-out fight. Confront it with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000031,Goliath
enemy_illustration-20000031,Sangvis Ferri's explosive-type combat unit. Explodes upon contact with enemies//c dealing a horrific amount of wide-spread damage. It must be destroyed before it draws close.
enemy_illustration-30000031,WARNING! Make sure your echelon has enough damage output to neutralize this unit//c otherwise avoid it.
enemy_illustration-10000032,Red Self-Explosion Enemy
enemy_illustration-20000032,An upgraded version of the Goliath. No existing T-Doll has enough firepower to destroy it within a short period of time. Avoidance may be the best solution.
enemy_illustration-30000032,WARNING: EXTREME DANGER! Avoid at all costs!
enemy_illustration-10000025,Jupiter
enemy_illustration-20000025,A giant Sangvis weapons emplacement developed from stolen military tech. Stationary but possesses incomparable firepower and an ultra long firing range. The main cannon can be neutralized by surrounding the mortar and cutting off its power source//c leaving only the machine gun turret operational.
enemy_illustration-30000025,Poses an incredible threat when functioning at full capacity. It is recommended to surround it and cut off its power source before taking it down.
enemy_illustration-10000040,Aegis_GA
enemy_illustration-20000040,The Military's regular combat unit equipped with standard electric weapon and military-grade shield. It excels in melee combat and is clad in very sturdy armor.
enemy_illustration-30000040,This unit has a very high armor value. Make sure your echelon has enough armor piercing capability before engaging it in combat.
enemy_illustration-10000041,Cerynitis
enemy_illustration-20000041,The Military's regular combat mech. Upgraded and modified from the "Nemeum"//c it is outfitted with a military-grade long-range firing system//c giving it even stronger armor and higher rapid-fire capabilities.
enemy_illustration-30000041,There is little pause between attacks from this armored unit//c which deals significant damage. It is recommended to prioritize killing them with Rifle T-Dolls.
enemy_illustration-10000037,Cyclops_AR
enemy_illustration-20000037,The Military's combat unit armed with a rifle and grenade launcher. Its armor is weaker compared to other models.
enemy_illustration-30000037,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000038,Cyclops_SG
enemy_illustration-20000038,The Military's regular combat unit armed with a shotgun and bulletproof shield. Its general performance remains largely the same as the original model.
enemy_illustration-30000038,This unit is well-balanced and has significant armor. Engage with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000039,Hydra
enemy_illustration-20000039,A regular military mech made for the army. Upgraded and modified from the "Manticore"//c it is outfitted with even more advanced military-grade weapons and armor. The main cannon can unleash devastating barrages against enemies.
enemy_illustration-30000039,Best to avoid this if your echelon is not in good condition.
enemy_illustration-10000042,Dactyl
enemy_illustration-20000042,The Military's small-sized mobile minelayer. It approaches enemies at high speed and distributes mines. Even if the unit itself is destroyed//c the mines can still cause chaos on the battlefield.
enemy_illustration-30000042,This unit has weak armor and high moving speed. It starts deploying mines in the early stages of battle//c causing massive damage upon contact with enemy Dolls. Take care to avoid the mines or destroy this unit ASAP.
enemy_illustration-10000043,Typhon
enemy_illustration-20000043,A regular military tank made for the army. It is outfitted with a powerful laser cannon that can charge up and penetrate enemy lines//c dealing devastating damage. The only way to neutralize it is to approach its cumbersome form quickly and exploit its firing blind spot to destroy it ASAP.
enemy_illustration-30000043,This unit has strong armor and shoots laser beams that deal multiple instances of piercing damage once it finishes charging up. However//c the cannon is limited by its maximum angle of depression - its attacks can be avoided if your units approach it quickly enough. Shields can deflect some of the laser damage but is not the most effective.
enemy_illustration-10000069,RecceCentre
enemy_illustration-20000069,The Military's micro factory for producing Pathfinders. It has little combat capabilities of its own and moves rather slowly//c but it's usually protected by a large amount of defensive units.
enemy_illustration-30000069,This unit with strong armor constantly spawns Pathfinders. Assault Rifle T-Dolls will have a hard time taking it down so Rifle T-Dolls are recommended.
enemy_illustration-10000070,Pathfinder
enemy_illustration-20000070,Pathfinder: An orb-shaped unit produced by the RecceCentre. Its combat capabilities depend on the RecceCentre's configuration. Equipped with basic firepower//c it is fragile but also very nimble. Suited for mass production.
enemy_illustration-30000070,This unit has a certain amount of armor and high accuracy but deals little damage. Engage with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000071,Centaurus
enemy_illustration-20000071,The Military's regular combat unit that fires special arrows with exploding arrowheads. It is a well-trained elite unit with an ultra long firing range and high accuracy.
enemy_illustration-30000071,This unit deals continuous burning damage to flagged positions. Move your T-Dolls in time to evade its attacks.
enemy_illustration-10000072,Orthrus
enemy_illustration-20000072,The Military's regular combat mech. It is a heavy tank-type melee unit commonly used to bulldoze enemy formations and take pressure off the front row. It's rugged and sturdy//c but its attacks are repetitive and predictable//c so it's only good as a meat shield.
enemy_illustration-30000072,This unit possesses some armor and moves at high speed. When its shield is activated//c all damage it takes is minimized//c so it is recommended to either kill it with rapid fire or take it down in multiple phases when the shield is down.
enemy_illustration-10000073,Minotaurus
enemy_illustration-20000073,A high-spec military mech made for the army. Equipped with heavy armor and a missile launcher//c making it very well-rounded.
enemy_illustration-30000073,This unit with strong armor and low moving speed launches multiple small missiles in a wide-area bombardment. When the warning appears//c move your T-Dolls in time to avoid taking damage.
enemy_illustration-10000074,Argonauts - Carina
enemy_illustration-20000074,The front section of the high-spec military railway cannon made for the army.
enemy_illustration-30000074,This unit provides long-range support for enemies on the map and poses a significant strategic threat. Avoid engaging enemy units under its support. Observe the support range of each section and decide which to attack first so as to prevent being caught in multiple lines of fire.
enemy_illustration-10000075,Argonauts - Vela
enemy_illustration-20000075,The middle section of the high-spec military railway cannon made for the army.
enemy_illustration-30000075,This unit provides long-range support for enemies on the map and poses a significant strategic threat. Avoid engaging enemy units under its support. Observe the support range of each section and decide which to attack first so as to prevent being caught in multiple lines of fire.
enemy_illustration-10000076,Argonauts - Puppis
enemy_illustration-20000076,The rear section of the high-spec military railway cannon made for the army.
enemy_illustration-30000076,This unit provides long-range support for enemies on the map and poses a significant strategic threat. Avoid engaging enemy units under its support. Observe the support range of each section and decide which to attack first so as to prevent being caught in multiple lines of fire.
enemy_illustration-10000046,Strelet
enemy_illustration-20000046,A basic infantry unit equipped with an assault weapon system of firepower comparable to that of the Military. Despite being a mass-produced basic model//c its combat capabilities far surpasses Sangvis Ferri's regular units.
enemy_illustration-30000046,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000047,Rodelero
enemy_illustration-20000047,An agile heavy-fire unit equipped with a jetpack that can propel it quickly from the back of the field to the forefront. It then charges up and cuts through its enemies with a massive laser beam. It is also outfitted with a force field generator that can repel physical fire.
enemy_illustration-30000047,Its force field provides damage reduction. While your front row units are fending off its damage//c also keep an eye on its penetrating attack and make sure your frail damage dealers aren't standing behind your tanks. Support from the HOC will make this fight much easier.
enemy_illustration-10000048,Doppelsoldner
enemy_illustration-20000048,A mech with immense firepower. Apart from the bulky armor//c it is also equipped with a force field generator. It can attack with the high-velocity autocannons in both hands as well as its multiple grenade launchers//c causing wide-spread damage.
enemy_illustration-30000048,The high armor and force field values give this unit significant damage reduction. It also bombards enemies with multiple grenades. Try to have T-Dolls capable of piercing armor to fire at it as much as possible before it starts attacking//c or block its grenades with shield skills. Support from the HOC will make this fight much easier.
enemy_illustration-10000049,Uhlan
enemy_illustration-20000049,A fearsome heavily-armored tank also equipped with a force field generator. Its only long-range weaponry is an autocannon//c but it can charge into the forefront and make short work of enemy formations.
enemy_illustration-30000049,The high force field and armor values give this unit incredible damage reduction. It will charge suddenly to break the formation of your echelon so move your T-Dolls in time to evade its attacks. Support from the HOC will make this fight much easier.
enemy_illustration-10000063,Gladiator
enemy_illustration-20000063,A unit abandoned in Tallinn. It attacks as a melee unit equipped with heavy armor. Related to the mysterious faction.
enemy_illustration-30000063,This unit has moderate armor and force field values. Though its initial damage reduction is insignificant//c the force field will keep regenerating and getting stronger//c so a prolonged battle is not a good idea if your echelon is incapable of breaking through its defenses. HOC support is strongly recommended.
enemy_illustration-10000064,Patroller
enemy_illustration-20000064,A unit abandoned in Tallinn. It attacks with its underslung cannon and jumps to dodge attacks. Related to the mysterious faction.
enemy_illustration-30000064,This unit has high armor and force field values as well as incredible evasion//c Pay attention to the timing for dealing meaningful damage. T-Dolls with sniping skills that give guaranteed hits are recommended.
enemy_illustration-10000065,Gunner
enemy_illustration-20000065,A unit abandoned in Tallinn. Very similar to the Strelet but this one possesses even higher firepower and will lower the evasion of enemy Dolls with special ammo. Related to the mysterious faction.
enemy_illustration-30000065,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000066,Abandoned Isomer
enemy_illustration-20000066,A unit abandoned in Tallinn. It has no offensive capabilities on its own but can stun surrounding enemies. Related to the mysterious faction.
enemy_illustration-30000066,Information unavailable//c Proceed with caution!
enemy_illustration-10000067,Pyxis
enemy_illustration-20000067,A tenacious light mortar equipped with a rapid-firing weapon system that's almost military-grade. As a basic//c mass-produced combat unit//c it is immobile once deployed and often used to provide suppressive fire.
enemy_illustration-30000067,This unit has a high rate of fire and deals moderate damage. Shotguns are recommended to provide adequate armor against their attacks.
enemy_illustration-10100001,Gebbennu
enemy_illustration-20100001,A massive duplex combat unit. Other than its incredible firepower//c everything else is a mystery.
enemy_illustration-30100001,To be introduced
enemy_illustration-10000062,Nimogen
enemy_illustration-20000062,One of the "Nytos" in the mysterious faction. Mercurows addresses her as her elder sister. Very respectful towards "Father". Little else is known about her.
enemy_illustration-30000062,Information unavailable//c Proceed with caution!
enemy_illustration-10000061,Mercurows
enemy_illustration-20000061,One of the "Nytos" in the mysterious faction. Very little is known about her. Nimogen addresses her as her younger sister. An enthusiast in human poetry//c she seems to have unique tastes and sentimentality regarding the subject.
enemy_illustration-30000061,Information unavailable//c Proceed with caution!
enemy_illustration-10000051,Nyto_White
enemy_illustration-20000051,A high-ranking field commander in the mysterious faction//c the white Nyto commands her forces and wields her scythe ruthlessly on the battlefield. Practically everything about them is shrouded in mystery...except for the commonly used name "Nyto"...and the fact that this isn't the only monster who goes by the same name.
enemy_illustration-30000051,Information unavailable//c Proceed with caution!
enemy_illustration-10000050,Nyto_Black
enemy_illustration-20000050,A high-ranking field commander in the mysterious faction//c the black Nyto wields her deadly rifle to aid in the other Nytos' battle. Practically everything about them is shrouded in mystery...except for the commonly used name "Nyto"...and the fact that this isn't the only monster who goes by the same name.
enemy_illustration-30000050,Information unavailable//c Proceed with caution!
enemy_illustration-10000068,Failed Isomer
enemy_illustration-20000068,An Isomer who has merged with Nimogen's neural cloud and taken over her body in Tallinn. She wishes to lead all Isomers in Tallinn in "leaving this place". After the arrival of the Commander's forces in Tallinn//c she designates M4 as the "Qualifier" who can guide their departure.
enemy_illustration-30000068,Information unavailable//c Proceed with caution!
enemy_illustration-10000001,Drone-Type Civilian Target
enemy_illustration-20000001,A standard target drone only used for training and practice. Automatically records combat footage (provided its onboard camera hasn't been destroyed).
enemy_illustration-30000001,Train hard!
enemy_illustration-10000052,ELID Infected_Armed
enemy_illustration-20000052,Human soldiers affected by Collapse radiation. They have lost their reason and descended into an aggressive//c rabid state. They move on instinct while wildly spraying shots from their assault rifles at anything they see//c but they're no longer capable of complex actions like launching grenades.
enemy_illustration-30000052,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000053,ELID Infected_Unarmed
enemy_illustration-20000053,Human soldiers affected by Collapse radiation. They have lost their weapons and attack anything that moves with their bare hands. While all they can do is flail wildly at the opposition//c they possess frightening strength and speed thanks to enhancement from Collapse Fluid.
enemy_illustration-30000053,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000054,BOSS Zombie
enemy_illustration-20000054,Human soldiers who have been severely affected and mutated by Collapse Radiation. The internal organs and dermal layers of ELID Infected show varying degrees of silicization depending on their amount of exposure. These severely-infected cases possess skin that is extremely tough and resilient to damage//c in addition to being more violent and destructive than other Infected.
enemy_illustration-30000054,This unit has balanced abilities and deals sustained//c low damage to friendly units. It is unwise to engage it in a drawn-out fight. Confront it with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000036,Nightmare
enemy_illustration-20000036,Virtual enemies which only exist in cyberspace who slowly approach then lunge at their opponents to bite them. These thoughtforms are typically defensive units representing firewalls generated by electronic warfare modules//c or they could be viruses or malware lurking in electronic layers. They could also be some kind of inexplicable//c profound entity.
enemy_illustration-30000036,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10100082,Brute_SWAP
enemy_illustration-20100082,A Brute which has been greatly enhanced over its original specs//c able to better display its combat abilities.
enemy_illustration-30100082,This unit is very effective in piercing through armor//c which poses a considerable threat to Shotgun T-Dolls. Don't let her touch any friendly SGs. It is recommended to use Dolls with high evasion such as SMGs and HGs in the front row.
enemy_illustration-10100083,Nemeum_SWAP
enemy_illustration-20100083,A Nemeum which has been greatly enhanced over its original specs//c able to better display its combat abilities.
enemy_illustration-30100083,This armored unit is mainly a damage dealer on the back row. It has a low rate of fire but high accuracy//c dealing steady and significant damage to the player's units in the front row. It is recommended to clear them up with Dolls who prioritize targets in the back row.
enemy_illustration-10000077,Kratos
enemy_illustration-20000077,A special unit produced by the Military which has a massive body and great strength. It is suited for overwhelming assaults and excels as both a meat shield and formation breaker.
enemy_illustration-30000077,It possesses high armor and can attack enemy units in both the front and back rows. Keep a safe distance between your front and back rows.
enemy_illustration-10000078,Acheron
enemy_illustration-20000078,Special equipment developed by the Military. It resembles a lamp post and deploys after reaching a designated location//c whereupon it generates a defensive force field. Typically assigned to where its abilities are needed.
enemy_illustration-30000078,This unit grants friendly units a shield of a certain value. Its presence is not favorable to attackers who only target specific parts of the enemy formation or for attackers who deal damage over a long time. It is recommended to use HOCs or units which target the backlines.
enemy_illustration-10000079,Coeus
