()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Room</BGM><BGM>BGM_Room</BGM>:
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>;AK12(0)||:你要知道，AK12，人類是種健忘的生物。+對大部分人來說，唯有將一部分的過去遺忘，他們才能有勇氣面對未來。+很不巧的是，這座紀念碑和它承載的那些名字一樣，被劃分在需要被遺忘的那些部分。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:不僅是名字，連用來紀念他們的紀念碑都被遺忘……+感覺有點可憐呢。
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>;AK12(0)||:他們不是為了獲得你的“同情”才願意去犧牲的。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:“你的名字無人知曉，你的功勛永世長存”。
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>;AK12(0)||:不是每個人都願意為了守護自己的國家和信念而死。+那些為了我們犧牲的人不應該被忘記，不管是因為什麼理由。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:你看起來心事重重，有什麼任務以外的東西要額外擔心嗎？
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>;AK12(0)||:我只是多愁善感一下罷了，看著這個墓碑，我就想起了很多我的朋友。+曾經的朋友。+你應該能明白這種感受吧。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:不……對於人形來說太難懂了。+人類真奇怪。
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>;AK12(0)||:哼……就知道裝傻。+題外話說的稍微有點多了。+不管怎麼說，現在這裡變成了最適合我們躲藏和觀察的地方，好好利用起來吧。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:既然不用擔心會有意外狀況，那為什麼在我們只有一個小隊的情況下，還要將隊伍分散開？
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>;AK12(0)||:以她們的能力而言，在城市裡行動綽綽有餘，而且我們在那邊有別的幫手。+相比起來，我更擔心淨化塔和隔離牆，我需要把最強力的戰力留作備用。
AK12(0)<Speaker>AK12</Speaker>||:真的是最強力的戰力嗎？不是因為考慮到最不穩定的因素？
()||:AK12說完，看向在遠處放哨的M4A1。
AK12(0)<Speaker>AK12</Speaker>||:我們花了很長時間才找到她和AR15，這其中發生了什麼我們並不清楚。
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>;AK12(0)||:我相信M4不會那麼容易因為過去的事而動搖。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:就算不管那段空白的經歷，光是最後那場和軍方的戰鬥，也足夠對她產生不良的影響了吧。+畢竟那次爆炸波及了她曾經待過的格里芬，即使她不說我也能感覺到她的自責。+更何況她還和之前AR小隊的隊友發生戰鬥……
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>;AK12(0)||:她的善良對她造成了反噬。+她的那份善良我非常了解……但是光憑善良又能保護得了什麼。+只要肩負著責任，遲早是要走到這一步的，既會傷害別人，更會傷害自己。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:我並不是懷疑她……她那時已經做得足夠好了。+我只是擔心現在的她能不能作為戰術人形好好戰鬥。
NPC-AngeStreet(0)<Speaker>安潔莉婭</Speaker>;AK12(0)||:真的那麼擔心的話，自己去和她聊一聊如何？
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||<黑点1>:哼……就知道把麻煩的事丟給我。
()||<黑点2><BGM>BGM_Empty</BGM>:……無名碑附近。+M4在執行警戒任務。+這時，AK12走到她的身邊。
M4A1Mod(0)<Speaker>M4A1</Speaker>||<BGM>BGM_Room</BGM>:有什麼事嗎？
M4A1Mod(0);AK12(0)<Speaker>AK12</Speaker>||:沒什麼。只是看你一副很無聊的樣子，覺得應該來關懷一下隊友。
M4A1Mod(0)<Speaker>M4A1</Speaker>;AK12(0)||:我沒什麼需要你關懷的，還是各自做好自己的任務吧。
M4A1Mod(0);AK12(0)<Speaker>AK12</Speaker>||:自從你回來之後，就變得越來越冷漠了呢。+歸隊的感覺怎麼樣，M4？
M4A1Mod(0)<Speaker>M4A1</Speaker>;AK12(0)||:……+我現在不想說這個。
M4A1Mod(0);AK12(0)<Speaker>AK12</Speaker>||:所以？+看來你只喜歡和自己聊天？
M4A1Mod(3)<Speaker>M4A1</Speaker>;AK12(0)||:你是什麼意思？
M4A1Mod(3);AK12(0)<Speaker>AK12</Speaker>||:是什麼意思呢……？
M4A1Mod(0)<Speaker>M4A1</Speaker>;AK12(0)||:我不是什麼喜歡自言自語的人，只是現在這個狀況……我沒有什麼閒聊的心情。
M4A1Mod(0);AK12(0)<Speaker>AK12</Speaker>||:是因為想要專注任務呢，還是因為……閒聊的對象不是另一個你呢？
M4A1Mod(4)<Speaker>M4A1</Speaker>||:…………
AK12(0)<Speaker>AK12</Speaker>||:算了，保持現在這樣就好。+你變得越來越神秘，我的觀察也就會變得越來越有趣了。
()||<BGM>BGM_Empty</BGM>:說完之後，AK12從M4身邊離開了。
M4A1Mod(3)<Speaker>M4A1</Speaker>||<黑屏1>:……她是……發現了什麼了嗎？
清澈的聲音()||<BIN>9</BIN><BGM>BGM_Brain</BGM>:你真是一點都不會掩飾呢。+就算裝作一副撲克臉，內心還是輕易就被別人看穿了。
M4A1Mod(4)<Speaker>M4A1</Speaker>||:閉嘴，要不是你的話我根本就不用這麼做。
M4A1Mod(4)<Speaker>清澈的聲音</Speaker>||:我會以為我們一起經歷了那麼多，已經是互相信任的關係了呢。
M4A1Mod(0)<Speaker>M4A1</Speaker>||:我從來沒有信任過你，最多只是各取所需罷了。
M4A1Mod(0)<Speaker>清澈的聲音</Speaker>||:真是令我傷心，我覺得我們之前還是合作得挺愉快的。
M4A1Mod(0)<Speaker>M4A1</Speaker>||:嘖……那是當時不得已我才會選擇這麼做的。
M4A1Mod(0)<Speaker>清澈的聲音</Speaker>||:不得已的情況之後可是會越來越多哦。+不過也沒關係，至少你對我的存在已經接受了下來。+我的耐心在對你時還是非常非常寬裕的。
M4A1Mod(4)<Speaker>M4A1</Speaker>||:我不會忘記你曾經對我的欺騙，如果想要獲得你需要的東西，那就老老實實服從我，OGAS。
M4A1Mod(4)<Speaker>OGAS的聲音</Speaker>||<黑屏1>:我們都在找回自我的道路上不是嗎？
OGAS的聲音()||<黑屏1>:在向真相回溯的道路上好好一起攜手努力吧，我的姐妹。
