()||<BGM>BGM_Empty</BGM><BIN>9</BIN><黑屏1>0,10</黑屏1>:
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>うむ、とはいえ、どこから話すべきかな？まずは保安局の反応から話そうか。</color>
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>端的に言えば、彼らは君の行いに対して非常に満足だそうだ。それはもう踊り出しそうなほどだったよ。</color>
NPC-Havel(1)<Speaker>指揮官</Speaker><通讯框>||:そうなんですか？街が丸ごと汚染区になることを//n阻止できなかったのが原因で、銃殺されるかと思いましたが。
NPC-Havel(0)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>本気で責任を追及するのであれば、君を銃殺する前に、まず数多の情報分析官と職員を片付けることになるだろうな。</color>
NPC-Havel(0)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>突然態度を変えて責任問題にするぐらいなら、保安局は君を英雄として祭り上げる方を選ぶだろう。</color>
NPC-Havel(0)<Speaker>指揮官</Speaker><通讯框>||:気の毒なロシチン大使はどうなるのですか？
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>あれは過程で発生した付加的な損害に過ぎない。ともかく主席の命は守られ、全世界のテレビがあのテロリストたちの醜態を繰り返し放送しているのだ。君が保安局に協力し任務を完遂したおかげでな。</color>
NPC-Havel(0)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>結果から言えば、全ては皆が期待した通りに進んでいる。</color>
NPC-Havel(0)<Speaker>指揮官</Speaker><通讯框>||:問題は「付加的な損害」が本来ならば避けられたということです。+保安局が端から情報を共有してくれるか、//nせめて私の警告を少しでも聞き入れていれば……
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>どう、どう、そこでストップだ、親愛なる指揮官よ。</color>
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>保安局に対して思うところがあるのは君一人じゃない。私も含め、大勢の人間が彼らのやり方に疑問を持っている。</color>
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>しかし彼らとかかわりを持ったのなら分かるはずだ、文句を言っても意味がないと。私に言うのならばなおさらだ。</color>
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>君のぼやきを聞いて私に何ができる、それをそのまま局長に伝えろというのか？</color>
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>それに……君も何も考えていないわけではなかろう。</color>
NPC-Havel(1)<Speaker>指揮官</Speaker><通讯框>||:……何を言っているか分かりませんね。
NPC-Havel(0)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>君がアンジェと何かを企んでいること、知っているぞ。</color>
NPC-Havel(0)<Speaker>指揮官</Speaker><通讯框>||:それはここ最近聞いた中でもっとも面白い冗談ですね。+私はあなたからの情報を基にベルグラードに向かいましたが、//nアンジェはいませんでした。//nなのに今度は私がアンジェと繋がりを持ってると？
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>指揮官、人形の指揮において私は君に遠く及ばないが、情報分析となると話は違うぞ。</color>
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>あらゆる通信においてアンジェの話題を避けていたようだが、当時の作戦記録によれば、君の部隊はアンジェの反逆小隊と完璧な協力作戦を繰り出したそうじゃないか。</color>
NPC-Havel(1)<Speaker>指揮官</Speaker><通讯框>||:それは全てペルシカさんと、彼女が設計した//n不思議なメンタルのおかげじゃありませんか？+あの時は混乱した状況で、多くの戦闘が//n指揮モジュールを持つ人形による独自の判断で展開されました。//nそれに、私があのとき教会から動けなかったのはご存知のはずですよね？
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>おっと、おかげで思い出したよ。その指揮モジュールを持つ人形が反逆からグリフィンに戻ったんだったな。</color>+<color=#00CCFF>彼女たちにアンジェの行方を聞いたか？私が以前依頼した任務はアンジェの捜索のはずだったが、まさかそのまま忘れていたなんてことないだろうな？</color>
NPC-Havel(1)<Speaker>指揮官</Speaker><通讯框>||:……チッ。
NPC-Havel(0)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>ハハハ、私たちは互いに隠したいカードを持ってるようだ、それは保安局も同じこと。</color>
NPC-Havel(0)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>秘密があるのは悪いことではない。しかし素人の私でさえ当てられたんだから、ゼリンスキーの奴ならとっくにお見通しのはずだ。</color>
NPC-Havel(0)<Speaker>指揮官</Speaker><通讯框>||:そう言われると、私の弁解は何の意味も成さなかったように思えてきますよ。//nしかしあなたがどう推測しようと、//n私自身が知らないことまであなたに教えることはできません。
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>よろしい、口が堅いようだ。それに、アンジェがバラクーダノードを奪うという国家反逆的行為を起こした後だからな、さすがは私の見込んだ人間だ。</color>
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>今は大いに安心してよいぞ。保安局は、君が大人しくバラクーダノードのコアを差し出したことから、グリフィンの忠誠を信じている。</color>
NPC-Havel(1)<Speaker>指揮官</Speaker><通讯框>||:結局のところ、保安局が犠牲を厭わず、これだけ必死に//nバラクーダノートを追い求めたのは、一体どうしてですか？
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>彼らも君と同じことが聞きたいようだ、ただ主語が軍に代わっただけで。</color>
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>君が持ち帰ったバラクーダノードのコアを分析し、保安局は軍の考えを凡そ把握した……これから各地の保存基地へ人を送るそうだ。これで軍の陰謀が無事阻止される。</color>
NPC-Havel(1)<Speaker>指揮官</Speaker><通讯框>||:それだけですか？そんな簡単に？
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>こんな簡単にだ、この先のことは私とも君たちグリフィンとも一切無関係となる……</color>
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>少なくとも、保安局はそのつもりで動いている。</color>
NPC-Havel(1)<Speaker>指揮官</Speaker><通讯框>||:「しかし」と言うんでしょう。
NPC-Havel(0)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>ハハ、その通りさ……しかし！我々の任務はまだ終わっていない、君にはこれからエストニアのパルディスキ潜水艦基地に向かってもらう。</color>
NPC-Havel(0)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>私の情報によると、基地付近にはパラデウスの痕跡が多数残されており、軍の部隊もそこに向かっているそうだ。</color>
NPC-Havel(0)<Speaker>指揮官</Speaker><通讯框>||:先ほど、保安局は軍がバラクーダノードを奪うのを//n阻止するって言いませんでしたか？
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>ああ、確かに言った。</color>
NPC-Havel(1)<Speaker>指揮官</Speaker><通讯框>||:ならどうしてわざわざグリフィンを派遣するんですか、//n大陸を大きく横断してまで……
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>その基地にはバラクーダノードがないからだ。</color>
NPC-Havel(1)<Speaker>指揮官</Speaker><通讯框>||<BGM>BGM_Empty</BGM>:なに……？
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||<BGM>BGM_Reverse</BGM><黑屏1>:<color=#00CCFF>その前に一つ聞くが、リコリスという名を聞いたことはあるか？</color>
NPC-Lyco(0)<Speaker>指揮官</Speaker>||<黑屏2><BIN>54</BIN>:あの鉄血工造のチーフエンジニアですか？//nペルシカさんからいただいた資料で見たことはあります。
NPC-Lyco(0)<Speaker>ハーヴェル</Speaker>||:<color=#00CCFF>そう、そいつだ。リコリスが鉄血のエルダーブレイン……つまりコードネーム「エリザ」を設計した。それはもちろん知ってるだろう。</color>
NPC-Lyco(0)<Speaker>ハーヴェル</Speaker>||:<color=#00CCFF>しかし私が言いたいのは、リコがエリザを作り出す際に使用したデータが、まさにパルディスキ潜水艦基地のA-51-241号バラクーダノードを逆演算して導き出したものということだ。</color>
()<Speaker>指揮官</Speaker><通讯框>||:つまりあのエリザというのは……
BOSS-12(0)<Speaker>ハーヴェル</Speaker>||:<color=#00CCFF>もちろん、全く同じというわけではない。リコの個人的な構想も含まれている、その精巧さには私も驚かされたさ。</color>
BOSS-12(0)<Speaker>ハーヴェル</Speaker>||:<color=#00CCFF>だが、根本となるフレームのコードはほぼ変わっていない。簡単に言えば、あのバラクーダノードは「エリザの青写真」ということだ。</color>
BOSS-12(0)<Speaker>ハーヴェル</Speaker>||:<color=#00CCFF>保安局はここを数多くあるバラクーダノードの一つとしか思っていない。私が胡蝶事件をただの事故だと考えていたようにな。</color>
BOSS-12(0)<Speaker>ハーヴェル</Speaker>||:<color=#00CCFF>しかしこれだけのことが起きて、今になっては鉄血、軍、パラデウス……奴らの関係が、ただ偶然交わった平行線ではないと思い始めた。</color>
()<Speaker>ハーヴェル</Speaker>||:<color=#00CCFF>そしてこのパルディスキ基地こそが、全ての始まりなのだ。</color>
()<Speaker>ハーヴェル</Speaker>||<黑屏1>:<color=#00CCFF>だから、証拠が破壊されてしまう前に、この基地を押さえてほしいのだ。ついでに君が頑なに認めようとしない、あの仲間も助けてやってくれ。</color>
()<Speaker>指揮官</Speaker><通讯框>||<黑屏2><BIN>202</BIN>:ハーヴェル……あなたは……
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>これが簡単な仕事でないのは分かっている。パルディスキ、加えて付近のタリンはすでにゴーストタウンと化している。君をレッドエリアに向かわせるのは非常に危険なことだ。</color>
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>それに……指揮官、我々は胡蝶事件の真相に近づいている一方で、ますます危ない橋を渡ろうとしている。</color>
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>君はこれまで何度も命拾いしてきた、これは私が君に賭ける大きな理由の一つでもある。しかし、君がいつまでも女神の加護を受けられるとも思っていない。</color>
NPC-Havel(1)<Speaker>指揮官</Speaker><通讯框>||:あなたの好意、しかと受け取りました、ハーヴェルさん。私も自分の能力が不……
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>そういう意味ではない。</color>
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>君がお節介で、他人のために命を投げ出すような人間じゃなければ、ここまでは来れなかったはずだ、指揮官。</color>
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>あの小娘……ペルシカのことだが――彼女も君がパルディスキに向かっていることにすぐに気づく、そうすれば様々な無理難題を押しつけてくるだろう。</color>
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>人の要求を断ることを覚えなければ、いつか運を使い果たすぞ。</color>
NPC-Havel(1)<Speaker>指揮官</Speaker><通讯框>||:……それを断ったらどうします？
NPC-Havel(0)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>ハハッ、さすが指揮官、覚えるのが早いな。しかしこれはただのお願いであって、依頼ではない。</color>
NPC-Havel(0)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>気をつけろ、次会う時もピンピンしていることを願うよ。</color>
()||<黑屏1><BGM>BGM_Empty</BGM><SE1>AVG_tele_disconnect</SE1>:……通信終了。
()||<黑屏2><BIN>202</BIN><BGM>BGM_stage1</BGM>:12時間後。
()<Speaker>カリーナ</Speaker>||:あの～指揮官さま、起きてますか？
()<Speaker>指揮官</Speaker>||:入っていいよ。
NPC-Kalin(3)<Speaker>カリーナ</Speaker>||<SE1>AVG_door_elecport</SE1>:まだ昨日のハーヴェルさんとの会話を思い返しているのですか？
NPC-Kalin(3)<Speaker>指揮官</Speaker>||:ふぅ……万全な準備をしたつもりだったけど、//n彼と比べるとまだまだだった。
NPC-Kalin(1)<Speaker>カリーナ</Speaker>||:……あのご年配の方もよく話しますね、//n分析に値する情報も多かったんじゃないですか？
NPC-Kalin(1)<Speaker>指揮官</Speaker>||:確かにいろいろと話してくれたけど、//nそれは全て私たちに知らせたかった情報だけだ。//nそれにいくつも先に手を打ってある。+彼がグリフィンに味方していることを喜ぶべきか……//n少なくとも今のところは。
NPC-Kalin(0)<Speaker>カリーナ</Speaker>||:先のことはまだ考えないでいいですよ、指揮官さま。//n目の前の悩み事だけでも山ほど溜まっているんですから。+大陸間列車があと10分ほどでタリン郊外に到着します。//nこの前の偵察部隊も報告を上げてくれました。+以前、指揮官さまが言っていた通り、//nタリンはパルディスキ基地に入るための唯一の主要都市ですが、//nすでに汚染により壊滅し封鎖されています。+先に向かったAR小隊も同じ答えを出しています――//nタリンの隔離壁の封鎖を解かない限り、我々の列車は前には進めないと。//n今は指揮官さまの指示を待っています。
NPC-Kalin(0)<Speaker>指揮官</Speaker>||:もう着くのか？もうひと眠りできるとばかり……
NPC-Kalin(3)<Speaker>カリーナ</Speaker>||:グリフィンの司令所を大陸間列車に運び込んだのは、//n豪華寝台列車を楽しんでもらうためじゃないですよ、指揮官さま。+各部隊の人形も準備完了です、あとは指揮官さまの指示だけですよ。
NPC-Kalin(3)<Speaker>指揮官</Speaker>||<黑屏1>:どうやら、今回の旅はベルグラードよりも充実してるようだね。
