()||<BIN>22</BIN><BGM>BGM_Room</BGM>:…………
NPC-Ange(0)<Speaker>アンジェリア</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:チッ……たぬきじじいめ。//nそういうことなら、状況は私の予想よりもひどいわね。
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:その通りだ。だから私がここに来た。+軍にとって、第三次世界大戦は無理やり止められたにすぎない。//nそして政府は敵だった相手と連合政府なんかを作ろうとしている。//nあの戦争はまだ終わっていないと考える軍人からしてみれば、裏切りも同然だ。+だから、遺跡を起動させ、世界を再び冷戦期に戻そうとしている。それが彼らの目的だ。+「相互確証破壊」の意味をまだ覚えてるか？//nフンッ、卑劣なもんだ。
NPC-Persica(3)<Speaker>ペルシカ</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:でも、それがリコと何の関係があるの？どうして彼は殺されないといけなかったの！？
NPC-Persica(3);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:バラクーダシステムは1983年の『ジュネーブ声明』後に完全放棄された。//n一方、オーガス補助システムも最高機密として封印されたんだ。+鉄血はなぜオーガスのプロトコルを制御のベースにしたと思う？+リコもまたどうやってこのような最高機密と接触できたと思うかね？+考えてみたまえ、遺跡とも君たちともかかわりのある組織だ。
NPC-Persica(3)<Speaker>ペルシカ</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:ええ……90wishね……想像がついたわ。
NPC-Persica(3);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:君もバカではないようだな。+彼らがこれ以上君たちを追いかけなかった理由は、私を前にして大胆な行動を取るのに怯えてたほか、もう一つはリコの研究に対する情熱と君との不仲を利用したのだろう。+私が推測するには、彼らはこっそりオーガスシステムをリコのところに運び、リコはそれを起動する方法を見つけた……+しかしことの真相に気づいたリコが、なんらかの方法でまたシステムをロックした。+そこで……リコが起動できるのなら、自分にもできると考える人が現れた。+そうなった時、リコの利用価値はなくなったのだ。
NPC-Ange(0)<Speaker>アンジェリア</Speaker><通讯框>;NPC-Havel(0)||<BIN>22</BIN>:それと同時に、軍は鉄血を混乱に陥らせる正当な理由が必要だった。//nそうしないとオーガスシステムを取り返せないから……+そしてその結果が、あの胡蝶作戦というわけね…………+でも、なぜあの時にオーガス補助システムを持ち帰らなかったの？
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:あの時には持ち帰れなかった、或いは持ち帰っても意味がなかったとしたら？
NPC-Persica(3)<Speaker>ペルシカ</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:リコの研究成果……エリザは……当時まだ起動したばかりで………
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:軍も90wishも、鍵が成熟するのを待っている。+彼らにとって必要なのは自分たちで操作することではなく、オーガスが自ら起動することだ。//n自ら成長するAIなら、なによりもこの役に適しているのだろう？+それに、こうなってしまえばアンジェ、君の上司も手を出す口実がなくなるわけだ。
NPC-Ange(0)<Speaker>アンジェリア</Speaker><通讯框>;NPC-Havel(0)||<BIN>22</BIN>:チッ……今すぐ、もう一度局長に連絡するわ。
NPC-Ange(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:アンジェさんや、あまり自身の上司を見くびるな。+私が思いつくことは彼らも思いつく。//nKGBのミーシャがゼリンスキーにその地位を与えたのは、彼がデモに参加する群衆や泥棒をひっ捕らえてくれるからではないぞ。+政治というのはな、時には銃弾よりも危険なものだ。//n彼らに必要なのは、一つの口実と機会だけだからな。
NPC-Ange(0)<Speaker>アンジェリア</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:それは……
NPC-Ange(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:大きな火災を消すのに最も良い方法は、その近くでさらに大きな爆発を作り出すことだ。
NPC-Ange(0)<Speaker>アンジェリア</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:「酸素を使い切り、炎を滅する」………+なるほど、でもどうすればいい？//nすでに局長は私の爆撃計画を却下したが……
NPC-Ange(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:彼らは立場的にできないことがある。+それに比べて私のような頭が空っぽの人間は、利用しやすいものだ。
NPC-Ange(0)<Speaker>アンジェリア</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:あなたの人脈があれば、局長に利用されることはないでしょ？
NPC-Ange(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:それはどうだか。+すでに捕まっている民間軍事会社の社長が一人いる。//nそこにもう一人武器製造会社の者が加わっても、なんてことはないだろう。
NPC-Ange(0)<Speaker>アンジェリア</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:そんな風に回りくどい話し方をするのなら、今度はもうタイヤの空気抜きを手伝ってやらないわよ。
NPC-Ange(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:……わかったわかった、お嬢ちゃん。//n大事なところを話そう。+つまり言いたいことは、私は愛国者だから、君に支援を提供できるということだ。
NPC-Ange(0)<Speaker>アンジェリア</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:なにをしてくれるわけ？
NPC-Ange(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:君の想像を遥かに超える大きな爆発を作り出せるが、その代償として、かなり高い確率で君が死ぬことになる。
NPC-Ange(0)<Speaker>アンジェリア</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:私はすでに一回死んでいる。
NPC-Ange(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:たとえ君が死ななかったとしても、一生反逆の罪を背負って生きていくことになる。//nお嬢ちゃん、それは死よりもつらいぞ。
NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>22</BIN>:…………
NPC-Ange(0);NPC-Persica(3)<Speaker>ペルシカ</Speaker>||<BIN>22</BIN>:アンジェ……
NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>22</BIN>:それでもいい。+奴らを止められるのなら、どんな代償でも払う。
NPC-Ange(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:いいだろう、必要なものをなんとかして空中投下してやる。
NPC-Ange(0)<Speaker>アンジェリア</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:必要なものって？+爆撃よりも威力があって……しかも空中投下で渡せるもの……+まさか……？
NPC-Ange(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:そうだ、あれだ。+手に入ったら好きなようにしていいぞ。
NPC-Ange(0)<Speaker>アンジェリア</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:……そんなものを使って反逆者にされるだけなら、もはや一番幸せな結果と言えるわね。+もしかしてこれがあなたのいう機会と口実なのか？
NPC-Ange(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:完璧な口実だ、そうだろう？//nカーターもお手上げのはずだ。
NPC-Ange(0)<Speaker>アンジェリア</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:まったく……思っていたよりずっと狡猾だな。
NPC-Ange(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:そうやって若い子に褒められると舞い上がってしまうな。+そうだ、それからもう一つお願いしてもいいか。//nオーガスがどのように再起動したのか、私も非常に興味がある。だから、できればリコの作品を持ち帰ってきてほしい。+軍とともに処分してしまうにはあまりにももったいない。
NPC-Ange(0);NPC-Persica(3)<Speaker>ペルシカ</Speaker>||<BIN>22</BIN>:私からもお願いしたい。それがリコの最後の作品だから。
NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>22</BIN><黑屏1>:あいつらの手に渡らないことは保障するわ。+ただ持ち帰れるかどうかは……皆で祈ってちょうだい。
