()<Speaker>﻿</Speaker>||<BIN>41</BIN><BGM>BGM_Empty</BGM><SE1>Battlefield</SE1>:…………M16はSOP IIのいる拠点に到着した。+拠点は砲撃を受け、廃墟と化していた。　
BOSS-11(0)<Speaker>ドリーマー</Speaker><通讯框>||:……あなたを侮っていたわ、SOP II。+変人だとイントゥルーダーは言っていたけど、やっとその意味が分かった……+……その欲望、どこまであなたを突き動かしてくれるのかしらね。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:変人？//nわたしのどこが変だっていうの？+ただ楽しいからやっているだけだよ……+グリフィンのみんなと一緒にいることも、お前たちを一人残らずバラバラにしていくことも、ただ楽しいからだよ。
BOSS-11(0)<Speaker>ドリーマー</Speaker><通讯框>||:そこが問題なのよ。+知ってるでしょ？//n本来、人形に欲望なんてものはないのよ。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:悪いけど、難しいことは分からないの……+ただ、お前が何者か教えてくれればそれでいいわ。//nそれから解体される時に痛みを感じるかどうかもね……。
BOSS-11(0)<Speaker>ドリーマー</Speaker><通讯框>||:あたし……？+あたしもあなたと同じように、メンタルに問題があってね……+自分の欲望を満たすことでしか満足できないの。//nあたしたちみたいな人形は、幸せになんてなれないのよ。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:違いとしては……+お前は結構いい声をしてるから、きっと心地の良い悲鳴をあげてくれるんだろうね……
BOSS-11(0)<Speaker>ドリーマー</Speaker><通讯框>||:それだけじゃないわ。+あなたは他人の痛みで己を満たしている。//n刺激ばかり追い求め、美的感覚が欠けているわ……+一方、あたしは……言葉や力で、彼女たちの希望を打ち砕くのが好きなの……+もちろん、武器でもね……
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:…………！
梦想家()<Speaker>ドリーマー</Speaker>||<黑屏2><BIN>27</BIN><BGM>BGM_Brain</BGM>:さあ、なぞなぞの時間よ、SOP II。+あなたたちがAR15を追いかけていたとき、大砲であなたたちを足止めしていたのは、どこの人形だったかしら？
梦想家()<Speaker>ドリーマー</Speaker>||<黑屏2><BIN>36</BIN><黑屏1>:わざと情報をAR15に漏らして……+……その調査に向かった彼女に、シールドモジュールを埋め込んだのは、どこの人形だったかしら？
梦想家()<Speaker>ドリーマー</Speaker>||<黑屏2><BIN>44</BIN><黑屏1>:そして、鉄血のお偉いさんをS05地区に連れ込んで、M4A1のメンタルを崩壊させたのは、どこの人形だったかしら？
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||<黑屏2><BIN>9</BIN>:……
BOSS-11(0)<Speaker>ドリーマー</Speaker>||<黑屏1>:あたしは鉄血人形SPACA、通称ドリーマー（Dreamer）よ。+AR15は選び抜かれたのであり、それはほんの始まりにすぎないわ。+AR小隊のSOP II、あたしはあなたたちが何なのかを知っているわ。+あなたたちがどう変わり……+そして、いつ変わるのかもね……
梦想家()<Speaker>ドリーマー</Speaker>||<BGM>BGM_Boss</BGM>:……それは今よ。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:うああああああああああああああーー！！+殺してやる！//nお前を殺してやる、ドリーマーーーっ！！
梦想家()<Speaker>ドリーマー</Speaker>||:そう……その調子よ……+さあ、あたしを殺しなさい……+あたしを見つけ、その手であたしを幸せにして……
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||<黑屏1>:出てこい……さっさと出てこい！！+うああああああっ！！
()||<黑屏2><BIN>46</BIN>:…………+再生を終了した。
M16(2)<Speaker>M16A1</Speaker>||:…………
MK2(0)<Speaker>ステンMK-II</Speaker>||:すみません、M16さん。//nあのとき、私にできたのはせいぜいこのぐらいで……
M16(3)<Speaker>M16A1</Speaker>||:よくやった、ステン。+今からお前を安全に連れて帰るからな。+SOP II……追跡できるといいのだが……
MK2(0)<Speaker>ステンMK-II</Speaker>||<黑屏1>:M16さん、それなら適任者がいますよ。+この一帯、すべての動きを監視している人が……
()||<BIN>9</BIN>:…………ピー。
马卡洛夫()<Speaker>マカロフ</Speaker>||:こんばんは、皆さん。+もしかして、私の出番ですか？
