()||<BIN>9</BIN><BGM>BGM_Empty</BGM>:…………
()||<黑屏1>:…………パン！パン！+…………+……………………
()||<BIN>69</BIN><黑屏2>:セキュリティプログラムが起動した。これが何を意味するか、分かるでしょ？
()||:わたしたちのメンタルを破壊しようとしている……+つまり、わたしたち、ここで死ぬの？
()||:いえ、死ぬのはあたいたちのどちらか一人よ。どちらか一人がこの世から消えれば、セキュリティプログラムは停止する。
()||:どういう……こと？
()||:絶望的でしょ？でもこれが人形の運命よ。+生きるのと死ぬの、どっちがいいか……+答えて、UMP45！
()||:どうして……なぜそうなるの……
()||:銃口を向けなさい！+自分に同情するのはやめな！そんなのは、出来損ないのやることだよ！
()||:…………
UMP45()<Speaker>UMP45</Speaker>||<黑屏1>:これが昔の私？やはりこうでもしないと見れないのね……+あの記憶さえ呼び覚ますなんて……オーガスの演算能力はおそろしいわね……+けど……何度も切り替えていたら体が持たないわ……ゲホッ、ゲホッ……+それになんと言っても安定しない。//nオーガスの力を借りても、このプログラムを破るのは難しいみたいね……
UMP45()<Speaker>UMP45</Speaker>||<BIN>9</BIN>:えっ、なに？！
UMP45()<Speaker>UMP45</Speaker>||:こんな小さいポートでも見つかるなんて……鉄血め、私のメンタルを焼き尽くす気ね！
UMP45()<Speaker>UMP45</Speaker>||:クソッ……次々きやがる！
UMP45()<Speaker>UMP45</Speaker>||<黑屏1>:ここで倒れるわけには……いかないのに……40……
HK416(0)<Speaker>416</Speaker>||<BIN>55</BIN><Night><BGM>BGM_Sneak</BGM><黑屏2>:……こちら416。+9、45は見つかった？
HK416(0);UMP9(2)<Speaker>UMP9</Speaker><通讯框>||:見つけたよ、今となりにいる。
HK416(0)<Speaker>416</Speaker>;UMP9(2)||:様子はどう？
HK416(0);UMP9(2)<Speaker>UMP9</Speaker>||:分からない。目を開いたまま、少しも動かないの。+シーア、デール、どうしたらいい？
HK416(0);NPC-Seele(0)<Speaker>シーア</Speaker><通讯框>||:まずは有線で彼女をネットワークにつなげてください。//nデール、どういう状態か、見当はつきますか？
HK416(0);NPC-Deele(0)<Speaker>デール</Speaker><通讯框>||:見たところ……攻性防壁の攻撃を受けたみたいだね。+鉄血は45のメンタルを焼き切るつもりだったんだと思う。//nでもあとちょっとのところで接続が切れて、失敗に終わった。
G11(0)<Speaker>Gr G11</Speaker>;NPC-Deele(0)||:へへ。あたしの最後の一発が45を救ったんだよ。
G11(0);NPC-Deele(0)<Speaker>デール</Speaker>||:まだ生きてるってこと以外、確実なことは何も言えないけどな……
HK416(0)<Speaker>416</Speaker>;NPC-Deele(0)||:さっき助けに来てくれた部隊ももう限界よ。//nその場で待機してもらっているわ。+まずいわね、鉄血はきっと新たな追っ手を送り込んでくるわ。こっちは今、孤立無援の状態よ。
G11(0)<Speaker>Gr G11</Speaker>;NPC-Deele(0)||:指揮できる人形がいないのなら、あたしたちが単独で戦うしかないじゃん。何か方法を考えないとやばいよ。
G11(0);NPC-Seele(0)<Speaker>シーア</Speaker><通讯框>||:まったく方法がないわけでもありません……+メンタルの損傷はセカンダリレベルで修復できます。//nただし、普通ならこれはメンテナンスポッドで行うことですが……
HK416(0)<Speaker>416</Speaker>;NPC-Seele(0)||:なるほどね、ここにメンテナンスポッドはない……+つまり、鉄血に撃ち殺されるリスクを冒しつつ、この場で45と接続しなくちゃいけない。そういうことね？
HK416(0);UMP9(2)<Speaker>UMP9</Speaker><通讯框>||:でも考えてみてよ。45姉の指揮なしじゃ鉄血の包囲網は破れない。そしたらどっちみち死ぬことになるわ。
G11(0)<Speaker>Gr G11</Speaker>;UMP9(2)||:じゃあ……どうすれば45を目覚めさせられるの？
G11(0);NPC-Deele(0)<Speaker>デール</Speaker><通讯框>||:セカンダリレベルでメンタルの状況を確かめる必要があるな。//nそうしないと修復のしようがない。+ただ、そのためにはお前たちの協力が必要だ。404のみんな、頼むぞ！
G11(0);UMP9(2)<Speaker>UMP9</Speaker><通讯框>||:出発前に練習したもんね……+……二人とも、やり方はまだちゃんと覚えてる？
HK416(0)<Speaker>416</Speaker>;UMP9(2)||:ちっ……正直言って、あの場所は嫌いよ。
G11(0)<Speaker>Gr G11</Speaker>;UMP9(2)||:416、いつの間にかぶつぶつ言うようになったよね。+……だんだんあたしに似てきてる。
HK416(0)<Speaker>416</Speaker>;UMP9(2)||:お黙り！
UMP9(0)<Speaker>UMP9</Speaker>||<黑屏1>:はいはい、喧嘩はストップ！+いち早く45姉の意識を取り戻して、それからみんなで家に帰るわよ！
